model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"8,000km",8000,8000,1,20.5,20.5,20.5,20.5,20.5,20.5,20.5,"2019年式 / 1.5 15M / 8,000km / 岡山県",2019年式,1.5 15M,"8,000km",岡山県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"11,000km",11000,11000,1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,"2016年式 / 1.5 15M / 11,000km / 福岡県",2016年式,1.5 15M,"11,000km",福岡県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"12,000km",12000,12000,2,5.8,15.5,10.7,10.7,5.8,15.5,15.5,"2010年式 / 1.5 15M / 12,000km / 和歌山県",2010年式,1.5 15M,"12,000km",和歌山県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"13,000km",13000,13000,1,30.9,30.9,30.9,30.9,30.9,30.9,30.9,"2013年式 / 1.5 15G / 13,000km / 千葉県",2013年式,1.5 15G,"13,000km",千葉県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"14,000km",14000,14000,1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,"2013年式 / 1.5 15S / 14,000km / 徳島県",2013年式,1.5 15S,"14,000km",徳島県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"17,000km",17000,17000,2,38.3,38.3,38.3,38.3,38.3,38.3,38.3,"2013年式 / 1.5 15G / 17,000km / 宮崎県",2013年式,1.5 15G,"17,000km",宮崎県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"18,000km",18000,18000,1,38.0,38.0,38.0,38.0,38.0,38.0,38.0,"2018年式 / 1.5 15M / 18,000km / 東京都",2018年式,1.5 15M,"18,000km",東京都,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"19,000km",19000,19000,1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,"2017年式 / 1.5 15M / 19,000km / 香川県",2017年式,1.5 15M,"19,000km",香川県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,2万km,20000,20000,1,6.3,6.3,6.3,6.3,6.3,6.3,6.3,2007年式 / 1.5 E / 2万km / 新潟県,2007年式,1.5 E,2万km,新潟県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"22,000km",22000,22000,2,10.4,27.0,18.7,18.7,10.4,27.0,27.0,"2016年式 / 1.5 15M / 22,000km / 富山県",2016年式,1.5 15M,"22,000km",富山県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"24,000km",24000,24000,2,16.5,20.0,18.2,18.2,16.5,20.0,20.0,"2013年式 / 1.5 G / 24,000km / 東京都",2013年式,1.5 G,"24,000km",東京都,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"25,000km",25000,25000,1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,"2005年式 / 1.5 E / 25,000km / 群馬県",2005年式,1.5 E,"25,000km",群馬県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"26,000km",26000,26000,1,37.8,37.8,37.8,37.8,37.8,37.8,37.8,"2012年式 / 1.6 16G 4WD / 26,000km / 茨城県",2012年式,1.6 16G 4WD,"26,000km",茨城県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"28,000km",28000,28000,1,19.0,19.0,19.0,19.0,19.0,19.0,19.0,"2010年式 / 1.5 15G / 28,000km / 山形県",2010年式,1.5 15G,"28,000km",山形県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"29,000km",29000,29000,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,"2011年式 / 1.2 12M / 29,000km / 沖縄県",2011年式,1.2 12M,"29,000km",沖縄県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"32,000km",32000,32000,1,6.4,6.4,6.4,6.4,6.4,6.4,6.4,"2005年式 / 1.5 G / 32,000km / 愛知県",2005年式,1.5 G,"32,000km",愛知県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"33,000km",33000,33000,2,13.3,13.3,13.3,13.3,13.3,13.3,13.3,"2013年式 / 1.5 15M / 33,000km / 新潟県",2013年式,1.5 15M,"33,000km",新潟県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"34,000km",34000,34000,1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,"2015年式 / 1.5 15M / 34,000km / 石川県",2015年式,1.5 15M,"34,000km",石川県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"35,000km",35000,35000,2,20.6,32.9,26.8,26.8,20.6,32.9,32.9,"2009年式 / 1.5 15M / 35,000km / 静岡県",2009年式,1.5 15M,"35,000km",静岡県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"36,000km",36000,36000,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,"2007年式 / 1.5 E 4WD / 36,000km / 愛媛県",2007年式,1.5 E 4WD,"36,000km",愛媛県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"37,000km",37000,37000,3,4.3,25.3,15.1,15.7,4.3,25.3,25.3,"2014年式 / 1.5 15M / 37,000km / 沖縄県",2014年式,1.5 15M,"37,000km",沖縄県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"38,000km",38000,38000,3,6.0,16.0,10.7,10.0,6.0,16.0,16.0,"2006年式 / 1.5 E / 38,000km / 山口県",2006年式,1.5 E,"38,000km",山口県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"39,000km",39000,39000,4,17.7,24.9,21.0,20.6,17.7,23.6,24.9,"2010年式 / 1.5 15M / 39,000km / 和歌山県",2010年式,1.5 15M,"39,000km",和歌山県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,4万km,40000,40000,4,11.9,25.5,18.2,17.7,13.4,22.0,25.5,2018年式 / 1.5 15M / 4万km / 埼玉県,2018年式,1.5 15M,4万km,埼玉県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"41,000km",41000,41000,3,11.4,27.0,20.8,24.0,11.4,27.0,27.0,"2015年式 / 1.5 15G / 41,000km / 和歌山県",2015年式,1.5 15G,"41,000km",和歌山県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"42,000km",42000,42000,2,26.2,27.3,26.8,26.8,26.2,27.3,27.3,"2012年式 / 1.5 15G / 42,000km / 香川県",2012年式,1.5 15G,"42,000km",香川県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"43,000km",43000,43000,3,8.5,17.1,13.7,15.5,8.5,17.1,17.1,"2006年式 / 1.5 E 4WD / 43,000km / 鳥取県",2006年式,1.5 E 4WD,"43,000km",鳥取県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"44,000km",44000,44000,6,18.0,30.0,24.7,25.3,19.6,30.0,30.0,"2017年式 / 1.5 15M / 44,000km / 秋田県",2017年式,1.5 15M,"44,000km",秋田県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"45,000km",45000,45000,5,6.0,30.0,17.0,19.4,7.2,22.5,30.0,"2010年式 / 1.5 15M / 45,000km / 岐阜県",2010年式,1.5 15M,"45,000km",岐阜県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"46,000km",46000,46000,5,12.0,37.2,27.8,33.6,19.0,37.2,37.2,"2008年式 / 1.5 15G / 46,000km / 大分県",2008年式,1.5 15G,"46,000km",大分県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"47,000km",47000,47000,1,22.3,22.3,22.3,22.3,22.3,22.3,22.3,"2011年式 / 1.5 15M / 47,000km / 香川県",2011年式,1.5 15M,"47,000km",香川県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"48,000km",48000,48000,4,19.3,26.4,22.3,21.7,20.4,23.0,26.4,"2009年式 / 1.5 15G / 48,000km / 山形県",2009年式,1.5 15G,"48,000km",山形県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"49,000km",49000,49000,2,22.5,24.4,23.4,23.4,22.5,24.4,24.4,"2011年式 / 1.5 15M / 49,000km / 徳島県",2011年式,1.5 15M,"49,000km",徳島県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,5万km,50000,50000,4,4.8,28.8,20.8,24.7,23.3,26.1,28.8,2008年式 / 1.5 15G / 5万km / 兵庫県,2008年式,1.5 15G,5万km,兵庫県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"51,000km",51000,51000,9,9.1,34.2,22.2,23.5,17.4,26.4,34.2,"2018年式 / 1.6 16M 4WD / 51,000km / 滋賀県",2018年式,1.6 16M 4WD,"51,000km",滋賀県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"52,000km",52000,52000,1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,"2012年式 / 1.6 16M 4WD / 52,000km / 滋賀県",2012年式,1.6 16M 4WD,"52,000km",滋賀県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"53,000km",53000,53000,6,16.3,33.7,23.9,23.6,18.7,27.6,33.7,"2017年式 / 1.6 16M 4WD / 53,000km / 石川県",2017年式,1.6 16M 4WD,"53,000km",石川県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"54,000km",54000,54000,5,4.9,32.0,17.2,20.5,6.1,22.3,32.0,"2010年式 / 1.5 15M / 54,000km / 奈良県",2010年式,1.5 15M,"54,000km",奈良県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"55,000km",55000,55000,1,15.3,15.3,15.3,15.3,15.3,15.3,15.3,"2018年式 / 1.5 15M / 55,000km / 鹿児島県",2018年式,1.5 15M,"55,000km",鹿児島県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"56,000km",56000,56000,3,14.5,22.5,18.8,19.5,14.5,22.5,22.5,"2007年式 / 1.5 E 4WD / 56,000km / 岩手県",2007年式,1.5 E 4WD,"56,000km",岩手県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"57,000km",57000,57000,1,8.4,8.4,8.4,8.4,8.4,8.4,8.4,"2005年式 / 1.5 G / 57,000km / 石川県",2005年式,1.5 G,"57,000km",石川県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"58,000km",58000,58000,2,11.4,19.2,15.3,15.3,11.4,19.2,19.2,"2011年式 / 1.5 15M / 58,000km / 千葉県",2011年式,1.5 15M,"58,000km",千葉県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"59,000km",59000,59000,9,15.0,36.2,22.2,19.0,17.2,25.0,36.2,"2010年式 / 1.6 16M 4WD / 59,000km / 東京都",2010年式,1.6 16M 4WD,"59,000km",東京都,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,6万km,60000,60000,9,11.5,32.2,21.8,23.2,19.3,24.6,32.2,2013年式 / 1.6 16G 4WD / 6万km / 鹿児島県,2013年式,1.6 16G 4WD,6万km,鹿児島県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"61,000km",61000,61000,3,19.2,24.0,21.1,20.0,19.2,24.0,24.0,"2009年式 / 1.5 15M / 61,000km / 和歌山県",2009年式,1.5 15M,"61,000km",和歌山県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"62,000km",62000,62000,7,10.0,35.7,19.0,11.6,11.6,23.0,35.7,"2018年式 / 1.5 15M / 62,000km / 和歌山県",2018年式,1.5 15M,"62,000km",和歌山県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"63,000km",63000,63000,2,19.0,19.0,19.0,19.0,19.0,19.0,19.0,"2015年式 / 1.6 16M 4WD / 63,000km / 佐賀県",2015年式,1.6 16M 4WD,"63,000km",佐賀県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"64,000km",64000,64000,7,15.3,36.0,24.1,24.4,23.0,26.7,36.0,"2009年式 / 1.6 16M 4WD / 64,000km / 京都府",2009年式,1.6 16M 4WD,"64,000km",京都府,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"65,000km",65000,65000,3,17.7,29.0,23.8,24.6,17.7,29.0,29.0,"2016年式 / 1.6 16M 4WD / 65,000km / 宮城県",2016年式,1.6 16M 4WD,"65,000km",宮城県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"66,000km",66000,66000,6,7.2,27.4,14.2,10.9,7.8,20.7,27.4,"2018年式 / 1.6 16M 4WD / 66,000km / 徳島県",2018年式,1.6 16M 4WD,"66,000km",徳島県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"67,000km",67000,67000,5,5.7,19.0,15.3,18.1,15.3,18.6,19.0,"2008年式 / 1.5 15M / 67,000km / 茨城県",2008年式,1.5 15M,"67,000km",茨城県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"68,000km",68000,68000,5,5.7,29.0,20.8,25.0,16.2,28.0,29.0,"2013年式 / 1.6 16G 4WD / 68,000km / 奈良県",2013年式,1.6 16G 4WD,"68,000km",奈良県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"69,000km",69000,69000,6,6.6,30.7,20.4,21.2,19.9,22.7,30.7,"2014年式 / 1.5 15M / 69,000km / 島根県",2014年式,1.5 15M,"69,000km",島根県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,7万km,70000,70000,4,5.2,24.2,10.7,6.7,6.1,7.3,24.2,2009年式 / 1.6 16M 4WD / 7万km / 東京都,2009年式,1.6 16M 4WD,7万km,東京都,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"71,000km",71000,71000,7,7.0,24.1,16.4,21.0,10.9,21.0,24.1,"2014年式 / 1.5 15M / 71,000km / 鹿児島県",2014年式,1.5 15M,"71,000km",鹿児島県,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"73,000km",73000,73000,5,8.1,28.5,16.5,15.6,14.5,15.6,28.5,"2014年式 / 1.6 16M 4WD / 73,000km / 大阪府",2014年式,1.6 16M 4WD,"73,000km",大阪府,manen
mitsubishi-lancer-cargo,ランサーカーゴ,root,root,"74,000km",74000,74000,7,7.9,27.1,14.3,11.5,11.4,13.7,27.1,"2014年式 / 1.5 15G / 74,000km / 福井県",2014年式,1.5 15G,"74,000km",福井県,manen
