model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"17,000km",17000,17000,1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,"2001年式 / 1.8 スポーツエディションII / 17,000km / 東京都",2001年式,1.8 スポーツエディションII,"17,000km",東京都,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"32,000km",32000,32000,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,"2000年式 / 1.8 ツーリング / 32,000km / 福岡県",2000年式,1.8 ツーリング,"32,000km",福岡県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"33,000km",33000,33000,1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,"2001年式 / 1.8 Tツーリング スーパーパッケージ / 33,000km / 佐賀県",2001年式,1.8 Tツーリング スーパーパッケージ,"33,000km",佐賀県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"36,000km",36000,36000,1,7.3,7.3,7.3,7.3,7.3,7.3,7.3,"2001年式 / 1.8 ツーリング / 36,000km / 岐阜県",2001年式,1.8 ツーリング,"36,000km",岐阜県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"38,000km",38000,38000,1,16.4,16.4,16.4,16.4,16.4,16.4,16.4,"2001年式 / 1.8 ラリーアートエディション / 38,000km / 滋賀県",2001年式,1.8 ラリーアートエディション,"38,000km",滋賀県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"39,000km",39000,39000,1,6.7,6.7,6.7,6.7,6.7,6.7,6.7,"1999年式 / 1.8 ツーリング スーパーパッケージ / 39,000km / 高知県",1999年式,1.8 ツーリング スーパーパッケージ,"39,000km",高知県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"46,000km",46000,46000,2,4.0,15.0,9.5,9.5,4.0,15.0,15.0,"2000年式 / 1.8 Tツーリング スーパーパッケージ / 46,000km / 青森県",2000年式,1.8 Tツーリング スーパーパッケージ,"46,000km",青森県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,5万km,50000,50000,1,3.6,3.6,3.6,3.6,3.6,3.6,3.6,2001年式 / 1.8 ツーリング / 5万km / 広島県,2001年式,1.8 ツーリング,5万km,広島県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"53,000km",53000,53000,1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,"2000年式 / 1.8 ツーリング / 53,000km / 三重県",2000年式,1.8 ツーリング,"53,000km",三重県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"54,000km",54000,54000,1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,"2000年式 / 1.8 ラリーアートエディション / 54,000km / 徳島県",2000年式,1.8 ラリーアートエディション,"54,000km",徳島県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"55,000km",55000,55000,1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,"2002年式 / 1.8 ツーリング / 55,000km / 三重県",2002年式,1.8 ツーリング,"55,000km",三重県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"56,000km",56000,56000,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,"2000年式 / 1.8 ツーリング / 56,000km / 岩手県",2000年式,1.8 ツーリング,"56,000km",岩手県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"57,000km",57000,57000,1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,"2001年式 / 1.8 スポーツエディションII / 57,000km / 大阪府",2001年式,1.8 スポーツエディションII,"57,000km",大阪府,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"59,000km",59000,59000,1,6.9,6.9,6.9,6.9,6.9,6.9,6.9,"2006年式 / 1.8 ツーリング / 59,000km / 福岡県",2006年式,1.8 ツーリング,"59,000km",福岡県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,6万km,60000,60000,1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,2000年式 / 1.8 ツーリング / 6万km / 広島県,2000年式,1.8 ツーリング,6万km,広島県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"62,000km",62000,62000,1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,"2000年式 / 1.8 ツーリング スーパーパッケージ 4WD / 62,000km / 静岡県",2000年式,1.8 ツーリング スーパーパッケージ 4WD,"62,000km",静岡県,manen
mitsubishi-lancer-cedia-wagon,ランサーセディアワゴン,root,root,"63,000km",63000,63000,2,3.8,4.2,4.0,4.0,3.8,4.2,4.2,"1999年式 / 1.8 ツーリング / 63,000km / 熊本県",1999年式,1.8 ツーリング,"63,000km",熊本県,manen
