model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-lancer-cedia,ランサーセディア,,2009,2009年式,root,root,3,26.1,32.6,29.3,29.2,26.1,32.6,32.6,"2009年式 / 1.5 MX-E / 91,000km / 神奈川県",2009年式,1.5 MX-E,"91,000km",神奈川県,manen
mitsubishi-lancer-cedia,ランサーセディア,,2008,2008年式,root,root,4,12.1,30.0,19.1,17.1,14.2,20.0,30.0,2008年式 / 1.5 MX-E / 1万km / 愛知県,2008年式,1.5 MX-E,1万km,愛知県,manen
mitsubishi-lancer-cedia,ランサーセディア,,2007,2007年式,root,root,1,29.4,29.4,29.4,29.4,29.4,29.4,29.4,"2007年式 / 1.5 MX-E / 12,000km / 徳島県",2007年式,1.5 MX-E,"12,000km",徳島県,manen
mitsubishi-lancer-cedia,ランサーセディア,,2006,2006年式,root,root,5,5.9,30.0,13.1,10.0,8.6,11.0,30.0,"2006年式 / 1.5 MX-E / 121,000km / 石川県",2006年式,1.5 MX-E,"121,000km",石川県,manen
mitsubishi-lancer-cedia,ランサーセディア,,2005,2005年式,root,root,4,10.4,29.2,19.1,18.4,13.2,23.5,29.2,"2005年式 / 1.5 MX-E リミテッド / 96,000km / 福井県",2005年式,1.5 MX-E リミテッド,"96,000km",福井県,manen
mitsubishi-lancer-cedia,ランサーセディア,,2003,2003年式,root,root,2,10.6,15.1,12.8,12.8,10.6,15.1,15.1,"2003年式 / 1.5 MX-E / 87,000km / 愛知県",2003年式,1.5 MX-E,"87,000km",愛知県,manen
mitsubishi-lancer-cedia,ランサーセディア,,2001,2001年式,root,root,11,3.6,8.2,5.1,4.7,3.9,5.6,8.2,"2001年式 / 1.5 MX-E / 71,000km / 新潟県",2001年式,1.5 MX-E,"71,000km",新潟県,manen
mitsubishi-lancer-cedia,ランサーセディア,,2000,2000年式,root,root,8,3.6,5.4,4.4,4.2,4.0,5.0,5.4,"2000年式 / 1.5 サルーン / 45,000km / 宮城県",2000年式,1.5 サルーン,"45,000km",宮城県,manen
mitsubishi-lancer-cedia,ランサーセディア,,1999,1999年式,root,root,7,3.6,4.8,4.1,3.9,3.9,4.2,4.8,"1999年式 / 1.8 ツーリング / 66,000km / 和歌山県",1999年式,1.8 ツーリング,"66,000km",和歌山県,manen
mitsubishi-lancer-cedia,ランサーセディア,,1996,1996年式,root,root,2,9.0,22.0,15.5,15.5,9.0,22.0,22.0,"1996年式 / 1.8 ツーリング / 157,000km / 広島県",1996年式,1.8 ツーリング,"157,000km",広島県,manen
