model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-lancer-wagon,ランサーワゴン,,2007,2007年式,root,root,4,9.7,17.2,14.4,15.3,14.4,16.2,17.2,"2007年式 / 1.5 S / 49,000km / 山口県",2007年式,1.5 S,"49,000km",山口県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,2006,2006年式,root,root,23,5.0,18.6,9.5,9.0,6.3,10.5,18.6,"2006年式 / 1.5 S / 69,000km / 奈良県",2006年式,1.5 S,"69,000km",奈良県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,2005,2005年式,root,root,25,4.2,21.3,12.0,11.1,6.8,16.4,21.3,"2005年式 / 1.8 ラリーアート / 57,000km / 宮城県",2005年式,1.8 ラリーアート,"57,000km",宮城県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,2004,2004年式,root,root,25,4.1,17.0,8.5,7.0,6.4,9.7,17.0,"2004年式 / 1.8 ツーリング / 19,000km / 福島県",2004年式,1.8 ツーリング,"19,000km",福島県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,2003,2003年式,root,root,14,4.1,16.1,7.9,5.7,4.9,9.5,16.1,"2003年式 / 1.8 サウンドビートエディション / 38,000km / 高知県",2003年式,1.8 サウンドビートエディション,"38,000km",高知県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,2002,2002年式,root,root,41,3.9,20.1,7.4,6.3,5.3,8.1,20.1,"2002年式 / 1.8 ラリーアート / 84,000km / 山口県",2002年式,1.8 ラリーアート,"84,000km",山口県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,2001,2001年式,root,root,18,3.6,17.7,8.0,5.9,4.2,11.7,17.7,"2001年式 / 1.8 ラリーアート / 135,000km / 和歌山県",2001年式,1.8 ラリーアート,"135,000km",和歌山県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,2000,2000年式,root,root,19,3.6,12.1,5.2,4.5,4.2,5.5,12.1,"2000年式 / 1.8 ツーリング / 41,000km / 長崎県",2000年式,1.8 ツーリング,"41,000km",長崎県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,1999,1999年式,root,root,1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,"1999年式 / 1.8 ツーリング 4WD / 97,000km / 千葉県",1999年式,1.8 ツーリング 4WD,"97,000km",千葉県,manen
mitsubishi-lancer-wagon,ランサーワゴン,,1987,1987年式,root,root,1,4.6,4.6,4.6,4.6,4.6,4.6,4.6,"1987年式 / 1.5 S / 127,000km / 新潟県",1987年式,1.5 S,"127,000km",新潟県,manen
