model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-legnum,レグナム,root,root,0万km,0,0,1,10.3,10.3,10.3,10.3,10.3,10.3,10.3,2002年式 / 2.0 ヴィエント 4WD / 0万km / 佐賀県,2002年式,2.0 ヴィエント 4WD,0万km,佐賀県,manen
mitsubishi-legnum,レグナム,root,root,"15,000km",15000,15000,1,14.7,14.7,14.7,14.7,14.7,14.7,14.7,"2000年式 / 2.0 ヴィエント 4WD / 15,000km / 滋賀県",2000年式,2.0 ヴィエント 4WD,"15,000km",滋賀県,manen
mitsubishi-legnum,レグナム,root,root,"31,000km",31000,31000,2,48.0,48.0,48.0,48.0,48.0,48.0,48.0,"2000年式 / 2.5 VR-4 タイプS 4WD / 31,000km / 高知県",2000年式,2.5 VR-4 タイプS 4WD,"31,000km",高知県,manen
mitsubishi-legnum,レグナム,root,root,"38,000km",38000,38000,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,"1997年式 / 2.4 24 ヴィエント / 38,000km / 福岡県",1997年式,2.4 24 ヴィエント,"38,000km",福岡県,manen
mitsubishi-legnum,レグナム,root,root,"39,000km",39000,39000,1,43.8,43.8,43.8,43.8,43.8,43.8,43.8,"1999年式 / 2.5 VR-4 タイプS 4WD / 39,000km / 愛知県",1999年式,2.5 VR-4 タイプS 4WD,"39,000km",愛知県,manen
mitsubishi-legnum,レグナム,root,root,"42,000km",42000,42000,1,8.4,8.4,8.4,8.4,8.4,8.4,8.4,"1996年式 / 2.5 VR-4 4WD / 42,000km / 沖縄県",1996年式,2.5 VR-4 4WD,"42,000km",沖縄県,manen
mitsubishi-legnum,レグナム,root,root,"43,000km",43000,43000,2,24.0,24.0,24.0,24.0,24.0,24.0,24.0,"1995年式 / 2.5 VR-4 4WD / 43,000km / 群馬県",1995年式,2.5 VR-4 4WD,"43,000km",群馬県,manen
mitsubishi-legnum,レグナム,root,root,"44,000km",44000,44000,1,10.8,10.8,10.8,10.8,10.8,10.8,10.8,"1996年式 / 2.5 25 ST-R 4WD / 44,000km / 長崎県",1996年式,2.5 25 ST-R 4WD,"44,000km",長崎県,manen
mitsubishi-legnum,レグナム,root,root,"46,000km",46000,46000,2,3.7,5.7,4.7,4.7,3.7,5.7,5.7,"1998年式 / 1.8 ST / 46,000km / 香川県",1998年式,1.8 ST,"46,000km",香川県,manen
mitsubishi-legnum,レグナム,root,root,"47,000km",47000,47000,3,3.6,21.7,9.6,3.6,3.6,21.7,21.7,"1998年式 / 1.8 ST / 47,000km / 福岡県",1998年式,1.8 ST,"47,000km",福岡県,manen
mitsubishi-legnum,レグナム,root,root,"48,000km",48000,48000,4,4.9,20.5,9.3,5.9,5.1,6.7,20.5,"1998年式 / 2.5 VR-4 タイプV 4WD / 48,000km / 大分県",1998年式,2.5 VR-4 タイプV 4WD,"48,000km",大分県,manen
mitsubishi-legnum,レグナム,root,root,"49,000km",49000,49000,3,3.9,45.5,17.9,4.2,3.9,45.5,45.5,"2001年式 / 2.5 VR-4 4WD / 49,000km / 熊本県",2001年式,2.5 VR-4 4WD,"49,000km",熊本県,manen
