model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-mirage,ミラージュ,,2023,2023年式,root,root,1,88.3,88.3,88.3,88.3,88.3,88.3,88.3,"2023年式 / 1.2 ブラック エディション / 2,000km / 和歌山県",2023年式,1.2 ブラック エディション,"2,000km",和歌山県,manen
mitsubishi-mirage,ミラージュ,,2022,2022年式,root,root,27,48.6,87.0,74.1,78.0,67.6,81.6,87.0,"2022年式 / 1.2 G / 29,000km / 熊本県",2022年式,1.2 G,"29,000km",熊本県,manen
mitsubishi-mirage,ミラージュ,,2021,2021年式,root,root,31,11.5,86.5,70.3,72.5,66.0,79.5,86.5,"2021年式 / 1.2 G / 29,000km / 兵庫県",2021年式,1.2 G,"29,000km",兵庫県,manen
mitsubishi-mirage,ミラージュ,,2020,2020年式,root,root,46,25.5,83.8,56.0,56.5,39.6,70.1,83.8,"2020年式 / 1.2 G / 37,000km / 山梨県",2020年式,1.2 G,"37,000km",山梨県,manen
mitsubishi-mirage,ミラージュ,,2019,2019年式,root,root,96,6.9,82.0,52.4,55.4,42.1,61.5,82.0,"2019年式 / 1.2 G / 1,000km / 京都府",2019年式,1.2 G,"1,000km",京都府,manen
mitsubishi-mirage,ミラージュ,,2018,2018年式,root,root,107,13.0,83.0,47.5,47.5,34.6,60.0,83.0,"2018年式 / 1.2 ブラック エディション / 4,000km / 大分県",2018年式,1.2 ブラック エディション,"4,000km",大分県,manen
mitsubishi-mirage,ミラージュ,,2017,2017年式,root,root,88,12.0,72.0,40.2,38.5,29.8,50.5,72.0,"2017年式 / 1.2 G / 9,000km / 岩手県",2017年式,1.2 G,"9,000km",岩手県,manen
mitsubishi-mirage,ミラージュ,,2016,2016年式,root,root,111,8.3,77.0,36.2,35.5,27.9,42.5,77.0,"2016年式 / 1.2 G / 4,000km / 岩手県",2016年式,1.2 G,"4,000km",岩手県,manen
mitsubishi-mirage,ミラージュ,,2015,2015年式,root,root,101,5.0,59.0,26.0,23.8,18.4,32.1,59.0,"2015年式 / 1.2 M / 34,000km / 山梨県",2015年式,1.2 M,"34,000km",山梨県,manen
mitsubishi-mirage,ミラージュ,,2014,2014年式,root,root,110,5.0,39.3,17.2,17.0,11.3,22.9,39.3,"2014年式 / 1.0 M / 31,000km / 熊本県",2014年式,1.0 M,"31,000km",熊本県,manen
mitsubishi-mirage,ミラージュ,,2013,2013年式,root,root,130,5.0,32.0,13.1,11.8,8.4,17.6,32.0,"2013年式 / 1.0 M / 42,000km / 東京都",2013年式,1.0 M,"42,000km",東京都,manen
mitsubishi-mirage,ミラージュ,,2012,2012年式,root,root,114,5.0,26.6,12.2,12.3,7.2,16.0,26.6,"2012年式 / 1.0 G / 42,000km / 埼玉県",2012年式,1.0 G,"42,000km",埼玉県,manen
mitsubishi-mirage,ミラージュ,,2011,2011年式,root,root,28,5.2,19.6,11.3,10.8,9.9,12.2,19.6,"2011年式 / 1.0 M / 52,000km / 和歌山県",2011年式,1.0 M,"52,000km",和歌山県,manen
mitsubishi-mirage,ミラージュ,,2000,2000年式,root,root,2,50.0,86.8,68.4,68.4,50.0,86.8,86.8,"2000年式 / 1.6 サイボーグZR / 109,000km / 愛知県",2000年式,1.6 サイボーグZR,"109,000km",愛知県,manen
mitsubishi-mirage,ミラージュ,,1998,1998年式,root,root,1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,"1998年式 / 1.6 サイボーグZR / 132,000km / 石川県",1998年式,1.6 サイボーグZR,"132,000km",石川県,manen
mitsubishi-mirage,ミラージュ,,1997,1997年式,root,root,2,16.7,39.0,27.9,27.9,16.7,39.0,39.0,"1997年式 / 1.6 サイボーグ / 222,000km / 宮崎県",1997年式,1.6 サイボーグ,"222,000km",宮崎県,manen
mitsubishi-mirage,ミラージュ,,1996,1996年式,root,root,2,5.0,79.5,42.2,42.2,5.0,79.5,79.5,1996年式 / 1.6 RS / 7万km / 三重県,1996年式,1.6 RS,7万km,三重県,manen
mitsubishi-mirage,ミラージュ,,1995,1995年式,root,root,2,57.5,58.0,57.8,57.8,57.5,58.0,58.0,"1995年式 / 1.6 サイボーグ / 141,000km / 千葉県",1995年式,1.6 サイボーグ,"141,000km",千葉県,manen
mitsubishi-mirage,ミラージュ,,1994,1994年式,root,root,1,46.7,46.7,46.7,46.7,46.7,46.7,46.7,"1994年式 / 1.6 サイボーグ / 129,000km / 滋賀県",1994年式,1.6 サイボーグ,"129,000km",滋賀県,manen
