model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-pajero-mini,パジェロミニ,,2021,2021年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021年式 / アクティブフィールド エディション 4WD / 8万km / 福岡県,2021年式,アクティブフィールド エディション 4WD,8万km,福岡県,manen
mitsubishi-pajero-mini,パジェロミニ,,2018,2018年式,root,root,1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,"2018年式 / エクシード 4WD / 92,000km / 秋田県",2018年式,エクシード 4WD,"92,000km",秋田県,manen
mitsubishi-pajero-mini,パジェロミニ,,2016,2016年式,root,root,1,25.5,25.5,25.5,25.5,25.5,25.5,25.5,"2016年式 / ZR 4WD / 96,000km / 秋田県",2016年式,ZR 4WD,"96,000km",秋田県,manen
mitsubishi-pajero-mini,パジェロミニ,,2013,2013年式,root,root,8,19.7,58.5,34.1,32.2,23.0,42.5,58.5,"2013年式 / VR ファイナル アニバーサリー / 57,000km / 富山県",2013年式,VR ファイナル アニバーサリー,"57,000km",富山県,manen
mitsubishi-pajero-mini,パジェロミニ,,2012,2012年式,root,root,89,5.0,64.2,30.5,27.0,19.6,41.8,64.2,"2012年式 / エクシード 4WD / 44,000km / 福岡県",2012年式,エクシード 4WD,"44,000km",福岡県,manen
mitsubishi-pajero-mini,パジェロミニ,,2011,2011年式,root,root,95,5.0,64.5,28.4,27.0,14.4,40.9,64.5,"2011年式 / ナビエディション VR 4WD / 35,000km / 栃木県",2011年式,ナビエディション VR 4WD,"35,000km",栃木県,manen
mitsubishi-pajero-mini,パジェロミニ,,2010,2010年式,root,root,96,5.0,64.7,28.0,25.9,14.5,38.5,64.7,"2010年式 / VR 4WD / 21,000km / 沖縄県",2010年式,VR 4WD,"21,000km",沖縄県,manen
mitsubishi-pajero-mini,パジェロミニ,,2009,2009年式,root,root,98,5.0,65.0,26.0,23.4,14.8,34.7,65.0,"2009年式 / ナビエディション VR 4WD / 84,000km / 東京都",2009年式,ナビエディション VR 4WD,"84,000km",東京都,manen
mitsubishi-pajero-mini,パジェロミニ,,2008,2008年式,root,root,102,5.0,57.5,20.1,19.1,12.2,25.2,57.5,"2008年式 / VR 4WD / 46,000km / 東京都",2008年式,VR 4WD,"46,000km",東京都,manen
mitsubishi-pajero-mini,パジェロミニ,,2007,2007年式,root,root,61,1.8,50.5,19.4,16.5,9.7,23.5,50.5,"2007年式 / VR 4WD / 33,000km / 茨城県",2007年式,VR 4WD,"33,000km",茨城県,manen
mitsubishi-pajero-mini,パジェロミニ,,2006,2006年式,root,root,73,5.0,45.0,18.6,17.7,6.8,26.8,45.0,"2006年式 / アクティブフィールド エディション 4WD / 25,000km / 山口県",2006年式,アクティブフィールド エディション 4WD,"25,000km",山口県,manen
mitsubishi-pajero-mini,パジェロミニ,,2005,2005年式,root,root,61,5.0,48.5,17.8,16.3,10.2,24.7,48.5,"2005年式 / VR 4WD / 38,000km / 大分県",2005年式,VR 4WD,"38,000km",大分県,manen
mitsubishi-pajero-mini,パジェロミニ,,2004,2004年式,root,root,67,5.0,64.5,15.1,13.2,5.0,20.4,64.5,"2004年式 / VR 4WD / 77,000km / 神奈川県",2004年式,VR 4WD,"77,000km",神奈川県,manen
mitsubishi-pajero-mini,パジェロミニ,,2003,2003年式,root,root,49,5.0,35.0,16.9,16.5,7.8,24.1,35.0,"2003年式 / VR 4WD / 53,000km / 石川県",2003年式,VR 4WD,"53,000km",石川県,manen
mitsubishi-pajero-mini,パジェロミニ,,2002,2002年式,root,root,29,5.0,35.0,12.5,9.8,5.0,17.9,35.0,"2002年式 / VR 4WD / 47,000km / 兵庫県",2002年式,VR 4WD,"47,000km",兵庫県,manen
mitsubishi-pajero-mini,パジェロミニ,,2001,2001年式,root,root,21,5.0,26.5,11.9,8.0,5.0,15.8,26.5,"2001年式 / V 4WD / 19,000km / 福井県",2001年式,V 4WD,"19,000km",福井県,manen
mitsubishi-pajero-mini,パジェロミニ,,2000,2000年式,root,root,17,5.0,36.3,13.9,11.4,5.0,20.7,36.3,"2000年式 / スヌーピー エディション 4WD / 57,000km / 鳥取県",2000年式,スヌーピー エディション 4WD,"57,000km",鳥取県,manen
mitsubishi-pajero-mini,パジェロミニ,,1999,1999年式,root,root,29,5.0,34.2,14.3,15.8,5.0,18.9,34.2,"1999年式 / デューク 4WD / 84,000km / 宮崎県",1999年式,デューク 4WD,"84,000km",宮崎県,manen
mitsubishi-pajero-mini,パジェロミニ,,1998,1998年式,root,root,25,5.0,28.0,13.8,13.8,6.0,21.4,28.0,"1998年式 / V 4WD / 56,000km / 秋田県",1998年式,V 4WD,"56,000km",秋田県,manen
mitsubishi-pajero-mini,パジェロミニ,,1997,1997年式,root,root,17,5.0,27.4,16.0,16.8,13.6,17.5,27.4,"1997年式 / V 4WD / 37,000km / 山梨県",1997年式,V 4WD,"37,000km",山梨県,manen
mitsubishi-pajero-mini,パジェロミニ,,1996,1996年式,root,root,34,5.0,46.8,17.7,16.6,11.6,23.7,46.8,"1996年式 / アイアンクロス V 4WD / 56,000km / 愛媛県",1996年式,アイアンクロス V 4WD,"56,000km",愛媛県,manen
mitsubishi-pajero-mini,パジェロミニ,,1995,1995年式,root,root,12,5.0,24.1,14.5,14.7,13.0,16.2,24.1,"1995年式 / VR-II 4WD / 82,000km / 埼玉県",1995年式,VR-II 4WD,"82,000km",埼玉県,manen
mitsubishi-pajero-mini,パジェロミニ,,1994,1994年式,root,root,14,1.8,35.0,20.0,18.3,14.7,25.8,35.0,1994年式 / VR-I 4WD / 9万km / 長崎県,1994年式,VR-I 4WD,9万km,長崎県,manen
