model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-pajero,パジェロ,root,root,0万km,0,0,22,15.6,200.5,36.4,27.9,24.6,31.5,200.5,2015年式 / 3.2 ロング エクシード ディーゼル 4WD / 0万km / 東京都,2015年式,3.2 ロング エクシード ディーゼル 4WD,0万km,東京都,manen
mitsubishi-pajero,パジェロ,root,root,"5,000km",5000,5000,1,185.0,185.0,185.0,185.0,185.0,185.0,185.0,"2014年式 / 3.0 ショート VR-I 4WD / 5,000km / 福井県",2014年式,3.0 ショート VR-I 4WD,"5,000km",福井県,manen
mitsubishi-pajero,パジェロ,root,root,"13,000km",13000,13000,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,"2003年式 / 3.2 ショート エクシードI ディーゼル 4WD / 13,000km / 宮崎県",2003年式,3.2 ショート エクシードI ディーゼル 4WD,"13,000km",宮崎県,manen
mitsubishi-pajero,パジェロ,root,root,"14,000km",14000,14000,1,26.5,26.5,26.5,26.5,26.5,26.5,26.5,"2005年式 / 3.0 アクティブフィールドエディション 4WD / 14,000km / 山梨県",2005年式,3.0 アクティブフィールドエディション 4WD,"14,000km",山梨県,manen
mitsubishi-pajero,パジェロ,root,root,"15,000km",15000,15000,1,27.5,27.5,27.5,27.5,27.5,27.5,27.5,"2004年式 / 3.0 ロング エクシード 4WD / 15,000km / 長野県",2004年式,3.0 ロング エクシード 4WD,"15,000km",長野県,manen
mitsubishi-pajero,パジェロ,root,root,"19,000km",19000,19000,1,33.0,33.0,33.0,33.0,33.0,33.0,33.0,"1992年式 / 3.0 メタルトップ ワイド VR 4WD / 19,000km / 山形県",1992年式,3.0 メタルトップ ワイド VR 4WD,"19,000km",山形県,manen
mitsubishi-pajero,パジェロ,root,root,2万km,20000,20000,1,216.7,216.7,216.7,216.7,216.7,216.7,216.7,2015年式 / 3.2 ショート VR-II ディーゼル 4WD / 2万km / 宮城県,2015年式,3.2 ショート VR-II ディーゼル 4WD,2万km,宮城県,manen
mitsubishi-pajero,パジェロ,root,root,"22,000km",22000,22000,1,229.0,229.0,229.0,229.0,229.0,229.0,229.0,"2013年式 / 3.2 ショート エクシード ディーゼル 4WD / 22,000km / 富山県",2013年式,3.2 ショート エクシード ディーゼル 4WD,"22,000km",富山県,manen
mitsubishi-pajero,パジェロ,root,root,"24,000km",24000,24000,1,39.8,39.8,39.8,39.8,39.8,39.8,39.8,"2013年式 / 3.0 ロング GR 4WD / 24,000km / 香川県",2013年式,3.0 ロング GR 4WD,"24,000km",香川県,manen
mitsubishi-pajero,パジェロ,root,root,"26,000km",26000,26000,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,"2009年式 / 3.0 ロング エクシード 4WD / 26,000km / 富山県",2009年式,3.0 ロング エクシード 4WD,"26,000km",富山県,manen
