model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-pajero,パジェロ,,2019,2019年式,root,root,1,195.5,195.5,195.5,195.5,195.5,195.5,195.5,"2019年式 / 3.2 ロング ファイナル エディション ディーゼル 4WD / 151,000km / 鹿児島県",2019年式,3.2 ロング ファイナル エディション ディーゼル 4WD,"151,000km",鹿児島県,manen
mitsubishi-pajero,パジェロ,,2018,2018年式,root,root,8,97.5,246.9,159.3,152.9,100.0,183.0,246.9,"2018年式 / 3.2 ロング エクシード ディーゼル 4WD / 66,000km / 奈良県",2018年式,3.2 ロング エクシード ディーゼル 4WD,"66,000km",奈良県,manen
mitsubishi-pajero,パジェロ,,2017,2017年式,root,root,13,138.5,244.2,192.7,198.5,168.0,212.5,244.2,"2017年式 / 3.2 ショート エクシード ディーゼル 4WD / 91,000km / 宮城県",2017年式,3.2 ショート エクシード ディーゼル 4WD,"91,000km",宮城県,manen
mitsubishi-pajero,パジェロ,,2016,2016年式,root,root,31,54.1,231.0,149.8,145.5,115.0,194.5,231.0,"2016年式 / 3.2 ロング エクシード ディーゼル 4WD / 91,000km / 沖縄県",2016年式,3.2 ロング エクシード ディーゼル 4WD,"91,000km",沖縄県,manen
mitsubishi-pajero,パジェロ,,2015,2015年式,root,root,36,62.0,246.0,145.5,140.0,96.0,187.5,246.0,"2015年式 / 3.2 ショート スーパーエクシード MMCS仕様 ディーゼル 4WD / 89,000km / 秋田県",2015年式,3.2 ショート スーパーエクシード MMCS仕様 ディーゼル 4WD,"89,000km",秋田県,manen
mitsubishi-pajero,パジェロ,,2014,2014年式,root,root,43,41.4,239.4,134.3,132.5,99.0,180.0,239.4,"2014年式 / 3.2 ショート エクシード ディーゼル 4WD / 41,000km / 千葉県",2014年式,3.2 ショート エクシード ディーゼル 4WD,"41,000km",千葉県,manen
mitsubishi-pajero,パジェロ,,2013,2013年式,root,root,50,39.8,229.5,116.3,115.5,82.0,147.0,229.5,"2013年式 / 3.2 ショート エクシード ディーゼル 4WD / 58,000km / 熊本県",2013年式,3.2 ショート エクシード ディーゼル 4WD,"58,000km",熊本県,manen
mitsubishi-pajero,パジェロ,,2012,2012年式,root,root,58,40.0,245.0,103.1,87.8,70.2,128.4,245.0,"2012年式 / 3.2 ショート スーパーエクシード ディーゼル 4WD / 58,000km / 東京都",2012年式,3.2 ショート スーパーエクシード ディーゼル 4WD,"58,000km",東京都,manen
mitsubishi-pajero,パジェロ,,2011,2011年式,root,root,67,8.8,172.0,80.3,70.5,60.0,101.5,172.0,"2011年式 / 3.0 ショート VR-I 4WD / 35,000km / 徳島県",2011年式,3.0 ショート VR-I 4WD,"35,000km",徳島県,manen
mitsubishi-pajero,パジェロ,,2010,2010年式,root,root,72,5.0,190.0,77.1,72.2,57.0,90.5,190.0,"2010年式 / 3.2 ロング GR ディーゼル 4WD / 74,000km / 島根県",2010年式,3.2 ロング GR ディーゼル 4WD,"74,000km",島根県,manen
mitsubishi-pajero,パジェロ,,2009,2009年式,root,root,62,17.7,151.2,69.4,63.4,53.9,78.7,151.2,"2009年式 / 3.8 ロング スーパーエクシード 4WD / 37,000km / 愛媛県",2009年式,3.8 ロング スーパーエクシード 4WD,"37,000km",愛媛県,manen
mitsubishi-pajero,パジェロ,,2008,2008年式,root,root,68,30.5,110.2,58.6,55.0,47.5,65.9,110.2,"2008年式 / 3.2 ショート エクシード ディーゼル 4WD / 107,000km / 香川県",2008年式,3.2 ショート エクシード ディーゼル 4WD,"107,000km",香川県,manen
mitsubishi-pajero,パジェロ,,2007,2007年式,root,root,88,24.0,121.5,57.9,55.0,44.0,63.5,121.5,"2007年式 / 3.0 ロング GR 4WD / 96,000km / 岡山県",2007年式,3.0 ロング GR 4WD,"96,000km",岡山県,manen
mitsubishi-pajero,パジェロ,,2006,2006年式,root,root,64,8.2,90.5,45.3,44.0,32.5,53.0,90.5,"2006年式 / 3.8 ショート スーパーエクシード 4WD / 58,000km / 徳島県",2006年式,3.8 ショート スーパーエクシード 4WD,"58,000km",徳島県,manen
mitsubishi-pajero,パジェロ,,2005,2005年式,root,root,41,20.5,65.7,34.4,30.5,27.0,40.0,65.7,"2005年式 / 3.0 ロング エクシード 4WD / 109,000km / 愛知県",2005年式,3.0 ロング エクシード 4WD,"109,000km",愛知県,manen
mitsubishi-pajero,パジェロ,,2004,2004年式,root,root,46,3.0,62.1,30.2,30.2,26.8,32.7,62.1,"2004年式 / 3.0 アクティブフィールドエディション 4WD / 64,000km / 滋賀県",2004年式,3.0 アクティブフィールドエディション 4WD,"64,000km",滋賀県,manen
mitsubishi-pajero,パジェロ,,2003,2003年式,root,root,29,2.7,59.0,29.0,28.5,23.5,30.9,59.0,"2003年式 / 3.2 ショート エクシード ディーゼル 4WD / 133,000km / 佐賀県",2003年式,3.2 ショート エクシード ディーゼル 4WD,"133,000km",佐賀県,manen
mitsubishi-pajero,パジェロ,,2002,2002年式,root,root,29,15.6,78.0,31.6,30.8,24.1,35.0,78.0,"2002年式 / 3.0 ロング ZR ベーシックパッケージ 4WD / 59,000km / 福井県",2002年式,3.0 ロング ZR ベーシックパッケージ 4WD,"59,000km",福井県,manen
mitsubishi-pajero,パジェロ,,2001,2001年式,root,root,26,16.9,47.5,32.0,31.1,26.2,37.0,47.5,"2001年式 / 3.2 ショート エクシード ディーゼル 4WD / 244,000km / 山梨県",2001年式,3.2 ショート エクシード ディーゼル 4WD,"244,000km",山梨県,manen
mitsubishi-pajero,パジェロ,,2000,2000年式,root,root,20,23.7,76.5,41.1,34.4,30.5,43.2,76.5,"2000年式 / 3.2 ショート エクシード ディーゼル 4WD / 97,000km / 鹿児島県",2000年式,3.2 ショート エクシード ディーゼル 4WD,"97,000km",鹿児島県,manen
mitsubishi-pajero,パジェロ,,1999,1999年式,root,root,27,11.1,135.2,42.2,36.5,25.9,48.5,135.2,"1999年式 / 2.8 ミッドルーフ ワイド ジオマスター ディーゼル 4WD / 121,000km / 静岡県",1999年式,2.8 ミッドルーフ ワイド ジオマスター ディーゼル 4WD,"121,000km",静岡県,manen
