model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-proudia,プラウディア,root,root,1万km,10000,10000,2,57.5,63.0,60.2,60.2,57.5,63.0,63.0,1999年式 / 3.5 B仕様 / 1万km / 熊本県,1999年式,3.5 B仕様,1万km,熊本県,manen
mitsubishi-proudia,プラウディア,root,root,"14,000km",14000,14000,1,133.0,133.0,133.0,133.0,133.0,133.0,133.0,"2016年式 / 3.7 370 4WD / 14,000km / 兵庫県",2016年式,3.7 370 4WD,"14,000km",兵庫県,manen
mitsubishi-proudia,プラウディア,root,root,"21,000km",21000,21000,3,79.5,128.6,105.0,106.8,79.5,128.6,128.6,"2011年式 / 2.5 250 / 21,000km / 富山県",2011年式,2.5 250,"21,000km",富山県,manen
mitsubishi-proudia,プラウディア,root,root,"24,000km",24000,24000,1,129.6,129.6,129.6,129.6,129.6,129.6,129.6,"2013年式 / 3.7 370 4WD / 24,000km / 佐賀県",2013年式,3.7 370 4WD,"24,000km",佐賀県,manen
mitsubishi-proudia,プラウディア,root,root,"29,000km",29000,29000,2,43.9,127.2,85.5,85.5,43.9,127.2,127.2,"2013年式 / 2.5 250 VIP / 29,000km / 三重県",2013年式,2.5 250 VIP,"29,000km",三重県,manen
mitsubishi-proudia,プラウディア,root,root,"31,000km",31000,31000,1,77.0,77.0,77.0,77.0,77.0,77.0,77.0,"2013年式 / 2.5 250 / 31,000km / 埼玉県",2013年式,2.5 250,"31,000km",埼玉県,manen
mitsubishi-proudia,プラウディア,root,root,"41,000km",41000,41000,1,35.4,35.4,35.4,35.4,35.4,35.4,35.4,"1999年式 / 4.5 C仕様 / 41,000km / 富山県",1999年式,4.5 C仕様,"41,000km",富山県,manen
mitsubishi-proudia,プラウディア,root,root,"42,000km",42000,42000,2,25.5,27.0,26.2,26.2,25.5,27.0,27.0,"1999年式 / 3.5 B仕様 / 42,000km / 愛媛県",1999年式,3.5 B仕様,"42,000km",愛媛県,manen
mitsubishi-proudia,プラウディア,root,root,"43,000km",43000,43000,1,41.0,41.0,41.0,41.0,41.0,41.0,41.0,"2000年式 / 3.5 A仕様 / 43,000km / 大阪府",2000年式,3.5 A仕様,"43,000km",大阪府,manen
mitsubishi-proudia,プラウディア,root,root,"47,000km",47000,47000,1,130.8,130.8,130.8,130.8,130.8,130.8,130.8,"2016年式 / 3.7 370VIP / 47,000km / 福岡県",2016年式,3.7 370VIP,"47,000km",福岡県,manen
mitsubishi-proudia,プラウディア,root,root,5万km,50000,50000,1,112.5,112.5,112.5,112.5,112.5,112.5,112.5,2012年式 / 3.7 370VIP / 5万km / 栃木県,2012年式,3.7 370VIP,5万km,栃木県,manen
