model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-town-box,タウンボックス,root,root,0万km,0,0,7,8.1,118.5,53.3,30.5,13.2,96.5,118.5,2022年式 / G スペシャル ハイルーフ / 0万km / 岐阜県,2022年式,G スペシャル ハイルーフ,0万km,岐阜県,manen
mitsubishi-town-box,タウンボックス,root,root,"2,000km",2000,2000,1,110.0,110.0,110.0,110.0,110.0,110.0,110.0,"2014年式 / G / 2,000km / 佐賀県",2014年式,G,"2,000km",佐賀県,manen
mitsubishi-town-box,タウンボックス,root,root,"5,000km",5000,5000,3,31.0,110.5,59.1,35.8,31.0,110.5,110.5,"2014年式 / G スペシャル ハイルーフ / 5,000km / 山形県",2014年式,G スペシャル ハイルーフ,"5,000km",山形県,manen
mitsubishi-town-box,タウンボックス,root,root,"6,000km",6000,6000,1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,"2006年式 / RX ハイルーフ / 6,000km / 和歌山県",2006年式,RX ハイルーフ,"6,000km",和歌山県,manen
mitsubishi-town-box,タウンボックス,root,root,"7,000km",7000,7000,3,21.9,112.0,80.0,106.0,21.9,112.0,112.0,"2015年式 / G スペシャル ハイルーフ / 7,000km / 福岡県",2015年式,G スペシャル ハイルーフ,"7,000km",福岡県,manen
mitsubishi-town-box,タウンボックス,root,root,"8,000km",8000,8000,3,27.0,94.0,51.7,34.0,27.0,94.0,94.0,"2017年式 / G / 8,000km / 愛知県",2017年式,G,"8,000km",愛知県,manen
mitsubishi-town-box,タウンボックス,root,root,"9,000km",9000,9000,1,29.5,29.5,29.5,29.5,29.5,29.5,29.5,"2007年式 / RX ラグジュアリーパッケージ ハイルーフ 4WD / 9,000km / 長崎県",2007年式,RX ラグジュアリーパッケージ ハイルーフ 4WD,"9,000km",長崎県,manen
mitsubishi-town-box,タウンボックス,root,root,1万km,10000,10000,3,36.0,116.9,81.4,91.3,36.0,116.9,116.9,2015年式 / G 4WD / 1万km / 高知県,2015年式,G 4WD,1万km,高知県,manen
mitsubishi-town-box,タウンボックス,root,root,"11,000km",11000,11000,4,42.6,110.0,84.5,92.7,87.7,97.7,110.0,"2019年式 / G / 11,000km / 福井県",2019年式,G,"11,000km",福井県,manen
mitsubishi-town-box,タウンボックス,root,root,"12,000km",12000,12000,2,92.5,103.0,97.8,97.8,92.5,103.0,103.0,"2014年式 / G スペシャル ハイルーフ / 12,000km / 沖縄県",2014年式,G スペシャル ハイルーフ,"12,000km",沖縄県,manen
mitsubishi-town-box,タウンボックス,root,root,"13,000km",13000,13000,4,12.9,104.0,50.0,41.6,41.6,41.6,104.0,"2016年式 / G / 13,000km / 神奈川県",2016年式,G,"13,000km",神奈川県,manen
mitsubishi-town-box,タウンボックス,root,root,"14,000km",14000,14000,3,37.3,99.0,69.6,72.5,37.3,99.0,99.0,"2016年式 / G スペシャル ハイルーフ / 14,000km / 東京都",2016年式,G スペシャル ハイルーフ,"14,000km",東京都,manen
mitsubishi-town-box,タウンボックス,root,root,"15,000km",15000,15000,2,80.9,105.3,93.1,93.1,80.9,105.3,105.3,"2017年式 / G スペシャル ハイルーフ / 15,000km / 山形県",2017年式,G スペシャル ハイルーフ,"15,000km",山形県,manen
mitsubishi-town-box,タウンボックス,root,root,"16,000km",16000,16000,8,12.9,120.5,81.4,105.9,42.5,112.5,120.5,"2021年式 / G 4WD / 16,000km / 鹿児島県",2021年式,G 4WD,"16,000km",鹿児島県,manen
mitsubishi-town-box,タウンボックス,root,root,"17,000km",17000,17000,5,32.7,103.7,66.2,65.0,32.7,97.1,103.7,"2019年式 / G ハイルーフ / 17,000km / 兵庫県",2019年式,G ハイルーフ,"17,000km",兵庫県,manen
mitsubishi-town-box,タウンボックス,root,root,"18,000km",18000,18000,2,32.3,78.0,55.1,55.1,32.3,78.0,78.0,"2019年式 / G / 18,000km / 静岡県",2019年式,G,"18,000km",静岡県,manen
mitsubishi-town-box,タウンボックス,root,root,"19,000km",19000,19000,8,19.5,119.4,79.4,100.6,34.8,113.9,119.4,"2015年式 / G スペシャル ハイルーフ / 19,000km / 鹿児島県",2015年式,G スペシャル ハイルーフ,"19,000km",鹿児島県,manen
mitsubishi-town-box,タウンボックス,root,root,2万km,20000,20000,5,37.0,112.2,91.6,98.9,98.5,111.5,112.2,2018年式 / G 4WD / 2万km / 沖縄県,2018年式,G 4WD,2万km,沖縄県,manen
mitsubishi-town-box,タウンボックス,root,root,"21,000km",21000,21000,3,39.5,102.5,80.2,98.5,39.5,102.5,102.5,"2016年式 / G / 21,000km / 青森県",2016年式,G,"21,000km",青森県,manen
mitsubishi-town-box,タウンボックス,root,root,"22,000km",22000,22000,4,29.4,116.1,71.8,70.9,33.3,108.5,116.1,"2015年式 / G スペシャル ハイルーフ 4WD / 22,000km / 長野県",2015年式,G スペシャル ハイルーフ 4WD,"22,000km",長野県,manen
mitsubishi-town-box,タウンボックス,root,root,"23,000km",23000,23000,4,8.2,113.5,65.8,70.8,35.3,106.3,113.5,"2015年式 / G スペシャル ハイルーフ 4WD / 23,000km / 島根県",2015年式,G スペシャル ハイルーフ 4WD,"23,000km",島根県,manen
mitsubishi-town-box,タウンボックス,root,root,"24,000km",24000,24000,1,68.5,68.5,68.5,68.5,68.5,68.5,68.5,"2014年式 / G スペシャル ハイルーフ / 24,000km / 徳島県",2014年式,G スペシャル ハイルーフ,"24,000km",徳島県,manen
mitsubishi-town-box,タウンボックス,root,root,"25,000km",25000,25000,3,15.4,120.0,51.1,18.0,15.4,120.0,120.0,"2017年式 / G スペシャル ハイルーフ 4WD / 25,000km / 高知県",2017年式,G スペシャル ハイルーフ 4WD,"25,000km",高知県,manen
mitsubishi-town-box,タウンボックス,root,root,"26,000km",26000,26000,3,70.5,101.5,87.8,91.5,70.5,101.5,101.5,"2014年式 / G スペシャル ハイルーフ / 26,000km / 千葉県",2014年式,G スペシャル ハイルーフ,"26,000km",千葉県,manen
mitsubishi-town-box,タウンボックス,root,root,"27,000km",27000,27000,8,20.1,116.1,62.6,59.8,24.0,87.0,116.1,"2014年式 / G 4WD / 27,000km / 群馬県",2014年式,G 4WD,"27,000km",群馬県,manen
mitsubishi-town-box,タウンボックス,root,root,"28,000km",28000,28000,1,98.0,98.0,98.0,98.0,98.0,98.0,98.0,"2018年式 / G / 28,000km / 大阪府",2018年式,G,"28,000km",大阪府,manen
mitsubishi-town-box,タウンボックス,root,root,"29,000km",29000,29000,16,11.1,109.9,59.6,45.0,33.0,101.1,109.9,"2019年式 / G 4WD / 29,000km / 奈良県",2019年式,G 4WD,"29,000km",奈良県,manen
mitsubishi-town-box,タウンボックス,root,root,3万km,30000,30000,5,56.0,105.5,84.9,89.8,79.0,94.2,105.5,2014年式 / G / 3万km / 秋田県,2014年式,G,3万km,秋田県,manen
mitsubishi-town-box,タウンボックス,root,root,"31,000km",31000,31000,6,69.5,105.5,93.2,94.7,89.5,105.5,105.5,"2020年式 / G ハイルーフ / 31,000km / 鹿児島県",2020年式,G ハイルーフ,"31,000km",鹿児島県,manen
mitsubishi-town-box,タウンボックス,root,root,"32,000km",32000,32000,5,27.6,95.9,61.4,66.0,32.7,84.8,95.9,"2016年式 / G 4WD / 32,000km / 千葉県",2016年式,G 4WD,"32,000km",千葉県,manen
mitsubishi-town-box,タウンボックス,root,root,"33,000km",33000,33000,8,25.6,99.5,66.0,73.2,61.5,80.5,99.5,"2019年式 / G / 33,000km / 和歌山県",2019年式,G,"33,000km",和歌山県,manen
mitsubishi-town-box,タウンボックス,root,root,"34,000km",34000,34000,8,26.5,93.0,52.0,48.9,37.5,63.5,93.0,"2016年式 / G / 34,000km / 青森県",2016年式,G,"34,000km",青森県,manen
mitsubishi-town-box,タウンボックス,root,root,"35,000km",35000,35000,3,15.6,98.0,50.9,39.0,15.6,98.0,98.0,"2014年式 / G スペシャル ハイルーフ / 35,000km / 佐賀県",2014年式,G スペシャル ハイルーフ,"35,000km",佐賀県,manen
mitsubishi-town-box,タウンボックス,root,root,"36,000km",36000,36000,10,15.6,114.0,38.6,22.2,15.7,46.1,114.0,"2022年式 / G 4WD / 36,000km / 青森県",2022年式,G 4WD,"36,000km",青森県,manen
mitsubishi-town-box,タウンボックス,root,root,"37,000km",37000,37000,9,15.4,116.0,76.5,104.5,32.8,114.0,116.0,"2017年式 / G 4WD / 37,000km / 東京都",2017年式,G 4WD,"37,000km",東京都,manen
mitsubishi-town-box,タウンボックス,root,root,"38,000km",38000,38000,4,5.0,114.9,76.5,93.0,85.4,100.7,114.9,"2014年式 / G スペシャル ハイルーフ 4WD / 38,000km / 新潟県",2014年式,G スペシャル ハイルーフ 4WD,"38,000km",新潟県,manen
mitsubishi-town-box,タウンボックス,root,root,"39,000km",39000,39000,13,14.4,109.2,42.7,21.0,17.0,87.1,109.2,"2019年式 / G 4WD / 39,000km / 山形県",2019年式,G 4WD,"39,000km",山形県,manen
mitsubishi-town-box,タウンボックス,root,root,4万km,40000,40000,5,6.0,94.9,50.7,32.4,26.4,94.0,94.9,2014年式 / G スペシャル ハイルーフ 4WD / 4万km / 熊本県,2014年式,G スペシャル ハイルーフ 4WD,4万km,熊本県,manen
mitsubishi-town-box,タウンボックス,root,root,"41,000km",41000,41000,13,7.6,115.5,42.1,29.0,20.7,54.2,115.5,"2020年式 / G 4WD / 41,000km / 沖縄県",2020年式,G 4WD,"41,000km",沖縄県,manen
mitsubishi-town-box,タウンボックス,root,root,"42,000km",42000,42000,7,19.8,65.8,33.8,23.2,21.8,39.9,65.8,"2015年式 / G / 42,000km / 奈良県",2015年式,G,"42,000km",奈良県,manen
mitsubishi-town-box,タウンボックス,root,root,"43,000km",43000,43000,10,6.7,98.5,41.6,29.6,18.3,63.7,98.5,"2017年式 / G スペシャル ハイルーフ / 43,000km / 熊本県",2017年式,G スペシャル ハイルーフ,"43,000km",熊本県,manen
mitsubishi-town-box,タウンボックス,root,root,"44,000km",44000,44000,6,24.0,97.5,70.2,83.8,36.6,95.5,97.5,"2016年式 / G スペシャル ハイルーフ / 44,000km / 山梨県",2016年式,G スペシャル ハイルーフ,"44,000km",山梨県,manen
mitsubishi-town-box,タウンボックス,root,root,"45,000km",45000,45000,9,11.4,101.5,57.2,43.6,31.1,87.0,101.5,"2019年式 / G 4WD / 45,000km / 滋賀県",2019年式,G 4WD,"45,000km",滋賀県,manen
mitsubishi-town-box,タウンボックス,root,root,"46,000km",46000,46000,5,12.3,83.5,40.9,17.5,14.0,77.0,83.5,"2015年式 / G / 46,000km / 新潟県",2015年式,G,"46,000km",新潟県,manen
mitsubishi-town-box,タウンボックス,root,root,"47,000km",47000,47000,14,17.5,113.0,54.7,42.0,24.9,92.9,113.0,"2017年式 / G 4WD / 47,000km / 宮城県",2017年式,G 4WD,"47,000km",宮城県,manen
mitsubishi-town-box,タウンボックス,root,root,"48,000km",48000,48000,10,8.1,100.0,42.9,39.3,16.0,67.5,100.0,"2015年式 / G 4WD / 48,000km / 和歌山県",2015年式,G 4WD,"48,000km",和歌山県,manen
mitsubishi-town-box,タウンボックス,root,root,"49,000km",49000,49000,10,15.6,90.6,41.0,33.2,21.3,49.0,90.6,"2021年式 / G / 49,000km / 鹿児島県",2021年式,G,"49,000km",鹿児島県,manen
mitsubishi-town-box,タウンボックス,root,root,5万km,50000,50000,9,15.9,74.5,46.3,38.6,36.0,69.2,74.5,2015年式 / G / 5万km / 岡山県,2015年式,G,5万km,岡山県,manen
mitsubishi-town-box,タウンボックス,root,root,"51,000km",51000,51000,13,15.5,104.4,55.3,37.2,24.5,94.9,104.4,"2020年式 / G ハイルーフ 4WD / 51,000km / 山形県",2020年式,G ハイルーフ 4WD,"51,000km",山形県,manen
