model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-town-box,タウンボックス,,2022,2022年式,root,root,5,80.5,118.5,104.2,114.0,93.6,114.5,118.5,2022年式 / G スペシャル ハイルーフ / 0万km / 岐阜県,2022年式,G スペシャル ハイルーフ,0万km,岐阜県,manen
mitsubishi-town-box,タウンボックス,,2021,2021年式,root,root,6,85.5,120.5,97.5,94.2,89.5,100.7,120.5,"2021年式 / G 4WD / 16,000km / 鹿児島県",2021年式,G 4WD,"16,000km",鹿児島県,manen
mitsubishi-town-box,タウンボックス,,2020,2020年式,root,root,16,66.5,115.5,98.2,100.3,95.5,104.4,115.5,"2020年式 / G 4WD / 41,000km / 沖縄県",2020年式,G 4WD,"41,000km",沖縄県,manen
mitsubishi-town-box,タウンボックス,,2019,2019年式,root,root,23,45.0,116.5,82.9,80.9,67.2,99.5,116.5,"2019年式 / G / 19,000km / 鹿児島県",2019年式,G,"19,000km",鹿児島県,manen
mitsubishi-town-box,タウンボックス,,2018,2018年式,root,root,29,29.4,114.0,80.6,86.1,64.0,100.5,114.0,"2018年式 / G / 37,000km / 沖縄県",2018年式,G,"37,000km",沖縄県,manen
mitsubishi-town-box,タウンボックス,,2017,2017年式,root,root,39,7.6,120.0,69.5,69.2,47.2,92.5,120.0,"2017年式 / G スペシャル ハイルーフ 4WD / 25,000km / 高知県",2017年式,G スペシャル ハイルーフ 4WD,"25,000km",高知県,manen
mitsubishi-town-box,タウンボックス,,2016,2016年式,root,root,46,20.5,113.9,63.9,60.0,37.1,91.5,113.9,"2016年式 / G スペシャル ハイルーフ 4WD / 19,000km / 埼玉県",2016年式,G スペシャル ハイルーフ 4WD,"19,000km",埼玉県,manen
mitsubishi-town-box,タウンボックス,,2015,2015年式,root,root,75,18.6,119.4,66.3,67.5,50.3,78.5,119.4,"2015年式 / G スペシャル ハイルーフ / 19,000km / 鹿児島県",2015年式,G スペシャル ハイルーフ,"19,000km",鹿児島県,manen
mitsubishi-town-box,タウンボックス,,2014,2014年式,root,root,91,11.1,116.1,62.1,59.0,39.5,79.0,116.1,"2014年式 / G 4WD / 27,000km / 群馬県",2014年式,G 4WD,"27,000km",群馬県,manen
mitsubishi-town-box,タウンボックス,,2013,2013年式,root,root,21,40.2,97.1,66.0,63.0,55.7,79.2,97.1,"2013年式 / G スペシャル ハイルーフ / 17,000km / 滋賀県",2013年式,G スペシャル ハイルーフ,"17,000km",滋賀県,manen
mitsubishi-town-box,タウンボックス,,2012,2012年式,root,root,4,14.5,44.9,28.8,27.9,21.2,34.5,44.9,"2012年式 / LX ハイルーフ / 47,000km / 山形県",2012年式,LX ハイルーフ,"47,000km",山形県,manen
mitsubishi-town-box,タウンボックス,,2011,2011年式,root,root,59,5.0,56.0,22.8,19.2,15.8,29.8,56.0,"2011年式 / RX サンルーフ 4WD / 34,000km / 島根県",2011年式,RX サンルーフ 4WD,"34,000km",島根県,manen
mitsubishi-town-box,タウンボックス,,2010,2010年式,root,root,103,5.0,63.4,25.9,24.5,17.8,34.8,63.4,"2010年式 / LX エクシードパッケージ ハイルーフ 4WD / 65,000km / 宮崎県",2010年式,LX エクシードパッケージ ハイルーフ 4WD,"65,000km",宮崎県,manen
mitsubishi-town-box,タウンボックス,,2009,2009年式,root,root,78,5.0,51.0,22.3,20.5,15.0,27.9,51.0,"2009年式 / RX ハイルーフ 4WD / 58,000km / 島根県",2009年式,RX ハイルーフ 4WD,"58,000km",島根県,manen
