model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-cube,キューブ,,2022,2022年式,root,root,1,54.9,54.9,54.9,54.9,54.9,54.9,54.9,"2022年式 / 1.4 BX / 42,000km / 新潟県",2022年式,1.4 BX,"42,000km",新潟県,manen
nissan-cube,キューブ,,2021,2021年式,root,root,1,49.9,49.9,49.9,49.9,49.9,49.9,49.9,"2021年式 / 1.4 SX 4WD / 72,000km / 富山県",2021年式,1.4 SX 4WD,"72,000km",富山県,manen
nissan-cube,キューブ,,2020,2020年式,root,root,1,38.6,38.6,38.6,38.6,38.6,38.6,38.6,"2020年式 / 1.4 BX / 91,000km / 石川県",2020年式,1.4 BX,"91,000km",石川県,manen
nissan-cube,キューブ,,2019,2019年式,root,root,56,14.3,71.7,47.2,47.2,34.5,60.7,71.7,"2019年式 / 1.5 15X Vセレクション マイ キューブ / 31,000km / 岩手県",2019年式,1.5 15X Vセレクション マイ キューブ,"31,000km",岩手県,manen
nissan-cube,キューブ,,2018,2018年式,root,root,79,5.9,69.5,39.6,35.7,29.5,49.0,69.5,"2018年式 / 1.5 15X Vセレクション / 51,000km / 宮城県",2018年式,1.5 15X Vセレクション,"51,000km",宮城県,manen
nissan-cube,キューブ,,2017,2017年式,root,root,101,10.5,67.0,35.4,32.1,24.4,45.0,67.0,"2017年式 / 1.5 15X Vセレクション / 27,000km / 熊本県",2017年式,1.5 15X Vセレクション,"27,000km",熊本県,manen
nissan-cube,キューブ,,2016,2016年式,root,root,103,5.0,71.0,31.5,28.0,23.4,35.7,71.0,"2016年式 / 1.5 ライダー ブラックライン / 25,000km / 鳥取県",2016年式,1.5 ライダー ブラックライン,"25,000km",鳥取県,manen
nissan-cube,キューブ,,2015,2015年式,root,root,100,1.6,66.0,28.3,24.4,20.6,34.6,66.0,"2015年式 / 1.5 15X Vセレクション / 43,000km / 徳島県",2015年式,1.5 15X Vセレクション,"43,000km",徳島県,manen
nissan-cube,キューブ,,2014,2014年式,root,root,102,3.0,59.5,25.2,23.2,18.4,32.8,59.5,"2014年式 / 1.5 15X コダワリセレクション / 24,000km / 大阪府",2014年式,1.5 15X コダワリセレクション,"24,000km",大阪府,manen
nissan-cube,キューブ,,2013,2013年式,root,root,108,5.0,44.4,18.7,18.2,8.2,25.3,44.4,"2013年式 / 1.5 15X Vセレクション / 53,000km / 静岡県",2013年式,1.5 15X Vセレクション,"53,000km",静岡県,manen
nissan-cube,キューブ,,2012,2012年式,root,root,105,5.0,60.5,14.8,15.8,5.0,20.1,60.5,2012年式 / 1.5 アクシス 4WD / 7万km / 長崎県,2012年式,1.5 アクシス 4WD,7万km,長崎県,manen
nissan-cube,キューブ,,2011,2011年式,root,root,76,5.0,59.0,16.3,15.4,5.0,22.8,59.0,"2011年式 / 1.5 ライダー ブラックライン 4WD / 64,000km / 長崎県",2011年式,1.5 ライダー ブラックライン 4WD,"64,000km",長崎県,manen
nissan-cube,キューブ,,2010,2010年式,root,root,72,5.0,37.7,12.6,6.8,5.0,18.9,37.7,"2010年式 / 1.5 15X FOUR Vセレクション 4WD / 66,000km / 島根県",2010年式,1.5 15X FOUR Vセレクション 4WD,"66,000km",島根県,manen
nissan-cube,キューブ,,2009,2009年式,root,root,64,5.0,31.2,11.0,6.0,5.0,15.7,31.2,"2009年式 / 1.5 15X Mセレクション / 22,000km / 沖縄県",2009年式,1.5 15X Mセレクション,"22,000km",沖縄県,manen
nissan-cube,キューブ,,2008,2008年式,root,root,12,5.0,71.5,16.9,12.3,5.0,20.2,71.5,2008年式 / 1.5 15X Vセレクション / 7万km / 大分県,2008年式,1.5 15X Vセレクション,7万km,大分県,manen
nissan-cube,キューブ,,2007,2007年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2007年式 / 1.4 ライダー / 128,000km / 福岡県",2007年式,1.4 ライダー,"128,000km",福岡県,manen
nissan-cube,キューブ,,2006,2006年式,root,root,9,5.0,20.1,11.0,10.6,5.0,12.5,20.1,"2006年式 / 1.5 プラスコンラン / 66,000km / 徳島県",2006年式,1.5 プラスコンラン,"66,000km",徳島県,manen
nissan-cube,キューブ,,2005,2005年式,root,root,4,5.0,11.2,9.3,10.6,10.5,10.7,11.2,"2005年式 / 1.5 15M プラスナビHDD SP / 69,000km / 新潟県",2005年式,1.5 15M プラスナビHDD SP,"69,000km",新潟県,manen
nissan-cube,キューブ,,2004,2004年式,root,root,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2004年式 / 1.4 14RS / 113,000km / 北海道",2004年式,1.4 14RS,"113,000km",北海道,manen
nissan-cube,キューブ,,2003,2003年式,root,root,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2003年式 / 1.4 EX / 47,000km / 静岡県",2003年式,1.4 EX,"47,000km",静岡県,manen
nissan-cube,キューブ,,2002,2002年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2002年式 / 1.4 EX 4WD / 108,000km / 北海道",2002年式,1.4 EX 4WD,"108,000km",北海道,manen
