model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-elgrand,エルグランド,root,root,0万km,0,0,4,27.1,174.9,73.2,45.5,34.0,57.0,174.9,2016年式 / 3.5 350ハイウェイスター プレミアム アーバンクロム 4WD / 0万km / 青森県,2016年式,3.5 350ハイウェイスター プレミアム アーバンクロム 4WD,0万km,青森県,manen
nissan-elgrand,エルグランド,root,root,"1,000km",1000,1000,1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,"2015年式 / 2.5 250ハイウェイスターS 4WD / 1,000km / 茨城県",2015年式,2.5 250ハイウェイスターS 4WD,"1,000km",茨城県,manen
nissan-elgrand,エルグランド,root,root,"4,000km",4000,4000,1,129.4,129.4,129.4,129.4,129.4,129.4,129.4,"2017年式 / 2.5 250XG / 4,000km / 埼玉県",2017年式,2.5 250XG,"4,000km",埼玉県,manen
nissan-elgrand,エルグランド,root,root,"6,000km",6000,6000,4,163.5,267.0,189.8,164.4,163.5,165.4,267.0,"2020年式 / 2.5 250ハイウェイスター ホワイトレザー アーバンクロム / 6,000km / 兵庫県",2020年式,2.5 250ハイウェイスター ホワイトレザー アーバンクロム,"6,000km",兵庫県,manen
nissan-elgrand,エルグランド,root,root,"8,000km",8000,8000,1,285.0,285.0,285.0,285.0,285.0,285.0,285.0,"2022年式 / 2.5 250ハイウェイスターS / 8,000km / 青森県",2022年式,2.5 250ハイウェイスターS,"8,000km",青森県,manen
nissan-elgrand,エルグランド,root,root,"9,000km",9000,9000,1,292.0,292.0,292.0,292.0,292.0,292.0,292.0,"2023年式 / 2.5 250ハイウェイスターS アーバンクロム / 9,000km / 岩手県",2023年式,2.5 250ハイウェイスターS アーバンクロム,"9,000km",岩手県,manen
nissan-elgrand,エルグランド,root,root,"12,000km",12000,12000,2,28.6,293.2,160.9,160.9,28.6,293.2,293.2,"2024年式 / 2.5 250ハイウェイスターS アーバンクロム / 12,000km / 富山県",2024年式,2.5 250ハイウェイスターS アーバンクロム,"12,000km",富山県,manen
nissan-elgrand,エルグランド,root,root,"13,000km",13000,13000,2,169.0,210.2,189.6,189.6,169.0,210.2,210.2,"2018年式 / 2.5 250ハイウェイスター プレミアム アーバンクロム / 13,000km / 愛媛県",2018年式,2.5 250ハイウェイスター プレミアム アーバンクロム,"13,000km",愛媛県,manen
nissan-elgrand,エルグランド,root,root,"14,000km",14000,14000,2,66.4,180.5,123.5,123.5,66.4,180.5,180.5,"2016年式 / 3.5 350ハイウェイスター / 14,000km / 鳥取県",2016年式,3.5 350ハイウェイスター,"14,000km",鳥取県,manen
nissan-elgrand,エルグランド,root,root,"15,000km",15000,15000,3,239.7,263.9,251.1,249.8,239.7,263.9,263.9,"2020年式 / 2.5 250ハイウェイスターS / 15,000km / 愛媛県",2020年式,2.5 250ハイウェイスターS,"15,000km",愛媛県,manen
nissan-elgrand,エルグランド,root,root,"16,000km",16000,16000,1,261.0,261.0,261.0,261.0,261.0,261.0,261.0,"2022年式 / 2.5 250ハイウェイスターS / 16,000km / 長野県",2022年式,2.5 250ハイウェイスターS,"16,000km",長野県,manen
nissan-elgrand,エルグランド,root,root,"17,000km",17000,17000,1,234.0,234.0,234.0,234.0,234.0,234.0,234.0,"2019年式 / 2.5 250ハイウェイスター プレミアム / 17,000km / 山口県",2019年式,2.5 250ハイウェイスター プレミアム,"17,000km",山口県,manen
nissan-elgrand,エルグランド,root,root,"18,000km",18000,18000,1,275.4,275.4,275.4,275.4,275.4,275.4,275.4,"2021年式 / 2.5 250ハイウェイスターS アーバンクロム / 18,000km / 島根県",2021年式,2.5 250ハイウェイスターS アーバンクロム,"18,000km",島根県,manen
nissan-elgrand,エルグランド,root,root,2万km,20000,20000,1,268.5,268.5,268.5,268.5,268.5,268.5,268.5,2021年式 / 2.5 250ハイウェイスターS / 2万km / 岡山県,2021年式,2.5 250ハイウェイスターS,2万km,岡山県,manen
nissan-elgrand,エルグランド,root,root,"21,000km",21000,21000,4,195.0,268.5,236.9,242.0,218.0,266.0,268.5,"2022年式 / 2.5 250ハイウェイスターS / 21,000km / 愛知県",2022年式,2.5 250ハイウェイスターS,"21,000km",愛知県,manen
nissan-elgrand,エルグランド,root,root,"23,000km",23000,23000,3,31.7,289.5,167.0,179.7,31.7,289.5,289.5,"2022年式 / 2.5 250ハイウェイスター プレミアム / 23,000km / 茨城県",2022年式,2.5 250ハイウェイスター プレミアム,"23,000km",茨城県,manen
nissan-elgrand,エルグランド,root,root,"24,000km",24000,24000,1,283.8,283.8,283.8,283.8,283.8,283.8,283.8,"2022年式 / 2.5 250ハイウェイスター プレミアム 4WD / 24,000km / 静岡県",2022年式,2.5 250ハイウェイスター プレミアム 4WD,"24,000km",静岡県,manen
nissan-elgrand,エルグランド,root,root,"25,000km",25000,25000,4,91.1,290.0,224.0,257.4,239.8,275.0,290.0,"2022年式 / 2.5 250ハイウェイスターS アーバンクロム / 25,000km / 岐阜県",2022年式,2.5 250ハイウェイスターS アーバンクロム,"25,000km",岐阜県,manen
nissan-elgrand,エルグランド,root,root,"26,000km",26000,26000,4,72.9,235.5,194.7,235.2,235.0,235.5,235.5,"2020年式 / 3.5 350ハイウェイスター ジェットブラック アーバンクロム 4WD / 26,000km / 富山県",2020年式,3.5 350ハイウェイスター ジェットブラック アーバンクロム 4WD,"26,000km",富山県,manen
nissan-elgrand,エルグランド,root,root,"27,000km",27000,27000,5,214.1,291.5,247.7,249.0,215.5,268.3,291.5,"2022年式 / 2.5 250ハイウェイスター プレミアム アーバンクロム / 27,000km / 山梨県",2022年式,2.5 250ハイウェイスター プレミアム アーバンクロム,"27,000km",山梨県,manen
nissan-elgrand,エルグランド,root,root,"28,000km",28000,28000,6,45.0,255.3,132.4,118.5,68.9,188.5,255.3,"2023年式 / 2.5 250ハイウェイスターS / 28,000km / 滋賀県",2023年式,2.5 250ハイウェイスターS,"28,000km",滋賀県,manen
nissan-elgrand,エルグランド,root,root,"29,000km",29000,29000,2,34.2,234.0,134.1,134.1,34.2,234.0,234.0,"2023年式 / 2.5 250ハイウェイスターS / 29,000km / 三重県",2023年式,2.5 250ハイウェイスターS,"29,000km",三重県,manen
nissan-elgrand,エルグランド,root,root,3万km,30000,30000,5,188.5,287.0,262.2,285.5,262.8,287.0,287.0,2023年式 / 2.5 250ハイウェイスターS アーバンクロム / 3万km / 兵庫県,2023年式,2.5 250ハイウェイスターS アーバンクロム,3万km,兵庫県,manen
