model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-elgrand,エルグランド,,2024,2024年式,root,root,2,214.1,293.2,253.7,253.7,214.1,293.2,293.2,"2024年式 / 2.5 250ハイウェイスターS アーバンクロム / 12,000km / 富山県",2024年式,2.5 250ハイウェイスターS アーバンクロム,"12,000km",富山県,manen
nissan-elgrand,エルグランド,,2023,2023年式,root,root,29,157.0,292.0,232.6,231.0,211.4,248.0,292.0,"2023年式 / 2.5 250ハイウェイスターS アーバンクロム / 9,000km / 岩手県",2023年式,2.5 250ハイウェイスターS アーバンクロム,"9,000km",岩手県,manen
nissan-elgrand,エルグランド,,2022,2022年式,root,root,25,170.0,291.5,251.9,244.5,237.2,283.8,291.5,"2022年式 / 2.5 250ハイウェイスター プレミアム アーバンクロム / 27,000km / 山梨県",2022年式,2.5 250ハイウェイスター プレミアム アーバンクロム,"27,000km",山梨県,manen
nissan-elgrand,エルグランド,,2021,2021年式,root,root,28,148.0,290.5,242.7,249.4,230.2,275.0,290.5,"2021年式 / 3.5 VIP / 79,000km / 岡山県",2021年式,3.5 VIP,"79,000km",岡山県,manen
nissan-elgrand,エルグランド,,2020,2020年式,root,root,59,92.6,287.6,202.2,221.0,160.0,240.0,287.6,"2020年式 / 2.5 250ハイウェイスター プレミアム アーバンクロム / 45,000km / 奈良県",2020年式,2.5 250ハイウェイスター プレミアム アーバンクロム,"45,000km",奈良県,manen
nissan-elgrand,エルグランド,,2019,2019年式,root,root,55,13.3,239.8,147.2,148.0,111.0,181.0,239.8,"2019年式 / 3.5 350ハイウェイスター プレミアム アーバンクロム / 25,000km / 高知県",2019年式,3.5 350ハイウェイスター プレミアム アーバンクロム,"25,000km",高知県,manen
nissan-elgrand,エルグランド,,2018,2018年式,root,root,60,37.0,213.0,121.4,132.2,88.4,156.2,213.0,"2018年式 / 2.5 250ハイウェイスター プレミアム アーバンクロム / 34,000km / 岐阜県",2018年式,2.5 250ハイウェイスター プレミアム アーバンクロム,"34,000km",岐阜県,manen
nissan-elgrand,エルグランド,,2017,2017年式,root,root,66,16.5,211.0,107.2,101.0,71.5,143.8,211.0,"2017年式 / 2.5 250ハイウェイスター ホワイトレザー アーバンクロム / 47,000km / 大阪府",2017年式,2.5 250ハイウェイスター ホワイトレザー アーバンクロム,"47,000km",大阪府,manen
nissan-elgrand,エルグランド,,2016,2016年式,root,root,59,7.0,187.0,93.0,93.3,57.6,119.5,187.0,"2016年式 / 2.5 ライダー ブラックライン / 36,000km / 宮城県",2016年式,2.5 ライダー ブラックライン,"36,000km",宮城県,manen
nissan-elgrand,エルグランド,,2015,2015年式,root,root,69,5.0,191.3,80.8,76.4,45.3,102.5,191.3,2015年式 / 2.5 ライダー 黒本革シート 4WD / 5万km / 秋田県,2015年式,2.5 ライダー 黒本革シート 4WD,5万km,秋田県,manen
nissan-elgrand,エルグランド,,2014,2014年式,root,root,71,5.0,128.4,54.8,52.5,38.4,68.0,128.4,"2014年式 / 2.5 250ハイウェイスター / 47,000km / 大阪府",2014年式,2.5 250ハイウェイスター,"47,000km",大阪府,manen
nissan-elgrand,エルグランド,,2013,2013年式,root,root,50,5.9,88.5,38.5,33.7,23.1,52.5,88.5,"2013年式 / 3.5 ライダー ブラックライン / 81,000km / 鳥取県",2013年式,3.5 ライダー ブラックライン,"81,000km",鳥取県,manen
nissan-elgrand,エルグランド,,2012,2012年式,root,root,54,5.0,165.4,40.0,30.9,20.4,50.7,165.4,"2012年式 / 2.5 250ハイウェイスター アーバンクロム / 6,000km / 東京都",2012年式,2.5 250ハイウェイスター アーバンクロム,"6,000km",東京都,manen
nissan-elgrand,エルグランド,,2011,2011年式,root,root,71,5.0,104.0,32.4,29.7,18.1,42.5,104.0,"2011年式 / 3.5 ライダー ブラックライン / 68,000km / 岐阜県",2011年式,3.5 ライダー ブラックライン,"68,000km",岐阜県,manen
nissan-elgrand,エルグランド,,2010,2010年式,root,root,79,5.0,58.2,23.4,24.5,14.4,31.0,58.2,"2010年式 / 3.5 ライダー 黒本革シート / 31,000km / 島根県",2010年式,3.5 ライダー 黒本革シート,"31,000km",島根県,manen
nissan-elgrand,エルグランド,,2009,2009年式,root,root,32,5.0,78.0,36.9,33.5,23.8,42.3,78.0,"2009年式 / 3.5 350ハイウェイスター ブラックレザー ナビエディションV 4WD / 38,000km / 兵庫県",2009年式,3.5 350ハイウェイスター ブラックレザー ナビエディションV 4WD,"38,000km",兵庫県,manen
nissan-elgrand,エルグランド,,2008,2008年式,root,root,25,5.0,56.5,24.7,21.7,20.0,31.7,56.5,"2008年式 / 3.5 X / 41,000km / 大阪府",2008年式,3.5 X,"41,000km",大阪府,manen
nissan-elgrand,エルグランド,,2007,2007年式,root,root,21,5.0,46.3,26.4,23.5,22.6,28.9,46.3,"2007年式 / 3.5 XL / 37,000km / 茨城県",2007年式,3.5 XL,"37,000km",茨城県,manen
nissan-elgrand,エルグランド,,2006,2006年式,root,root,37,5.0,59.1,23.3,23.0,19.6,26.8,59.1,"2006年式 / 3.5 ライダー 4WD / 68,000km / 奈良県",2006年式,3.5 ライダー 4WD,"68,000km",奈良県,manen
nissan-elgrand,エルグランド,,2005,2005年式,root,root,41,5.0,31.0,21.6,22.3,18.2,26.3,31.0,"2005年式 / 3.5 X / 35,000km / 富山県",2005年式,3.5 X,"35,000km",富山県,manen
nissan-elgrand,エルグランド,,2004,2004年式,root,root,12,16.2,26.2,22.5,22.1,21.0,25.5,26.2,"2004年式 / 3.5 ハイウェイスター / 137,000km / 東京都",2004年式,3.5 ハイウェイスター,"137,000km",東京都,manen
nissan-elgrand,エルグランド,,2003,2003年式,root,root,4,19.2,25.2,22.3,22.4,22.3,22.4,25.2,"2003年式 / 3.5 VG / 76,000km / 福井県",2003年式,3.5 VG,"76,000km",福井県,manen
nissan-elgrand,エルグランド,,2002,2002年式,root,root,8,5.0,43.5,22.0,21.5,20.1,23.6,43.5,"2002年式 / 3.5 ライダー / 67,000km / 長野県",2002年式,3.5 ライダー,"67,000km",長野県,manen
nissan-elgrand,エルグランド,,2001,2001年式,root,root,7,5.0,45.0,25.5,23.5,21.0,24.8,45.0,"2001年式 / 3.5 ライダー 黒本革シート / 28,000km / 神奈川県",2001年式,3.5 ライダー 黒本革シート,"28,000km",神奈川県,manen
nissan-elgrand,エルグランド,,2000,2000年式,root,root,13,16.6,48.4,24.5,21.0,18.9,27.5,48.4,"2000年式 / 3.5 Xリミテッド 4WD / 72,000km / 富山県",2000年式,3.5 Xリミテッド 4WD,"72,000km",富山県,manen
nissan-elgrand,エルグランド,,1999,1999年式,root,root,8,17.1,28.5,23.2,24.2,18.6,27.0,28.5,1999年式 / 3.2 V ラウンジパッケージ ディーゼル 4WD / 12万km / 宮崎県,1999年式,3.2 V ラウンジパッケージ ディーゼル 4WD,12万km,宮崎県,manen
nissan-elgrand,エルグランド,,1998,1998年式,root,root,9,20.3,32.3,24.2,22.8,21.5,27.1,32.3,"1998年式 / 3.0 X ディーゼル 4WD / 51,000km / 秋田県",1998年式,3.0 X ディーゼル 4WD,"51,000km",秋田県,manen
