model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-fairlady-z,フェアレディZ,root,root,0万km,0,0,32,1.3,560.5,178.8,132.5,54.0,247.5,560.5,2023年式 / 3.0 バージョン ST / 0万km / 高知県,2023年式,3.0 バージョン ST,0万km,高知県,manen
nissan-fairlady-z,フェアレディZ,root,root,"1,000km",1000,1000,9,58.0,552.0,430.7,468.5,419.5,526.2,552.0,"2025年式 / 3.0 NISMO / 1,000km / 東京都",2025年式,3.0 NISMO,"1,000km",東京都,manen
nissan-fairlady-z,フェアレディZ,root,root,"2,000km",2000,2000,8,321.3,545.5,467.4,490.5,461.5,502.5,545.5,"2024年式 / 3.0 バージョン ST / 2,000km / 静岡県",2024年式,3.0 バージョン ST,"2,000km",静岡県,manen
nissan-fairlady-z,フェアレディZ,root,root,"3,000km",3000,3000,4,410.5,536.2,476.1,478.8,446.0,511.5,536.2,"2024年式 / 3.0 バージョン ST / 3,000km / 香川県",2024年式,3.0 バージョン ST,"3,000km",香川県,manen
nissan-fairlady-z,フェアレディZ,root,root,"4,000km",4000,4000,10,430.7,559.0,497.7,496.8,493.0,506.0,559.0,"2023年式 / 3.0 バージョン ST / 4,000km / 三重県",2023年式,3.0 バージョン ST,"4,000km",三重県,manen
nissan-fairlady-z,フェアレディZ,root,root,"5,000km",5000,5000,8,445.5,518.5,483.9,480.5,474.5,500.3,518.5,"2023年式 / 3.0 バージョン ST / 5,000km / 愛媛県",2023年式,3.0 バージョン ST,"5,000km",愛媛県,manen
nissan-fairlady-z,フェアレディZ,root,root,"6,000km",6000,6000,8,98.9,539.8,365.4,418.0,388.5,450.5,539.8,"2023年式 / 3.0 バージョン ST / 6,000km / 栃木県",2023年式,3.0 バージョン ST,"6,000km",栃木県,manen
nissan-fairlady-z,フェアレディZ,root,root,"7,000km",7000,7000,4,57.0,489.0,325.8,378.5,274.0,483.0,489.0,"2023年式 / 3.0 バージョン ST / 7,000km / 茨城県",2023年式,3.0 バージョン ST,"7,000km",茨城県,manen
nissan-fairlady-z,フェアレディZ,root,root,"8,000km",8000,8000,3,327.0,479.0,427.3,476.0,327.0,479.0,479.0,"2022年式 / 3.7 NISMO / 8,000km / 宮崎県",2022年式,3.7 NISMO,"8,000km",宮崎県,manen
nissan-fairlady-z,フェアレディZ,root,root,"9,000km",9000,9000,8,355.5,549.0,479.6,499.4,464.0,530.5,549.0,"2022年式 / 3.0 プロト スペック / 9,000km / 富山県",2022年式,3.0 プロト スペック,"9,000km",富山県,manen
nissan-fairlady-z,フェアレディZ,root,root,1万km,10000,10000,4,283.5,459.5,375.9,380.4,307.0,453.8,459.5,2022年式 / 3.0 プロト スペック / 1万km / 宮崎県,2022年式,3.0 プロト スペック,1万km,宮崎県,manen
nissan-fairlady-z,フェアレディZ,root,root,"11,000km",11000,11000,3,373.2,400.5,382.3,373.2,373.2,400.5,400.5,"2022年式 / 3.0 プロト スペック / 11,000km / 静岡県",2022年式,3.0 プロト スペック,"11,000km",静岡県,manen
nissan-fairlady-z,フェアレディZ,root,root,"12,000km",12000,12000,5,245.8,469.9,391.0,403.3,401.0,435.0,469.9,"2022年式 / 3.0 バージョン ST / 12,000km / 栃木県",2022年式,3.0 バージョン ST,"12,000km",栃木県,manen
nissan-fairlady-z,フェアレディZ,root,root,"13,000km",13000,13000,2,345.0,478.5,411.8,411.8,345.0,478.5,478.5,"2019年式 / 3.7 NISMO / 13,000km / 沖縄県",2019年式,3.7 NISMO,"13,000km",沖縄県,manen
nissan-fairlady-z,フェアレディZ,root,root,"14,000km",14000,14000,5,358.5,510.7,429.8,414.0,405.0,461.0,510.7,"2022年式 / 3.0 バージョン ST / 14,000km / 神奈川県",2022年式,3.0 バージョン ST,"14,000km",神奈川県,manen
nissan-fairlady-z,フェアレディZ,root,root,"15,000km",15000,15000,3,160.6,469.0,315.4,316.5,160.6,469.0,469.0,"2020年式 / 3.7 NISMO / 15,000km / 島根県",2020年式,3.7 NISMO,"15,000km",島根県,manen
nissan-fairlady-z,フェアレディZ,root,root,"16,000km",16000,16000,4,341.3,459.0,402.2,404.2,349.5,459.0,459.0,"2018年式 / 3.7 NISMO / 16,000km / 山形県",2018年式,3.7 NISMO,"16,000km",山形県,manen
nissan-fairlady-z,フェアレディZ,root,root,"17,000km",17000,17000,8,252.5,437.0,334.5,312.8,283.0,403.3,437.0,"2019年式 / 3.7 NISMO / 17,000km / 秋田県",2019年式,3.7 NISMO,"17,000km",秋田県,manen
nissan-fairlady-z,フェアレディZ,root,root,2万km,20000,20000,7,197.5,530.5,326.2,295.5,287.0,365.0,530.5,2022年式 / 3.0 バージョン ST / 2万km / 三重県,2022年式,3.0 バージョン ST,2万km,三重県,manen
nissan-fairlady-z,フェアレディZ,root,root,"21,000km",21000,21000,1,378.5,378.5,378.5,378.5,378.5,378.5,378.5,"2024年式 / 3.0 バージョン T / 21,000km / 宮城県",2024年式,3.0 バージョン T,"21,000km",宮城県,manen
nissan-fairlady-z,フェアレディZ,root,root,"22,000km",22000,22000,5,199.5,464.5,298.6,210.0,210.0,409.0,464.5,"2019年式 / 3.7 NISMO / 22,000km / 山口県",2019年式,3.7 NISMO,"22,000km",山口県,manen
nissan-fairlady-z,フェアレディZ,root,root,"23,000km",23000,23000,4,190.0,378.0,314.6,345.2,316.5,374.0,378.0,"2018年式 / 3.7 NISMO / 23,000km / 茨城県",2018年式,3.7 NISMO,"23,000km",茨城県,manen
