model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-fuga,フーガ,root,root,0万km,0,0,9,6.5,105.5,53.0,62.0,26.6,77.7,105.5,2017年式 / 3.7 370GT FOUR 4WD / 0万km / 愛知県,2017年式,3.7 370GT FOUR 4WD,0万km,愛知県,manen
nissan-fuga,フーガ,root,root,"4,000km",4000,4000,1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,"2005年式 / 3.5 350GT / 4,000km / 大阪府",2005年式,3.5 350GT,"4,000km",大阪府,manen
nissan-fuga,フーガ,root,root,"7,000km",7000,7000,1,156.5,156.5,156.5,156.5,156.5,156.5,156.5,"2021年式 / 3.7 370GT / 7,000km / 東京都",2021年式,3.7 370GT,"7,000km",東京都,manen
nissan-fuga,フーガ,root,root,"9,000km",9000,9000,2,144.4,148.5,146.4,146.4,144.4,148.5,148.5,"2018年式 / 3.7 370GT / 9,000km / 群馬県",2018年式,3.7 370GT,"9,000km",群馬県,manen
nissan-fuga,フーガ,root,root,"12,000km",12000,12000,1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,"2011年式 / 2.5 250GT Aパッケージ / 12,000km / 千葉県",2011年式,2.5 250GT Aパッケージ,"12,000km",千葉県,manen
nissan-fuga,フーガ,root,root,"13,000km",13000,13000,1,149.5,149.5,149.5,149.5,149.5,149.5,149.5,"2017年式 / 3.7 370GT タイプS / 13,000km / 岐阜県",2017年式,3.7 370GT タイプS,"13,000km",岐阜県,manen
nissan-fuga,フーガ,root,root,"15,000km",15000,15000,2,25.5,129.8,77.7,77.7,25.5,129.8,129.8,"2015年式 / 3.7 370GT / 15,000km / 山口県",2015年式,3.7 370GT,"15,000km",山口県,manen
nissan-fuga,フーガ,root,root,"16,000km",16000,16000,5,30.9,142.1,93.8,95.5,77.2,123.1,142.1,"2016年式 / 3.7 370GT / 16,000km / 東京都",2016年式,3.7 370GT,"16,000km",東京都,manen
nissan-fuga,フーガ,root,root,"17,000km",17000,17000,3,22.1,102.3,51.5,30.0,22.1,102.3,102.3,"2016年式 / 3.7 370GT / 17,000km / 広島県",2016年式,3.7 370GT,"17,000km",広島県,manen
nissan-fuga,フーガ,root,root,"19,000km",19000,19000,1,32.2,32.2,32.2,32.2,32.2,32.2,32.2,"2005年式 / 3.5 350GT / 19,000km / 三重県",2005年式,3.5 350GT,"19,000km",三重県,manen
nissan-fuga,フーガ,root,root,2万km,20000,20000,4,28.9,136.0,83.5,84.5,32.9,136.0,136.0,2015年式 / 3.7 370GT FOUR 4WD / 2万km / 愛知県,2015年式,3.7 370GT FOUR 4WD,2万km,愛知県,manen
nissan-fuga,フーガ,root,root,"21,000km",21000,21000,1,100.5,100.5,100.5,100.5,100.5,100.5,100.5,"2011年式 / 3.7 370GT タイプS / 21,000km / 兵庫県",2011年式,3.7 370GT タイプS,"21,000km",兵庫県,manen
nissan-fuga,フーガ,root,root,"22,000km",22000,22000,2,98.5,99.0,98.8,98.8,98.5,99.0,99.0,"2014年式 / 2.5 250GT / 22,000km / 福井県",2014年式,2.5 250GT,"22,000km",福井県,manen
nissan-fuga,フーガ,root,root,"24,000km",24000,24000,3,37.9,162.0,119.3,158.1,37.9,162.0,162.0,"2015年式 / 3.7 370GT FOUR 4WD / 24,000km / 島根県",2015年式,3.7 370GT FOUR 4WD,"24,000km",島根県,manen
nissan-fuga,フーガ,root,root,"25,000km",25000,25000,3,24.0,104.0,67.2,73.5,24.0,104.0,104.0,"2017年式 / 3.7 370GT / 25,000km / 徳島県",2017年式,3.7 370GT,"25,000km",徳島県,manen
nissan-fuga,フーガ,root,root,"26,000km",26000,26000,2,33.3,88.5,60.9,60.9,33.3,88.5,88.5,"2014年式 / 3.7 370GT FOUR 4WD / 26,000km / 広島県",2014年式,3.7 370GT FOUR 4WD,"26,000km",広島県,manen
nissan-fuga,フーガ,root,root,"27,000km",27000,27000,4,61.3,142.5,120.8,139.7,136.8,142.5,142.5,"2016年式 / 3.7 370GT / 27,000km / 茨城県",2016年式,3.7 370GT,"27,000km",茨城県,manen
nissan-fuga,フーガ,root,root,"28,000km",28000,28000,1,111.0,111.0,111.0,111.0,111.0,111.0,111.0,"2015年式 / 3.7 370GT / 28,000km / 徳島県",2015年式,3.7 370GT,"28,000km",徳島県,manen
nissan-fuga,フーガ,root,root,"29,000km",29000,29000,4,28.0,69.0,57.0,65.4,61.8,69.0,69.0,"2010年式 / 2.5 250GT タイプP / 29,000km / 宮崎県",2010年式,2.5 250GT タイプP,"29,000km",宮崎県,manen
nissan-fuga,フーガ,root,root,3万km,30000,30000,1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,2012年式 / 3.7 370GT タイプS / 3万km / 東京都,2012年式,3.7 370GT タイプS,3万km,東京都,manen
nissan-fuga,フーガ,root,root,"31,000km",31000,31000,5,25.1,142.0,72.7,85.0,26.5,85.0,142.0,"2016年式 / 3.7 370GT / 31,000km / 大阪府",2016年式,3.7 370GT,"31,000km",大阪府,manen
nissan-fuga,フーガ,root,root,"32,000km",32000,32000,5,29.7,138.4,71.9,59.3,37.9,94.4,138.4,"2016年式 / 2.5 250GT Aパッケージ / 32,000km / 千葉県",2016年式,2.5 250GT Aパッケージ,"32,000km",千葉県,manen
nissan-fuga,フーガ,root,root,"33,000km",33000,33000,4,24.3,147.0,67.9,50.1,39.5,60.8,147.0,"2019年式 / 3.7 370GT タイプS / 33,000km / 三重県",2019年式,3.7 370GT タイプS,"33,000km",三重県,manen
nissan-fuga,フーガ,root,root,"34,000km",34000,34000,4,24.3,59.5,45.8,49.8,40.0,59.5,59.5,"2011年式 / 2.5 250GT Aパッケージ / 34,000km / 新潟県",2011年式,2.5 250GT Aパッケージ,"34,000km",新潟県,manen
nissan-fuga,フーガ,root,root,"35,000km",35000,35000,4,34.2,70.5,51.6,50.9,46.1,55.6,70.5,"2012年式 / 2.5 250VIP / 35,000km / 長崎県",2012年式,2.5 250VIP,"35,000km",長崎県,manen
nissan-fuga,フーガ,root,root,"36,000km",36000,36000,5,29.1,161.0,89.6,57.8,49.5,150.5,161.0,"2015年式 / 3.7 370VIP / 36,000km / 愛媛県",2015年式,3.7 370VIP,"36,000km",愛媛県,manen
nissan-fuga,フーガ,root,root,"37,000km",37000,37000,1,63.4,63.4,63.4,63.4,63.4,63.4,63.4,"2020年式 / 3.7 370GT / 37,000km / 新潟県",2020年式,3.7 370GT,"37,000km",新潟県,manen
nissan-fuga,フーガ,root,root,"38,000km",38000,38000,4,20.5,110.0,69.9,74.6,70.2,79.0,110.0,"2013年式 / 3.7 370VIP / 38,000km / 愛媛県",2013年式,3.7 370VIP,"38,000km",愛媛県,manen
nissan-fuga,フーガ,root,root,"39,000km",39000,39000,4,37.2,159.0,120.1,142.1,126.6,157.5,159.0,"2016年式 / 2.5 250GT / 39,000km / 和歌山県",2016年式,2.5 250GT,"39,000km",和歌山県,manen
nissan-fuga,フーガ,root,root,4万km,40000,40000,4,27.5,150.0,94.5,100.2,62.5,138.0,150.0,2019年式 / 2.5 250GT / 4万km / 栃木県,2019年式,2.5 250GT,4万km,栃木県,manen
nissan-fuga,フーガ,root,root,"41,000km",41000,41000,6,32.8,120.0,86.8,104.0,40.0,120.0,120.0,"2014年式 / 3.7 370GT FOUR 4WD / 41,000km / 京都府",2014年式,3.7 370GT FOUR 4WD,"41,000km",京都府,manen
nissan-fuga,フーガ,root,root,"42,000km",42000,42000,3,27.0,126.0,71.0,60.1,27.0,126.0,126.0,"2019年式 / 2.5 250GT / 42,000km / 山梨県",2019年式,2.5 250GT,"42,000km",山梨県,manen
nissan-fuga,フーガ,root,root,"43,000km",43000,43000,8,26.7,105.5,76.3,83.8,63.2,98.7,105.5,"2015年式 / 3.7 370GT / 43,000km / 三重県",2015年式,3.7 370GT,"43,000km",三重県,manen
nissan-fuga,フーガ,root,root,"44,000km",44000,44000,3,37.9,88.0,71.3,88.0,37.9,88.0,88.0,"2017年式 / 2.5 250GT Aパッケージ / 44,000km / 茨城県",2017年式,2.5 250GT Aパッケージ,"44,000km",茨城県,manen
