model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-gt-r,GT-R,root,root,0万km,0,0,72,291.2,1948.0,688.1,594.8,468.0,679.0,1948.0,2019年式 / 3.8 NISMO 4WD / 0万km / 佐賀県,2019年式,3.8 NISMO 4WD,0万km,佐賀県,manen
nissan-gt-r,GT-R,root,root,"1,000km",1000,1000,6,815.4,1429.5,1135.0,1110.2,1025.0,1319.5,1429.5,"2017年式 / 3.8 NISMO 4WD / 1,000km / 高知県",2017年式,3.8 NISMO 4WD,"1,000km",高知県,manen
nissan-gt-r,GT-R,root,root,"2,000km",2000,2000,20,902.5,2049.0,1440.3,1354.2,1185.0,1886.1,2049.0,"2022年式 / 3.8 プレミアムエディション Tスペック 4WD / 2,000km / 愛媛県",2022年式,3.8 プレミアムエディション Tスペック 4WD,"2,000km",愛媛県,manen
nissan-gt-r,GT-R,root,root,"3,000km",3000,3000,18,147.1,1949.7,1113.5,1001.8,836.0,1500.5,1949.7,"2020年式 / 3.8 NISMO 4WD / 3,000km / 東京都",2020年式,3.8 NISMO 4WD,"3,000km",東京都,manen
nissan-gt-r,GT-R,root,root,"4,000km",4000,4000,15,761.0,1620.0,1180.4,1225.5,972.5,1372.5,1620.0,"2016年式 / 3.8 NISMO 4WD / 4,000km / 滋賀県",2016年式,3.8 NISMO 4WD,"4,000km",滋賀県,manen
nissan-gt-r,GT-R,root,root,"5,000km",5000,5000,24,645.5,2139.5,1128.7,1040.8,912.0,1310.5,2139.5,"2019年式 / 3.8 NISMO 4WD / 5,000km / 山口県",2019年式,3.8 NISMO 4WD,"5,000km",山口県,manen
nissan-gt-r,GT-R,root,root,"6,000km",6000,6000,21,717.0,1511.0,1196.6,1206.5,1037.5,1400.0,1511.0,"2016年式 / 3.8 NISMO 4WD / 6,000km / 茨城県",2016年式,3.8 NISMO 4WD,"6,000km",茨城県,manen
nissan-gt-r,GT-R,root,root,"7,000km",7000,7000,33,561.0,2086.1,1146.0,1090.5,840.5,1410.0,2086.1,"2015年式 / 3.8 NISMO 4WD / 7,000km / 神奈川県",2015年式,3.8 NISMO 4WD,"7,000km",神奈川県,manen
nissan-gt-r,GT-R,root,root,"8,000km",8000,8000,36,583.0,2046.5,1210.1,1161.8,891.0,1355.0,2046.5,"2019年式 / 3.8 NISMO 4WD / 8,000km / 富山県",2019年式,3.8 NISMO 4WD,"8,000km",富山県,manen
nissan-gt-r,GT-R,root,root,"9,000km",9000,9000,25,164.0,2026.0,1090.0,1149.5,836.5,1267.0,2026.0,"2020年式 / 3.8 NISMO 4WD / 9,000km / 東京都",2020年式,3.8 NISMO 4WD,"9,000km",東京都,manen
