model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-juke,ジューク,root,root,0万km,0,0,2,20.2,42.9,31.6,31.6,20.2,42.9,42.9,2015年式 / 1.5 15RX / 0万km / 兵庫県,2015年式,1.5 15RX,0万km,兵庫県,manen
nissan-juke,ジューク,root,root,"9,000km",9000,9000,1,91.8,91.8,91.8,91.8,91.8,91.8,91.8,"2018年式 / 1.5 15RX V セレクション / 9,000km / 滋賀県",2018年式,1.5 15RX V セレクション,"9,000km",滋賀県,manen
nissan-juke,ジューク,root,root,"11,000km",11000,11000,1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,"2017年式 / 1.5 15RX V セレクション / 11,000km / 群馬県",2017年式,1.5 15RX V セレクション,"11,000km",群馬県,manen
nissan-juke,ジューク,root,root,"12,000km",12000,12000,5,44.0,95.5,65.3,60.5,44.0,82.4,95.5,"2018年式 / 1.5 15RX アーバンセレクション / 12,000km / 島根県",2018年式,1.5 15RX アーバンセレクション,"12,000km",島根県,manen
nissan-juke,ジューク,root,root,"13,000km",13000,13000,1,44.2,44.2,44.2,44.2,44.2,44.2,44.2,"2013年式 / 1.5 15RX アーバンセレクション スタイリッシュブラックパッケージ / 13,000km / 沖縄県",2013年式,1.5 15RX アーバンセレクション スタイリッシュブラックパッケージ,"13,000km",沖縄県,manen
nissan-juke,ジューク,root,root,"14,000km",14000,14000,2,39.5,48.2,43.9,43.9,39.5,48.2,48.2,"2011年式 / 1.5 15RX V セレクション ドレスアップ / 14,000km / 鹿児島県",2011年式,1.5 15RX V セレクション ドレスアップ,"14,000km",鹿児島県,manen
nissan-juke,ジューク,root,root,"15,000km",15000,15000,2,61.7,73.5,67.6,67.6,61.7,73.5,73.5,"2015年式 / 1.5 15RX V アーバンセレクション パーソナライゼーション / 15,000km / 青森県",2015年式,1.5 15RX V アーバンセレクション パーソナライゼーション,"15,000km",青森県,manen
nissan-juke,ジューク,root,root,"16,000km",16000,16000,1,51.8,51.8,51.8,51.8,51.8,51.8,51.8,"2016年式 / 1.5 15RX V セレクション / 16,000km / 長野県",2016年式,1.5 15RX V セレクション,"16,000km",長野県,manen
nissan-juke,ジューク,root,root,"17,000km",17000,17000,1,20.6,20.6,20.6,20.6,20.6,20.6,20.6,"2011年式 / 1.6 16GT / 17,000km / 東京都",2011年式,1.6 16GT,"17,000km",東京都,manen
nissan-juke,ジューク,root,root,"18,000km",18000,18000,1,43.9,43.9,43.9,43.9,43.9,43.9,43.9,"2013年式 / 1.6 NISMO 4WD / 18,000km / 兵庫県",2013年式,1.6 NISMO 4WD,"18,000km",兵庫県,manen
nissan-juke,ジューク,root,root,"19,000km",19000,19000,5,25.7,96.5,75.4,92.5,65.9,96.5,96.5,"2020年式 / 1.5 15RX V セレクション / 19,000km / 香川県",2020年式,1.5 15RX V セレクション,"19,000km",香川県,manen
nissan-juke,ジューク,root,root,2万km,20000,20000,4,69.0,112.0,82.6,74.7,69.0,80.3,112.0,2019年式 / 1.5 15RX V セレクション / 2万km / 岐阜県,2019年式,1.5 15RX V セレクション,2万km,岐阜県,manen
nissan-juke,ジューク,root,root,"21,000km",21000,21000,6,27.6,103.2,66.5,74.5,27.6,92.0,103.2,"2017年式 / 1.5 15RX V セレクション / 21,000km / 福井県",2017年式,1.5 15RX V セレクション,"21,000km",福井県,manen
nissan-juke,ジューク,root,root,"22,000km",22000,22000,4,19.2,112.7,78.2,90.5,86.5,94.5,112.7,"2019年式 / 1.5 15RX Vセレクション スタイルNISMO アラウンドビューモニターパッケージ / 22,000km / 佐賀県",2019年式,1.5 15RX Vセレクション スタイルNISMO アラウンドビューモニターパッケージ,"22,000km",佐賀県,manen
nissan-juke,ジューク,root,root,"23,000km",23000,23000,2,37.6,76.0,56.8,56.8,37.6,76.0,76.0,"2017年式 / 1.5 15RX シンプルパッケージ / 23,000km / 高知県",2017年式,1.5 15RX シンプルパッケージ,"23,000km",高知県,manen
nissan-juke,ジューク,root,root,"24,000km",24000,24000,3,28.9,96.0,71.5,89.5,28.9,96.0,96.0,"2018年式 / 1.5 15RX V セレクション / 24,000km / 岡山県",2018年式,1.5 15RX V セレクション,"24,000km",岡山県,manen
nissan-juke,ジューク,root,root,"25,000km",25000,25000,3,28.5,105.8,71.9,81.5,28.5,105.8,105.8,"2019年式 / 1.5 15RX V アーバンセレクション パーソナライゼーション / 25,000km / 熊本県",2019年式,1.5 15RX V アーバンセレクション パーソナライゼーション,"25,000km",熊本県,manen
nissan-juke,ジューク,root,root,"26,000km",26000,26000,3,31.3,110.0,59.3,36.5,31.3,110.0,110.0,"2020年式 / 1.5 15RX V セレクション / 26,000km / 長野県",2020年式,1.5 15RX V セレクション,"26,000km",長野県,manen
nissan-juke,ジューク,root,root,"27,000km",27000,27000,5,5.0,50.2,34.9,39.3,29.9,50.1,50.2,"2017年式 / 1.5 15RX V セレクション パーソナライゼーション / 27,000km / 島根県",2017年式,1.5 15RX V セレクション パーソナライゼーション,"27,000km",島根県,manen
nissan-juke,ジューク,root,root,"28,000km",28000,28000,6,88.5,117.0,94.8,89.2,88.5,96.5,117.0,"2018年式 / 1.5 15RX Vセレクション スタイルNISMO / 28,000km / 京都府",2018年式,1.5 15RX Vセレクション スタイルNISMO,"28,000km",京都府,manen
nissan-juke,ジューク,root,root,"29,000km",29000,29000,7,20.2,98.0,58.0,54.6,30.0,75.0,98.0,"2019年式 / 1.5 15RX V セレクション ドレスアップ / 29,000km / 神奈川県",2019年式,1.5 15RX V セレクション ドレスアップ,"29,000km",神奈川県,manen
nissan-juke,ジューク,root,root,3万km,30000,30000,5,28.2,101.4,65.8,57.1,57.1,85.3,101.4,2019年式 / 1.5 15RX シンプルパッケージ / 3万km / 香川県,2019年式,1.5 15RX シンプルパッケージ,3万km,香川県,manen
nissan-juke,ジューク,root,root,"31,000km",31000,31000,5,59.0,95.1,79.7,87.9,61.5,95.1,95.1,"2020年式 / 1.5 15RX V セレクション / 31,000km / 埼玉県",2020年式,1.5 15RX V セレクション,"31,000km",埼玉県,manen
nissan-juke,ジューク,root,root,"32,000km",32000,32000,4,44.5,98.6,76.9,82.2,75.5,89.0,98.6,"2020年式 / 1.5 15RX V セレクション / 32,000km / 沖縄県",2020年式,1.5 15RX V セレクション,"32,000km",沖縄県,manen
nissan-juke,ジューク,root,root,"33,000km",33000,33000,4,33.5,97.0,76.4,87.5,78.0,97.0,97.0,"2013年式 / 1.6 NISMO 4WD / 33,000km / 岡山県",2013年式,1.6 NISMO 4WD,"33,000km",岡山県,manen
nissan-juke,ジューク,root,root,"34,000km",34000,34000,10,19.2,113.5,58.2,44.5,26.4,87.7,113.5,"2018年式 / 1.5 15RX V アーバンセレクション / 34,000km / 福島県",2018年式,1.5 15RX V アーバンセレクション,"34,000km",福島県,manen
nissan-juke,ジューク,root,root,"35,000km",35000,35000,7,22.1,90.5,58.0,56.0,42.0,81.1,90.5,"2016年式 / 1.5 15RX V セレクション / 35,000km / 広島県",2016年式,1.5 15RX V セレクション,"35,000km",広島県,manen
nissan-juke,ジューク,root,root,"36,000km",36000,36000,3,51.7,89.5,67.4,61.0,51.7,89.5,89.5,"2019年式 / 1.5 15RX V セレクション パーソナライゼーション / 36,000km / 長崎県",2019年式,1.5 15RX V セレクション パーソナライゼーション,"36,000km",長崎県,manen
nissan-juke,ジューク,root,root,"37,000km",37000,37000,5,32.3,101.0,70.1,69.0,57.0,91.0,101.0,"2019年式 / 1.5 15RX シンプルパッケージ / 37,000km / 佐賀県",2019年式,1.5 15RX シンプルパッケージ,"37,000km",佐賀県,manen
nissan-juke,ジューク,root,root,"38,000km",38000,38000,8,37.2,108.0,60.4,42.8,38.7,83.0,108.0,"2018年式 / 1.5 15RX V セレクション / 38,000km / 香川県",2018年式,1.5 15RX V セレクション,"38,000km",香川県,manen
nissan-juke,ジューク,root,root,"39,000km",39000,39000,10,57.0,91.5,75.2,76.5,61.6,85.0,91.5,"2019年式 / 1.5 15RX Vセレクション スタイルNISMO / 39,000km / 東京都",2019年式,1.5 15RX Vセレクション スタイルNISMO,"39,000km",東京都,manen
nissan-juke,ジューク,root,root,4万km,40000,40000,8,22.6,114.5,83.7,93.7,91.7,104.0,114.5,2018年式 / 1.5 15RX Vセレクション スタイルNISMO / 4万km / 徳島県,2018年式,1.5 15RX Vセレクション スタイルNISMO,4万km,徳島県,manen
nissan-juke,ジューク,root,root,"41,000km",41000,41000,10,56.5,109.6,84.7,82.2,78.3,95.1,109.6,"2019年式 / 1.5 15RX Vセレクション スタイルNISMO / 41,000km / 鳥取県",2019年式,1.5 15RX Vセレクション スタイルNISMO,"41,000km",鳥取県,manen
nissan-juke,ジューク,root,root,"42,000km",42000,42000,7,33.5,70.0,49.5,46.5,44.0,48.6,70.0,"2016年式 / 1.6 16GT ドレスアップ / 42,000km / 福岡県",2016年式,1.6 16GT ドレスアップ,"42,000km",福岡県,manen
nissan-juke,ジューク,root,root,"43,000km",43000,43000,6,55.0,103.6,83.1,86.4,73.5,93.5,103.6,"2017年式 / 1.5 15RX アーバンセレクション / 43,000km / 富山県",2017年式,1.5 15RX アーバンセレクション,"43,000km",富山県,manen
nissan-juke,ジューク,root,root,"44,000km",44000,44000,10,33.0,84.1,58.7,58.8,39.3,79.2,84.1,"2018年式 / 1.5 15RX V セレクション / 44,000km / 奈良県",2018年式,1.5 15RX V セレクション,"44,000km",奈良県,manen
nissan-juke,ジューク,root,root,"45,000km",45000,45000,14,25.7,113.2,49.3,50.5,27.9,53.8,113.2,"2018年式 / 1.6 16GT ドレスアップ / 45,000km / 和歌山県",2018年式,1.6 16GT ドレスアップ,"45,000km",和歌山県,manen
nissan-juke,ジューク,root,root,"46,000km",46000,46000,10,40.0,103.0,79.0,79.5,72.3,91.1,103.0,"2020年式 / 1.5 15RX V セレクション / 46,000km / 宮崎県",2020年式,1.5 15RX V セレクション,"46,000km",宮崎県,manen
nissan-juke,ジューク,root,root,"47,000km",47000,47000,7,19.9,117.5,57.1,46.9,29.5,59.0,117.5,"2020年式 / 1.5 15RX Vセレクション スタイルNISMO アラウンドビューモニターパッケージ / 47,000km / 大分県",2020年式,1.5 15RX Vセレクション スタイルNISMO アラウンドビューモニターパッケージ,"47,000km",大分県,manen
nissan-juke,ジューク,root,root,"48,000km",48000,48000,16,35.1,98.0,70.5,74.5,55.2,81.5,98.0,"2019年式 / 1.5 15RX Vセレクション スタイルNISMO / 48,000km / 岩手県",2019年式,1.5 15RX Vセレクション スタイルNISMO,"48,000km",岩手県,manen
nissan-juke,ジューク,root,root,"49,000km",49000,49000,14,22.5,106.7,54.8,37.3,26.1,86.5,106.7,"2019年式 / 1.5 15RX V アーバンセレクション / 49,000km / 茨城県",2019年式,1.5 15RX V アーバンセレクション,"49,000km",茨城県,manen
