model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-kicks,キックス,root,root,0万km,0,0,10,15.5,276.6,213.8,228.6,219.3,241.0,276.6,2023年式 / 1.2 AUTECH (e-POWER) 4WD / 0万km / 徳島県,2023年式,1.2 AUTECH (e-POWER) 4WD,0万km,徳島県,manen
nissan-kicks,キックス,root,root,"1,000km",1000,1000,12,148.0,256.0,222.4,221.7,218.7,230.0,256.0,"2023年式 / 1.2 AUTECH (e-POWER) / 1,000km / 熊本県",2023年式,1.2 AUTECH (e-POWER),"1,000km",熊本県,manen
nissan-kicks,キックス,root,root,"2,000km",2000,2000,16,208.5,270.5,228.2,224.8,220.1,232.0,270.5,"2022年式 / 1.2 X FOUR ツートーン インテリアエディション(e-POWER) 4WD / 2,000km / 福島県",2022年式,1.2 X FOUR ツートーン インテリアエディション(e-POWER) 4WD,"2,000km",福島県,manen
nissan-kicks,キックス,root,root,"3,000km",3000,3000,23,23.8,283.1,219.0,225.1,216.5,239.5,283.1,"2024年式 / 1.2 X FOUR スタイルエディション(e-POWER) 4WD / 3,000km / 三重県",2024年式,1.2 X FOUR スタイルエディション(e-POWER) 4WD,"3,000km",三重県,manen
nissan-kicks,キックス,root,root,"4,000km",4000,4000,15,72.0,281.0,223.0,228.8,226.5,242.0,281.0,"2024年式 / 1.2 X FOUR ツートーン インテリアエディション(e-POWER) 4WD / 4,000km / 埼玉県",2024年式,1.2 X FOUR ツートーン インテリアエディション(e-POWER) 4WD,"4,000km",埼玉県,manen
nissan-kicks,キックス,root,root,"5,000km",5000,5000,14,156.0,241.5,214.1,215.1,207.0,233.3,241.5,"2022年式 / 1.2 X ツートーン インテリアエディション (e-POWER) / 5,000km / 神奈川県",2022年式,1.2 X ツートーン インテリアエディション (e-POWER),"5,000km",神奈川県,manen
nissan-kicks,キックス,root,root,"6,000km",6000,6000,20,207.3,272.0,230.3,228.1,222.0,237.5,272.0,"2024年式 / 1.2 AUTECH (e-POWER) / 6,000km / 熊本県",2024年式,1.2 AUTECH (e-POWER),"6,000km",熊本県,manen
nissan-kicks,キックス,root,root,"7,000km",7000,7000,12,150.0,266.5,221.4,232.2,204.3,239.0,266.5,"2022年式 / 1.2 AUTECH (e-POWER) 4WD / 7,000km / 香川県",2022年式,1.2 AUTECH (e-POWER) 4WD,"7,000km",香川県,manen
nissan-kicks,キックス,root,root,"8,000km",8000,8000,18,171.4,267.5,213.7,211.3,201.5,226.0,267.5,"2021年式 / 1.2 AUTECH (e-POWER) / 8,000km / 秋田県",2021年式,1.2 AUTECH (e-POWER),"8,000km",秋田県,manen
nissan-kicks,キックス,root,root,"9,000km",9000,9000,15,76.0,259.0,209.7,224.7,213.8,237.5,259.0,"2024年式 / 1.2 AUTECH (e-POWER) / 9,000km / 三重県",2024年式,1.2 AUTECH (e-POWER),"9,000km",三重県,manen
nissan-kicks,キックス,root,root,1万km,10000,10000,13,77.0,251.5,201.2,224.0,202.3,230.3,251.5,2023年式 / 1.2 X FOUR スタイルエディション(e-POWER) 4WD / 1万km / 山形県,2023年式,1.2 X FOUR スタイルエディション(e-POWER) 4WD,1万km,山形県,manen
nissan-kicks,キックス,root,root,"11,000km",11000,11000,14,42.0,260.2,196.5,207.8,188.3,223.8,260.2,"2022年式 / 1.2 AUTECH (e-POWER) 4WD / 11,000km / 兵庫県",2022年式,1.2 AUTECH (e-POWER) 4WD,"11,000km",兵庫県,manen
nissan-kicks,キックス,root,root,"12,000km",12000,12000,22,159.7,227.0,206.6,206.5,200.0,216.0,227.0,"2021年式 / 1.2 X ツートーン インテリアエディション (e-POWER) / 12,000km / 和歌山県",2021年式,1.2 X ツートーン インテリアエディション (e-POWER),"12,000km",和歌山県,manen
nissan-kicks,キックス,root,root,"13,000km",13000,13000,17,152.8,234.0,201.5,213.3,181.8,227.7,234.0,"2022年式 / 1.2 X (e-POWER) / 13,000km / 山口県",2022年式,1.2 X (e-POWER),"13,000km",山口県,manen
nissan-kicks,キックス,root,root,"14,000km",14000,14000,10,158.5,244.0,198.9,201.2,166.3,225.0,244.0,"2024年式 / 1.2 X 90周年記念車 (e-POWER) / 14,000km / 高知県",2024年式,1.2 X 90周年記念車 (e-POWER),"14,000km",高知県,manen
nissan-kicks,キックス,root,root,"15,000km",15000,15000,16,157.1,281.0,216.4,217.0,200.5,224.6,281.0,"2022年式 / 1.2 AUTECH (e-POWER) 4WD / 15,000km / 埼玉県",2022年式,1.2 AUTECH (e-POWER) 4WD,"15,000km",埼玉県,manen
nissan-kicks,キックス,root,root,"16,000km",16000,16000,10,73.4,243.5,183.6,192.2,172.9,205.0,243.5,"2022年式 / 1.2 AUTECH (e-POWER) / 16,000km / 静岡県",2022年式,1.2 AUTECH (e-POWER),"16,000km",静岡県,manen
nissan-kicks,キックス,root,root,"17,000km",17000,17000,14,17.6,234.5,187.0,218.8,193.0,224.5,234.5,"2023年式 / 1.2 X スタイルエディション (e-POWER) / 17,000km / 佐賀県",2023年式,1.2 X スタイルエディション (e-POWER),"17,000km",佐賀県,manen
nissan-kicks,キックス,root,root,"18,000km",18000,18000,16,63.8,234.5,189.3,199.8,194.5,208.0,234.5,"2024年式 / 1.2 X ツートーン インテリアエディション (e-POWER) / 18,000km / 埼玉県",2024年式,1.2 X ツートーン インテリアエディション (e-POWER),"18,000km",埼玉県,manen
nissan-kicks,キックス,root,root,"19,000km",19000,19000,19,132.4,235.5,194.5,201.0,182.0,221.0,235.5,"2022年式 / 1.2 X スタイルエディション (e-POWER) / 19,000km / 山形県",2022年式,1.2 X スタイルエディション (e-POWER),"19,000km",山形県,manen
nissan-kicks,キックス,root,root,2万km,20000,20000,16,45.9,232.9,156.4,168.0,123.5,201.6,232.9,2023年式 / 1.2 X FOUR (e-POWER) 4WD / 2万km / 愛媛県,2023年式,1.2 X FOUR (e-POWER) 4WD,2万km,愛媛県,manen
nissan-kicks,キックス,root,root,"21,000km",21000,21000,17,14.0,225.5,171.0,194.0,152.5,201.8,225.5,"2021年式 / 1.2 X (e-POWER) / 21,000km / 青森県",2021年式,1.2 X (e-POWER),"21,000km",青森県,manen
nissan-kicks,キックス,root,root,"22,000km",22000,22000,13,159.0,223.9,190.3,189.5,179.5,203.1,223.9,"2022年式 / 1.2 AUTECH (e-POWER) / 22,000km / 山口県",2022年式,1.2 AUTECH (e-POWER),"22,000km",山口県,manen
nissan-kicks,キックス,root,root,"23,000km",23000,23000,11,171.5,232.9,190.2,184.0,176.6,200.0,232.9,"2021年式 / 1.2 X ツートーン インテリアエディション (e-POWER) / 23,000km / 広島県",2021年式,1.2 X ツートーン インテリアエディション (e-POWER),"23,000km",広島県,manen
nissan-kicks,キックス,root,root,"24,000km",24000,24000,9,126.0,235.0,184.7,187.5,185.2,193.8,235.0,"2023年式 / 1.2 AUTECH (e-POWER) 4WD / 24,000km / 長崎県",2023年式,1.2 AUTECH (e-POWER) 4WD,"24,000km",長崎県,manen
nissan-kicks,キックス,root,root,"25,000km",25000,25000,8,26.9,218.0,169.8,189.4,160.0,209.1,218.0,"2022年式 / 1.2 X (e-POWER) / 25,000km / 山梨県",2022年式,1.2 X (e-POWER),"25,000km",山梨県,manen
