model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-kicks,キックス,,2025,2025年式,root,root,14,152.5,246.5,221.1,226.2,219.5,232.0,246.5,"2025年式 / 1.2 X 90周年記念車 (e-POWER) / 1,000km / 秋田県",2025年式,1.2 X 90周年記念車 (e-POWER),"1,000km",秋田県,manen
nissan-kicks,キックス,,2024,2024年式,root,root,50,141.9,283.1,225.2,228.2,212.2,241.0,283.1,"2024年式 / 1.2 X FOUR スタイルエディション(e-POWER) 4WD / 3,000km / 三重県",2024年式,1.2 X FOUR スタイルエディション(e-POWER) 4WD,"3,000km",三重県,manen
nissan-kicks,キックス,,2023,2023年式,root,root,95,23.8,276.9,208.6,213.0,195.0,224.1,276.9,"2023年式 / 1.2 AUTECH (e-POWER) 4WD / 4,000km / 北海道",2023年式,1.2 AUTECH (e-POWER) 4WD,"4,000km",北海道,manen
nissan-kicks,キックス,,2022,2022年式,root,root,160,99.7,281.0,195.0,198.6,171.0,222.0,281.0,"2022年式 / 1.2 AUTECH (e-POWER) 4WD / 15,000km / 埼玉県",2022年式,1.2 AUTECH (e-POWER) 4WD,"15,000km",埼玉県,manen
nissan-kicks,キックス,,2021,2021年式,root,root,149,17.6,267.5,174.2,178.0,148.6,202.0,267.5,"2021年式 / 1.2 AUTECH (e-POWER) / 8,000km / 秋田県",2021年式,1.2 AUTECH (e-POWER),"8,000km",秋田県,manen
nissan-kicks,キックス,,2020,2020年式,root,root,140,70.2,242.0,168.9,171.0,141.6,195.0,242.0,"2020年式 / 1.2 X ツートーン インテリアエディション (e-POWER) / 4,000km / 栃木県",2020年式,1.2 X ツートーン インテリアエディション (e-POWER),"4,000km",栃木県,manen
nissan-kicks,キックス,,2019,2019年式,root,root,2,209.7,221.8,215.8,215.8,209.7,221.8,221.8,"2019年式 / 1.2 X (e-POWER) / 1,000km / 栃木県",2019年式,1.2 X (e-POWER),"1,000km",栃木県,manen
nissan-kicks,キックス,,2015,2015年式,root,root,1,67.7,67.7,67.7,67.7,67.7,67.7,67.7,"2015年式 / RX 4WD / 57,000km / 島根県",2015年式,RX 4WD,"57,000km",島根県,manen
nissan-kicks,キックス,,2012,2012年式,root,root,51,6.1,76.3,41.4,38.0,25.5,60.5,76.3,"2012年式 / RX 4WD / 38,000km / 鹿児島県",2012年式,RX 4WD,"38,000km",鹿児島県,manen
nissan-kicks,キックス,,2011,2011年式,root,root,77,5.4,84.0,34.9,29.6,20.0,48.6,84.0,"2011年式 / RX 4WD / 49,000km / 沖縄県",2011年式,RX 4WD,"49,000km",沖縄県,manen
nissan-kicks,キックス,,2010,2010年式,root,root,72,5.0,77.2,32.3,32.4,23.0,38.5,77.2,"2010年式 / RX 4WD / 35,000km / 滋賀県",2010年式,RX 4WD,"35,000km",滋賀県,manen
nissan-kicks,キックス,,2009,2009年式,root,root,129,5.0,77.0,28.9,26.2,17.5,38.2,77.0,2009年式 / RX 4WD / 1万km / 兵庫県,2009年式,RX 4WD,1万km,兵庫県,manen
nissan-kicks,キックス,,2008,2008年式,root,root,57,5.0,61.5,24.9,23.7,15.2,32.5,61.5,"2008年式 / RX 4WD / 38,000km / 和歌山県",2008年式,RX 4WD,"38,000km",和歌山県,manen
nissan-kicks,キックス,,2007,2007年式,root,root,3,14.5,22.8,17.6,15.5,14.5,22.8,22.8,"2007年式 / RX 4WD / 85,000km / 新潟県",2007年式,RX 4WD,"85,000km",新潟県,manen
