model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-lafesta,ラフェスタ,root,root,0万km,0,0,1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2007年式 / 2.0 ハイウェイスター / 0万km / 山梨県,2007年式,2.0 ハイウェイスター,0万km,山梨県,manen
nissan-lafesta,ラフェスタ,root,root,"9,000km",9000,9000,1,19.8,19.8,19.8,19.8,19.8,19.8,19.8,"2009年式 / 2.0 20G / 9,000km / 熊本県",2009年式,2.0 20G,"9,000km",熊本県,manen
nissan-lafesta,ラフェスタ,root,root,1万km,10000,10000,1,16.6,16.6,16.6,16.6,16.6,16.6,16.6,2010年式 / 2.0 ハイウェイスター / 1万km / 奈良県,2010年式,2.0 ハイウェイスター,1万km,奈良県,manen
nissan-lafesta,ラフェスタ,root,root,"13,000km",13000,13000,2,12.4,12.4,12.4,12.4,12.4,12.4,12.4,"2004年式 / 2.0 20M / 13,000km / 徳島県",2004年式,2.0 20M,"13,000km",徳島県,manen
nissan-lafesta,ラフェスタ,root,root,"15,000km",15000,15000,1,10.2,10.2,10.2,10.2,10.2,10.2,10.2,"2011年式 / 2.0 ジョイ X / 15,000km / 東京都",2011年式,2.0 ジョイ X,"15,000km",東京都,manen
nissan-lafesta,ラフェスタ,root,root,"16,000km",16000,16000,3,5.0,12.8,10.2,12.8,5.0,12.8,12.8,"2007年式 / 2.0 20G / 16,000km / 奈良県",2007年式,2.0 20G,"16,000km",奈良県,manen
nissan-lafesta,ラフェスタ,root,root,"17,000km",17000,17000,1,22.6,22.6,22.6,22.6,22.6,22.6,22.6,"2010年式 / 2.0 ハイウェイスター / 17,000km / 山形県",2010年式,2.0 ハイウェイスター,"17,000km",山形県,manen
nissan-lafesta,ラフェスタ,root,root,"18,000km",18000,18000,3,20.0,33.9,25.5,22.5,20.0,33.9,33.9,"2004年式 / 2.0 20S パノラミックルーフレス仕様 / 18,000km / 熊本県",2004年式,2.0 20S パノラミックルーフレス仕様,"18,000km",熊本県,manen
nissan-lafesta,ラフェスタ,root,root,"19,000km",19000,19000,1,26.0,26.0,26.0,26.0,26.0,26.0,26.0,"2010年式 / 2.0 ジョイ X / 19,000km / 徳島県",2010年式,2.0 ジョイ X,"19,000km",徳島県,manen
nissan-lafesta,ラフェスタ,root,root,2万km,20000,20000,1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,2006年式 / 2.0 20G / 2万km / 大阪府,2006年式,2.0 20G,2万km,大阪府,manen
nissan-lafesta,ラフェスタ,root,root,"21,000km",21000,21000,3,5.9,16.6,13.0,16.6,5.9,16.6,16.6,"2007年式 / 2.0 20S / 21,000km / 三重県",2007年式,2.0 20S,"21,000km",三重県,manen
nissan-lafesta,ラフェスタ,root,root,"22,000km",22000,22000,4,10.5,30.4,18.7,16.9,10.8,23.1,30.4,"2010年式 / 2.0 ジョイ X / 22,000km / 愛媛県",2010年式,2.0 ジョイ X,"22,000km",愛媛県,manen
nissan-lafesta,ラフェスタ,root,root,"23,000km",23000,23000,1,12.0,12.0,12.0,12.0,12.0,12.0,12.0,"2008年式 / 2.0 20S / 23,000km / 愛知県",2008年式,2.0 20S,"23,000km",愛知県,manen
nissan-lafesta,ラフェスタ,root,root,"24,000km",24000,24000,4,5.0,18.7,11.0,10.1,5.0,15.2,18.7,"2009年式 / 2.0 ライダー / 24,000km / 東京都",2009年式,2.0 ライダー,"24,000km",東京都,manen
nissan-lafesta,ラフェスタ,root,root,"25,000km",25000,25000,6,6.8,33.3,17.4,10.7,9.3,33.3,33.3,"2011年式 / 2.0 ジョイ X / 25,000km / 佐賀県",2011年式,2.0 ジョイ X,"25,000km",佐賀県,manen
nissan-lafesta,ラフェスタ,root,root,"26,000km",26000,26000,6,15.1,33.2,26.1,26.8,21.4,33.2,33.2,"2008年式 / 2.0 ハイウェイスター / 26,000km / 熊本県",2008年式,2.0 ハイウェイスター,"26,000km",熊本県,manen
nissan-lafesta,ラフェスタ,root,root,"27,000km",27000,27000,7,6.2,25.0,12.5,8.1,8.1,15.9,25.0,"2009年式 / 2.0 ジョイ X / 27,000km / 長崎県",2009年式,2.0 ジョイ X,"27,000km",長崎県,manen
nissan-lafesta,ラフェスタ,root,root,"28,000km",28000,28000,3,11.2,24.7,16.1,12.4,11.2,24.7,24.7,"2007年式 / 2.0 20G / 28,000km / 鹿児島県",2007年式,2.0 20G,"28,000km",鹿児島県,manen
nissan-lafesta,ラフェスタ,root,root,"29,000km",29000,29000,2,5.1,20.4,12.8,12.8,5.1,20.4,20.4,"2009年式 / 2.0 20S / 29,000km / 鹿児島県",2009年式,2.0 20S,"29,000km",鹿児島県,manen
nissan-lafesta,ラフェスタ,root,root,3万km,30000,30000,5,5.0,22.8,14.2,12.5,8.7,22.0,22.8,2010年式 / 2.0 ジョイ X / 3万km / 群馬県,2010年式,2.0 ジョイ X,3万km,群馬県,manen
nissan-lafesta,ラフェスタ,root,root,"31,000km",31000,31000,4,5.0,38.5,15.2,8.6,5.1,12.1,38.5,"2010年式 / 2.0 ジョイ X / 31,000km / 石川県",2010年式,2.0 ジョイ X,"31,000km",石川県,manen
nissan-lafesta,ラフェスタ,root,root,"32,000km",32000,32000,5,7.8,28.5,18.1,21.6,8.0,24.6,28.5,"2008年式 / 2.0 20S / 32,000km / 奈良県",2008年式,2.0 20S,"32,000km",奈良県,manen
nissan-lafesta,ラフェスタ,root,root,"33,000km",33000,33000,14,5.0,36.6,23.2,23.9,14.1,32.4,36.6,"2009年式 / 2.0 ジョイ X 4WD / 33,000km / 東京都",2009年式,2.0 ジョイ X 4WD,"33,000km",東京都,manen
nissan-lafesta,ラフェスタ,root,root,"34,000km",34000,34000,3,5.0,17.2,11.9,13.5,5.0,17.2,17.2,"2009年式 / 2.0 ジョイ X / 34,000km / 岡山県",2009年式,2.0 ジョイ X,"34,000km",岡山県,manen
nissan-lafesta,ラフェスタ,root,root,"35,000km",35000,35000,3,5.0,22.8,11.5,6.6,5.0,22.8,22.8,"2010年式 / 2.0 ジョイ G / 35,000km / 新潟県",2010年式,2.0 ジョイ G,"35,000km",新潟県,manen
nissan-lafesta,ラフェスタ,root,root,"36,000km",36000,36000,7,5.0,24.5,14.8,16.6,8.1,19.3,24.5,"2011年式 / 2.0 ジョイ X / 36,000km / 岩手県",2011年式,2.0 ジョイ X,"36,000km",岩手県,manen
nissan-lafesta,ラフェスタ,root,root,"37,000km",37000,37000,6,9.2,29.0,18.7,17.1,10.7,28.9,29.0,"2009年式 / 2.0 20G / 37,000km / 島根県",2009年式,2.0 20G,"37,000km",島根県,manen
nissan-lafesta,ラフェスタ,root,root,"38,000km",38000,38000,8,5.0,27.3,14.1,13.9,5.0,20.7,27.3,"2011年式 / 2.0 ジョイ X / 38,000km / 群馬県",2011年式,2.0 ジョイ X,"38,000km",群馬県,manen
nissan-lafesta,ラフェスタ,root,root,"39,000km",39000,39000,5,5.4,25.2,15.6,19.2,6.0,22.2,25.2,"2012年式 / 2.0 ジョイ X / 39,000km / 岐阜県",2012年式,2.0 ジョイ X,"39,000km",岐阜県,manen
nissan-lafesta,ラフェスタ,root,root,4万km,40000,40000,14,5.0,22.0,12.4,12.3,7.6,15.9,22.0,2008年式 / 2.0 ハイウェイスター / 4万km / 千葉県,2008年式,2.0 ハイウェイスター,4万km,千葉県,manen
nissan-lafesta,ラフェスタ,root,root,"41,000km",41000,41000,11,5.0,36.3,17.0,10.5,7.4,29.0,36.3,"2008年式 / 2.0 ライダー / 41,000km / 熊本県",2008年式,2.0 ライダー,"41,000km",熊本県,manen
nissan-lafesta,ラフェスタ,root,root,"42,000km",42000,42000,14,5.0,27.5,16.5,17.2,9.8,25.2,27.5,"2007年式 / 2.0 20S / 42,000km / 和歌山県",2007年式,2.0 20S,"42,000km",和歌山県,manen
nissan-lafesta,ラフェスタ,root,root,"43,000km",43000,43000,11,5.0,33.4,13.8,10.2,7.5,18.9,33.4,"2009年式 / 2.0 ジョイ G / 43,000km / 長崎県",2009年式,2.0 ジョイ G,"43,000km",長崎県,manen
nissan-lafesta,ラフェスタ,root,root,"44,000km",44000,44000,8,5.0,34.5,15.3,13.4,5.0,20.1,34.5,"2008年式 / 2.0 ハイウェイスター / 44,000km / 愛媛県",2008年式,2.0 ハイウェイスター,"44,000km",愛媛県,manen
nissan-lafesta,ラフェスタ,root,root,"45,000km",45000,45000,12,5.1,30.0,16.2,15.2,9.3,23.2,30.0,"2011年式 / 2.0 ジョイ X / 45,000km / 茨城県",2011年式,2.0 ジョイ X,"45,000km",茨城県,manen
nissan-lafesta,ラフェスタ,root,root,"46,000km",46000,46000,13,6.6,29.5,16.5,13.4,11.8,20.1,29.5,"2010年式 / 2.0 ジョイ X / 46,000km / 鹿児島県",2010年式,2.0 ジョイ X,"46,000km",鹿児島県,manen
nissan-lafesta,ラフェスタ,root,root,"47,000km",47000,47000,13,5.0,33.0,17.7,17.1,9.9,25.5,33.0,"2011年式 / 2.0 ジョイ X / 47,000km / 富山県",2011年式,2.0 ジョイ X,"47,000km",富山県,manen
nissan-lafesta,ラフェスタ,root,root,"48,000km",48000,48000,9,5.0,32.5,15.8,14.4,10.3,17.0,32.5,"2007年式 / 2.0 ハイウェイスター / 48,000km / 佐賀県",2007年式,2.0 ハイウェイスター,"48,000km",佐賀県,manen
nissan-lafesta,ラフェスタ,root,root,"49,000km",49000,49000,3,16.5,21.3,19.6,21.0,16.5,21.3,21.3,"2010年式 / 2.0 ジョイ X / 49,000km / 石川県",2010年式,2.0 ジョイ X,"49,000km",石川県,manen
nissan-lafesta,ラフェスタ,root,root,5万km,50000,50000,13,5.0,31.2,13.1,9.9,6.6,17.4,31.2,2001年式 / 2.0 ジョイ X / 5万km / 新潟県,2001年式,2.0 ジョイ X,5万km,新潟県,manen
nissan-lafesta,ラフェスタ,root,root,"51,000km",51000,51000,15,5.1,29.1,12.1,9.3,8.7,15.0,29.1,"2011年式 / 2.0 ジョイ X / 51,000km / 広島県",2011年式,2.0 ジョイ X,"51,000km",広島県,manen
nissan-lafesta,ラフェスタ,root,root,"52,000km",52000,52000,12,6.8,33.6,16.9,14.0,10.8,18.3,33.6,"2010年式 / 2.0 ジョイ X / 52,000km / 長崎県",2010年式,2.0 ジョイ X,"52,000km",長崎県,manen
nissan-lafesta,ラフェスタ,root,root,"53,000km",53000,53000,6,5.0,18.0,12.2,12.9,6.8,17.4,18.0,"2008年式 / 2.0 20S / 53,000km / 鹿児島県",2008年式,2.0 20S,"53,000km",鹿児島県,manen
nissan-lafesta,ラフェスタ,root,root,"54,000km",54000,54000,5,5.0,28.8,14.1,13.6,7.1,16.0,28.8,"2009年式 / 2.0 ジョイ G / 54,000km / 福岡県",2009年式,2.0 ジョイ G,"54,000km",福岡県,manen
nissan-lafesta,ラフェスタ,root,root,"55,000km",55000,55000,11,5.0,22.0,10.8,7.2,5.0,15.3,22.0,"2012年式 / 2.0 ジョイ X / 55,000km / 兵庫県",2012年式,2.0 ジョイ X,"55,000km",兵庫県,manen
nissan-lafesta,ラフェスタ,root,root,"56,000km",56000,56000,10,6.7,30.9,16.6,14.0,9.2,27.6,30.9,"2008年式 / 2.0 ハイウェイスター / 56,000km / 和歌山県",2008年式,2.0 ハイウェイスター,"56,000km",和歌山県,manen
nissan-lafesta,ラフェスタ,root,root,"57,000km",57000,57000,12,5.8,34.2,18.6,17.4,11.1,25.0,34.2,"2008年式 / 2.0 20G 4WD / 57,000km / 長野県",2008年式,2.0 20G 4WD,"57,000km",長野県,manen
nissan-lafesta,ラフェスタ,root,root,"58,000km",58000,58000,14,5.0,23.5,10.5,8.2,6.1,14.7,23.5,"2009年式 / 2.0 ジョイ G / 58,000km / 山口県",2009年式,2.0 ジョイ G,"58,000km",山口県,manen
nissan-lafesta,ラフェスタ,root,root,"59,000km",59000,59000,15,5.0,23.7,13.8,13.7,9.6,16.8,23.7,"2012年式 / 2.0 ジョイ X / 59,000km / 富山県",2012年式,2.0 ジョイ X,"59,000km",富山県,manen
nissan-lafesta,ラフェスタ,root,root,6万km,60000,60000,7,5.2,26.0,12.3,9.1,8.8,11.4,26.0,2010年式 / 2.0 ハイウェイスター / 6万km / 埼玉県,2010年式,2.0 ハイウェイスター,6万km,埼玉県,manen
nissan-lafesta,ラフェスタ,root,root,"61,000km",61000,61000,7,5.0,16.2,8.2,6.8,5.1,9.2,16.2,"2010年式 / 2.0 20G パノラミックルーフレス仕様 / 61,000km / 滋賀県",2010年式,2.0 20G パノラミックルーフレス仕様,"61,000km",滋賀県,manen
nissan-lafesta,ラフェスタ,root,root,"62,000km",62000,62000,10,5.8,22.5,10.3,8.6,7.9,9.9,22.5,"2007年式 / 2.0 20G / 62,000km / 大阪府",2007年式,2.0 20G,"62,000km",大阪府,manen
nissan-lafesta,ラフェスタ,root,root,"63,000km",63000,63000,9,5.7,20.8,13.8,14.0,11.5,17.1,20.8,"2010年式 / 2.0 ハイウェイスター / 63,000km / 佐賀県",2010年式,2.0 ハイウェイスター,"63,000km",佐賀県,manen
nissan-lafesta,ラフェスタ,root,root,"64,000km",64000,64000,11,5.0,27.6,12.2,10.2,6.0,17.4,27.6,"2011年式 / 2.0 ジョイ X / 64,000km / 大分県",2011年式,2.0 ジョイ X,"64,000km",大分県,manen
nissan-lafesta,ラフェスタ,root,root,"65,000km",65000,65000,14,5.3,18.1,10.7,10.2,6.6,14.9,18.1,"2007年式 / 2.0 20G 4WD / 65,000km / 兵庫県",2007年式,2.0 20G 4WD,"65,000km",兵庫県,manen
nissan-lafesta,ラフェスタ,root,root,"66,000km",66000,66000,14,4.2,27.5,13.3,11.8,8.8,16.0,27.5,"2009年式 / 2.0 ジョイ X / 66,000km / 佐賀県",2009年式,2.0 ジョイ X,"66,000km",佐賀県,manen
nissan-lafesta,ラフェスタ,root,root,"67,000km",67000,67000,10,5.0,22.7,12.2,11.1,5.0,18.0,22.7,"2007年式 / 2.0 20G / 67,000km / 高知県",2007年式,2.0 20G,"67,000km",高知県,manen
nissan-lafesta,ラフェスタ,root,root,"68,000km",68000,68000,8,5.0,26.1,12.6,10.8,8.4,14.4,26.1,"2011年式 / 2.0 ジョイ X 4WD / 68,000km / 静岡県",2011年式,2.0 ジョイ X 4WD,"68,000km",静岡県,manen
nissan-lafesta,ラフェスタ,root,root,"69,000km",69000,69000,3,11.2,19.2,15.8,17.1,11.2,19.2,19.2,"2009年式 / 2.0 ハイウェイスター / 69,000km / 大阪府",2009年式,2.0 ハイウェイスター,"69,000km",大阪府,manen
nissan-lafesta,ラフェスタ,root,root,7万km,70000,70000,12,6.0,16.0,10.2,9.1,8.6,12.8,16.0,2011年式 / 2.0 ジョイ X / 7万km / 埼玉県,2011年式,2.0 ジョイ X,7万km,埼玉県,manen
nissan-lafesta,ラフェスタ,root,root,"71,000km",71000,71000,9,5.0,27.5,15.4,15.2,8.2,19.0,27.5,"2010年式 / 2.0 ハイウェイスター / 71,000km / 山梨県",2010年式,2.0 ハイウェイスター,"71,000km",山梨県,manen
nissan-lafesta,ラフェスタ,root,root,"72,000km",72000,72000,16,5.0,26.0,10.3,8.8,5.7,10.9,26.0,"2011年式 / 2.0 ジョイ X / 72,000km / 新潟県",2011年式,2.0 ジョイ X,"72,000km",新潟県,manen
nissan-lafesta,ラフェスタ,root,root,"73,000km",73000,73000,8,5.0,14.0,7.9,7.2,7.1,8.4,14.0,"2010年式 / 2.0 ハイウェイスター / 73,000km / 岐阜県",2010年式,2.0 ハイウェイスター,"73,000km",岐阜県,manen
nissan-lafesta,ラフェスタ,root,root,"74,000km",74000,74000,16,5.0,24.6,10.1,7.7,5.1,13.6,24.6,"2010年式 / 2.0 ハイウェイスター / 74,000km / 香川県",2010年式,2.0 ハイウェイスター,"74,000km",香川県,manen
nissan-lafesta,ラフェスタ,root,root,"75,000km",75000,75000,7,5.0,17.0,8.5,7.2,7.1,7.5,17.0,"2006年式 / 2.0 20S Pセレクション / 75,000km / 沖縄県",2006年式,2.0 20S Pセレクション,"75,000km",沖縄県,manen
nissan-lafesta,ラフェスタ,root,root,"76,000km",76000,76000,8,8.2,24.4,15.3,16.2,9.8,17.5,24.4,"2010年式 / 2.0 ライダー / 76,000km / 宮崎県",2010年式,2.0 ライダー,"76,000km",宮崎県,manen
nissan-lafesta,ラフェスタ,root,root,"77,000km",77000,77000,7,8.7,14.5,10.9,10.6,8.7,11.2,14.5,"2010年式 / 2.0 ジョイ G / 77,000km / 大阪府",2010年式,2.0 ジョイ G,"77,000km",大阪府,manen
nissan-lafesta,ラフェスタ,root,root,"78,000km",78000,78000,11,5.7,18.8,11.2,9.1,7.8,14.4,18.8,"2009年式 / 2.0 ジョイ G / 78,000km / 高知県",2009年式,2.0 ジョイ G,"78,000km",高知県,manen
nissan-lafesta,ラフェスタ,root,root,"79,000km",79000,79000,13,5.3,18.5,10.1,9.3,7.2,12.2,18.5,"2010年式 / 2.0 ジョイ X / 79,000km / 東京都",2010年式,2.0 ジョイ X,"79,000km",東京都,manen
nissan-lafesta,ラフェスタ,root,root,8万km,80000,80000,13,5.0,24.0,11.3,9.9,6.1,13.0,24.0,2008年式 / 2.0 ジョイ G / 8万km / 岐阜県,2008年式,2.0 ジョイ G,8万km,岐阜県,manen
nissan-lafesta,ラフェスタ,root,root,"81,000km",81000,81000,14,5.2,18.7,9.8,9.4,6.0,10.8,18.7,"2008年式 / 2.0 ハイウェイスター 4WD / 81,000km / 愛媛県",2008年式,2.0 ハイウェイスター 4WD,"81,000km",愛媛県,manen
nissan-lafesta,ラフェスタ,root,root,"82,000km",82000,82000,6,4.7,18.1,10.7,10.0,6.4,15.0,18.1,"2009年式 / 2.0 ハイウェイスター / 82,000km / 愛媛県",2009年式,2.0 ハイウェイスター,"82,000km",愛媛県,manen
nissan-lafesta,ラフェスタ,root,root,"83,000km",83000,83000,10,5.0,11.8,8.0,7.5,5.3,10.3,11.8,"2008年式 / 2.0 ハイウェイスター / 83,000km / 東京都",2008年式,2.0 ハイウェイスター,"83,000km",東京都,manen
nissan-lafesta,ラフェスタ,root,root,"84,000km",84000,84000,14,5.8,14.8,9.1,8.8,6.7,10.6,14.8,"2006年式 / 2.0 ハイウェイスター パノラミックルーフ仕様 / 84,000km / 山口県",2006年式,2.0 ハイウェイスター パノラミックルーフ仕様,"84,000km",山口県,manen
nissan-lafesta,ラフェスタ,root,root,"85,000km",85000,85000,4,5.0,5.8,5.3,5.2,5.0,5.3,5.8,"2008年式 / 2.0 20S / 85,000km / 福井県",2008年式,2.0 20S,"85,000km",福井県,manen
nissan-lafesta,ラフェスタ,root,root,"86,000km",86000,86000,13,5.0,19.9,12.1,10.5,9.3,16.0,19.9,"2008年式 / 2.0 ハイウェイスター 4WD / 86,000km / 神奈川県",2008年式,2.0 ハイウェイスター 4WD,"86,000km",神奈川県,manen
nissan-lafesta,ラフェスタ,root,root,"87,000km",87000,87000,21,5.0,21.1,9.1,7.2,5.7,10.5,21.1,"2007年式 / 2.0 ハイウェイスター パノラミックルーフ仕様 4WD / 87,000km / 北海道",2007年式,2.0 ハイウェイスター パノラミックルーフ仕様 4WD,"87,000km",北海道,manen
nissan-lafesta,ラフェスタ,root,root,"88,000km",88000,88000,13,5.0,15.4,7.9,8.4,5.6,9.3,15.4,"2009年式 / 2.0 ハイウェイスター / 88,000km / 高知県",2009年式,2.0 ハイウェイスター,"88,000km",高知県,manen
nissan-lafesta,ラフェスタ,root,root,"89,000km",89000,89000,10,8.3,34.7,16.0,15.4,9.3,19.3,34.7,"2012年式 / 2.0 ハイウェイスター / 89,000km / 福島県",2012年式,2.0 ハイウェイスター,"89,000km",福島県,manen
nissan-lafesta,ラフェスタ,root,root,9万km,90000,90000,9,4.7,27.3,10.7,9.0,8.0,11.6,27.3,2011年式 / 2.0 ハイウェイスター / 9万km / 新潟県,2011年式,2.0 ハイウェイスター,9万km,新潟県,manen
