model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-leaf,リーフ,root,root,0万km,0,0,5,61.0,192.0,121.3,100.3,61.0,192.0,192.0,2025年式 / X Vセレクション 90周年記念車 / 0万km / 宮城県,2025年式,X Vセレクション 90周年記念車,0万km,宮城県,manen
nissan-leaf,リーフ,root,root,"1,000km",1000,1000,7,140.4,225.0,183.0,191.0,165.0,194.4,225.0,"2024年式 / NISMO / 1,000km / 大分県",2024年式,NISMO,"1,000km",大分県,manen
nissan-leaf,リーフ,root,root,"2,000km",2000,2000,8,86.5,198.3,155.0,148.8,145.7,182.0,198.3,"2024年式 / e+ X / 2,000km / 富山県",2024年式,e+ X,"2,000km",富山県,manen
nissan-leaf,リーフ,root,root,"3,000km",3000,3000,4,18.4,202.2,139.3,168.3,155.5,181.1,202.2,"2024年式 / X Vセレクション / 3,000km / 神奈川県",2024年式,X Vセレクション,"3,000km",神奈川県,manen
nissan-leaf,リーフ,root,root,"4,000km",4000,4000,16,2.9,212.5,156.4,178.8,145.6,202.5,212.5,"2023年式 / e+ AUTECH / 4,000km / 山口県",2023年式,e+ AUTECH,"4,000km",山口県,manen
nissan-leaf,リーフ,root,root,"5,000km",5000,5000,8,101.9,199.5,174.9,190.6,172.7,193.3,199.5,"2023年式 / X Vセレクション / 5,000km / 広島県",2023年式,X Vセレクション,"5,000km",広島県,manen
nissan-leaf,リーフ,root,root,"6,000km",6000,6000,10,26.5,200.9,135.0,147.8,80.2,180.0,200.9,"2022年式 / X Vセレクション / 6,000km / 福井県",2022年式,X Vセレクション,"6,000km",福井県,manen
nissan-leaf,リーフ,root,root,"7,000km",7000,7000,6,70.3,174.0,112.7,103.2,79.3,146.3,174.0,"2023年式 / X Vセレクション / 7,000km / 鳥取県",2023年式,X Vセレクション,"7,000km",鳥取県,manen
nissan-leaf,リーフ,root,root,"8,000km",8000,8000,11,65.4,191.7,133.0,148.5,84.3,162.1,191.7,"2023年式 / X Vセレクション 90周年記念車 / 8,000km / 東京都",2023年式,X Vセレクション 90周年記念車,"8,000km",東京都,manen
nissan-leaf,リーフ,root,root,"9,000km",9000,9000,10,20.5,223.4,137.3,147.9,98.2,191.0,223.4,"2023年式 / AUTECH / 9,000km / 京都府",2023年式,AUTECH,"9,000km",京都府,manen
nissan-leaf,リーフ,root,root,1万km,10000,10000,8,113.6,203.8,166.4,165.8,153.5,177.0,203.8,2022年式 / e+ AUTECH / 1万km / 長野県,2022年式,e+ AUTECH,1万km,長野県,manen
nissan-leaf,リーフ,root,root,"11,000km",11000,11000,10,59.7,169.5,128.7,146.7,97.4,158.8,169.5,"2022年式 / e+ AUTECH / 11,000km / 島根県",2022年式,e+ AUTECH,"11,000km",島根県,manen
nissan-leaf,リーフ,root,root,"12,000km",12000,12000,10,58.9,210.5,143.2,133.2,112.5,197.0,210.5,"2022年式 / e+ X / 12,000km / 東京都",2022年式,e+ X,"12,000km",東京都,manen
nissan-leaf,リーフ,root,root,"13,000km",13000,13000,4,134.8,198.8,153.4,140.0,140.0,140.0,198.8,"2022年式 / e+ アーバンクロム / 13,000km / 大阪府",2022年式,e+ アーバンクロム,"13,000km",大阪府,manen
nissan-leaf,リーフ,root,root,"14,000km",14000,14000,16,43.2,197.2,132.0,141.3,90.8,168.5,197.2,"2023年式 / e+ G / 14,000km / 愛媛県",2023年式,e+ G,"14,000km",愛媛県,manen
nissan-leaf,リーフ,root,root,"15,000km",15000,15000,8,15.3,218.0,116.0,131.4,75.7,139.5,218.0,"2023年式 / X Vセレクション / 15,000km / 埼玉県",2023年式,X Vセレクション,"15,000km",埼玉県,manen
nissan-leaf,リーフ,root,root,"16,000km",16000,16000,8,20.0,162.0,112.1,142.5,91.7,149.5,162.0,"2020年式 / e+ AUTECH / 16,000km / 島根県",2020年式,e+ AUTECH,"16,000km",島根県,manen
nissan-leaf,リーフ,root,root,"17,000km",17000,17000,15,39.0,179.8,131.0,132.3,125.9,150.2,179.8,"2022年式 / NISMO / 17,000km / 宮城県",2022年式,NISMO,"17,000km",宮城県,manen
nissan-leaf,リーフ,root,root,"18,000km",18000,18000,11,12.5,229.0,114.7,133.0,46.1,148.3,229.0,"2022年式 / e+ G / 18,000km / 秋田県",2022年式,e+ G,"18,000km",秋田県,manen
nissan-leaf,リーフ,root,root,"19,000km",19000,19000,9,14.1,190.0,106.6,146.0,20.7,160.5,190.0,"2022年式 / e+ AUTECH / 19,000km / 岐阜県",2022年式,e+ AUTECH,"19,000km",岐阜県,manen
nissan-leaf,リーフ,root,root,2万km,20000,20000,14,21.9,210.3,100.5,104.2,61.6,125.0,210.3,2022年式 / e+ アーバンクロム / 2万km / 山口県,2022年式,e+ アーバンクロム,2万km,山口県,manen
nissan-leaf,リーフ,root,root,"21,000km",21000,21000,13,20.7,168.5,125.5,147.3,103.2,162.0,168.5,"2021年式 / e+ X / 21,000km / 石川県",2021年式,e+ X,"21,000km",石川県,manen
nissan-leaf,リーフ,root,root,"22,000km",22000,22000,10,8.3,172.0,109.2,130.9,29.5,156.5,172.0,"2022年式 / X Vセレクション / 22,000km / 岡山県",2022年式,X Vセレクション,"22,000km",岡山県,manen
nissan-leaf,リーフ,root,root,"23,000km",23000,23000,17,25.5,211.0,109.0,99.5,91.0,140.3,211.0,"2024年式 / e+ X / 23,000km / 鳥取県",2024年式,e+ X,"23,000km",鳥取県,manen
nissan-leaf,リーフ,root,root,"24,000km",24000,24000,7,90.8,181.5,142.6,155.0,137.0,155.5,181.5,"2021年式 / NISMO / 24,000km / 広島県",2021年式,NISMO,"24,000km",広島県,manen
nissan-leaf,リーフ,root,root,"25,000km",25000,25000,5,54.2,115.7,86.2,86.9,86.9,87.5,115.7,"2020年式 / NISMO / 25,000km / 長野県",2020年式,NISMO,"25,000km",長野県,manen
nissan-leaf,リーフ,root,root,"26,000km",26000,26000,13,5.0,200.0,109.3,137.0,42.5,157.0,200.0,"2023年式 / e+ G / 26,000km / 茨城県",2023年式,e+ G,"26,000km",茨城県,manen
nissan-leaf,リーフ,root,root,"27,000km",27000,27000,16,5.0,227.5,99.3,82.7,58.4,124.9,227.5,"2023年式 / e+ G / 27,000km / 岡山県",2023年式,e+ G,"27,000km",岡山県,manen
nissan-leaf,リーフ,root,root,"28,000km",28000,28000,15,19.5,227.3,152.2,154.8,123.5,181.3,227.3,"2020年式 / e+ G / 28,000km / 福井県",2020年式,e+ G,"28,000km",福井県,manen
