model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-march,マーチ,,2023,2023年式,root,root,2,69.7,72.2,71.0,71.0,69.7,72.2,72.2,"2023年式 / 1.2 X / 19,000km / 石川県",2023年式,1.2 X,"19,000km",石川県,manen
nissan-march,マーチ,,2022,2022年式,root,root,36,38.3,95.0,60.3,58.3,49.7,72.5,95.0,"2022年式 / 1.2 ボレロ / 28,000km / 新潟県",2022年式,1.2 ボレロ,"28,000km",新潟県,manen
nissan-march,マーチ,,2021,2021年式,root,root,63,31.8,102.0,59.8,60.5,51.0,67.0,102.0,"2021年式 / 1.5 NISMO S / 43,000km / 滋賀県",2021年式,1.5 NISMO S,"43,000km",滋賀県,manen
nissan-march,マーチ,,2020,2020年式,root,root,67,24.1,103.0,51.9,48.8,40.7,59.5,103.0,2020年式 / 1.2 NISMO / 1万km / 京都府,2020年式,1.2 NISMO,1万km,京都府,manen
nissan-march,マーチ,,2019,2019年式,root,root,88,21.0,103.0,46.9,40.0,33.7,53.0,103.0,"2019年式 / 1.5 NISMO S / 43,000km / 山梨県",2019年式,1.5 NISMO S,"43,000km",山梨県,manen
nissan-march,マーチ,,2018,2018年式,root,root,108,5.0,98.1,39.0,33.5,26.6,46.0,98.1,"2018年式 / 1.2 NISMO / 38,000km / 山梨県",2018年式,1.2 NISMO,"38,000km",山梨県,manen
nissan-march,マーチ,,2017,2017年式,root,root,104,1.8,86.5,34.9,30.4,24.2,39.0,86.5,"2017年式 / 1.2 NISMO / 35,000km / 岩手県",2017年式,1.2 NISMO,"35,000km",岩手県,manen
nissan-march,マーチ,,2016,2016年式,root,root,105,5.0,98.0,36.7,28.6,19.8,47.5,98.0,"2016年式 / 1.5 NISMO S / 47,000km / 沖縄県",2016年式,1.5 NISMO S,"47,000km",沖縄県,manen
nissan-march,マーチ,,2015,2015年式,root,root,98,5.0,74.4,29.6,23.8,17.5,38.1,74.4,"2015年式 / 1.5 NISMO S / 75,000km / 東京都",2015年式,1.5 NISMO S,"75,000km",東京都,manen
nissan-march,マーチ,,2014,2014年式,root,root,95,5.0,81.0,32.8,25.0,18.0,43.5,81.0,"2014年式 / 1.5 NISMO S / 68,000km / 神奈川県",2014年式,1.5 NISMO S,"68,000km",神奈川県,manen
nissan-march,マーチ,,2013,2013年式,root,root,51,5.0,44.0,13.5,12.7,5.0,16.4,44.0,"2013年式 / 1.2 NISMO / 72,000km / 福島県",2013年式,1.2 NISMO,"72,000km",福島県,manen
nissan-march,マーチ,,2012,2012年式,root,root,40,5.0,41.0,11.5,7.0,5.0,17.0,41.0,"2012年式 / 1.2 ボレロ 4WD / 23,000km / 東京都",2012年式,1.2 ボレロ 4WD,"23,000km",東京都,manen
nissan-march,マーチ,,2011,2011年式,root,root,36,5.0,23.7,9.9,5.0,5.0,13.3,23.7,"2011年式 / 1.2 ボレロ 4WD / 48,000km / 香川県",2011年式,1.2 ボレロ 4WD,"48,000km",香川県,manen
nissan-march,マーチ,,2010,2010年式,root,root,16,5.0,35.7,15.2,13.0,5.0,22.5,35.7,"2010年式 / 1.2 G FOUR 4WD / 34,000km / 熊本県",2010年式,1.2 G FOUR 4WD,"34,000km",熊本県,manen
nissan-march,マーチ,,2009,2009年式,root,root,18,5.0,35.3,15.1,15.1,5.0,18.7,35.3,2009年式 / 1.2 12SR / 16万km / 高知県,2009年式,1.2 12SR,16万km,高知県,manen
nissan-march,マーチ,,2008,2008年式,root,root,15,5.0,58.6,16.9,11.4,5.0,17.0,58.6,2008年式 / 1.2 12S コレット / 7万km / 静岡県,2008年式,1.2 12S コレット,7万km,静岡県,manen
nissan-march,マーチ,,2007,2007年式,root,root,13,5.0,50.0,21.3,18.9,5.0,31.9,50.0,"2007年式 / 1.2 12SR / 73,000km / 秋田県",2007年式,1.2 12SR,"73,000km",秋田県,manen
nissan-march,マーチ,,2006,2006年式,root,root,10,5.0,56.1,21.7,17.3,5.0,35.0,56.1,"2006年式 / 1.2 12SR / 57,000km / 和歌山県",2006年式,1.2 12SR,"57,000km",和歌山県,manen
nissan-march,マーチ,,2005,2005年式,root,root,7,5.0,40.0,18.3,5.0,5.0,32.5,40.0,"2005年式 / 1.2 12SR / 62,000km / 山梨県",2005年式,1.2 12SR,"62,000km",山梨県,manen
nissan-march,マーチ,,2004,2004年式,root,root,7,5.0,48.5,18.4,17.8,5.0,18.0,48.5,"2004年式 / 1.2 S / 46,000km / 高知県",2004年式,1.2 S,"46,000km",高知県,manen
nissan-march,マーチ,,2003,2003年式,root,root,4,5.0,17.5,11.2,11.2,5.0,17.5,17.5,"2003年式 / 1.2 12SR / 137,000km / 長崎県",2003年式,1.2 12SR,"137,000km",長崎県,manen
nissan-march,マーチ,,2002,2002年式,root,root,3,5.0,26.2,12.1,5.0,5.0,26.2,26.2,"2002年式 / 1.0 コレット-f / 122,000km / 千葉県",2002年式,1.0 コレット-f,"122,000km",千葉県,manen
nissan-march,マーチ,,2001,2001年式,root,root,3,7.4,25.6,14.1,9.3,7.4,25.6,25.6,"2001年式 / 1.0 ボレロ / 59,000km / 東京都",2001年式,1.0 ボレロ,"59,000km",東京都,manen
nissan-march,マーチ,,2000,2000年式,root,root,1,27.5,27.5,27.5,27.5,27.5,27.5,27.5,"2000年式 / 1.0 ボレロ / 13,000km / 神奈川県",2000年式,1.0 ボレロ,"13,000km",神奈川県,manen
nissan-march,マーチ,,1999,1999年式,root,root,1,7.6,7.6,7.6,7.6,7.6,7.6,7.6,"1999年式 / 1.0 コレット / 102,000km / 愛知県",1999年式,1.0 コレット,"102,000km",愛知県,manen
nissan-march,マーチ,,1998,1998年式,root,root,2,5.0,5.1,5.0,5.0,5.0,5.1,5.1,"1998年式 / 1.3 ボレロ / 43,000km / 愛知県",1998年式,1.3 ボレロ,"43,000km",愛知県,manen
nissan-march,マーチ,,1997,1997年式,root,root,3,17.0,31.0,24.7,26.1,17.0,31.0,31.0,"1997年式 / 1.0 コレット Cパッケージ / 165,000km / 青森県",1997年式,1.0 コレット Cパッケージ,"165,000km",青森県,manen
nissan-march,マーチ,,1996,1996年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1996年式 / 1.3 アウストラーダ / 36,000km / 静岡県",1996年式,1.3 アウストラーダ,"36,000km",静岡県,manen
nissan-march,マーチ,,1992,1992年式,root,root,1,62.8,62.8,62.8,62.8,62.8,62.8,62.8,"1992年式 / 1.3 Aシャープ / 84,000km / 佐賀県",1992年式,1.3 Aシャープ,"84,000km",佐賀県,manen
nissan-march,マーチ,,1990,1990年式,root,root,1,61.0,61.0,61.0,61.0,61.0,61.0,61.0,1990年式 / 0.9 スーパーターボ / 9万km / 山梨県,1990年式,0.9 スーパーターボ,9万km,山梨県,manen
nissan-march,マーチ,,1988,1988年式,root,root,1,44.0,44.0,44.0,44.0,44.0,44.0,44.0,"1988年式 / 1.0 ターボ / 107,000km / 愛知県",1988年式,1.0 ターボ,"107,000km",愛知県,manen
