model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-note,ノート,root,root,0万km,0,0,5,141.2,160.0,148.7,148.7,141.2,152.3,160.0,2024年式 / 1.2 X / 0万km / 愛媛県,2024年式,1.2 X,0万km,愛媛県,manen
nissan-note,ノート,root,root,"1,000km",1000,1000,1,10.4,10.4,10.4,10.4,10.4,10.4,10.4,"2013年式 / 1.2 メダリスト / 1,000km / 岡山県",2013年式,1.2 メダリスト,"1,000km",岡山県,manen
nissan-note,ノート,root,root,"2,000km",2000,2000,2,151.6,160.0,155.8,155.8,151.6,160.0,160.0,"2025年式 / 1.2 X / 2,000km / 福島県",2025年式,1.2 X,"2,000km",福島県,manen
nissan-note,ノート,root,root,"3,000km",3000,3000,1,129.4,129.4,129.4,129.4,129.4,129.4,129.4,"2023年式 / 1.2 X / 3,000km / 静岡県",2023年式,1.2 X,"3,000km",静岡県,manen
nissan-note,ノート,root,root,"4,000km",4000,4000,2,89.5,97.5,93.5,93.5,89.5,97.5,97.5,"2020年式 / 1.2 e-POWER X / 4,000km / 福井県",2020年式,1.2 e-POWER X,"4,000km",福井県,manen
nissan-note,ノート,root,root,"5,000km",5000,5000,4,17.4,160.0,107.6,126.5,119.5,133.4,160.0,"2022年式 / 1.2 X / 5,000km / 愛媛県",2022年式,1.2 X,"5,000km",愛媛県,manen
nissan-note,ノート,root,root,"6,000km",6000,6000,10,5.0,161.3,86.6,100.5,36.9,145.3,161.3,"2023年式 / 1.2 X FOUR 4WD / 6,000km / 新潟県",2023年式,1.2 X FOUR 4WD,"6,000km",新潟県,manen
nissan-note,ノート,root,root,"7,000km",7000,7000,2,64.5,144.0,104.2,104.2,64.5,144.0,144.0,"2023年式 / 1.2 S / 7,000km / 徳島県",2023年式,1.2 S,"7,000km",徳島県,manen
nissan-note,ノート,root,root,"8,000km",8000,8000,6,26.5,148.5,58.9,43.5,26.5,65.1,148.5,"2024年式 / 1.2 X / 8,000km / 兵庫県",2024年式,1.2 X,"8,000km",兵庫県,manen
nissan-note,ノート,root,root,"9,000km",9000,9000,3,81.9,139.1,118.0,133.0,81.9,139.1,139.1,"2025年式 / 1.2 X / 9,000km / 新潟県",2025年式,1.2 X,"9,000km",新潟県,manen
nissan-note,ノート,root,root,"11,000km",11000,11000,9,43.0,154.4,101.1,109.7,76.6,114.0,154.4,"2023年式 / 1.2 X / 11,000km / 福岡県",2023年式,1.2 X,"11,000km",福岡県,manen
nissan-note,ノート,root,root,"12,000km",12000,12000,6,37.9,157.5,125.6,144.4,116.0,153.4,157.5,"2023年式 / 1.2 X / 12,000km / 高知県",2023年式,1.2 X,"12,000km",高知県,manen
nissan-note,ノート,root,root,"13,000km",13000,13000,10,23.2,145.7,78.2,62.3,40.0,130.0,145.7,"2024年式 / 1.2 X / 13,000km / 香川県",2024年式,1.2 X,"13,000km",香川県,manen
nissan-note,ノート,root,root,"14,000km",14000,14000,6,56.5,153.7,110.0,124.2,66.2,135.0,153.7,"2024年式 / 1.2 X / 14,000km / 富山県",2024年式,1.2 X,"14,000km",富山県,manen
nissan-note,ノート,root,root,"15,000km",15000,15000,2,41.8,50.5,46.1,46.1,41.8,50.5,50.5,"2018年式 / 1.2 X DIG-S / 15,000km / 東京都",2018年式,1.2 X DIG-S,"15,000km",東京都,manen
nissan-note,ノート,root,root,"16,000km",16000,16000,2,10.1,137.5,73.8,73.8,10.1,137.5,137.5,"2023年式 / 1.2 X FOUR 4WD / 16,000km / 千葉県",2023年式,1.2 X FOUR 4WD,"16,000km",千葉県,manen
nissan-note,ノート,root,root,"17,000km",17000,17000,11,5.0,152.5,113.6,128.0,93.3,136.5,152.5,"2023年式 / 1.2 X / 17,000km / 福岡県",2023年式,1.2 X,"17,000km",福岡県,manen
nissan-note,ノート,root,root,"18,000km",18000,18000,8,5.8,128.5,63.5,57.1,37.2,82.0,128.5,"2022年式 / 1.2 X / 18,000km / 滋賀県",2022年式,1.2 X,"18,000km",滋賀県,manen
nissan-note,ノート,root,root,"19,000km",19000,19000,12,29.5,150.5,80.7,74.5,59.5,80.1,150.5,"2023年式 / 1.2 X / 19,000km / 大分県",2023年式,1.2 X,"19,000km",大分県,manen
nissan-note,ノート,root,root,2万km,20000,20000,5,8.9,145.5,74.0,64.3,21.0,130.5,145.5,2019年式 / 1.6 16RZ / 2万km / 佐賀県,2019年式,1.6 16RZ,2万km,佐賀県,manen
nissan-note,ノート,root,root,"21,000km",21000,21000,9,5.0,145.3,72.6,65.9,40.5,118.7,145.3,"2022年式 / 1.2 X / 21,000km / 岡山県",2022年式,1.2 X,"21,000km",岡山県,manen
nissan-note,ノート,root,root,"22,000km",22000,22000,5,5.7,104.2,56.7,42.5,27.1,104.2,104.2,"2021年式 / 1.2 X / 22,000km / 千葉県",2021年式,1.2 X,"22,000km",千葉県,manen
nissan-note,ノート,root,root,"23,000km",23000,23000,8,23.9,125.5,74.2,70.2,56.4,84.3,125.5,"2023年式 / 1.2 S / 23,000km / 長崎県",2023年式,1.2 S,"23,000km",長崎県,manen
nissan-note,ノート,root,root,"24,000km",24000,24000,7,28.3,124.8,69.9,72.8,35.3,79.4,124.8,"2022年式 / 1.2 X / 24,000km / 岐阜県",2022年式,1.2 X,"24,000km",岐阜県,manen
nissan-note,ノート,root,root,"25,000km",25000,25000,8,5.0,152.0,62.1,56.4,36.4,75.0,152.0,"2022年式 / 1.2 AUTECH クロスオーバー / 25,000km / 愛媛県",2022年式,1.2 AUTECH クロスオーバー,"25,000km",愛媛県,manen
nissan-note,ノート,root,root,"26,000km",26000,26000,8,19.2,149.0,78.4,84.2,48.0,86.5,149.0,"2024年式 / 1.2 X / 26,000km / 高知県",2024年式,1.2 X,"26,000km",高知県,manen
nissan-note,ノート,root,root,"27,000km",27000,27000,16,5.0,124.0,75.0,80.7,30.9,113.5,124.0,"2021年式 / 1.2 S FOUR 4WD / 27,000km / 鹿児島県",2021年式,1.2 S FOUR 4WD,"27,000km",鹿児島県,manen
nissan-note,ノート,root,root,"28,000km",28000,28000,10,22.7,99.8,50.3,38.1,24.6,82.8,99.8,"2021年式 / 1.2 X FOUR 4WD / 28,000km / 新潟県",2021年式,1.2 X FOUR 4WD,"28,000km",新潟県,manen
nissan-note,ノート,root,root,"29,000km",29000,29000,18,5.0,146.0,60.6,52.9,34.9,82.6,146.0,"2023年式 / 1.2 X / 29,000km / 岐阜県",2023年式,1.2 X,"29,000km",岐阜県,manen
nissan-note,ノート,root,root,3万km,30000,30000,19,5.0,147.7,70.6,52.9,29.0,103.0,147.7,2021年式 / 1.2 X / 3万km / 千葉県,2021年式,1.2 X,3万km,千葉県,manen
nissan-note,ノート,root,root,"31,000km",31000,31000,14,5.0,145.6,65.2,43.6,26.0,109.2,145.6,"2022年式 / 1.2 X / 31,000km / 石川県",2022年式,1.2 X,"31,000km",石川県,manen
nissan-note,ノート,root,root,"32,000km",32000,32000,12,37.6,151.0,87.5,81.0,63.4,109.6,151.0,"2019年式 / 1.6 NISMO S / 32,000km / 神奈川県",2019年式,1.6 NISMO S,"32,000km",神奈川県,manen
nissan-note,ノート,root,root,"33,000km",33000,33000,14,5.0,115.5,42.1,35.5,16.5,60.5,115.5,"2020年式 / 1.2 e-POWER X FOUR Vセレクション 4WD / 33,000km / 青森県",2020年式,1.2 e-POWER X FOUR Vセレクション 4WD,"33,000km",青森県,manen
nissan-note,ノート,root,root,"34,000km",34000,34000,11,5.0,144.0,74.1,62.7,45.5,115.0,144.0,"2021年式 / 1.2 AUTECH / 34,000km / 京都府",2021年式,1.2 AUTECH,"34,000km",京都府,manen
nissan-note,ノート,root,root,"35,000km",35000,35000,15,8.4,155.0,68.7,39.6,30.4,124.7,155.0,"2019年式 / 1.6 NISMO S / 35,000km / 茨城県",2019年式,1.6 NISMO S,"35,000km",茨城県,manen
nissan-note,ノート,root,root,"36,000km",36000,36000,15,5.0,132.2,52.6,42.6,31.3,69.0,132.2,"2022年式 / 1.2 X / 36,000km / 佐賀県",2022年式,1.2 X,"36,000km",佐賀県,manen
nissan-note,ノート,root,root,"37,000km",37000,37000,14,5.0,123.7,63.1,54.9,29.5,89.2,123.7,"2020年式 / 1.2 e-POWER NISMO S / 37,000km / 福岡県",2020年式,1.2 e-POWER NISMO S,"37,000km",福岡県,manen
nissan-note,ノート,root,root,"38,000km",38000,38000,7,19.2,106.0,47.6,48.8,23.9,55.4,106.0,"2021年式 / 1.2 X FOUR 4WD / 38,000km / 千葉県",2021年式,1.2 X FOUR 4WD,"38,000km",千葉県,manen
nissan-note,ノート,root,root,"39,000km",39000,39000,7,8.4,147.3,67.1,59.8,21.7,98.3,147.3,"2021年式 / 1.2 X / 39,000km / 岡山県",2021年式,1.2 X,"39,000km",岡山県,manen
nissan-note,ノート,root,root,4万km,40000,40000,5,14.6,112.7,57.6,60.3,30.9,69.5,112.7,2022年式 / 1.2 X / 4万km / 高知県,2022年式,1.2 X,4万km,高知県,manen
nissan-note,ノート,root,root,"41,000km",41000,41000,10,5.0,87.8,42.3,40.8,27.0,60.9,87.8,"2016年式 / 1.2 NISMO / 41,000km / 千葉県",2016年式,1.2 NISMO,"41,000km",千葉県,manen
nissan-note,ノート,root,root,"42,000km",42000,42000,10,5.0,126.9,76.0,83.0,38.3,101.1,126.9,"2021年式 / 1.2 AUTECH / 42,000km / 山梨県",2021年式,1.2 AUTECH,"42,000km",山梨県,manen
nissan-note,ノート,root,root,"43,000km",43000,43000,10,12.2,134.6,78.4,72.0,51.6,111.0,134.6,"2021年式 / 1.2 X / 43,000km / 茨城県",2021年式,1.2 X,"43,000km",茨城県,manen
nissan-note,ノート,root,root,"44,000km",44000,44000,9,5.0,136.5,65.3,59.2,34.3,121.0,136.5,"2022年式 / 1.2 e-POWER X / 44,000km / 岐阜県",2022年式,1.2 e-POWER X,"44,000km",岐阜県,manen
nissan-note,ノート,root,root,"45,000km",45000,45000,5,5.0,134.1,55.0,38.5,5.0,92.3,134.1,"2021年式 / 1.2 X / 45,000km / 千葉県",2021年式,1.2 X,"45,000km",千葉県,manen
nissan-note,ノート,root,root,"46,000km",46000,46000,11,22.9,119.3,60.9,55.7,28.0,92.5,119.3,"2021年式 / 1.2 X / 46,000km / 青森県",2021年式,1.2 X,"46,000km",青森県,manen
nissan-note,ノート,root,root,"47,000km",47000,47000,7,5.0,89.1,49.7,48.9,48.9,53.5,89.1,"2019年式 / 1.2 e-POWER X FOUR 4WD / 47,000km / 滋賀県",2019年式,1.2 e-POWER X FOUR 4WD,"47,000km",滋賀県,manen
nissan-note,ノート,root,root,"48,000km",48000,48000,11,5.0,116.2,56.9,46.0,28.6,114.0,116.2,"2022年式 / 1.2 X / 48,000km / 青森県",2022年式,1.2 X,"48,000km",青森県,manen
nissan-note,ノート,root,root,"49,000km",49000,49000,13,3.8,130.5,55.4,56.8,25.0,85.4,130.5,"2021年式 / 1.2 AUTECH / 49,000km / 熊本県",2021年式,1.2 AUTECH,"49,000km",熊本県,manen
nissan-note,ノート,root,root,5万km,50000,50000,4,5.0,101.4,60.5,67.8,38.4,97.3,101.4,2021年式 / 1.2 S / 5万km / 愛知県,2021年式,1.2 S,5万km,愛知県,manen
nissan-note,ノート,root,root,"51,000km",51000,51000,10,5.0,112.1,42.2,36.0,5.0,70.1,112.1,"2021年式 / 1.2 S / 51,000km / 佐賀県",2021年式,1.2 S,"51,000km",佐賀県,manen
nissan-note,ノート,root,root,"52,000km",52000,52000,9,5.0,107.9,55.2,49.1,34.0,76.0,107.9,"2021年式 / 1.2 X / 52,000km / 大阪府",2021年式,1.2 X,"52,000km",大阪府,manen
nissan-note,ノート,root,root,"53,000km",53000,53000,19,24.0,119.7,54.0,43.5,39.7,56.9,119.7,"2021年式 / 1.2 X / 53,000km / 大分県",2021年式,1.2 X,"53,000km",大分県,manen
nissan-note,ノート,root,root,"54,000km",54000,54000,14,5.0,118.0,53.5,37.4,6.9,116.3,118.0,"2022年式 / 1.2 X / 54,000km / 鹿児島県",2022年式,1.2 X,"54,000km",鹿児島県,manen
nissan-note,ノート,root,root,"55,000km",55000,55000,19,5.5,113.6,43.9,33.4,28.0,61.3,113.6,"2022年式 / 1.2 e-POWER X / 55,000km / 静岡県",2022年式,1.2 e-POWER X,"55,000km",静岡県,manen
nissan-note,ノート,root,root,"56,000km",56000,56000,6,5.0,114.5,69.8,69.2,46.3,114.5,114.5,"2018年式 / 1.6 NISMO S / 56,000km / 東京都",2018年式,1.6 NISMO S,"56,000km",東京都,manen
nissan-note,ノート,root,root,"57,000km",57000,57000,16,5.0,145.5,58.7,50.5,36.9,59.8,145.5,"2021年式 / 1.2 AUTECH FOUR 4WD / 57,000km / 三重県",2021年式,1.2 AUTECH FOUR 4WD,"57,000km",三重県,manen
nissan-note,ノート,root,root,"58,000km",58000,58000,9,5.0,120.4,61.1,71.5,19.3,101.7,120.4,"2023年式 / 1.2 X / 58,000km / 宮崎県",2023年式,1.2 X,"58,000km",宮崎県,manen
nissan-note,ノート,root,root,"59,000km",59000,59000,10,5.0,106.1,47.0,41.5,23.4,57.2,106.1,"2023年式 / 1.2 S / 59,000km / 長野県",2023年式,1.2 S,"59,000km",長野県,manen
nissan-note,ノート,root,root,6万km,60000,60000,10,37.8,82.1,55.8,55.4,40.0,64.9,82.1,2018年式 / 1.2 e-POWER NISMO / 6万km / 山口県,2018年式,1.2 e-POWER NISMO,6万km,山口県,manen
nissan-note,ノート,root,root,"61,000km",61000,61000,11,5.0,109.3,47.7,58.0,23.5,58.2,109.3,"2022年式 / 1.2 X / 61,000km / 愛知県",2022年式,1.2 X,"61,000km",愛知県,manen
nissan-note,ノート,root,root,"62,000km",62000,62000,3,30.1,92.0,53.8,39.3,30.1,92.0,92.0,"2023年式 / 1.2 X FOUR 4WD / 62,000km / 熊本県",2023年式,1.2 X FOUR 4WD,"62,000km",熊本県,manen
nissan-note,ノート,root,root,"63,000km",63000,63000,13,5.0,96.1,40.1,37.3,28.6,42.5,96.1,"2022年式 / 1.2 S / 63,000km / 沖縄県",2022年式,1.2 S,"63,000km",沖縄県,manen
nissan-note,ノート,root,root,"64,000km",64000,64000,13,8.5,113.8,65.5,76.3,31.5,94.1,113.8,"2023年式 / 1.2 X FOUR 4WD / 64,000km / 長崎県",2023年式,1.2 X FOUR 4WD,"64,000km",長崎県,manen
nissan-note,ノート,root,root,"65,000km",65000,65000,11,5.0,66.5,26.8,22.0,9.7,40.2,66.5,"2019年式 / 1.2 e-POWER X / 65,000km / 香川県",2019年式,1.2 e-POWER X,"65,000km",香川県,manen
nissan-note,ノート,root,root,"66,000km",66000,66000,13,5.0,135.2,61.6,57.3,32.5,97.2,135.2,"2022年式 / 1.2 X FOUR 4WD / 66,000km / 岐阜県",2022年式,1.2 X FOUR 4WD,"66,000km",岐阜県,manen
