model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-presage,プレサージュ,root,root,0万km,0,0,11,6.6,20.4,14.2,13.9,12.0,16.5,20.4,2004年式 / 3.5 X 4WD / 0万km / 千葉県,2004年式,3.5 X 4WD,0万km,千葉県,manen
nissan-presage,プレサージュ,root,root,"7,000km",7000,7000,1,12.6,12.6,12.6,12.6,12.6,12.6,12.6,"2006年式 / 2.5 250XG / 7,000km / 新潟県",2006年式,2.5 250XG,"7,000km",新潟県,manen
nissan-presage,プレサージュ,root,root,"17,000km",17000,17000,1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,"2003年式 / 2.5 X / 17,000km / 東京都",2003年式,2.5 X,"17,000km",東京都,manen
nissan-presage,プレサージュ,root,root,"19,000km",19000,19000,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,"2006年式 / 3.5 350ハイウェイスター / 19,000km / 和歌山県",2006年式,3.5 350ハイウェイスター,"19,000km",和歌山県,manen
nissan-presage,プレサージュ,root,root,"23,000km",23000,23000,2,5.0,14.8,9.9,9.9,5.0,14.8,14.8,"2007年式 / 2.5 ハイウェイスター / 23,000km / 滋賀県",2007年式,2.5 ハイウェイスター,"23,000km",滋賀県,manen
nissan-presage,プレサージュ,root,root,"25,000km",25000,25000,4,10.8,18.0,13.0,11.7,11.3,12.0,18.0,"2008年式 / 2.5 250ハイウェイスター / 25,000km / 山口県",2008年式,2.5 250ハイウェイスター,"25,000km",山口県,manen
nissan-presage,プレサージュ,root,root,"26,000km",26000,26000,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,"2006年式 / 2.5 ライダーS / 26,000km / 佐賀県",2006年式,2.5 ライダーS,"26,000km",佐賀県,manen
nissan-presage,プレサージュ,root,root,"27,000km",27000,27000,1,19.5,19.5,19.5,19.5,19.5,19.5,19.5,"2003年式 / 3.5 X / 27,000km / 新潟県",2003年式,3.5 X,"27,000km",新潟県,manen
nissan-presage,プレサージュ,root,root,"28,000km",28000,28000,1,7.5,7.5,7.5,7.5,7.5,7.5,7.5,"2006年式 / 2.5 ハイウェイスター アンシャンテ 助手席スライドアップシート 4WD / 28,000km / 長崎県",2006年式,2.5 ハイウェイスター アンシャンテ 助手席スライドアップシート 4WD,"28,000km",長崎県,manen
nissan-presage,プレサージュ,root,root,3万km,30000,30000,3,9.6,15.9,13.3,14.4,9.6,15.9,15.9,1999年式 / 3.0 CIII / 3万km / 宮城県,1999年式,3.0 CIII,3万km,宮城県,manen
nissan-presage,プレサージュ,root,root,"31,000km",31000,31000,1,19.8,19.8,19.8,19.8,19.8,19.8,19.8,"2005年式 / 3.5 350ライダー / 31,000km / 東京都",2005年式,3.5 350ライダー,"31,000km",東京都,manen
nissan-presage,プレサージュ,root,root,"32,000km",32000,32000,1,21.8,21.8,21.8,21.8,21.8,21.8,21.8,"2007年式 / 2.5 250ハイウェイスター / 32,000km / 群馬県",2007年式,2.5 250ハイウェイスター,"32,000km",群馬県,manen
nissan-presage,プレサージュ,root,root,"34,000km",34000,34000,2,11.0,14.4,12.7,12.7,11.0,14.4,14.4,"2006年式 / 3.5 350ハイウェイスター / 34,000km / 千葉県",2006年式,3.5 350ハイウェイスター,"34,000km",千葉県,manen
nissan-presage,プレサージュ,root,root,"35,000km",35000,35000,2,10.6,19.0,14.8,14.8,10.6,19.0,19.0,"2006年式 / 2.5 250XL / 35,000km / 神奈川県",2006年式,2.5 250XL,"35,000km",神奈川県,manen
nissan-presage,プレサージュ,root,root,"37,000km",37000,37000,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,"1998年式 / 3.0 CIII / 37,000km / 三重県",1998年式,3.0 CIII,"37,000km",三重県,manen
nissan-presage,プレサージュ,root,root,"38,000km",38000,38000,2,14.1,17.4,15.8,15.8,14.1,17.4,17.4,"2008年式 / 2.5 ハイウェイスター / 38,000km / 熊本県",2008年式,2.5 ハイウェイスター,"38,000km",熊本県,manen
nissan-presage,プレサージュ,root,root,"39,000km",39000,39000,2,6.6,10.5,8.6,8.6,6.6,10.5,10.5,"2005年式 / 2.5 X / 39,000km / 秋田県",2005年式,2.5 X,"39,000km",秋田県,manen
nissan-presage,プレサージュ,root,root,4万km,40000,40000,2,9.9,10.0,9.9,9.9,9.9,10.0,10.0,2008年式 / 2.5 250XL 4WD / 4万km / 愛知県,2008年式,2.5 250XL 4WD,4万km,愛知県,manen
nissan-presage,プレサージュ,root,root,"41,000km",41000,41000,5,5.3,18.9,10.2,10.2,6.6,10.2,18.9,"2006年式 / 3.5 350XV / 41,000km / 神奈川県",2006年式,3.5 350XV,"41,000km",神奈川県,manen
nissan-presage,プレサージュ,root,root,"42,000km",42000,42000,4,12.8,16.8,15.0,15.2,13.8,16.5,16.8,"2004年式 / 2.5 250ライダー 4WD / 42,000km / 千葉県",2004年式,2.5 250ライダー 4WD,"42,000km",千葉県,manen
nissan-presage,プレサージュ,root,root,"43,000km",43000,43000,4,5.1,18.6,11.2,10.7,6.6,14.7,18.6,"2009年式 / 3.5 350ハイウェイスター / 43,000km / 石川県",2009年式,3.5 350ハイウェイスター,"43,000km",石川県,manen
