model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-roox,ルークス,,2025,2025年式,root,root,32,78.1,157.0,123.0,130.7,99.4,142.1,157.0,2025年式 / ハイウェイスター Gターボ プロパイロットエディション / 0万km / 神奈川県,2025年式,ハイウェイスター Gターボ プロパイロットエディション,0万km,神奈川県,manen
nissan-roox,ルークス,,2024,2024年式,root,root,80,14.6,167.5,124.7,129.8,118.5,138.5,167.5,"2024年式 / ハイウェイスター Gターボ プロパイロットエディション / 5,000km / 石川県",2024年式,ハイウェイスター Gターボ プロパイロットエディション,"5,000km",石川県,manen
nissan-roox,ルークス,,2023,2023年式,root,root,102,45.3,153.8,115.1,117.0,105.2,126.5,153.8,2023年式 / ハイウェイスター Gターボ プロパイロットエディション / 0万km / 長野県,2023年式,ハイウェイスター Gターボ プロパイロットエディション,0万km,長野県,manen
nissan-roox,ルークス,,2022,2022年式,root,root,141,8.8,145.5,92.2,95.3,80.0,111.5,145.5,"2022年式 / ハイウェイスターX 4WD / 7,000km / 群馬県",2022年式,ハイウェイスターX 4WD,"7,000km",群馬県,manen
nissan-roox,ルークス,,2021,2021年式,root,root,170,17.5,135.5,81.4,80.0,66.3,95.6,135.5,"2021年式 / ハイウェイスター Gターボ プロパイロットエディション 4WD / 21,000km / 高知県",2021年式,ハイウェイスター Gターボ プロパイロットエディション 4WD,"21,000km",高知県,manen
nissan-roox,ルークス,,2020,2020年式,root,root,137,27.2,135.1,80.1,80.5,65.9,94.3,135.1,"2020年式 / ハイウェイスターX 4WD / 8,000km / 大分県",2020年式,ハイウェイスターX 4WD,"8,000km",大分県,manen
nissan-roox,ルークス,,2013,2013年式,root,root,56,5.0,92.6,23.5,22.9,17.2,29.2,92.6,"2013年式 / ハイウェイスター Gターボ / 78,000km / 鹿児島県",2013年式,ハイウェイスター Gターボ,"78,000km",鹿児島県,manen
nissan-roox,ルークス,,2012,2012年式,root,root,94,5.0,42.5,16.0,17.9,5.0,23.7,42.5,"2012年式 / E 4WD / 71,000km / 神奈川県",2012年式,E 4WD,"71,000km",神奈川県,manen
nissan-roox,ルークス,,2011,2011年式,root,root,103,5.0,39.0,17.6,20.1,6.9,24.5,39.0,"2011年式 / ハイウェイスター ターボ リミテッド / 52,000km / 栃木県",2011年式,ハイウェイスター ターボ リミテッド,"52,000km",栃木県,manen
nissan-roox,ルークス,,2010,2010年式,root,root,70,5.0,51.5,14.9,13.8,5.0,22.9,51.5,"2010年式 / ハイウェイスター ターボ 4WD / 26,000km / 沖縄県",2010年式,ハイウェイスター ターボ 4WD,"26,000km",沖縄県,manen
nissan-roox,ルークス,,2009,2009年式,root,root,15,5.0,36.0,16.3,18.0,5.9,24.0,36.0,"2009年式 / ハイウェイスター 4WD / 55,000km / 新潟県",2009年式,ハイウェイスター 4WD,"55,000km",新潟県,manen
