model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-silvia,シルビア,,2003,2003年式,root,root,6,5.4,304.3,59.6,9.8,8.4,20.1,304.3,"2003年式 / 2.0 スペックR Vパッケージ / 74,000km / 兵庫県",2003年式,2.0 スペックR Vパッケージ,"74,000km",兵庫県,manen
nissan-silvia,シルビア,,2002,2002年式,root,root,105,9.0,341.5,196.7,206.5,139.4,266.5,341.5,"2002年式 / 2.0 スペックR Vパッケージ / 128,000km / 鹿児島県",2002年式,2.0 スペックR Vパッケージ,"128,000km",鹿児島県,manen
nissan-silvia,シルビア,,2001,2001年式,root,root,136,21.3,339.5,152.6,146.8,84.5,208.2,339.5,"2001年式 / 2.0 スペックR Lパッケージ / 126,000km / 広島県",2001年式,2.0 スペックR Lパッケージ,"126,000km",広島県,manen
nissan-silvia,シルビア,,2000,2000年式,root,root,143,5.0,333.0,135.0,127.1,71.5,177.0,333.0,"2000年式 / 2.0 スペックR / 103,000km / 滋賀県",2000年式,2.0 スペックR,"103,000km",滋賀県,manen
nissan-silvia,シルビア,,1999,1999年式,root,root,163,5.0,337.6,140.7,130.5,63.5,214.0,337.6,1999年式 / 2.0 スペックR エアロ / 11万km / 神奈川県,1999年式,2.0 スペックR エアロ,11万km,神奈川県,manen
nissan-silvia,シルビア,,1998,1998年式,root,root,94,15.8,284.1,101.0,92.3,41.5,142.0,284.1,"1998年式 / 2.0 スペックR / 77,000km / 三重県",1998年式,2.0 スペックR,"77,000km",三重県,manen
nissan-silvia,シルビア,,1997,1997年式,root,root,43,15.2,277.5,111.4,108.5,53.0,150.0,277.5,"1997年式 / 2.0 K’s エアロ / 99,000km / 埼玉県",1997年式,2.0 K’s エアロ,"99,000km",埼玉県,manen
nissan-silvia,シルビア,,1996,1996年式,root,root,52,12.6,250.9,114.5,111.0,66.0,150.1,250.9,"1996年式 / 2.0 K’s エアロ / 111,000km / 愛媛県",1996年式,2.0 K’s エアロ,"111,000km",愛媛県,manen
nissan-silvia,シルビア,,1995,1995年式,root,root,51,20.4,197.0,101.6,105.0,57.0,145.0,197.0,"1995年式 / 2.0 K’s エアロ / 177,000km / 鳥取県",1995年式,2.0 K’s エアロ,"177,000km",鳥取県,manen
nissan-silvia,シルビア,,1994,1994年式,root,root,41,18.0,245.5,118.5,114.5,75.4,153.5,245.5,"1994年式 / 2.0 K’s / 84,000km / 茨城県",1994年式,2.0 K’s,"84,000km",茨城県,manen
nissan-silvia,シルビア,,1993,1993年式,root,root,41,14.5,277.5,122.5,121.0,59.5,174.0,277.5,"1993年式 / 2.0 K’s クラブセレクション / 97,000km / 奈良県",1993年式,2.0 K’s クラブセレクション,"97,000km",奈良県,manen
nissan-silvia,シルビア,,1992,1992年式,root,root,26,33.6,232.5,109.0,99.1,67.5,134.0,232.5,"1992年式 / 2.0 K’s クラブセレクション / 83,000km / 福岡県",1992年式,2.0 K’s クラブセレクション,"83,000km",福岡県,manen
nissan-silvia,シルビア,,1991,1991年式,root,root,35,26.1,244.0,110.5,98.5,48.5,170.6,244.0,"1991年式 / 2.0 Q’s SC / 5,000km / 千葉県",1991年式,2.0 Q’s SC,"5,000km",千葉県,manen
nissan-silvia,シルビア,,1990,1990年式,root,root,18,35.5,239.3,113.7,106.0,62.0,154.0,239.3,"1990年式 / 1.8 K’s ダイヤセレクション / 41,000km / 滋賀県",1990年式,1.8 K’s ダイヤセレクション,"41,000km",滋賀県,manen
nissan-silvia,シルビア,,1989,1989年式,root,root,18,24.8,211.5,114.0,102.0,56.0,184.0,211.5,"1989年式 / 1.8 K’s / 94,000km / 山梨県",1989年式,1.8 K’s,"94,000km",山梨県,manen
nissan-silvia,シルビア,,1988,1988年式,root,root,7,20.1,189.3,101.9,127.5,24.9,153.8,189.3,"1988年式 / 1.8 Q’s / 84,000km / 和歌山県",1988年式,1.8 Q’s,"84,000km",和歌山県,manen
nissan-silvia,シルビア,,1987,1987年式,root,root,17,20.3,141.0,75.4,60.5,43.0,108.5,141.0,1987年式 / 2.0 スペックR / 6万km / 宮城県,1987年式,2.0 スペックR,6万km,宮城県,manen
nissan-silvia,シルビア,,1985,1985年式,root,root,2,95.5,95.5,95.5,95.5,95.5,95.5,95.5,1985年式 / RS-X / 0万km / 東京都,1985年式,RS-X,0万km,東京都,manen
nissan-silvia,シルビア,,1984,1984年式,root,root,2,71.5,117.0,94.2,94.2,71.5,117.0,117.0,"1984年式 / RS-X / 95,000km / 三重県",1984年式,RS-X,"95,000km",三重県,manen
