model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-skyline,スカイライン,root,root,0万km,0,0,16,18.9,211.0,119.9,135.6,29.0,199.5,211.0,2019年式 / 3.5 350GT FOUR ハイブリッド タイプSP / 0万km / 愛媛県,2019年式,3.5 350GT FOUR ハイブリッド タイプSP,0万km,愛媛県,manen
nissan-skyline,スカイライン,root,root,"1,000km",1000,1000,1,331.8,331.8,331.8,331.8,331.8,331.8,331.8,"2023年式 / 3.0 GT タイプSP / 1,000km / 福岡県",2023年式,3.0 GT タイプSP,"1,000km",福岡県,manen
nissan-skyline,スカイライン,root,root,"3,000km",3000,3000,1,293.9,293.9,293.9,293.9,293.9,293.9,293.9,"2024年式 / 3.0 GT タイプSP / 3,000km / 群馬県",2024年式,3.0 GT タイプSP,"3,000km",群馬県,manen
nissan-skyline,スカイライン,root,root,"5,000km",5000,5000,2,194.9,291.0,242.9,242.9,194.9,291.0,291.0,"2018年式 / 3.5 ハイブリッド GT タイプSP 4WD / 5,000km / 栃木県",2018年式,3.5 ハイブリッド GT タイプSP 4WD,"5,000km",栃木県,manen
nissan-skyline,スカイライン,root,root,"6,000km",6000,6000,2,256.0,290.0,273.0,273.0,256.0,290.0,290.0,"2024年式 / 3.0 GT タイプP / 6,000km / 宮城県",2024年式,3.0 GT タイプP,"6,000km",宮城県,manen
nissan-skyline,スカイライン,root,root,"7,000km",7000,7000,1,375.5,375.5,375.5,375.5,375.5,375.5,375.5,"2023年式 / 3.0 400R / 7,000km / 福岡県",2023年式,3.0 400R,"7,000km",福岡県,manen
nissan-skyline,スカイライン,root,root,"8,000km",8000,8000,6,35.2,371.0,244.9,256.5,209.0,341.0,371.0,"2021年式 / 3.0 400R / 8,000km / 岩手県",2021年式,3.0 400R,"8,000km",岩手県,manen
nissan-skyline,スカイライン,root,root,"9,000km",9000,9000,1,122.9,122.9,122.9,122.9,122.9,122.9,122.9,"2017年式 / 2.0 200GT-t / 9,000km / 熊本県",2017年式,2.0 200GT-t,"9,000km",熊本県,manen
nissan-skyline,スカイライン,root,root,1万km,10000,10000,3,75.5,342.0,251.2,336.0,75.5,342.0,342.0,2022年式 / 3.0 400R / 1万km / 山形県,2022年式,3.0 400R,1万km,山形県,manen
nissan-skyline,スカイライン,root,root,"11,000km",11000,11000,1,265.5,265.5,265.5,265.5,265.5,265.5,265.5,"2022年式 / 3.0 GT タイプP / 11,000km / 福島県",2022年式,3.0 GT タイプP,"11,000km",福島県,manen
nissan-skyline,スカイライン,root,root,"12,000km",12000,12000,3,40.5,321.5,183.6,188.8,40.5,321.5,321.5,"2020年式 / 3.0 400R / 12,000km / 山梨県",2020年式,3.0 400R,"12,000km",山梨県,manen
nissan-skyline,スカイライン,root,root,"13,000km",13000,13000,4,165.0,361.5,310.1,357.0,352.5,361.5,361.5,"2023年式 / 3.0 400R / 13,000km / 栃木県",2023年式,3.0 400R,"13,000km",栃木県,manen
nissan-skyline,スカイライン,root,root,"14,000km",14000,14000,6,24.6,378.0,237.3,249.2,210.5,312.1,378.0,"2023年式 / 3.0 400R / 14,000km / 千葉県",2023年式,3.0 400R,"14,000km",千葉県,manen
nissan-skyline,スカイライン,root,root,"15,000km",15000,15000,3,361.5,380.2,374.0,380.2,361.5,380.2,380.2,"2024年式 / 3.0 400R / 15,000km / 奈良県",2024年式,3.0 400R,"15,000km",奈良県,manen
nissan-skyline,スカイライン,root,root,"16,000km",16000,16000,4,271.0,372.5,320.9,320.0,308.5,331.5,372.5,"2022年式 / 3.0 400R / 16,000km / 石川県",2022年式,3.0 400R,"16,000km",石川県,manen
nissan-skyline,スカイライン,root,root,"17,000km",17000,17000,7,151.9,366.0,259.0,260.0,260.0,260.0,366.0,"2021年式 / 3.0 400R / 17,000km / 岡山県",2021年式,3.0 400R,"17,000km",岡山県,manen
nissan-skyline,スカイライン,root,root,"18,000km",18000,18000,2,170.0,358.5,264.2,264.2,170.0,358.5,358.5,"2021年式 / 3.0 400R / 18,000km / 石川県",2021年式,3.0 400R,"18,000km",石川県,manen
nissan-skyline,スカイライン,root,root,"19,000km",19000,19000,6,95.5,324.0,220.1,241.2,95.5,322.9,324.0,"2019年式 / 3.0 GT タイプSP / 19,000km / 富山県",2019年式,3.0 GT タイプSP,"19,000km",富山県,manen
