model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-skyline,スカイライン,,2024,2024年式,root,root,6,278.5,380.2,316.9,291.9,278.5,380.2,380.2,"2024年式 / 3.0 400R / 15,000km / 奈良県",2024年式,3.0 400R,"15,000km",奈良県,manen
nissan-skyline,スカイライン,,2023,2023年式,root,root,16,128.0,378.0,312.1,339.8,260.0,361.5,378.0,"2023年式 / 3.0 400R / 14,000km / 千葉県",2023年式,3.0 400R,"14,000km",千葉県,manen
nissan-skyline,スカイライン,,2022,2022年式,root,root,30,164.0,381.2,297.9,305.6,263.5,345.5,381.2,"2022年式 / 3.0 400R / 31,000km / 秋田県",2022年式,3.0 400R,"31,000km",秋田県,manen
nissan-skyline,スカイライン,,2021,2021年式,root,root,37,115.0,371.0,258.7,262.2,220.0,319.0,371.0,"2021年式 / 3.0 400R / 8,000km / 岩手県",2021年式,3.0 400R,"8,000km",岩手県,manen
nissan-skyline,スカイライン,,2020,2020年式,root,root,56,91.7,334.0,224.1,224.6,177.9,265.5,334.0,"2020年式 / 3.0 400R / 41,000km / 群馬県",2020年式,3.0 400R,"41,000km",群馬県,manen
nissan-skyline,スカイライン,,2019,2019年式,root,root,55,38.1,331.5,189.8,195.8,140.6,238.2,331.5,"2019年式 / 3.0 400R / 16,000km / 京都府",2019年式,3.0 400R,"16,000km",京都府,manen
nissan-skyline,スカイライン,,2018,2018年式,root,root,39,32.7,322.9,132.1,136.5,82.0,156.5,322.9,"2018年式 / 3.0 400R / 19,000km / 愛知県",2018年式,3.0 400R,"19,000km",愛知県,manen
nissan-skyline,スカイライン,,2017,2017年式,root,root,55,19.0,194.9,100.2,102.5,55.5,138.0,194.9,"2017年式 / 2.0 200GT-t タイプSP / 5,000km / 奈良県",2017年式,2.0 200GT-t タイプSP,"5,000km",奈良県,manen
nissan-skyline,スカイライン,,2016,2016年式,root,root,73,10.5,173.4,88.1,79.9,50.1,130.3,173.4,"2016年式 / 3.5 350GT ハイブリッド タイプSP / 45,000km / 大阪府",2016年式,3.5 350GT ハイブリッド タイプSP,"45,000km",大阪府,manen
nissan-skyline,スカイライン,,2015,2015年式,root,root,96,16.9,182.5,71.2,60.9,32.5,107.0,182.5,2015年式 / 3.5 350GT ハイブリッド / 2万km / 和歌山県,2015年式,3.5 350GT ハイブリッド,2万km,和歌山県,manen
nissan-skyline,スカイライン,,2014,2014年式,root,root,118,9.7,132.5,55.9,49.2,35.0,75.5,132.5,"2014年式 / 3.5 350GT ハイブリッド タイプSP / 83,000km / 静岡県",2014年式,3.5 350GT ハイブリッド タイプSP,"83,000km",静岡県,manen
nissan-skyline,スカイライン,,2013,2013年式,root,root,25,18.9,85.2,37.4,29.4,23.4,49.0,85.2,"2013年式 / 3.5 350GT ハイブリッド タイプP / 107,000km / 愛媛県",2013年式,3.5 350GT ハイブリッド タイプP,"107,000km",愛媛県,manen
nissan-skyline,スカイライン,,2012,2012年式,root,root,42,5.0,97.8,35.1,31.4,21.6,42.4,97.8,"2012年式 / 3.7 370GT タイプSP 55thリミテッド / 47,000km / 沖縄県",2012年式,3.7 370GT タイプSP 55thリミテッド,"47,000km",沖縄県,manen
nissan-skyline,スカイライン,,2011,2011年式,root,root,32,7.4,63.0,29.3,27.7,21.4,33.1,63.0,"2011年式 / 2.5 25GT / 33,000km / 岐阜県",2011年式,2.5 25GT,"33,000km",岐阜県,manen
nissan-skyline,スカイライン,,2010,2010年式,root,root,54,5.0,57.1,23.4,23.1,14.7,30.5,57.1,"2010年式 / 3.7 370GT タイプS / 103,000km / 岩手県",2010年式,3.7 370GT タイプS,"103,000km",岩手県,manen
nissan-skyline,スカイライン,,2009,2009年式,root,root,21,16.2,56.4,25.6,24.5,20.4,27.0,56.4,"2009年式 / 2.5 250GT / 57,000km / 福岡県",2009年式,2.5 250GT,"57,000km",福岡県,manen
nissan-skyline,スカイライン,,2008,2008年式,root,root,32,5.0,39.0,24.7,23.6,22.3,27.9,39.0,"2008年式 / 3.7 370GT タイプS / 102,000km / 山形県",2008年式,3.7 370GT タイプS,"102,000km",山形県,manen
nissan-skyline,スカイライン,,2007,2007年式,root,root,39,5.0,37.9,23.9,23.7,21.0,26.7,37.9,"2007年式 / 3.5 350GT タイプS / 79,000km / 愛知県",2007年式,3.5 350GT タイプS,"79,000km",愛知県,manen
nissan-skyline,スカイライン,,2006,2006年式,root,root,21,5.0,33.3,22.5,23.4,17.0,26.4,33.3,"2006年式 / 3.5 350GT タイプSP / 92,000km / 東京都",2006年式,3.5 350GT タイプSP,"92,000km",東京都,manen
nissan-skyline,スカイライン,,2005,2005年式,root,root,5,22.5,32.7,24.7,22.6,22.6,23.0,32.7,"2005年式 / 3.5 350GT タイプP / 119,000km / 長崎県",2005年式,3.5 350GT タイプP,"119,000km",長崎県,manen
nissan-skyline,スカイライン,,2004,2004年式,root,root,2,31.5,66.0,48.8,48.8,31.5,66.0,66.0,"2004年式 / 3.5 350GT プレミアム / 51,000km / 熊本県",2004年式,3.5 350GT プレミアム,"51,000km",熊本県,manen
nissan-skyline,スカイライン,,2003,2003年式,root,root,4,39.0,69.5,47.4,40.6,40.5,40.7,69.5,"2003年式 / 3.5 350GT / 71,000km / 秋田県",2003年式,3.5 350GT,"71,000km",秋田県,manen
nissan-skyline,スカイライン,,2001,2001年式,root,root,18,37.4,245.0,108.9,79.8,60.8,143.0,245.0,"2001年式 / 2.5 25GT ターボ / 92,000km / 東京都",2001年式,2.5 25GT ターボ,"92,000km",東京都,manen
nissan-skyline,スカイライン,,2000,2000年式,root,root,33,9.7,257.5,98.6,87.0,58.8,102.2,257.5,2000年式 / 2.5 25GT ターボ / 25万km / 秋田県,2000年式,2.5 25GT ターボ,25万km,秋田県,manen
nissan-skyline,スカイライン,,1999,1999年式,root,root,19,42.3,208.5,112.5,100.5,73.0,140.4,208.5,"1999年式 / 2.5 25GT ターボ / 149,000km / 高知県",1999年式,2.5 25GT ターボ,"149,000km",高知県,manen
nissan-skyline,スカイライン,,1998,1998年式,root,root,30,40.0,205.5,128.7,126.9,88.0,170.7,205.5,1998年式 / 2.5 25GT ターボ / 0万km / 福井県,1998年式,2.5 25GT ターボ,0万km,福井県,manen
nissan-skyline,スカイライン,,1997,1997年式,root,root,4,47.2,53.0,50.4,50.6,50.5,50.7,53.0,"1997年式 / 2.0 GTS タイプXG / 102,000km / 鹿児島県",1997年式,2.0 GTS タイプXG,"102,000km",鹿児島県,manen
