model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-teana,ティアナ,root,root,0万km,0,0,2,12.8,22.3,17.6,17.6,12.8,22.3,22.3,2014年式 / 2.5 XV / 0万km / 富山県,2014年式,2.5 XV,0万km,富山県,manen
nissan-teana,ティアナ,root,root,"2,000km",2000,2000,1,58.5,58.5,58.5,58.5,58.5,58.5,58.5,"2016年式 / 2.5 XV / 2,000km / 長崎県",2016年式,2.5 XV,"2,000km",長崎県,manen
nissan-teana,ティアナ,root,root,"4,000km",4000,4000,1,60.5,60.5,60.5,60.5,60.5,60.5,60.5,"2015年式 / 2.5 XV / 4,000km / 滋賀県",2015年式,2.5 XV,"4,000km",滋賀県,manen
nissan-teana,ティアナ,root,root,"5,000km",5000,5000,2,12.8,100.7,56.8,56.8,12.8,100.7,100.7,"2019年式 / 2.5 XV ナビAVMパッケージ / 5,000km / 岩手県",2019年式,2.5 XV ナビAVMパッケージ,"5,000km",岩手県,manen
nissan-teana,ティアナ,root,root,"6,000km",6000,6000,2,29.5,30.4,29.9,29.9,29.5,30.4,30.4,"2008年式 / 2.5 250XV / 6,000km / 埼玉県",2008年式,2.5 250XV,"6,000km",埼玉県,manen
nissan-teana,ティアナ,root,root,"7,000km",7000,7000,3,76.6,89.0,84.2,87.1,76.6,89.0,89.0,"2020年式 / 2.5 XL ナビAVMパッケージ / 7,000km / 静岡県",2020年式,2.5 XL ナビAVMパッケージ,"7,000km",静岡県,manen
nissan-teana,ティアナ,root,root,"9,000km",9000,9000,4,36.9,105.5,65.7,60.2,37.9,82.6,105.5,"2018年式 / 2.5 XE / 9,000km / 奈良県",2018年式,2.5 XE,"9,000km",奈良県,manen
nissan-teana,ティアナ,root,root,1万km,10000,10000,2,74.3,99.5,86.9,86.9,74.3,99.5,99.5,2017年式 / 2.5 XV ナビAVMパッケージ / 1万km / 高知県,2017年式,2.5 XV ナビAVMパッケージ,1万km,高知県,manen
nissan-teana,ティアナ,root,root,"11,000km",11000,11000,3,26.6,43.0,35.8,37.9,26.6,43.0,43.0,"2019年式 / 2.5 XL / 11,000km / 佐賀県",2019年式,2.5 XL,"11,000km",佐賀県,manen
nissan-teana,ティアナ,root,root,"12,000km",12000,12000,1,87.0,87.0,87.0,87.0,87.0,87.0,87.0,"2017年式 / 2.5 XE / 12,000km / 岡山県",2017年式,2.5 XE,"12,000km",岡山県,manen
nissan-teana,ティアナ,root,root,"13,000km",13000,13000,1,93.0,93.0,93.0,93.0,93.0,93.0,93.0,"2019年式 / 2.5 XL ナビAVMパッケージ / 13,000km / 富山県",2019年式,2.5 XL ナビAVMパッケージ,"13,000km",富山県,manen
nissan-teana,ティアナ,root,root,"15,000km",15000,15000,5,21.5,99.9,53.2,39.0,38.1,67.5,99.9,"2019年式 / 2.5 250XE / 15,000km / 岩手県",2019年式,2.5 250XE,"15,000km",岩手県,manen
nissan-teana,ティアナ,root,root,"16,000km",16000,16000,3,47.4,103.0,79.6,88.5,47.4,103.0,103.0,"2019年式 / 2.5 XL ナビAVMパッケージ / 16,000km / 愛知県",2019年式,2.5 XL ナビAVMパッケージ,"16,000km",愛知県,manen
nissan-teana,ティアナ,root,root,"17,000km",17000,17000,3,18.1,101.0,61.6,65.7,18.1,101.0,101.0,"2018年式 / 2.5 XL ナビAVMパッケージ / 17,000km / 埼玉県",2018年式,2.5 XL ナビAVMパッケージ,"17,000km",埼玉県,manen
