model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
nissan-x-trail,エクストレイル,,2025,2025年式,root,root,5,254.5,294.5,273.0,262.5,262.5,291.0,294.5,"2025年式 / 1.5 X e-4ORCE 4WD / 6,000km / 岐阜県",2025年式,1.5 X e-4ORCE 4WD,"6,000km",岐阜県,manen
nissan-x-trail,エクストレイル,,2024,2024年式,root,root,6,207.4,292.5,273.1,285.8,281.0,286.3,292.5,"2024年式 / 1.5 X e-4ORCE 4WD / 6,000km / 愛知県",2024年式,1.5 X e-4ORCE 4WD,"6,000km",愛知県,manen
nissan-x-trail,エクストレイル,,2023,2023年式,root,root,11,237.3,282.5,270.0,273.0,260.9,282.0,282.5,"2023年式 / 1.5 G e-4ORCE 4WD / 4,000km / 岩手県",2023年式,1.5 G e-4ORCE 4WD,"4,000km",岩手県,manen
nissan-x-trail,エクストレイル,,2022,2022年式,root,root,32,75.0,276.9,196.8,185.0,154.1,237.0,276.9,"2022年式 / 1.5 X e-4ORCE 4WD / 19,000km / 福井県",2022年式,1.5 X e-4ORCE 4WD,"19,000km",福井県,manen
nissan-x-trail,エクストレイル,,2021,2021年式,root,root,75,53.0,292.7,169.1,174.0,135.0,197.0,292.7,"2021年式 / 2.0 20Xi Vセレクション レザーエディション 4WD / 22,000km / 長野県",2021年式,2.0 20Xi Vセレクション レザーエディション 4WD,"22,000km",長野県,manen
nissan-x-trail,エクストレイル,,2020,2020年式,root,root,78,11.1,215.1,134.7,138.7,110.6,163.7,215.1,"2020年式 / 2.0 20Xi レザーエディション 4WD / 23,000km / 佐賀県",2020年式,2.0 20Xi レザーエディション 4WD,"23,000km",佐賀県,manen
nissan-x-trail,エクストレイル,,2019,2019年式,root,root,77,37.2,186.0,109.9,110.9,85.8,131.0,186.0,"2019年式 / 2.0 20Xi エクストリーマーX 4WD / 23,000km / 大分県",2019年式,2.0 20Xi エクストリーマーX 4WD,"23,000km",大分県,manen
nissan-x-trail,エクストレイル,,2018,2018年式,root,root,85,42.5,165.5,100.2,98.8,80.0,115.8,165.5,"2018年式 / 2.0 20Xi ハイブリッド エクストリーマーX 4WD / 47,000km / 富山県",2018年式,2.0 20Xi ハイブリッド エクストリーマーX 4WD,"47,000km",富山県,manen
nissan-x-trail,エクストレイル,,2017,2017年式,root,root,90,30.8,151.0,77.3,75.9,63.6,86.4,151.0,2017年式 / 2.0 X エクストリームレザー 4WD / 6万km / 山形県,2017年式,2.0 X エクストリームレザー 4WD,6万km,山形県,manen
nissan-x-trail,エクストレイル,,2016,2016年式,root,root,79,5.0,102.6,58.6,56.3,43.3,71.9,102.6,"2016年式 / 2.0 20Xt エマージェンシーブレーキパッケージ / 29,000km / 東京都",2016年式,2.0 20Xt エマージェンシーブレーキパッケージ,"29,000km",東京都,manen
nissan-x-trail,エクストレイル,,2015,2015年式,root,root,81,5.0,111.4,46.7,41.5,34.5,57.5,111.4,"2015年式 / 2.0 20X ハイブリッド エマージェンシーブレーキパッケージ 4WD / 74,000km / 岡山県",2015年式,2.0 20X ハイブリッド エマージェンシーブレーキパッケージ 4WD,"74,000km",岡山県,manen
nissan-x-trail,エクストレイル,,2014,2014年式,root,root,52,11.7,102.3,43.4,41.5,33.2,49.6,102.3,"2014年式 / 2.0 20GT S ディーゼル 4WD / 76,000km / 千葉県",2014年式,2.0 20GT S ディーゼル 4WD,"76,000km",千葉県,manen
nissan-x-trail,エクストレイル,,2013,2013年式,root,root,53,6.9,143.4,39.6,36.1,28.0,48.4,143.4,2013年式 / 2.0 20GT S ディーゼル 4WD / 2万km / 千葉県,2013年式,2.0 20GT S ディーゼル 4WD,2万km,千葉県,manen
nissan-x-trail,エクストレイル,,2012,2012年式,root,root,53,5.0,73.0,36.1,36.0,26.8,45.2,73.0,"2012年式 / 2.0 20X 4WD / 6,000km / 東京都",2012年式,2.0 20X 4WD,"6,000km",東京都,manen
nissan-x-trail,エクストレイル,,2011,2011年式,root,root,40,9.6,74.5,32.9,30.7,24.6,36.7,74.5,2011年式 / 2.0 20GT ディーゼル 4WD / 1万km / 東京都,2011年式,2.0 20GT ディーゼル 4WD,1万km,東京都,manen
nissan-x-trail,エクストレイル,,2010,2010年式,root,root,44,5.0,67.8,29.0,27.4,22.8,33.2,67.8,"2010年式 / 2.0 20GT ディーゼル 4WD / 128,000km / 愛知県",2010年式,2.0 20GT ディーゼル 4WD,"128,000km",愛知県,manen
nissan-x-trail,エクストレイル,,2009,2009年式,root,root,31,5.0,46.6,25.3,24.0,21.3,28.7,46.6,"2009年式 / 2.0 20GT ディーゼル 4WD / 88,000km / 千葉県",2009年式,2.0 20GT ディーゼル 4WD,"88,000km",千葉県,manen
