model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-alcyone-svx,アルシオーネSVX,root,root,0万km,0,0,2,9.4,12.3,10.8,10.8,9.4,12.3,12.3,1991年式 / 3.3 バージョンL 4WD / 0万km / 愛知県,1991年式,3.3 バージョンL 4WD,0万km,愛知県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"7,000km",7000,7000,1,80.5,80.5,80.5,80.5,80.5,80.5,80.5,"1995年式 / 3.3 S4 4WD / 7,000km / 東京都",1995年式,3.3 S4 4WD,"7,000km",東京都,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"29,000km",29000,29000,1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,"1990年式 / 3.3 バージョンL 4WD / 29,000km / 島根県",1990年式,3.3 バージョンL 4WD,"29,000km",島根県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"34,000km",34000,34000,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1994年式 / 3.3 S40 4WD / 34,000km / 埼玉県",1994年式,3.3 S40 4WD,"34,000km",埼玉県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"47,000km",47000,47000,1,18.3,18.3,18.3,18.3,18.3,18.3,18.3,"1995年式 / 3.3 S4 4WD / 47,000km / 愛媛県",1995年式,3.3 S4 4WD,"47,000km",愛媛県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"49,000km",49000,49000,1,55.0,55.0,55.0,55.0,55.0,55.0,55.0,"1993年式 / 3.3 バージョンE 4WD / 49,000km / 秋田県",1993年式,3.3 バージョンE 4WD,"49,000km",秋田県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"54,000km",54000,54000,2,39.6,84.0,61.8,61.8,39.6,84.0,84.0,"1990年式 / 3.3 バージョンL 4WD / 54,000km / 和歌山県",1990年式,3.3 バージョンL 4WD,"54,000km",和歌山県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"57,000km",57000,57000,1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,"1994年式 / 3.3 バージョンE 4WD / 57,000km / 愛知県",1994年式,3.3 バージョンE 4WD,"57,000km",愛知県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,6万km,60000,60000,1,27.4,27.4,27.4,27.4,27.4,27.4,27.4,1990年式 / 3.3 バージョンE 4WD / 6万km / 山口県,1990年式,3.3 バージョンE 4WD,6万km,山口県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"64,000km",64000,64000,3,13.0,28.0,21.3,22.9,13.0,28.0,28.0,"1990年式 / 3.3 バージョンL 4WD / 64,000km / 富山県",1990年式,3.3 バージョンL 4WD,"64,000km",富山県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"66,000km",66000,66000,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"1991年式 / 3.3 バージョンE 4WD / 66,000km / 岐阜県",1991年式,3.3 バージョンE 4WD,"66,000km",岐阜県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,7万km,70000,70000,1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,1992年式 / 3.3 バージョンE 4WD / 7万km / 三重県,1992年式,3.3 バージョンE 4WD,7万km,三重県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"71,000km",71000,71000,1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,"1995年式 / 3.3 S4 4WD / 71,000km / 神奈川県",1995年式,3.3 S4 4WD,"71,000km",神奈川県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"72,000km",72000,72000,1,17.4,17.4,17.4,17.4,17.4,17.4,17.4,"1995年式 / 3.3 S4 4WD / 72,000km / 神奈川県",1995年式,3.3 S4 4WD,"72,000km",神奈川県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"73,000km",73000,73000,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,"1995年式 / 3.3 S4 4WD / 73,000km / 愛知県",1995年式,3.3 S4 4WD,"73,000km",愛知県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"75,000km",75000,75000,1,91.5,91.5,91.5,91.5,91.5,91.5,91.5,"1993年式 / 3.3 バージョンL 4WD / 75,000km / 広島県",1993年式,3.3 バージョンL 4WD,"75,000km",広島県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"76,000km",76000,76000,2,13.9,14.1,14.0,14.0,13.9,14.1,14.1,"1992年式 / 3.3 バージョンE 4WD / 76,000km / 群馬県",1992年式,3.3 バージョンE 4WD,"76,000km",群馬県,manen
subaru-alcyone-svx,アルシオーネSVX,root,root,"78,000km",78000,78000,2,28.5,40.0,34.2,34.2,28.5,40.0,40.0,"1992年式 / 3.3 バージョンL 4WD / 78,000km / 静岡県",1992年式,3.3 バージョンL 4WD,"78,000km",静岡県,manen
