model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-brz,BRZ,root,root,0万km,0,0,5,46.0,299.5,124.5,75.0,71.2,131.0,299.5,2023年式 / 2.4 S 10th アニバーサリー リミテッド / 0万km / 兵庫県,2023年式,2.4 S 10th アニバーサリー リミテッド,0万km,兵庫県,manen
subaru-brz,BRZ,root,root,"1,000km",1000,1000,4,257.5,287.0,269.6,267.0,258.0,276.0,287.0,"2023年式 / 2.4 S / 1,000km / 東京都",2023年式,2.4 S,"1,000km",東京都,manen
subaru-brz,BRZ,root,root,"2,000km",2000,2000,8,179.1,281.5,255.3,263.0,256.6,270.0,281.5,"2024年式 / 2.4 STI スポーツ / 2,000km / 大阪府",2024年式,2.4 STI スポーツ,"2,000km",大阪府,manen
subaru-brz,BRZ,root,root,"3,000km",3000,3000,8,187.5,301.0,253.4,252.3,237.0,290.5,301.0,"2023年式 / 2.4 S / 3,000km / 岩手県",2023年式,2.4 S,"3,000km",岩手県,manen
subaru-brz,BRZ,root,root,"4,000km",4000,4000,10,127.5,306.0,256.5,278.5,230.3,296.5,306.0,"2023年式 / 2.4 STI スポーツ / 4,000km / 千葉県",2023年式,2.4 STI スポーツ,"4,000km",千葉県,manen
subaru-brz,BRZ,root,root,"5,000km",5000,5000,13,202.8,310.0,255.3,249.3,237.0,265.5,310.0,"2024年式 / 2.4 STI スポーツ / 5,000km / 大分県",2024年式,2.4 STI スポーツ,"5,000km",大分県,manen
subaru-brz,BRZ,root,root,"6,000km",6000,6000,7,241.1,307.5,256.5,251.0,247.0,252.3,307.5,"2023年式 / 2.4 S / 6,000km / 山梨県",2023年式,2.4 S,"6,000km",山梨県,manen
subaru-brz,BRZ,root,root,"7,000km",7000,7000,9,234.5,291.1,264.8,266.0,246.1,282.0,291.1,"2021年式 / 2.4 S / 7,000km / 東京都",2021年式,2.4 S,"7,000km",東京都,manen
subaru-brz,BRZ,root,root,"8,000km",8000,8000,9,204.0,280.0,246.0,247.5,234.7,256.0,280.0,"2021年式 / 2.4 S / 8,000km / 茨城県",2021年式,2.4 S,"8,000km",茨城県,manen
subaru-brz,BRZ,root,root,"9,000km",9000,9000,10,118.8,260.0,217.4,229.0,193.5,248.0,260.0,"2022年式 / 2.4 S / 9,000km / 奈良県",2022年式,2.4 S,"9,000km",奈良県,manen
subaru-brz,BRZ,root,root,1万km,10000,10000,8,180.0,272.5,238.3,247.1,209.5,270.0,272.5,2022年式 / 2.4 S / 1万km / 山形県,2022年式,2.4 S,1万km,山形県,manen
subaru-brz,BRZ,root,root,"11,000km",11000,11000,8,139.4,263.5,204.2,202.3,200.0,230.1,263.5,"2023年式 / 2.4 S / 11,000km / 滋賀県",2023年式,2.4 S,"11,000km",滋賀県,manen
subaru-brz,BRZ,root,root,"12,000km",12000,12000,15,109.1,320.5,223.8,219.5,200.0,256.0,320.5,"2023年式 / 2.4 S 10th アニバーサリー リミテッド / 12,000km / 秋田県",2023年式,2.4 S 10th アニバーサリー リミテッド,"12,000km",秋田県,manen
subaru-brz,BRZ,root,root,"13,000km",13000,13000,9,218.3,281.0,243.3,232.5,229.5,260.0,281.0,"2024年式 / 2.4 S / 13,000km / 愛知県",2024年式,2.4 S,"13,000km",愛知県,manen
subaru-brz,BRZ,root,root,"14,000km",14000,14000,9,218.0,313.0,246.0,249.5,218.5,252.5,313.0,"2024年式 / 2.4 STI スポーツ / 14,000km / 佐賀県",2024年式,2.4 STI スポーツ,"14,000km",佐賀県,manen
subaru-brz,BRZ,root,root,"15,000km",15000,15000,11,181.5,277.5,234.2,236.5,223.6,249.5,277.5,"2023年式 / 2.4 S / 15,000km / 東京都",2023年式,2.4 S,"15,000km",東京都,manen
subaru-brz,BRZ,root,root,"16,000km",16000,16000,4,215.4,298.5,254.9,252.9,238.9,267.0,298.5,"2023年式 / 2.4 S / 16,000km / 長野県",2023年式,2.4 S,"16,000km",長野県,manen
