model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-chiffon,シフォン,,2025,2025年式,root,root,2,83.0,89.5,86.2,86.2,83.0,89.5,89.5,"2025年式 / G スマートアシスト 4WD / 3,000km / 千葉県",2025年式,G スマートアシスト 4WD,"3,000km",千葉県,manen
subaru-chiffon,シフォン,,2024,2024年式,root,root,10,59.5,160.0,110.0,112.3,76.5,132.9,160.0,"2024年式 / カスタム RS / 7,000km / 長野県",2024年式,カスタム RS,"7,000km",長野県,manen
subaru-chiffon,シフォン,,2023,2023年式,root,root,31,64.5,161.0,118.1,115.0,98.5,141.5,161.0,"2023年式 / カスタム R スマートアシスト 4WD / 9,000km / 栃木県",2023年式,カスタム R スマートアシスト 4WD,"9,000km",栃木県,manen
subaru-chiffon,シフォン,,2022,2022年式,root,root,30,62.5,153.0,105.4,102.8,87.2,123.1,153.0,"2022年式 / カスタム RS スマートアシスト 4WD / 15,000km / 山形県",2022年式,カスタム RS スマートアシスト 4WD,"15,000km",山形県,manen
subaru-chiffon,シフォン,,2021,2021年式,root,root,40,48.0,139.5,94.2,91.7,79.5,109.0,139.5,"2021年式 / カスタム RS リミテッド スマートアシスト 4WD / 29,000km / 富山県",2021年式,カスタム RS リミテッド スマートアシスト 4WD,"29,000km",富山県,manen
subaru-chiffon,シフォン,,2020,2020年式,root,root,75,45.7,142.5,89.6,86.9,70.3,111.4,142.5,2020年式 / GS スマートアシスト / 0万km / 高知県,2020年式,GS スマートアシスト,0万km,高知県,manen
subaru-chiffon,シフォン,,2019,2019年式,root,root,120,11.1,138.9,86.3,90.8,68.0,108.5,138.9,"2019年式 / カスタム RS スマートアシスト 4WD / 48,000km / 高知県",2019年式,カスタム RS スマートアシスト 4WD,"48,000km",高知県,manen
subaru-chiffon,シフォン,,2018,2018年式,root,root,120,17.4,137.0,76.2,75.8,59.9,96.3,137.0,2018年式 / カスタム RS スマートアシスト / 1万km / 千葉県,2018年式,カスタム RS スマートアシスト,1万km,千葉県,manen
subaru-chiffon,シフォン,,2017,2017年式,root,root,201,21.0,133.5,72.8,72.0,53.9,90.5,133.5,"2017年式 / カスタム RS リミテッド スマートアシスト 4WD / 11,000km / 宮崎県",2017年式,カスタム RS リミテッド スマートアシスト 4WD,"11,000km",宮崎県,manen
subaru-chiffon,シフォン,,2016,2016年式,root,root,88,10.7,148.0,97.0,100.2,81.5,112.0,148.0,"2016年式 / カスタム RS リミテッド スマートアシスト 4WD / 17,000km / 長崎県",2016年式,カスタム RS リミテッド スマートアシスト 4WD,"17,000km",長崎県,manen
subaru-chiffon,シフォン,,2015,2015年式,root,root,21,80.1,127.0,101.1,101.6,90.1,112.5,127.0,"2015年式 / カスタム RS リミテッド スマートアシスト / 17,000km / 奈良県",2015年式,カスタム RS リミテッド スマートアシスト,"17,000km",奈良県,manen
