model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-dex,デックス,root,root,"2,000km",2000,2000,1,7.6,7.6,7.6,7.6,7.6,7.6,7.6,"2009年式 / 1.3 i / 2,000km / 兵庫県",2009年式,1.3 i,"2,000km",兵庫県,manen
subaru-dex,デックス,root,root,"3,000km",3000,3000,2,6.9,6.9,6.9,6.9,6.9,6.9,6.9,"2008年式 / 1.3 i-L 4WD / 3,000km / 沖縄県",2008年式,1.3 i-L 4WD,"3,000km",沖縄県,manen
subaru-dex,デックス,root,root,"4,000km",4000,4000,4,5.7,43.2,24.4,24.4,5.7,43.2,43.2,"2008年式 / 1.3 i-L / 4,000km / 岡山県",2008年式,1.3 i-L,"4,000km",岡山県,manen
subaru-dex,デックス,root,root,1万km,10000,10000,2,45.0,53.0,49.0,49.0,45.0,53.0,53.0,2009年式 / 1.3 i / 1万km / 栃木県,2009年式,1.3 i,1万km,栃木県,manen
subaru-dex,デックス,root,root,"13,000km",13000,13000,1,49.9,49.9,49.9,49.9,49.9,49.9,49.9,"2008年式 / 1.3 i / 13,000km / 岩手県",2008年式,1.3 i,"13,000km",岩手県,manen
subaru-dex,デックス,root,root,"15,000km",15000,15000,1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,"2007年式 / 1.3 i-L / 15,000km / 愛知県",2007年式,1.3 i-L,"15,000km",愛知県,manen
subaru-dex,デックス,root,root,"17,000km",17000,17000,1,54.3,54.3,54.3,54.3,54.3,54.3,54.3,"2008年式 / 1.3 i-L / 17,000km / 京都府",2008年式,1.3 i-L,"17,000km",京都府,manen
subaru-dex,デックス,root,root,"18,000km",18000,18000,1,56.5,56.5,56.5,56.5,56.5,56.5,56.5,"2008年式 / 1.3 i-S / 18,000km / 秋田県",2008年式,1.3 i-S,"18,000km",秋田県,manen
subaru-dex,デックス,root,root,"19,000km",19000,19000,1,45.0,45.0,45.0,45.0,45.0,45.0,45.0,"2009年式 / 1.3 i-L / 19,000km / 山口県",2009年式,1.3 i-L,"19,000km",山口県,manen
subaru-dex,デックス,root,root,"21,000km",21000,21000,2,23.8,65.5,44.6,44.6,23.8,65.5,65.5,"2010年式 / 1.3 i-L / 21,000km / 長崎県",2010年式,1.3 i-L,"21,000km",長崎県,manen
subaru-dex,デックス,root,root,"22,000km",22000,22000,1,19.8,19.8,19.8,19.8,19.8,19.8,19.8,"2008年式 / 1.3 i / 22,000km / 東京都",2008年式,1.3 i,"22,000km",東京都,manen
subaru-dex,デックス,root,root,"23,000km",23000,23000,7,20.1,70.5,48.8,52.1,48.5,53.0,70.5,"1989年式 / 1.3 i-S / 23,000km / 大分県",1989年式,1.3 i-S,"23,000km",大分県,manen
subaru-dex,デックス,root,root,"25,000km",25000,25000,3,58.5,70.5,66.5,70.5,58.5,70.5,70.5,"2008年式 / 1.3 i-L / 25,000km / 奈良県",2008年式,1.3 i-L,"25,000km",奈良県,manen
subaru-dex,デックス,root,root,"26,000km",26000,26000,4,32.7,66.7,43.4,37.0,35.1,39.0,66.7,"2008年式 / 1.3 i-S / 26,000km / 宮崎県",2008年式,1.3 i-S,"26,000km",宮崎県,manen
subaru-dex,デックス,root,root,"27,000km",27000,27000,3,29.0,71.5,52.2,56.0,29.0,71.5,71.5,"2008年式 / 1.3 i-S 4WD / 27,000km / 鹿児島県",2008年式,1.3 i-S 4WD,"27,000km",鹿児島県,manen
subaru-dex,デックス,root,root,"28,000km",28000,28000,2,31.0,43.0,37.0,37.0,31.0,43.0,43.0,"2008年式 / 1.3 i / 28,000km / 東京都",2008年式,1.3 i,"28,000km",東京都,manen
subaru-dex,デックス,root,root,"29,000km",29000,29000,2,37.0,53.5,45.2,45.2,37.0,53.5,53.5,"2007年式 / 1.3 i-S 4WD / 29,000km / 宮城県",2007年式,1.3 i-S 4WD,"29,000km",宮城県,manen
subaru-dex,デックス,root,root,3万km,30000,30000,2,34.8,60.0,47.4,47.4,34.8,60.0,60.0,2008年式 / 1.3 i-L / 3万km / 千葉県,2008年式,1.3 i-L,3万km,千葉県,manen
subaru-dex,デックス,root,root,"31,000km",31000,31000,3,14.4,43.5,31.6,37.0,14.4,43.5,43.5,"2009年式 / 1.3 i / 31,000km / 岩手県",2009年式,1.3 i,"31,000km",岩手県,manen
subaru-dex,デックス,root,root,"33,000km",33000,33000,2,38.3,39.1,38.7,38.7,38.3,39.1,39.1,"2007年式 / 1.3 i-L / 33,000km / 京都府",2007年式,1.3 i-L,"33,000km",京都府,manen
subaru-dex,デックス,root,root,"34,000km",34000,34000,4,26.5,64.5,49.6,53.8,53.0,54.5,64.5,"2007年式 / 1.3 i-L / 34,000km / 千葉県",2007年式,1.3 i-L,"34,000km",千葉県,manen
subaru-dex,デックス,root,root,"35,000km",35000,35000,3,12.2,47.1,23.8,12.2,12.2,47.1,47.1,"2008年式 / 1.3 i-S / 35,000km / 山形県",2008年式,1.3 i-S,"35,000km",山形県,manen
subaru-dex,デックス,root,root,"36,000km",36000,36000,2,41.5,61.3,51.4,51.4,41.5,61.3,61.3,"2007年式 / 1.3 i-L / 36,000km / 兵庫県",2007年式,1.3 i-L,"36,000km",兵庫県,manen
subaru-dex,デックス,root,root,"37,000km",37000,37000,4,28.0,70.5,53.7,58.1,54.5,61.8,70.5,"2008年式 / 1.3 i-S / 37,000km / 宮城県",2008年式,1.3 i-S,"37,000km",宮城県,manen
subaru-dex,デックス,root,root,"38,000km",38000,38000,2,15.0,64.9,40.0,40.0,15.0,64.9,64.9,"2008年式 / 1.3 i-L / 38,000km / 埼玉県",2008年式,1.3 i-L,"38,000km",埼玉県,manen
subaru-dex,デックス,root,root,"39,000km",39000,39000,3,50.0,60.1,54.0,52.0,50.0,60.1,60.1,"2008年式 / 1.3 i-S / 39,000km / 千葉県",2008年式,1.3 i-S,"39,000km",千葉県,manen
subaru-dex,デックス,root,root,4万km,40000,40000,6,25.8,65.0,38.2,32.4,28.8,45.2,65.0,2009年式 / 1.3 i-L / 4万km / 徳島県,2009年式,1.3 i-L,4万km,徳島県,manen
subaru-dex,デックス,root,root,"41,000km",41000,41000,3,9.4,38.0,23.2,22.3,9.4,38.0,38.0,"2007年式 / 1.3 i-L / 41,000km / 愛知県",2007年式,1.3 i-L,"41,000km",愛知県,manen
subaru-dex,デックス,root,root,"42,000km",42000,42000,1,47.3,47.3,47.3,47.3,47.3,47.3,47.3,"2009年式 / 1.3 i-S / 42,000km / 岩手県",2009年式,1.3 i-S,"42,000km",岩手県,manen
subaru-dex,デックス,root,root,"43,000km",43000,43000,4,26.0,60.0,44.9,46.9,43.9,49.8,60.0,"2009年式 / 1.3 i-S / 43,000km / 茨城県",2009年式,1.3 i-S,"43,000km",茨城県,manen
subaru-dex,デックス,root,root,"44,000km",44000,44000,1,64.0,64.0,64.0,64.0,64.0,64.0,64.0,"2008年式 / 1.3 i-S / 44,000km / 大分県",2008年式,1.3 i-S,"44,000km",大分県,manen
subaru-dex,デックス,root,root,"45,000km",45000,45000,4,22.6,31.9,26.1,25.1,22.6,27.5,31.9,"2007年式 / 1.3 i-S / 45,000km / 高知県",2007年式,1.3 i-S,"45,000km",高知県,manen
subaru-dex,デックス,root,root,"46,000km",46000,46000,2,23.0,41.0,32.0,32.0,23.0,41.0,41.0,"2007年式 / 1.3 i-S / 46,000km / 愛媛県",2007年式,1.3 i-S,"46,000km",愛媛県,manen
subaru-dex,デックス,root,root,"47,000km",47000,47000,4,20.1,43.0,31.5,31.5,27.4,35.6,43.0,"2008年式 / 1.3 i-L / 47,000km / 山形県",2008年式,1.3 i-L,"47,000km",山形県,manen
subaru-dex,デックス,root,root,"48,000km",48000,48000,1,38.7,38.7,38.7,38.7,38.7,38.7,38.7,"1987年式 / 1.3 i-S / 48,000km / 宮崎県",1987年式,1.3 i-S,"48,000km",宮崎県,manen
subaru-dex,デックス,root,root,"49,000km",49000,49000,6,23.1,61.0,38.9,34.9,24.0,55.3,61.0,"2008年式 / 1.3 i-S / 49,000km / 広島県",2008年式,1.3 i-S,"49,000km",広島県,manen
subaru-dex,デックス,root,root,5万km,50000,50000,4,37.0,49.5,44.4,45.5,42.5,48.5,49.5,2007年式 / 1.3 i-L / 5万km / 千葉県,2007年式,1.3 i-L,5万km,千葉県,manen
subaru-dex,デックス,root,root,"51,000km",51000,51000,4,15.7,43.2,29.6,29.8,27.5,32.0,43.2,"2008年式 / 1.3 i-S / 51,000km / 滋賀県",2008年式,1.3 i-S,"51,000km",滋賀県,manen
subaru-dex,デックス,root,root,"52,000km",52000,52000,5,16.0,56.9,39.5,52.5,16.0,56.3,56.9,"2007年式 / 1.3 i-L / 52,000km / 沖縄県",2007年式,1.3 i-L,"52,000km",沖縄県,manen
