model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-dias-wagon,ディアスワゴン,,2019,2019年式,root,root,14,37.0,110.3,77.5,72.8,63.3,101.0,110.3,"2019年式 / RS スマートアシスト / 8,000km / 京都府",2019年式,RS スマートアシスト,"8,000km",京都府,manen
subaru-dias-wagon,ディアスワゴン,,2018,2018年式,root,root,17,10.0,114.0,79.8,81.9,76.2,103.5,114.0,"2018年式 / RS スマートアシスト 4WD / 33,000km / 愛媛県",2018年式,RS スマートアシスト 4WD,"33,000km",愛媛県,manen
subaru-dias-wagon,ディアスワゴン,,2017,2017年式,root,root,9,38.0,111.0,73.7,75.2,55.5,87.1,111.0,"2017年式 / RS リミテッド スマートアシスト / 27,000km / 和歌山県",2017年式,RS リミテッド スマートアシスト,"27,000km",和歌山県,manen
subaru-dias-wagon,ディアスワゴン,,2016,2016年式,root,root,18,15.4,99.8,54.7,50.8,24.5,80.1,99.8,"2016年式 / RS 4WD / 51,000km / 長崎県",2016年式,RS 4WD,"51,000km",長崎県,manen
subaru-dias-wagon,ディアスワゴン,,2015,2015年式,root,root,68,3.2,105.5,61.6,64.0,35.5,85.5,105.5,"2015年式 / RS リミテッド 4WD / 12,000km / 岐阜県",2015年式,RS リミテッド 4WD,"12,000km",岐阜県,manen
subaru-dias-wagon,ディアスワゴン,,2014,2014年式,root,root,44,6.5,105.0,46.1,48.4,22.5,66.0,105.0,"2014年式 / RS リミテッド 4WD / 11,000km / 新潟県",2014年式,RS リミテッド 4WD,"11,000km",新潟県,manen
subaru-dias-wagon,ディアスワゴン,,2013,2013年式,root,root,87,5.0,109.5,47.5,43.5,23.2,69.6,109.5,2013年式 / RS リミテッド 4WD / 1万km / 石川県,2013年式,RS リミテッド 4WD,1万km,石川県,manen
subaru-dias-wagon,ディアスワゴン,,2012,2012年式,root,root,100,5.0,105.5,54.9,54.2,32.0,77.3,105.5,"2012年式 / RS リミテッド / 9,000km / 新潟県",2012年式,RS リミテッド,"9,000km",新潟県,manen
subaru-dias-wagon,ディアスワゴン,,2011,2011年式,root,root,113,5.3,99.3,46.7,45.0,25.0,67.0,99.3,"2011年式 / RS リミテッド / 11,000km / 大阪府",2011年式,RS リミテッド,"11,000km",大阪府,manen
subaru-dias-wagon,ディアスワゴン,,2010,2010年式,root,root,118,6.7,100.1,44.1,41.4,26.1,59.0,100.1,"2010年式 / LS / 19,000km / 山梨県",2010年式,LS,"19,000km",山梨県,manen
subaru-dias-wagon,ディアスワゴン,,2009,2009年式,root,root,121,8.3,94.1,43.9,39.8,27.6,60.9,94.1,"2009年式 / RS リミテッド / 32,000km / 東京都",2009年式,RS リミテッド,"32,000km",東京都,manen
subaru-dias-wagon,ディアスワゴン,,2008,2008年式,root,root,53,9.1,81.5,34.1,30.2,19.9,42.5,81.5,"2008年式 / RS リミテッド / 23,000km / 鳥取県",2008年式,RS リミテッド,"23,000km",鳥取県,manen
subaru-dias-wagon,ディアスワゴン,,2007,2007年式,root,root,9,8.8,59.7,32.4,34.1,24.0,38.0,59.7,"2007年式 / RS スマートアシスト 4WD / 56,000km / 栃木県",2007年式,RS スマートアシスト 4WD,"56,000km",栃木県,manen
subaru-dias-wagon,ディアスワゴン,,2006,2006年式,root,root,3,34.2,70.0,53.8,57.1,34.2,70.0,70.0,"2006年式 / LS 4WD / 45,000km / 広島県",2006年式,LS 4WD,"45,000km",広島県,manen
subaru-dias-wagon,ディアスワゴン,,2005,2005年式,root,root,3,31.2,82.5,48.9,33.0,31.2,82.5,82.5,"2005年式 / RS スマートアシスト / 14,000km / 高知県",2005年式,RS スマートアシスト,"14,000km",高知県,manen
subaru-dias-wagon,ディアスワゴン,,2004,2004年式,root,root,2,14.4,18.0,16.2,16.2,14.4,18.0,18.0,"2004年式 / RS / 82,000km / 山梨県",2004年式,RS,"82,000km",山梨県,manen
subaru-dias-wagon,ディアスワゴン,,2003,2003年式,root,root,7,5.8,44.5,19.7,16.8,13.8,18.0,44.5,"2003年式 / RS スマートアシスト / 75,000km / 熊本県",2003年式,RS スマートアシスト,"75,000km",熊本県,manen
subaru-dias-wagon,ディアスワゴン,,2002,2002年式,root,root,3,32.0,68.6,56.4,68.6,32.0,68.6,68.6,"2002年式 / RS / 55,000km / 大阪府",2002年式,RS,"55,000km",大阪府,manen
subaru-dias-wagon,ディアスワゴン,,2001,2001年式,root,root,3,7.0,38.7,22.1,20.5,7.0,38.7,38.7,"2001年式 / LS 4WD / 49,000km / 長崎県",2001年式,LS 4WD,"49,000km",長崎県,manen
subaru-dias-wagon,ディアスワゴン,,2000,2000年式,root,root,1,5.7,5.7,5.7,5.7,5.7,5.7,5.7,"2000年式 / RS スマートアシスト / 166,000km / 宮崎県",2000年式,RS スマートアシスト,"166,000km",宮崎県,manen
subaru-dias-wagon,ディアスワゴン,,1987,1987年式,root,root,7,46.2,103.5,68.2,60.4,54.9,78.0,103.5,"1987年式 / LS 4WD / 6,000km / 群馬県",1987年式,LS 4WD,"6,000km",群馬県,manen
