model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-exiga,エクシーガ,root,root,0万km,0,0,1,21.2,21.2,21.2,21.2,21.2,21.2,21.2,2013年式 / 2.5 i スペックB アイサイト 4WD / 0万km / 宮城県,2013年式,2.5 i スペックB アイサイト 4WD,0万km,宮城県,manen
subaru-exiga,エクシーガ,root,root,"8,000km",8000,8000,1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,"2009年式 / 2.0 i-S 4WD / 8,000km / 長野県",2009年式,2.0 i-S 4WD,"8,000km",長野県,manen
subaru-exiga,エクシーガ,root,root,"9,000km",9000,9000,1,21.4,21.4,21.4,21.4,21.4,21.4,21.4,"2014年式 / 2.5 i スペックB アイサイト 4WD / 9,000km / 山形県",2014年式,2.5 i スペックB アイサイト 4WD,"9,000km",山形県,manen
subaru-exiga,エクシーガ,root,root,1万km,10000,10000,1,19.6,19.6,19.6,19.6,19.6,19.6,19.6,2014年式 / 2.5 i アイサイト 4WD / 1万km / 広島県,2014年式,2.5 i アイサイト 4WD,1万km,広島県,manen
subaru-exiga,エクシーガ,root,root,"15,000km",15000,15000,2,22.0,24.1,23.1,23.1,22.0,24.1,24.1,"2009年式 / 2.0 i-S / 15,000km / 大阪府",2009年式,2.0 i-S,"15,000km",大阪府,manen
subaru-exiga,エクシーガ,root,root,"16,000km",16000,16000,2,25.5,26.8,26.1,26.1,25.5,26.8,26.8,"2010年式 / 2.0 i / 16,000km / 山梨県",2010年式,2.0 i,"16,000km",山梨県,manen
subaru-exiga,エクシーガ,root,root,"22,000km",22000,22000,1,61.5,61.5,61.5,61.5,61.5,61.5,61.5,"2012年式 / 2.5 i アイサイト 4WD / 22,000km / 大阪府",2012年式,2.5 i アイサイト 4WD,"22,000km",大阪府,manen
subaru-exiga,エクシーガ,root,root,"24,000km",24000,24000,3,15.3,44.0,33.6,41.5,15.3,44.0,44.0,"2012年式 / 2.0 GT アイサイト アルカンターラセレクション 4WD / 24,000km / 埼玉県",2012年式,2.0 GT アイサイト アルカンターラセレクション 4WD,"24,000km",埼玉県,manen
subaru-exiga,エクシーガ,root,root,"25,000km",25000,25000,1,27.3,27.3,27.3,27.3,27.3,27.3,27.3,"2012年式 / 2.0 i-S リミテッド / 25,000km / 秋田県",2012年式,2.0 i-S リミテッド,"25,000km",秋田県,manen
subaru-exiga,エクシーガ,root,root,"27,000km",27000,27000,2,12.4,24.5,18.4,18.4,12.4,24.5,24.5,"2010年式 / 2.5 i-S アルカンターラセレクション 4WD / 27,000km / 岡山県",2010年式,2.5 i-S アルカンターラセレクション 4WD,"27,000km",岡山県,manen
subaru-exiga,エクシーガ,root,root,3万km,30000,30000,2,5.2,17.5,11.3,11.3,5.2,17.5,17.5,2011年式 / 2.0 i-S / 3万km / 宮城県,2011年式,2.0 i-S,3万km,宮城県,manen
subaru-exiga,エクシーガ,root,root,"32,000km",32000,32000,6,13.5,57.7,27.8,22.8,14.8,35.0,57.7,"2014年式 / 2.5 i スペックB アイサイト 4WD / 32,000km / 三重県",2014年式,2.5 i スペックB アイサイト 4WD,"32,000km",三重県,manen
subaru-exiga,エクシーガ,root,root,"35,000km",35000,35000,1,38.4,38.4,38.4,38.4,38.4,38.4,38.4,"2009年式 / 2.0 GT 4WD / 35,000km / 千葉県",2009年式,2.0 GT 4WD,"35,000km",千葉県,manen
subaru-exiga,エクシーガ,root,root,"36,000km",36000,36000,2,5.0,29.0,17.0,17.0,5.0,29.0,29.0,"2011年式 / 2.0 i-S / 36,000km / 大阪府",2011年式,2.0 i-S,"36,000km",大阪府,manen
subaru-exiga,エクシーガ,root,root,"37,000km",37000,37000,3,16.6,25.9,22.8,25.9,16.6,25.9,25.9,"2009年式 / 2.0 i-S 4WD / 37,000km / 熊本県",2009年式,2.0 i-S 4WD,"37,000km",熊本県,manen
subaru-exiga,エクシーガ,root,root,"38,000km",38000,38000,4,5.6,35.3,19.4,18.3,13.5,23.1,35.3,"2011年式 / 2.5 i-S アルカンターラセレクション 4WD / 38,000km / 山形県",2011年式,2.5 i-S アルカンターラセレクション 4WD,"38,000km",山形県,manen
subaru-exiga,エクシーガ,root,root,"39,000km",39000,39000,2,20.0,41.5,30.8,30.8,20.0,41.5,41.5,"2010年式 / 2.0 i-S 4WD / 39,000km / 埼玉県",2010年式,2.0 i-S 4WD,"39,000km",埼玉県,manen
subaru-exiga,エクシーガ,root,root,4万km,40000,40000,2,5.0,28.9,16.9,16.9,5.0,28.9,28.9,2012年式 / 2.0 i-S アドバンテージ ライン 4WD / 4万km / 福岡県,2012年式,2.0 i-S アドバンテージ ライン 4WD,4万km,福岡県,manen
subaru-exiga,エクシーガ,root,root,"42,000km",42000,42000,2,22.3,48.0,35.1,35.1,22.3,48.0,48.0,"2013年式 / 2.5 i アイサイト Lパッケージ 4WD / 42,000km / 熊本県",2013年式,2.5 i アイサイト Lパッケージ 4WD,"42,000km",熊本県,manen
subaru-exiga,エクシーガ,root,root,"43,000km",43000,43000,3,17.1,57.5,31.5,19.8,17.1,57.5,57.5,"2011年式 / 2.5 i-S 4WD / 43,000km / 愛知県",2011年式,2.5 i-S 4WD,"43,000km",愛知県,manen
subaru-exiga,エクシーガ,root,root,"44,000km",44000,44000,5,14.8,27.4,21.0,23.0,16.6,23.2,27.4,"2013年式 / 2.5 i スペックB アイサイト 4WD / 44,000km / 愛知県",2013年式,2.5 i スペックB アイサイト 4WD,"44,000km",愛知県,manen
subaru-exiga,エクシーガ,root,root,"45,000km",45000,45000,7,10.6,38.1,27.7,27.2,25.1,31.8,38.1,"2012年式 / 2.5 i アイサイト アルカンターラセレクション 4WD / 45,000km / 兵庫県",2012年式,2.5 i アイサイト アルカンターラセレクション 4WD,"45,000km",兵庫県,manen
subaru-exiga,エクシーガ,root,root,"46,000km",46000,46000,2,23.4,26.7,25.1,25.1,23.4,26.7,26.7,"2012年式 / 2.5 i アイサイト アルカンターラセレクション 4WD / 46,000km / 三重県",2012年式,2.5 i アイサイト アルカンターラセレクション 4WD,"46,000km",三重県,manen
subaru-exiga,エクシーガ,root,root,"47,000km",47000,47000,2,16.4,22.8,19.6,19.6,16.4,22.8,22.8,"2012年式 / 2.0 i-S / 47,000km / 島根県",2012年式,2.0 i-S,"47,000km",島根県,manen
subaru-exiga,エクシーガ,root,root,"48,000km",48000,48000,6,11.5,50.8,33.9,36.2,28.3,40.1,50.8,"2014年式 / 2.5 i アイサイト Lパッケージ 4WD / 48,000km / 山梨県",2014年式,2.5 i アイサイト Lパッケージ 4WD,"48,000km",山梨県,manen
subaru-exiga,エクシーガ,root,root,"49,000km",49000,49000,7,17.7,36.8,25.5,22.8,22.2,30.1,36.8,"2008年式 / 2.0 GT 4WD / 49,000km / 埼玉県",2008年式,2.0 GT 4WD,"49,000km",埼玉県,manen
subaru-exiga,エクシーガ,root,root,5万km,50000,50000,8,5.0,47.5,25.2,22.0,21.3,31.0,47.5,2012年式 / 2.0 GT アルカンターラセレクション 4WD / 5万km / 三重県,2012年式,2.0 GT アルカンターラセレクション 4WD,5万km,三重県,manen
subaru-exiga,エクシーガ,root,root,"51,000km",51000,51000,4,13.7,59.0,36.9,37.4,19.3,55.5,59.0,"2014年式 / 2.5 i アイサイト Sパッケージ 4WD / 51,000km / 山口県",2014年式,2.5 i アイサイト Sパッケージ 4WD,"51,000km",山口県,manen
