model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-forester,フォレスター,,2025,2025年式,root,root,11,314.5,356.6,336.8,338.0,320.0,355.7,356.6,"2025年式 / 1.8 スポーツ EX ブラックセレクション 4WD / 1,000km / 東京都",2025年式,1.8 スポーツ EX ブラックセレクション 4WD,"1,000km",東京都,manen
subaru-forester,フォレスター,,2024,2024年式,root,root,35,190.6,362.5,303.1,302.5,283.5,332.2,362.5,"2024年式 / 1.8 STI スポーツ ブラック インテリア セレクション 4WD / 3,000km / 佐賀県",2024年式,1.8 STI スポーツ ブラック インテリア セレクション 4WD,"3,000km",佐賀県,manen
subaru-forester,フォレスター,,2023,2023年式,root,root,48,35.1,328.2,279.4,288.7,269.5,304.5,328.2,"2023年式 / 1.8 STI スポーツ 4WD / 15,000km / 東京都",2023年式,1.8 STI スポーツ 4WD,"15,000km",東京都,manen
subaru-forester,フォレスター,,2022,2022年式,root,root,49,38.9,358.8,267.3,273.0,236.0,328.0,358.8,"2022年式 / 1.8 スポーツ 4WD / 31,000km / 群馬県",2022年式,1.8 スポーツ 4WD,"31,000km",群馬県,manen
subaru-forester,フォレスター,,2021,2021年式,root,root,47,114.8,358.8,233.3,230.2,192.8,268.3,358.8,"2021年式 / 1.8 スポーツ 4WD / 17,000km / 愛媛県",2021年式,1.8 スポーツ 4WD,"17,000km",愛媛県,manen
subaru-forester,フォレスター,,2020,2020年式,root,root,60,98.0,323.6,177.7,162.6,143.5,196.0,323.6,"2020年式 / 1.8 スポーツ 4WD / 33,000km / 石川県",2020年式,1.8 スポーツ 4WD,"33,000km",石川県,manen
subaru-forester,フォレスター,,2019,2019年式,root,root,60,16.3,212.9,154.6,153.2,139.8,169.4,212.9,"2019年式 / 2.5 エックスブレイク 4WD / 29,000km / 富山県",2019年式,2.5 エックスブレイク 4WD,"29,000km",富山県,manen
subaru-forester,フォレスター,,2018,2018年式,root,root,60,85.3,222.0,146.4,151.2,126.0,168.7,222.0,"2018年式 / 2.0 アドバンス 4WD / 28,000km / 東京都",2018年式,2.0 アドバンス 4WD,"28,000km",東京都,manen
subaru-forester,フォレスター,,2017,2017年式,root,root,54,46.3,145.5,89.5,91.5,75.1,99.0,145.5,"2017年式 / 2.0 エアブレイク 4WD / 46,000km / 京都府",2017年式,2.0 エアブレイク 4WD,"46,000km",京都府,manen
subaru-forester,フォレスター,,2016,2016年式,root,root,54,1.3,149.5,80.9,78.2,65.9,94.6,149.5,"2016年式 / 2.0i 4WD / 35,000km / 愛知県",2016年式,2.0i 4WD,"35,000km",愛知県,manen
subaru-forester,フォレスター,,2015,2015年式,root,root,46,7.9,92.1,58.4,59.5,46.5,72.0,92.1,"2015年式 / 2.0 XT アイサイト 4WD / 71,000km / 愛知県",2015年式,2.0 XT アイサイト 4WD,"71,000km",愛知県,manen
subaru-forester,フォレスター,,2014,2014年式,root,root,65,11.4,105.2,53.2,53.4,42.7,61.0,105.2,"2014年式 / 2.0 XT アイサイト 4WD / 59,000km / 愛知県",2014年式,2.0 XT アイサイト 4WD,"59,000km",愛知県,manen
subaru-forester,フォレスター,,2013,2013年式,root,root,61,26.1,84.5,50.2,51.4,43.8,55.7,84.5,"2013年式 / 2.0 XT アイサイト 4WD / 44,000km / 兵庫県",2013年式,2.0 XT アイサイト 4WD,"44,000km",兵庫県,manen
subaru-forester,フォレスター,,2012,2012年式,root,root,39,14.5,90.4,46.5,49.5,33.7,55.0,90.4,"2012年式 / 2.0 XT アイサイト 4WD / 54,000km / 青森県",2012年式,2.0 XT アイサイト 4WD,"54,000km",青森県,manen
subaru-forester,フォレスター,,2011,2011年式,root,root,49,8.0,63.4,38.8,40.6,31.3,45.7,63.4,"2011年式 / 2.5 Sエディション 4WD / 55,000km / 山形県",2011年式,2.5 Sエディション 4WD,"55,000km",山形県,manen
subaru-forester,フォレスター,,2010,2010年式,root,root,35,9.8,128.9,34.8,35.5,25.3,40.5,128.9,"2010年式 / 2.5 tS 4WD / 32,000km / 島根県",2010年式,2.5 tS 4WD,"32,000km",島根県,manen
subaru-forester,フォレスター,,2009,2009年式,root,root,36,9.7,53.6,35.3,37.2,30.1,40.6,53.6,"2009年式 / 2.0 Sリミテッド 4WD / 147,000km / 愛媛県",2009年式,2.0 Sリミテッド 4WD,"147,000km",愛媛県,manen
subaru-forester,フォレスター,,2008,2008年式,root,root,38,5.0,49.8,30.3,31.2,23.8,37.6,49.8,"2008年式 / 2.0 XS 4WD / 64,000km / 和歌山県",2008年式,2.0 XS 4WD,"64,000km",和歌山県,manen
subaru-forester,フォレスター,,2007,2007年式,root,root,30,13.6,127.0,32.7,27.4,24.5,32.2,127.0,"2007年式 / 2.5 STiバージョン 4WD / 175,000km / 大分県",2007年式,2.5 STiバージョン 4WD,"175,000km",大分県,manen
subaru-forester,フォレスター,,2006,2006年式,root,root,29,18.2,102.0,29.9,26.5,22.9,30.1,102.0,"2006年式 / 2.5 STiバージョン 4WD / 157,000km / 長崎県",2006年式,2.5 STiバージョン 4WD,"157,000km",長崎県,manen
subaru-forester,フォレスター,,2005,2005年式,root,root,26,5.0,127.5,31.8,26.8,24.0,30.5,127.5,"2005年式 / 2.5 STiバージョン 4WD / 158,000km / 徳島県",2005年式,2.5 STiバージョン 4WD,"158,000km",徳島県,manen
subaru-forester,フォレスター,,2004,2004年式,root,root,24,16.2,90.0,36.9,29.9,23.0,41.8,90.0,"2004年式 / 2.5 STiバージョン 4WD / 223,000km / 福岡県",2004年式,2.5 STiバージョン 4WD,"223,000km",福岡県,manen
subaru-forester,フォレスター,,2003,2003年式,root,root,14,5.0,41.2,28.4,28.6,25.5,34.0,41.2,"2003年式 / 2.0 クロススポーツ 4WD / 75,000km / 東京都",2003年式,2.0 クロススポーツ 4WD,"75,000km",東京都,manen
subaru-forester,フォレスター,,2002,2002年式,root,root,12,18.3,40.5,27.5,26.4,22.5,31.5,40.5,"2002年式 / 2.0 クロススポーツ 4WD / 56,000km / 千葉県",2002年式,2.0 クロススポーツ 4WD,"56,000km",千葉県,manen
subaru-forester,フォレスター,,2001,2001年式,root,root,3,30.5,32.6,31.7,32.1,30.5,32.6,32.6,"2001年式 / 2.0 S/tb 4WD / 223,000km / 長崎県",2001年式,2.0 S/tb 4WD,"223,000km",長崎県,manen
subaru-forester,フォレスター,,2000,2000年式,root,root,8,19.5,40.5,27.9,27.4,23.1,32.0,40.5,"2000年式 / 2.0 S/tb STi 4WD / 249,000km / 長崎県",2000年式,2.0 S/tb STi 4WD,"249,000km",長崎県,manen
subaru-forester,フォレスター,,1999,1999年式,root,root,3,29.0,37.5,32.2,30.0,29.0,37.5,37.5,"1999年式 / 2.0 S/tb タイプA 4WD / 152,000km / 福井県",1999年式,2.0 S/tb タイプA 4WD,"152,000km",福井県,manen
subaru-forester,フォレスター,,1998,1998年式,root,root,4,28.6,30.7,30.1,30.4,30.4,30.5,30.7,"1998年式 / 2.0 S/tb 4WD / 123,000km / 宮城県",1998年式,2.0 S/tb 4WD,"123,000km",宮城県,manen
