model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-impreza-anesis,インプレッサアネシス,root,root,"1,000km",1000,1000,1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,"2009年式 / 1.5 i-L コンフォートセレクション II / 1,000km / 熊本県",2009年式,1.5 i-L コンフォートセレクション II,"1,000km",熊本県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"4,000km",4000,4000,1,42.5,42.5,42.5,42.5,42.5,42.5,42.5,"2009年式 / 1.5 i-L / 4,000km / 長野県",2009年式,1.5 i-L,"4,000km",長野県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"5,000km",5000,5000,1,45.0,45.0,45.0,45.0,45.0,45.0,45.0,"2010年式 / 1.5 i / 5,000km / 群馬県",2010年式,1.5 i,"5,000km",群馬県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"6,000km",6000,6000,1,28.5,28.5,28.5,28.5,28.5,28.5,28.5,"2007年式 / 1.5 i / 6,000km / 香川県",2007年式,1.5 i,"6,000km",香川県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"8,000km",8000,8000,1,49.5,49.5,49.5,49.5,49.5,49.5,49.5,"2010年式 / 1.5 i / 8,000km / 岡山県",2010年式,1.5 i,"8,000km",岡山県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,1万km,10000,10000,1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,2007年式 / 2.0 i-S 4WD / 1万km / 富山県,2007年式,2.0 i-S 4WD,1万km,富山県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"11,000km",11000,11000,1,14.3,14.3,14.3,14.3,14.3,14.3,14.3,"2010年式 / 1.5 i-L / 11,000km / 群馬県",2010年式,1.5 i-L,"11,000km",群馬県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"12,000km",12000,12000,4,5.0,18.9,14.6,17.2,17.2,17.2,18.9,"2010年式 / 2.0 i-S 4WD / 12,000km / 高知県",2010年式,2.0 i-S 4WD,"12,000km",高知県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"13,000km",13000,13000,1,18.4,18.4,18.4,18.4,18.4,18.4,18.4,"2009年式 / 2.0 i / 13,000km / 神奈川県",2009年式,2.0 i,"13,000km",神奈川県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"14,000km",14000,14000,3,6.6,40.2,25.8,30.7,6.6,40.2,40.2,"2009年式 / 1.5 i-L / 14,000km / 長野県",2009年式,1.5 i-L,"14,000km",長野県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"15,000km",15000,15000,1,46.0,46.0,46.0,46.0,46.0,46.0,46.0,"2009年式 / 1.5 i-L / 15,000km / 愛媛県",2009年式,1.5 i-L,"15,000km",愛媛県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"16,000km",16000,16000,3,35.4,60.5,47.5,46.5,35.4,60.5,60.5,"2009年式 / 2.0 i-S / 16,000km / 三重県",2009年式,2.0 i-S,"16,000km",三重県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"19,000km",19000,19000,1,17.5,17.5,17.5,17.5,17.5,17.5,17.5,"2008年式 / 1.5 i-L / 19,000km / 沖縄県",2008年式,1.5 i-L,"19,000km",沖縄県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,2万km,20000,20000,4,12.5,41.5,27.9,28.9,17.2,40.5,41.5,2010年式 / 1.5 i / 2万km / 島根県,2010年式,1.5 i,2万km,島根県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"21,000km",21000,21000,3,36.5,39.1,38.0,38.4,36.5,39.1,39.1,"2009年式 / 2.0 i-S / 21,000km / 東京都",2009年式,2.0 i-S,"21,000km",東京都,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"22,000km",22000,22000,1,13.2,13.2,13.2,13.2,13.2,13.2,13.2,"2009年式 / 1.5 i-L コンフォートセレクション II / 22,000km / 群馬県",2009年式,1.5 i-L コンフォートセレクション II,"22,000km",群馬県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"23,000km",23000,23000,4,16.2,39.0,30.4,33.3,30.0,36.6,39.0,"2009年式 / 1.5 i-L / 23,000km / 青森県",2009年式,1.5 i-L,"23,000km",青森県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"24,000km",24000,24000,4,7.6,27.0,16.1,15.0,8.0,22.0,27.0,"2009年式 / 1.5 i-L コンフォートセレクション II / 24,000km / 山梨県",2009年式,1.5 i-L コンフォートセレクション II,"24,000km",山梨県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"25,000km",25000,25000,1,53.6,53.6,53.6,53.6,53.6,53.6,53.6,"1987年式 / 2.0 i-S / 25,000km / 群馬県",1987年式,2.0 i-S,"25,000km",群馬県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"26,000km",26000,26000,8,9.7,42.3,24.3,23.9,22.0,29.2,42.3,"2010年式 / 1.5 i-L / 26,000km / 大阪府",2010年式,1.5 i-L,"26,000km",大阪府,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"27,000km",27000,27000,2,40.9,42.0,41.5,41.5,40.9,42.0,42.0,"2010年式 / 2.0 i / 27,000km / 群馬県",2010年式,2.0 i,"27,000km",群馬県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"28,000km",28000,28000,4,36.0,47.5,41.6,41.4,38.5,44.3,47.5,"2008年式 / 1.5 i コンフォートセレクション II / 28,000km / 長崎県",2008年式,1.5 i コンフォートセレクション II,"28,000km",長崎県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"29,000km",29000,29000,4,7.3,50.0,21.1,13.5,9.6,17.4,50.0,"2009年式 / 1.5 i-L / 29,000km / 東京都",2009年式,1.5 i-L,"29,000km",東京都,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,3万km,30000,30000,4,21.3,58.0,40.7,41.8,36.6,47.0,58.0,2009年式 / 2.0 i / 3万km / 三重県,2009年式,2.0 i,3万km,三重県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"31,000km",31000,31000,5,8.3,43.5,28.5,25.4,22.5,42.6,43.5,"2009年式 / 1.5 i-L 4WD / 31,000km / 愛知県",2009年式,1.5 i-L 4WD,"31,000km",愛知県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"32,000km",32000,32000,3,20.7,42.4,29.0,24.0,20.7,42.4,42.4,"2009年式 / 2.0 i-S 4WD / 32,000km / 兵庫県",2009年式,2.0 i-S 4WD,"32,000km",兵庫県,manen
subaru-impreza-anesis,インプレッサアネシス,root,root,"33,000km",33000,33000,9,10.0,50.4,34.6,31.6,26.4,47.4,50.4,"2010年式 / 1.5 i-L / 33,000km / 宮城県",2010年式,1.5 i-L,"33,000km",宮城県,manen
