model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-impreza-hatchback,インプレッサハッチバック,root,root,0万km,0,0,1,10.2,10.2,10.2,10.2,10.2,10.2,10.2,2010年式 / 1.5 i-S 4WD / 0万km / 長崎県,2010年式,1.5 i-S 4WD,0万km,長崎県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"1,000km",1000,1000,1,10.3,10.3,10.3,10.3,10.3,10.3,10.3,"2007年式 / 2.0 S-GT スポーツパッケージ 4WD / 1,000km / 埼玉県",2007年式,2.0 S-GT スポーツパッケージ 4WD,"1,000km",埼玉県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"6,000km",6000,6000,1,27.6,27.6,27.6,27.6,27.6,27.6,27.6,"2007年式 / 1.5 15S / 6,000km / 熊本県",2007年式,1.5 15S,"6,000km",熊本県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,1万km,10000,10000,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2007年式 / 1.5 15S / 1万km / 東京都,2007年式,1.5 15S,1万km,東京都,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"12,000km",12000,12000,2,31.2,39.4,35.3,35.3,31.2,39.4,39.4,"2010年式 / 1.5 i-L / 12,000km / 埼玉県",2010年式,1.5 i-L,"12,000km",埼玉県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"15,000km",15000,15000,1,26.7,26.7,26.7,26.7,26.7,26.7,26.7,"2009年式 / 1.5 i-L 4WD / 15,000km / 滋賀県",2009年式,1.5 i-L 4WD,"15,000km",滋賀県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"17,000km",17000,17000,2,16.9,40.0,28.4,28.4,16.9,40.0,40.0,"2007年式 / 2.0 S-GT スポーツパッケージ 4WD / 17,000km / 千葉県",2007年式,2.0 S-GT スポーツパッケージ 4WD,"17,000km",千葉県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"18,000km",18000,18000,1,37.5,37.5,37.5,37.5,37.5,37.5,37.5,"2011年式 / 1.5 i-S リミテッド / 18,000km / 岐阜県",2011年式,1.5 i-S リミテッド,"18,000km",岐阜県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"21,000km",21000,21000,3,5.0,30.3,18.5,20.2,5.0,30.3,30.3,"2009年式 / 2.0 20S 4WD / 21,000km / 鹿児島県",2009年式,2.0 20S 4WD,"21,000km",鹿児島県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"22,000km",22000,22000,5,5.0,44.8,26.8,31.9,16.6,35.5,44.8,"2011年式 / 2.0 i-S リミテッド / 22,000km / 滋賀県",2011年式,2.0 i-S リミテッド,"22,000km",滋賀県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"23,000km",23000,23000,3,36.8,50.0,44.0,45.1,36.8,50.0,50.0,"2011年式 / 1.5 i-S リミテッド / 23,000km / 大阪府",2011年式,1.5 i-S リミテッド,"23,000km",大阪府,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"24,000km",24000,24000,4,7.0,18.3,14.0,15.3,15.3,15.3,18.3,"2009年式 / 1.5 i-L / 24,000km / 神奈川県",2009年式,1.5 i-L,"24,000km",神奈川県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"25,000km",25000,25000,4,14.7,39.7,27.0,26.8,20.1,33.4,39.7,"2011年式 / 1.5 i-S リミテッド / 25,000km / 島根県",2011年式,1.5 i-S リミテッド,"25,000km",島根県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"26,000km",26000,26000,1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,"2010年式 / 1.5 i-S 4WD / 26,000km / 静岡県",2010年式,1.5 i-S 4WD,"26,000km",静岡県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"27,000km",27000,27000,1,20.2,20.2,20.2,20.2,20.2,20.2,20.2,"2011年式 / 1.5 i-S リミテッド / 27,000km / 埼玉県",2011年式,1.5 i-S リミテッド,"27,000km",埼玉県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"28,000km",28000,28000,6,5.0,40.0,25.8,25.3,19.0,40.0,40.0,"2011年式 / 1.5 i-S リミテッド / 28,000km / 高知県",2011年式,1.5 i-S リミテッド,"28,000km",高知県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"29,000km",29000,29000,4,18.2,22.8,20.9,21.4,21.1,21.6,22.8,"2008年式 / 2.0 20S 4WD / 29,000km / 宮城県",2008年式,2.0 20S 4WD,"29,000km",宮城県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"31,000km",31000,31000,9,11.6,73.3,37.7,34.6,30.7,40.8,73.3,"2010年式 / 2.0 GT 4WD / 31,000km / 岩手県",2010年式,2.0 GT 4WD,"31,000km",岩手県,manen
subaru-impreza-hatchback,インプレッサハッチバック,root,root,"32,000km",32000,32000,5,9.7,42.7,24.0,25.3,13.3,29.1,42.7,"2010年式 / 2.0 i-S リミテッド 4WD / 32,000km / 福島県",2010年式,2.0 i-S リミテッド 4WD,"32,000km",福島県,manen
