model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-impreza-wrx,インプレッサWRX,root,root,0万km,0,0,10,32.0,191.5,119.0,125.8,80.5,162.5,191.5,2000年式 / 2.0 WRX STI タイプRA バージョンVI リミテッド 4WD / 0万km / 栃木県,2000年式,2.0 WRX STI タイプRA バージョンVI リミテッド 4WD,0万km,栃木県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"9,000km",9000,9000,1,146.3,146.3,146.3,146.3,146.3,146.3,146.3,"2005年式 / 2.0 WRX STI 4WD / 9,000km / 佐賀県",2005年式,2.0 WRX STI 4WD,"9,000km",佐賀県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"16,000km",16000,16000,1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,"2004年式 / 2.0 WRX STI 2003 Vリミテッド 4WD / 16,000km / 岡山県",2004年式,2.0 WRX STI 2003 Vリミテッド 4WD,"16,000km",岡山県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"17,000km",17000,17000,1,58.0,58.0,58.0,58.0,58.0,58.0,58.0,"2006年式 / 2.0 WRX STI 4WD / 17,000km / 大阪府",2006年式,2.0 WRX STI 4WD,"17,000km",大阪府,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"19,000km",19000,19000,3,80.5,112.1,98.1,101.7,80.5,112.1,112.1,"2004年式 / 2.0 WRX STI スペックC WRリミテッド 2004 4WD / 19,000km / 鳥取県",2004年式,2.0 WRX STI スペックC WRリミテッド 2004 4WD,"19,000km",鳥取県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"23,000km",23000,23000,1,199.5,199.5,199.5,199.5,199.5,199.5,199.5,"2008年式 / 2.0 WRX STI 4WD / 23,000km / 静岡県",2008年式,2.0 WRX STI 4WD,"23,000km",静岡県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,3万km,30000,30000,2,115.0,160.5,137.8,137.8,115.0,160.5,160.5,2013年式 / 2.5 WRX STI Aライン タイプSパッケージ 4WD / 3万km / 山口県,2013年式,2.5 WRX STI Aライン タイプSパッケージ 4WD,3万km,山口県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"31,000km",31000,31000,1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,"2008年式 / 2.0 WRX STI 4WD / 31,000km / 福井県",2008年式,2.0 WRX STI 4WD,"31,000km",福井県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"33,000km",33000,33000,1,166.0,166.0,166.0,166.0,166.0,166.0,166.0,"2002年式 / 2.0 WRX STI 4WD / 33,000km / 静岡県",2002年式,2.0 WRX STI 4WD,"33,000km",静岡県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"35,000km",35000,35000,1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,"2002年式 / 2.0 WRX STI 4WD / 35,000km / 佐賀県",2002年式,2.0 WRX STI 4WD,"35,000km",佐賀県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"36,000km",36000,36000,2,93.5,196.0,144.8,144.8,93.5,196.0,196.0,"1997年式 / 2.0 WRX STI 4WD / 36,000km / 佐賀県",1997年式,2.0 WRX STI 4WD,"36,000km",佐賀県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"37,000km",37000,37000,3,108.0,239.3,175.9,180.5,108.0,239.3,239.3,"2010年式 / 2.0 WRX STI 4WD / 37,000km / 東京都",2010年式,2.0 WRX STI 4WD,"37,000km",東京都,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"38,000km",38000,38000,1,123.5,123.5,123.5,123.5,123.5,123.5,123.5,"2012年式 / 2.5 WRX STI Aライン 4WD / 38,000km / 鹿児島県",2012年式,2.5 WRX STI Aライン 4WD,"38,000km",鹿児島県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"39,000km",39000,39000,3,117.0,192.7,149.9,140.0,117.0,192.7,192.7,"1997年式 / 2.0 WRX STI タイプRA バージョンIII 4WD / 39,000km / 香川県",1997年式,2.0 WRX STI タイプRA バージョンIII 4WD,"39,000km",香川県,manen
subaru-impreza-wrx,インプレッサWRX,root,root,"41,000km",41000,41000,2,103.2,267.0,185.1,185.1,103.2,267.0,267.0,"1997年式 / 2.0 WRX STI タイプRA バージョンIV 4WD / 41,000km / 宮崎県",1997年式,2.0 WRX STI タイプRA バージョンIV 4WD,"41,000km",宮崎県,manen
