model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-impreza,インプレッサ,root,root,0万km,0,0,3,12.3,78.2,34.3,12.3,12.3,78.2,78.2,1992年式 / 2.0 WRX 4WD / 0万km / 愛媛県,1992年式,2.0 WRX 4WD,0万km,愛媛県,manen
subaru-impreza,インプレッサ,root,root,"3,000km",3000,3000,1,11.6,11.6,11.6,11.6,11.6,11.6,11.6,"2004年式 / 1.5 i / 3,000km / 愛媛県",2004年式,1.5 i,"3,000km",愛媛県,manen
subaru-impreza,インプレッサ,root,root,"4,000km",4000,4000,1,12.7,12.7,12.7,12.7,12.7,12.7,12.7,"2004年式 / 1.5 i 4WD / 4,000km / 愛媛県",2004年式,1.5 i 4WD,"4,000km",愛媛県,manen
subaru-impreza,インプレッサ,root,root,"5,000km",5000,5000,1,36.5,36.5,36.5,36.5,36.5,36.5,36.5,"2005年式 / 1.5 i / 5,000km / 福島県",2005年式,1.5 i,"5,000km",福島県,manen
subaru-impreza,インプレッサ,root,root,"6,000km",6000,6000,1,14.4,14.4,14.4,14.4,14.4,14.4,14.4,"2006年式 / 1.5 15i 4WD / 6,000km / 鹿児島県",2006年式,1.5 15i 4WD,"6,000km",鹿児島県,manen
subaru-impreza,インプレッサ,root,root,"7,000km",7000,7000,1,12.9,12.9,12.9,12.9,12.9,12.9,12.9,"2002年式 / 1.5 i / 7,000km / 福島県",2002年式,1.5 i,"7,000km",福島県,manen
subaru-impreza,インプレッサ,root,root,"8,000km",8000,8000,2,27.5,30.3,28.9,28.9,27.5,30.3,30.3,"2006年式 / 1.5 15i Fパッケージ / 8,000km / 熊本県",2006年式,1.5 15i Fパッケージ,"8,000km",熊本県,manen
subaru-impreza,インプレッサ,root,root,"9,000km",9000,9000,1,57.2,57.2,57.2,57.2,57.2,57.2,57.2,"2008年式 / 1.5 15i / 9,000km / 大分県",2008年式,1.5 15i,"9,000km",大分県,manen
subaru-impreza,インプレッサ,root,root,1万km,10000,10000,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,2005年式 / 1.5 15i / 1万km / 福岡県,2005年式,1.5 15i,1万km,福岡県,manen
subaru-impreza,インプレッサ,root,root,"11,000km",11000,11000,2,11.8,70.2,41.0,41.0,11.8,70.2,70.2,"2009年式 / 1.5 15i リミテッド / 11,000km / 長野県",2009年式,1.5 15i リミテッド,"11,000km",長野県,manen
subaru-impreza,インプレッサ,root,root,"13,000km",13000,13000,3,8.4,29.0,15.3,8.4,8.4,29.0,29.0,"2002年式 / 1.5 i / 13,000km / 山口県",2002年式,1.5 i,"13,000km",山口県,manen
subaru-impreza,インプレッサ,root,root,"14,000km",14000,14000,3,7.6,21.8,15.5,17.0,7.6,21.8,21.8,"2004年式 / 1.5 i / 14,000km / 岡山県",2004年式,1.5 i,"14,000km",岡山県,manen
subaru-impreza,インプレッサ,root,root,"15,000km",15000,15000,3,13.5,18.7,16.2,16.5,13.5,18.7,18.7,"2006年式 / 1.5 15i / 15,000km / 兵庫県",2006年式,1.5 15i,"15,000km",兵庫県,manen
subaru-impreza,インプレッサ,root,root,"16,000km",16000,16000,3,4.8,59.8,29.8,24.8,4.8,59.8,59.8,"2007年式 / 2.0 20S 4WD / 16,000km / 秋田県",2007年式,2.0 20S 4WD,"16,000km",秋田県,manen
subaru-impreza,インプレッサ,root,root,"17,000km",17000,17000,2,26.4,57.0,41.7,41.7,26.4,57.0,57.0,"2009年式 / 1.5 15i リミテッド / 17,000km / 秋田県",2009年式,1.5 15i リミテッド,"17,000km",秋田県,manen
subaru-impreza,インプレッサ,root,root,"18,000km",18000,18000,2,31.5,33.3,32.4,32.4,31.5,33.3,33.3,"2005年式 / 1.5 i 4WD / 18,000km / 京都府",2005年式,1.5 i 4WD,"18,000km",京都府,manen
subaru-impreza,インプレッサ,root,root,"19,000km",19000,19000,1,66.0,66.0,66.0,66.0,66.0,66.0,66.0,"2008年式 / 1.5 15i / 19,000km / 佐賀県",2008年式,1.5 15i,"19,000km",佐賀県,manen
subaru-impreza,インプレッサ,root,root,2万km,20000,20000,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2006年式 / 1.5 15i 4WD / 2万km / 福島県,2006年式,1.5 15i 4WD,2万km,福島県,manen
subaru-impreza,インプレッサ,root,root,"21,000km",21000,21000,4,12.6,84.6,35.1,21.6,20.3,22.9,84.6,"2009年式 / 2.0 20S 4WD / 21,000km / 山形県",2009年式,2.0 20S 4WD,"21,000km",山形県,manen
subaru-impreza,インプレッサ,root,root,"22,000km",22000,22000,4,14.0,47.6,27.8,24.8,20.3,29.3,47.6,"2006年式 / 1.5 15i / 22,000km / 和歌山県",2006年式,1.5 15i,"22,000km",和歌山県,manen
subaru-impreza,インプレッサ,root,root,"23,000km",23000,23000,6,20.4,68.4,43.4,40.4,32.4,58.4,68.4,"2009年式 / 1.5 15i / 23,000km / 鳥取県",2009年式,1.5 15i,"23,000km",鳥取県,manen
subaru-impreza,インプレッサ,root,root,"24,000km",24000,24000,4,15.0,61.0,28.1,18.1,18.0,18.2,61.0,"2009年式 / 1.5 15i / 24,000km / 奈良県",2009年式,1.5 15i,"24,000km",奈良県,manen
subaru-impreza,インプレッサ,root,root,"25,000km",25000,25000,6,4.8,57.9,34.3,29.3,26.4,57.9,57.9,"2009年式 / 1.5 15i / 25,000km / 岐阜県",2009年式,1.5 15i,"25,000km",岐阜県,manen
subaru-impreza,インプレッサ,root,root,"26,000km",26000,26000,2,13.2,50.3,31.8,31.8,13.2,50.3,50.3,"2009年式 / 1.5 i / 26,000km / 高知県",2009年式,1.5 i,"26,000km",高知県,manen
subaru-impreza,インプレッサ,root,root,"27,000km",27000,27000,5,9.4,40.2,24.5,25.4,15.7,32.0,40.2,"2007年式 / 1.5 i スペシャル / 27,000km / 山形県",2007年式,1.5 i スペシャル,"27,000km",山形県,manen
subaru-impreza,インプレッサ,root,root,"28,000km",28000,28000,3,44.8,77.5,62.6,65.4,44.8,77.5,77.5,"2010年式 / 1.5 15i リミテッド / 28,000km / 愛知県",2010年式,1.5 15i リミテッド,"28,000km",愛知県,manen
subaru-impreza,インプレッサ,root,root,"29,000km",29000,29000,2,5.7,27.0,16.4,16.4,5.7,27.0,27.0,"2005年式 / 1.5 R / 29,000km / 島根県",2005年式,1.5 R,"29,000km",島根県,manen
subaru-impreza,インプレッサ,root,root,3万km,30000,30000,5,6.4,47.0,21.4,12.3,12.1,29.1,47.0,2009年式 / 1.5 15i / 3万km / 山口県,2009年式,1.5 15i,3万km,山口県,manen
subaru-impreza,インプレッサ,root,root,"31,000km",31000,31000,7,13.0,70.5,36.5,25.5,21.9,34.3,70.5,"2006年式 / 2.0 20S 4WD / 31,000km / 東京都",2006年式,2.0 20S 4WD,"31,000km",東京都,manen
subaru-impreza,インプレッサ,root,root,"32,000km",32000,32000,7,5.1,71.5,31.7,23.6,13.2,27.2,71.5,"2008年式 / 1.5 15i / 32,000km / 岩手県",2008年式,1.5 15i,"32,000km",岩手県,manen
subaru-impreza,インプレッサ,root,root,"33,000km",33000,33000,2,13.9,28.0,20.9,20.9,13.9,28.0,28.0,"2005年式 / 1.5 R / 33,000km / 鳥取県",2005年式,1.5 R,"33,000km",鳥取県,manen
subaru-impreza,インプレッサ,root,root,"34,000km",34000,34000,11,7.5,75.5,21.8,13.8,8.0,31.2,75.5,"2009年式 / 1.5 15i / 34,000km / 滋賀県",2009年式,1.5 15i,"34,000km",滋賀県,manen
subaru-impreza,インプレッサ,root,root,"35,000km",35000,35000,5,4.2,73.5,46.9,59.0,38.2,59.8,73.5,"2010年式 / 1.5 15i リミテッド / 35,000km / 岐阜県",2010年式,1.5 15i リミテッド,"35,000km",岐阜県,manen
subaru-impreza,インプレッサ,root,root,"36,000km",36000,36000,11,5.3,55.0,24.7,18.3,5.7,45.0,55.0,"2008年式 / 1.5 15i / 36,000km / 高知県",2008年式,1.5 15i,"36,000km",高知県,manen
subaru-impreza,インプレッサ,root,root,"37,000km",37000,37000,5,5.6,33.8,17.9,17.8,13.6,18.5,33.8,"2009年式 / 1.5 15i / 37,000km / 島根県",2009年式,1.5 15i,"37,000km",島根県,manen
subaru-impreza,インプレッサ,root,root,"38,000km",38000,38000,11,5.4,60.2,18.6,14.4,6.0,26.7,60.2,"2010年式 / 1.5 15i リミテッド / 38,000km / 広島県",2010年式,1.5 15i リミテッド,"38,000km",広島県,manen
subaru-impreza,インプレッサ,root,root,"39,000km",39000,39000,13,6.3,61.5,29.3,26.5,11.5,39.9,61.5,"2009年式 / 1.5 15i リミテッド / 39,000km / 栃木県",2009年式,1.5 15i リミテッド,"39,000km",栃木県,manen
subaru-impreza,インプレッサ,root,root,4万km,40000,40000,1,62.0,62.0,62.0,62.0,62.0,62.0,62.0,2009年式 / 1.5 15i / 4万km / 福島県,2009年式,1.5 15i,4万km,福島県,manen
subaru-impreza,インプレッサ,root,root,"41,000km",41000,41000,5,14.4,80.3,32.7,18.8,14.4,35.5,80.3,"2010年式 / 1.5 15i リミテッド / 41,000km / 佐賀県",2010年式,1.5 15i リミテッド,"41,000km",佐賀県,manen
subaru-impreza,インプレッサ,root,root,"42,000km",42000,42000,10,3.9,64.1,27.0,16.4,7.3,54.5,64.1,"2010年式 / 1.5 15i リミテッド / 42,000km / 奈良県",2010年式,1.5 15i リミテッド,"42,000km",奈良県,manen
subaru-impreza,インプレッサ,root,root,"43,000km",43000,43000,6,6.8,68.6,38.2,38.1,8.7,68.6,68.6,"2008年式 / 1.5 15i 4WD / 43,000km / 広島県",2008年式,1.5 15i 4WD,"43,000km",広島県,manen
subaru-impreza,インプレッサ,root,root,"44,000km",44000,44000,8,4.6,71.5,36.7,36.1,18.0,60.1,71.5,"2010年式 / 1.5 15i リミテッド / 44,000km / 静岡県",2010年式,1.5 15i リミテッド,"44,000km",静岡県,manen
subaru-impreza,インプレッサ,root,root,"45,000km",45000,45000,6,3.6,74.4,30.5,27.6,13.5,36.5,74.4,"2010年式 / 1.5 15i リミテッド 4WD / 45,000km / 山梨県",2010年式,1.5 15i リミテッド 4WD,"45,000km",山梨県,manen
subaru-impreza,インプレッサ,root,root,"46,000km",46000,46000,4,5.0,86.0,44.9,44.3,18.0,70.6,86.0,"2010年式 / 1.5 15i リミテッド 4WD / 46,000km / 福井県",2010年式,1.5 15i リミテッド 4WD,"46,000km",福井県,manen
subaru-impreza,インプレッサ,root,root,"47,000km",47000,47000,8,6.4,49.2,27.2,28.5,13.8,34.0,49.2,"1987年式 / 1.5 15i / 47,000km / 兵庫県",1987年式,1.5 15i,"47,000km",兵庫県,manen
subaru-impreza,インプレッサ,root,root,"48,000km",48000,48000,12,5.2,63.7,27.5,26.2,6.0,37.9,63.7,"2004年式 / 2.0 WRX WRリミテッド 2004 4WD / 48,000km / 埼玉県",2004年式,2.0 WRX WRリミテッド 2004 4WD,"48,000km",埼玉県,manen
subaru-impreza,インプレッサ,root,root,"49,000km",49000,49000,10,3.6,37.5,18.9,14.6,7.8,34.0,37.5,"2009年式 / 1.5 i スペシャル / 49,000km / 茨城県",2009年式,1.5 i スペシャル,"49,000km",茨城県,manen
subaru-impreza,インプレッサ,root,root,5万km,50000,50000,10,5.1,71.5,27.8,26.6,9.5,36.9,71.5,2010年式 / 1.5 15i リミテッド 4WD / 5万km / 群馬県,2010年式,1.5 15i リミテッド 4WD,5万km,群馬県,manen
