model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-justy,ジャスティ,root,root,0万km,0,0,1,101.1,101.1,101.1,101.1,101.1,101.1,101.1,2015年式 / 1.0 G スマートアシスト / 0万km / 富山県,2015年式,1.0 G スマートアシスト,0万km,富山県,manen
subaru-justy,ジャスティ,root,root,"1,000km",1000,1000,3,83.1,129.6,99.7,86.5,83.1,129.6,129.6,"2015年式 / 1.0 G スマートアシスト 4WD / 1,000km / 富山県",2015年式,1.0 G スマートアシスト 4WD,"1,000km",富山県,manen
subaru-justy,ジャスティ,root,root,"3,000km",3000,3000,8,52.0,139.0,99.2,101.1,96.0,103.5,139.0,"2016年式 / 1.0 GS スマートアシスト / 3,000km / 兵庫県",2016年式,1.0 GS スマートアシスト,"3,000km",兵庫県,manen
subaru-justy,ジャスティ,root,root,"4,000km",4000,4000,3,106.0,140.5,119.5,112.0,106.0,140.5,140.5,"2017年式 / 1.0 カスタムRS スマートアシスト / 4,000km / 愛知県",2017年式,1.0 カスタムRS スマートアシスト,"4,000km",愛知県,manen
subaru-justy,ジャスティ,root,root,"5,000km",5000,5000,4,116.7,132.7,123.2,121.6,116.7,126.5,132.7,"2016年式 / 1.0 L スマートアシスト 4WD / 5,000km / 石川県",2016年式,1.0 L スマートアシスト 4WD,"5,000km",石川県,manen
subaru-justy,ジャスティ,root,root,"6,000km",6000,6000,9,78.0,134.1,110.8,119.5,101.5,124.8,134.1,"2016年式 / 1.0 L スマートアシスト 4WD / 6,000km / 沖縄県",2016年式,1.0 L スマートアシスト 4WD,"6,000km",沖縄県,manen
subaru-justy,ジャスティ,root,root,"7,000km",7000,7000,9,98.9,137.5,118.7,120.3,105.0,130.2,137.5,"2016年式 / 1.0 L スマートアシスト 4WD / 7,000km / 和歌山県",2016年式,1.0 L スマートアシスト 4WD,"7,000km",和歌山県,manen
subaru-justy,ジャスティ,root,root,"8,000km",8000,8000,9,96.8,127.5,108.0,101.7,98.7,114.7,127.5,"2015年式 / 1.0 カスタムR スマートアシスト / 8,000km / 三重県",2015年式,1.0 カスタムR スマートアシスト,"8,000km",三重県,manen
subaru-justy,ジャスティ,root,root,"9,000km",9000,9000,7,120.2,128.1,123.8,124.0,122.7,124.5,128.1,"2017年式 / 1.0 G スマートアシスト 4WD / 9,000km / 岐阜県",2017年式,1.0 G スマートアシスト 4WD,"9,000km",岐阜県,manen
subaru-justy,ジャスティ,root,root,1万km,10000,10000,9,103.5,148.0,118.5,120.5,110.4,120.8,148.0,2016年式 / 1.0 カスタムR スマートアシスト 4WD / 1万km / 青森県,2016年式,1.0 カスタムR スマートアシスト 4WD,1万km,青森県,manen
