model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"6,000km",6000,6000,1,197.0,197.0,197.0,197.0,197.0,197.0,197.0,"2013年式 / 2.5 4WD / 6,000km / 福岡県",2013年式,2.5 4WD,"6,000km",福岡県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,1万km,10000,10000,1,190.5,190.5,190.5,190.5,190.5,190.5,190.5,2012年式 / 2.5 4WD / 1万km / 熊本県,2012年式,2.5 4WD,1万km,熊本県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"14,000km",14000,14000,1,135.9,135.9,135.9,135.9,135.9,135.9,135.9,"2012年式 / 2.5 4WD / 14,000km / 大分県",2012年式,2.5 4WD,"14,000km",大分県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,2万km,20000,20000,1,163.7,163.7,163.7,163.7,163.7,163.7,163.7,2011年式 / 2.5 4WD / 2万km / 青森県,2011年式,2.5 4WD,2万km,青森県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"22,000km",22000,22000,1,172.0,172.0,172.0,172.0,172.0,172.0,172.0,"2010年式 / 2.5 4WD / 22,000km / 山形県",2010年式,2.5 4WD,"22,000km",山形県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"23,000km",23000,23000,1,157.0,157.0,157.0,157.0,157.0,157.0,157.0,"2011年式 / 2.5 4WD / 23,000km / 東京都",2011年式,2.5 4WD,"23,000km",東京都,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"25,000km",25000,25000,1,168.0,168.0,168.0,168.0,168.0,168.0,168.0,"2012年式 / 2.5 4WD / 25,000km / 佐賀県",2012年式,2.5 4WD,"25,000km",佐賀県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,3万km,30000,30000,1,161.5,161.5,161.5,161.5,161.5,161.5,161.5,2018年式 / 2.5 4WD / 3万km / 愛知県,2018年式,2.5 4WD,3万km,愛知県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"33,000km",33000,33000,1,7.6,7.6,7.6,7.6,7.6,7.6,7.6,"1995年式 / 2.5 4WD / 33,000km / 香川県",1995年式,2.5 4WD,"33,000km",香川県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"34,000km",34000,34000,1,163.5,163.5,163.5,163.5,163.5,163.5,163.5,"2011年式 / 2.5 4WD / 34,000km / 沖縄県",2011年式,2.5 4WD,"34,000km",沖縄県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"38,000km",38000,38000,1,124.4,124.4,124.4,124.4,124.4,124.4,124.4,"2010年式 / 2.5 4WD / 38,000km / 秋田県",2010年式,2.5 4WD,"38,000km",秋田県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"44,000km",44000,44000,1,59.5,59.5,59.5,59.5,59.5,59.5,59.5,"1997年式 / 2.5 4WD / 44,000km / 東京都",1997年式,2.5 4WD,"44,000km",東京都,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"45,000km",45000,45000,1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,"1996年式 / 2.5 クルーザー 4WD / 45,000km / 埼玉県",1996年式,2.5 クルーザー 4WD,"45,000km",埼玉県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"48,000km",48000,48000,1,140.5,140.5,140.5,140.5,140.5,140.5,140.5,"2011年式 / 2.5 4WD / 48,000km / 岩手県",2011年式,2.5 4WD,"48,000km",岩手県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"64,000km",64000,64000,1,45.9,45.9,45.9,45.9,45.9,45.9,45.9,"1997年式 / 2.5 4WD / 64,000km / 富山県",1997年式,2.5 4WD,"64,000km",富山県,manen
subaru-legacy-grand-wagon,レガシィグランドワゴン,root,root,"67,000km",67000,67000,1,10.4,10.4,10.4,10.4,10.4,10.4,10.4,"1994年式 / 2.5 4WD / 67,000km / 青森県",1994年式,2.5 4WD,"67,000km",青森県,manen
