model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-legacy-outback,レガシィアウトバック,,2025,2025年式,root,root,1,360.7,360.7,360.7,360.7,360.7,360.7,360.7,"2025年式 / 1.8 ブラック セレクション 4WD / 6,000km / 岡山県",2025年式,1.8 ブラック セレクション 4WD,"6,000km",岡山県,manen
subaru-legacy-outback,レガシィアウトバック,,2024,2024年式,root,root,24,238.3,359.5,290.7,289.8,267.0,310.0,359.5,"2024年式 / 1.8 アクティブ&times;ブラック EX 4WD / 19,000km / 山形県",2024年式,1.8 アクティブ&times;ブラック EX 4WD,"19,000km",山形県,manen
subaru-legacy-outback,レガシィアウトバック,,2023,2023年式,root,root,49,202.8,352.7,291.3,286.0,269.0,321.0,352.7,"2023年式 / 1.8 リミテッド EX 4WD / 17,000km / 群馬県",2023年式,1.8 リミテッド EX 4WD,"17,000km",群馬県,manen
subaru-legacy-outback,レガシィアウトバック,,2022,2022年式,root,root,55,227.5,354.5,305.1,313.1,290.0,330.4,354.5,"2022年式 / 1.8 リミテッド EX 4WD / 22,000km / 新潟県",2022年式,1.8 リミテッド EX 4WD,"22,000km",新潟県,manen
subaru-legacy-outback,レガシィアウトバック,,2021,2021年式,root,root,42,152.5,350.7,290.4,315.6,255.0,333.2,350.7,"2021年式 / 1.8 リミテッド EX 4WD / 14,000km / 群馬県",2021年式,1.8 リミテッド EX 4WD,"14,000km",群馬県,manen
subaru-legacy-outback,レガシィアウトバック,,2020,2020年式,root,root,47,11.1,271.2,153.8,154.3,128.2,193.5,271.2,"2020年式 / 2.5 エックスブレイク 4WD / 36,000km / 栃木県",2020年式,2.5 エックスブレイク 4WD,"36,000km",栃木県,manen
subaru-legacy-outback,レガシィアウトバック,,2019,2019年式,root,root,47,14.0,226.0,142.0,148.1,130.9,169.2,226.0,"2019年式 / 2.5 リミテッド 4WD / 9,000km / 岐阜県",2019年式,2.5 リミテッド 4WD,"9,000km",岐阜県,manen
subaru-legacy-outback,レガシィアウトバック,,2018,2018年式,root,root,56,59.8,209.5,137.6,142.2,116.1,166.5,209.5,2018年式 / 2.5 エックスブレイク 4WD / 5万km / 京都府,2018年式,2.5 エックスブレイク 4WD,5万km,京都府,manen
subaru-legacy-outback,レガシィアウトバック,,2017,2017年式,root,root,56,35.1,208.7,95.6,86.0,69.0,117.5,208.7,"2017年式 / 2.5 リミテッド 4WD / 15,000km / 福島県",2017年式,2.5 リミテッド 4WD,"15,000km",福島県,manen
subaru-legacy-outback,レガシィアウトバック,,2016,2016年式,root,root,48,26.7,216.0,82.5,81.2,58.8,101.2,216.0,"2016年式 / 2.5 リミテッド 4WD / 15,000km / 兵庫県",2016年式,2.5 リミテッド 4WD,"15,000km",兵庫県,manen
subaru-legacy-outback,レガシィアウトバック,,2015,2015年式,root,root,58,18.5,169.5,76.9,70.8,50.7,100.1,169.5,"2015年式 / 2.5 リミテッド 4WD / 39,000km / 岡山県",2015年式,2.5 リミテッド 4WD,"39,000km",岡山県,manen
subaru-legacy-outback,レガシィアウトバック,,2014,2014年式,root,root,66,5.0,133.8,50.8,44.0,28.4,67.0,133.8,"2014年式 / 3.6 グランドマスター 4WD / 91,000km / 愛知県",2014年式,3.6 グランドマスター 4WD,"91,000km",愛知県,manen
subaru-legacy-outback,レガシィアウトバック,,2013,2013年式,root,root,61,15.0,137.0,36.1,26.5,20.8,41.6,137.0,"2013年式 / 3.6 R アイサイト 4WD / 14,000km / 東京都",2013年式,3.6 R アイサイト 4WD,"14,000km",東京都,manen
subaru-legacy-outback,レガシィアウトバック,,2012,2012年式,root,root,62,5.0,60.8,27.2,25.1,18.6,33.0,60.8,"2012年式 / 2.5 i アイサイト Sパッケージ 4WD / 58,000km / 佐賀県",2012年式,2.5 i アイサイト Sパッケージ 4WD,"58,000km",佐賀県,manen
subaru-legacy-outback,レガシィアウトバック,,2011,2011年式,root,root,37,8.8,51.3,23.5,22.2,18.9,27.7,51.3,"2011年式 / 2.5 i アイサイト Sパッケージ リミテッド 4WD / 57,000km / 富山県",2011年式,2.5 i アイサイト Sパッケージ リミテッド 4WD,"57,000km",富山県,manen
subaru-legacy-outback,レガシィアウトバック,,2010,2010年式,root,root,32,7.3,40.9,21.2,18.9,16.8,26.8,40.9,"2010年式 / 2.5 i Lパッケージ 4WD / 47,000km / 熊本県",2010年式,2.5 i Lパッケージ 4WD,"47,000km",熊本県,manen
subaru-legacy-outback,レガシィアウトバック,,2009,2009年式,root,root,29,16.1,66.0,32.6,27.5,22.5,39.0,66.0,"2009年式 / 2.5 XT プレミアムレザーリミテッド 4WD / 56,000km / 宮崎県",2009年式,2.5 XT プレミアムレザーリミテッド 4WD,"56,000km",宮崎県,manen
subaru-legacy-outback,レガシィアウトバック,,2008,2008年式,root,root,45,5.0,52.5,26.9,25.0,22.4,26.5,52.5,"2008年式 / 2.5 XT 4WD / 78,000km / 沖縄県",2008年式,2.5 XT 4WD,"78,000km",沖縄県,manen
subaru-legacy-outback,レガシィアウトバック,,2007,2007年式,root,root,36,19.2,31.5,25.1,24.9,23.7,26.4,31.5,"2007年式 / 3.0 R 4WD / 47,000km / 千葉県",2007年式,3.0 R 4WD,"47,000km",千葉県,manen
subaru-legacy-outback,レガシィアウトバック,,2006,2006年式,root,root,42,16.0,40.5,24.0,23.7,22.2,25.4,40.5,2006年式 / 3.0 R 4WD / 4万km / 島根県,2006年式,3.0 R 4WD,4万km,島根県,manen
subaru-legacy-outback,レガシィアウトバック,,2005,2005年式,root,root,44,3.4,34.2,25.1,25.8,22.7,28.0,34.2,"2005年式 / 3.0 R 4WD / 53,000km / 和歌山県",2005年式,3.0 R 4WD,"53,000km",和歌山県,manen
subaru-legacy-outback,レガシィアウトバック,,2004,2004年式,root,root,44,5.0,49.5,24.1,23.9,21.0,26.7,49.5,"2004年式 / 2.5 i スマートセレクション 4WD / 49,000km / 徳島県",2004年式,2.5 i スマートセレクション 4WD,"49,000km",徳島県,manen
subaru-legacy-outback,レガシィアウトバック,,2003,2003年式,root,root,18,5.0,40.0,23.9,25.2,20.5,26.5,40.0,"2003年式 / 2.5 i 4WD / 48,000km / 愛媛県",2003年式,2.5 i 4WD,"48,000km",愛媛県,manen
subaru-legacy-outback,レガシィアウトバック,,1997,1997年式,root,root,1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,"1997年式 / 2.5 i Sスタイル 4WD / 137,000km / 香川県",1997年式,2.5 i Sスタイル 4WD,"137,000km",香川県,manen
