model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-legacy,レガシィ,root,root,0万km,0,0,1,68.0,68.0,68.0,68.0,68.0,68.0,68.0,1996年式 / 2.0 RS 4WD / 0万km / 徳島県,1996年式,2.0 RS 4WD,0万km,徳島県,manen
subaru-legacy,レガシィ,root,root,"18,000km",18000,18000,1,11.7,11.7,11.7,11.7,11.7,11.7,11.7,"1996年式 / 2.5 250T 4WD / 18,000km / 埼玉県",1996年式,2.5 250T 4WD,"18,000km",埼玉県,manen
subaru-legacy,レガシィ,root,root,2万km,20000,20000,1,22.9,22.9,22.9,22.9,22.9,22.9,22.9,1994年式 / 2.0 RS 4WD / 2万km / 東京都,1994年式,2.0 RS 4WD,2万km,東京都,manen
subaru-legacy,レガシィ,root,root,"21,000km",21000,21000,1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,"2000年式 / 2.0 GT 4WD / 21,000km / 岐阜県",2000年式,2.0 GT 4WD,"21,000km",岐阜県,manen
subaru-legacy,レガシィ,root,root,"27,000km",27000,27000,1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,"1993年式 / 2.0 TX タイプS 4WD / 27,000km / 富山県",1993年式,2.0 TX タイプS 4WD,"27,000km",富山県,manen
subaru-legacy,レガシィ,root,root,3万km,30000,30000,1,68.5,68.5,68.5,68.5,68.5,68.5,68.5,1998年式 / 2.0 GT 4WD / 3万km / 埼玉県,1998年式,2.0 GT 4WD,3万km,埼玉県,manen
subaru-legacy,レガシィ,root,root,"32,000km",32000,32000,1,52.5,52.5,52.5,52.5,52.5,52.5,52.5,"1997年式 / 2.0 RS 4WD / 32,000km / 福岡県",1997年式,2.0 RS 4WD,"32,000km",福岡県,manen
subaru-legacy,レガシィ,root,root,"33,000km",33000,33000,1,55.5,55.5,55.5,55.5,55.5,55.5,55.5,"1991年式 / 1.8 Mi エクストラ / 33,000km / 岐阜県",1991年式,1.8 Mi エクストラ,"33,000km",岐阜県,manen
subaru-legacy,レガシィ,root,root,"37,000km",37000,37000,2,47.2,62.5,54.9,54.9,47.2,62.5,62.5,"1995年式 / 2.0 GT 4WD / 37,000km / 徳島県",1995年式,2.0 GT 4WD,"37,000km",徳島県,manen
subaru-legacy,レガシィ,root,root,"38,000km",38000,38000,2,29.1,31.8,30.4,30.4,29.1,31.8,31.8,"1995年式 / 2.0 RS 4WD / 38,000km / 佐賀県",1995年式,2.0 RS 4WD,"38,000km",佐賀県,manen
subaru-legacy,レガシィ,root,root,4万km,40000,40000,1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,1996年式 / 2.0 GT 4WD / 4万km / 山梨県,1996年式,2.0 GT 4WD,4万km,山梨県,manen
subaru-legacy,レガシィ,root,root,"42,000km",42000,42000,1,15.6,15.6,15.6,15.6,15.6,15.6,15.6,"1997年式 / 2.0 TS タイプR 4WD / 42,000km / 福岡県",1997年式,2.0 TS タイプR 4WD,"42,000km",福岡県,manen
subaru-legacy,レガシィ,root,root,"47,000km",47000,47000,2,16.5,22.0,19.2,19.2,16.5,22.0,22.0,"1997年式 / 2.0 RS 4WD / 47,000km / 福井県",1997年式,2.0 RS 4WD,"47,000km",福井県,manen
subaru-legacy,レガシィ,root,root,"53,000km",53000,53000,4,4.8,45.9,16.4,7.5,6.9,8.0,45.9,"1996年式 / 2.0 ブライトン 4WD / 53,000km / 佐賀県",1996年式,2.0 ブライトン 4WD,"53,000km",佐賀県,manen
subaru-legacy,レガシィ,root,root,"54,000km",54000,54000,1,23.5,23.5,23.5,23.5,23.5,23.5,23.5,"1994年式 / 2.0 ブライトン 4WD / 54,000km / 神奈川県",1994年式,2.0 ブライトン 4WD,"54,000km",神奈川県,manen
subaru-legacy,レガシィ,root,root,"56,000km",56000,56000,2,16.1,16.1,16.1,16.1,16.1,16.1,16.1,"1998年式 / 2.0 TS タイプR 4WD / 56,000km / 栃木県",1998年式,2.0 TS タイプR 4WD,"56,000km",栃木県,manen
subaru-legacy,レガシィ,root,root,6万km,60000,60000,1,75.4,75.4,75.4,75.4,75.4,75.4,75.4,1993年式 / 2.0 RS 4WD / 6万km / 茨城県,1993年式,2.0 RS 4WD,6万km,茨城県,manen
subaru-legacy,レガシィ,root,root,"62,000km",62000,62000,2,21.0,29.5,25.2,25.2,21.0,29.5,29.5,"1995年式 / 2.0 RS 4WD / 62,000km / 福井県",1995年式,2.0 RS 4WD,"62,000km",福井県,manen
subaru-legacy,レガシィ,root,root,"64,000km",64000,64000,1,73.0,73.0,73.0,73.0,73.0,73.0,73.0,"1998年式 / 2.0 GT 4WD / 64,000km / 静岡県",1998年式,2.0 GT 4WD,"64,000km",静岡県,manen
subaru-legacy,レガシィ,root,root,"66,000km",66000,66000,1,16.7,16.7,16.7,16.7,16.7,16.7,16.7,"1996年式 / 2.0 RS 4WD / 66,000km / 岩手県",1996年式,2.0 RS 4WD,"66,000km",岩手県,manen
subaru-legacy,レガシィ,root,root,"67,000km",67000,67000,1,39.9,39.9,39.9,39.9,39.9,39.9,39.9,"1997年式 / 2.0 RS 4WD / 67,000km / 京都府",1997年式,2.0 RS 4WD,"67,000km",京都府,manen
subaru-legacy,レガシィ,root,root,"68,000km",68000,68000,1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,"1999年式 / 2.0 GT 4WD / 68,000km / 群馬県",1999年式,2.0 GT 4WD,"68,000km",群馬県,manen
