model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-levorg-layback,レヴォーグレイバック,root,root,0万km,0,0,2,209.0,340.0,274.5,274.5,209.0,340.0,340.0,2024年式 / 1.8 リミテッド EX 4WD / 0万km / 愛媛県,2024年式,1.8 リミテッド EX 4WD,0万km,愛媛県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"2,000km",2000,2000,2,298.5,334.5,316.5,316.5,298.5,334.5,334.5,"2024年式 / 1.8 リミテッド EX 4WD / 2,000km / 新潟県",2024年式,1.8 リミテッド EX 4WD,"2,000km",新潟県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"3,000km",3000,3000,1,311.0,311.0,311.0,311.0,311.0,311.0,311.0,"2024年式 / 1.8 リミテッド EX 4WD / 3,000km / 愛媛県",2024年式,1.8 リミテッド EX 4WD,"3,000km",愛媛県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"5,000km",5000,5000,4,239.0,339.8,306.3,323.2,311.5,335.0,339.8,"2024年式 / 1.8 リミテッド EX 4WD / 5,000km / 岐阜県",2024年式,1.8 リミテッド EX 4WD,"5,000km",岐阜県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"6,000km",6000,6000,8,298.0,349.5,325.2,323.8,315.5,335.0,349.5,"2023年式 / 1.8 リミテッド EX 4WD / 6,000km / 大分県",2023年式,1.8 リミテッド EX 4WD,"6,000km",大分県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"7,000km",7000,7000,1,310.5,310.5,310.5,310.5,310.5,310.5,310.5,"2025年式 / 1.8 リミテッド EX 4WD / 7,000km / 長野県",2025年式,1.8 リミテッド EX 4WD,"7,000km",長野県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"8,000km",8000,8000,3,289.0,318.0,302.5,300.5,289.0,318.0,318.0,"2024年式 / 1.8 リミテッド EX 4WD / 8,000km / 福島県",2024年式,1.8 リミテッド EX 4WD,"8,000km",福島県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"9,000km",9000,9000,2,314.0,314.0,314.0,314.0,314.0,314.0,314.0,"2024年式 / 1.8 リミテッド EX 4WD / 9,000km / 岐阜県",2024年式,1.8 リミテッド EX 4WD,"9,000km",岐阜県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,1万km,10000,10000,2,304.5,344.5,324.5,324.5,304.5,344.5,344.5,2024年式 / 1.8 リミテッド EX 4WD / 1万km / 神奈川県,2024年式,1.8 リミテッド EX 4WD,1万km,神奈川県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"12,000km",12000,12000,5,289.0,301.5,293.0,291.0,290.4,293.0,301.5,"2024年式 / 1.8 リミテッド EX 4WD / 12,000km / 静岡県",2024年式,1.8 リミテッド EX 4WD,"12,000km",静岡県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"13,000km",13000,13000,1,301.8,301.8,301.8,301.8,301.8,301.8,301.8,"2023年式 / 1.8 リミテッド EX 4WD / 13,000km / 鹿児島県",2023年式,1.8 リミテッド EX 4WD,"13,000km",鹿児島県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"14,000km",14000,14000,2,290.0,291.0,290.5,290.5,290.0,291.0,291.0,"2024年式 / 1.8 リミテッド EX 4WD / 14,000km / 福岡県",2024年式,1.8 リミテッド EX 4WD,"14,000km",福岡県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"16,000km",16000,16000,2,267.0,268.5,267.8,267.8,267.0,268.5,268.5,"2024年式 / 1.8 リミテッド EX 4WD / 16,000km / 長崎県",2024年式,1.8 リミテッド EX 4WD,"16,000km",長崎県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"18,000km",18000,18000,2,296.5,300.5,298.5,298.5,296.5,300.5,300.5,"2024年式 / 1.8 リミテッド EX 4WD / 18,000km / 奈良県",2024年式,1.8 リミテッド EX 4WD,"18,000km",奈良県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,2万km,20000,20000,1,317.5,317.5,317.5,317.5,317.5,317.5,317.5,2023年式 / 1.8 リミテッド EX 4WD / 2万km / 群馬県,2023年式,1.8 リミテッド EX 4WD,2万km,群馬県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"24,000km",24000,24000,1,244.0,244.0,244.0,244.0,244.0,244.0,244.0,"2024年式 / 1.8 リミテッド EX 4WD / 24,000km / 鳥取県",2024年式,1.8 リミテッド EX 4WD,"24,000km",鳥取県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"25,000km",25000,25000,2,278.1,288.5,283.3,283.3,278.1,288.5,288.5,"2023年式 / 1.8 リミテッド EX 4WD / 25,000km / 大分県",2023年式,1.8 リミテッド EX 4WD,"25,000km",大分県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"28,000km",28000,28000,1,258.8,258.8,258.8,258.8,258.8,258.8,258.8,"2024年式 / 1.8 リミテッド EX 4WD / 28,000km / 埼玉県",2024年式,1.8 リミテッド EX 4WD,"28,000km",埼玉県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"29,000km",29000,29000,1,253.9,253.9,253.9,253.9,253.9,253.9,253.9,"2024年式 / 1.8 リミテッド EX 4WD / 29,000km / 愛知県",2024年式,1.8 リミテッド EX 4WD,"29,000km",愛知県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,3万km,30000,30000,1,276.5,276.5,276.5,276.5,276.5,276.5,276.5,2024年式 / 1.8 リミテッド EX 4WD / 3万km / 和歌山県,2024年式,1.8 リミテッド EX 4WD,3万km,和歌山県,manen
subaru-levorg-layback,レヴォーグレイバック,root,root,"45,000km",45000,45000,1,225.0,225.0,225.0,225.0,225.0,225.0,225.0,"2024年式 / 1.8 リミテッド EX 4WD / 45,000km / 島根県",2024年式,1.8 リミテッド EX 4WD,"45,000km",島根県,manen
