model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-levorg,レヴォーグ,root,root,"2,000km",2000,2000,1,318.5,318.5,318.5,318.5,318.5,318.5,318.5,"2024年式 / 1.8 STI スポーツ EX 4WD / 2,000km / 宮城県",2024年式,1.8 STI スポーツ EX 4WD,"2,000km",宮城県,manen
subaru-levorg,レヴォーグ,root,root,"3,000km",3000,3000,4,124.3,350.5,259.6,281.9,265.0,298.7,350.5,"2024年式 / 1.8 STI スポーツ EX 4WD / 3,000km / 沖縄県",2024年式,1.8 STI スポーツ EX 4WD,"3,000km",沖縄県,manen
subaru-levorg,レヴォーグ,root,root,"4,000km",4000,4000,4,187.8,351.5,284.9,300.2,280.0,320.5,351.5,"2024年式 / 2.4 STI スポーツR EX ブラックインテリアセレクション 4WD / 4,000km / 熊本県",2024年式,2.4 STI スポーツR EX ブラックインテリアセレクション 4WD,"4,000km",熊本県,manen
subaru-levorg,レヴォーグ,root,root,"5,000km",5000,5000,3,245.0,299.0,264.6,249.8,245.0,299.0,299.0,"2024年式 / 1.8 STI スポーツ EX 4WD / 5,000km / 東京都",2024年式,1.8 STI スポーツ EX 4WD,"5,000km",東京都,manen
subaru-levorg,レヴォーグ,root,root,"6,000km",6000,6000,2,124.0,281.0,202.5,202.5,124.0,281.0,281.0,"2023年式 / 1.8 STI スポーツ EX 4WD / 6,000km / 熊本県",2023年式,1.8 STI スポーツ EX 4WD,"6,000km",熊本県,manen
subaru-levorg,レヴォーグ,root,root,"7,000km",7000,7000,1,271.5,271.5,271.5,271.5,271.5,271.5,271.5,"2024年式 / 1.8 GT-H EX 4WD / 7,000km / 高知県",2024年式,1.8 GT-H EX 4WD,"7,000km",高知県,manen
subaru-levorg,レヴォーグ,root,root,"8,000km",8000,8000,1,280.5,280.5,280.5,280.5,280.5,280.5,280.5,"2022年式 / 1.8 STI スポーツ EX 4WD / 8,000km / 三重県",2022年式,1.8 STI スポーツ EX 4WD,"8,000km",三重県,manen
subaru-levorg,レヴォーグ,root,root,"9,000km",9000,9000,1,106.0,106.0,106.0,106.0,106.0,106.0,106.0,"2016年式 / 1.6 GT-S アイサイト 4WD / 9,000km / 徳島県",2016年式,1.6 GT-S アイサイト 4WD,"9,000km",徳島県,manen
subaru-levorg,レヴォーグ,root,root,1万km,10000,10000,9,196.0,345.0,275.7,280.0,262.4,289.0,345.0,2021年式 / 1.8 STI スポーツ EX 4WD / 1万km / 山梨県,2021年式,1.8 STI スポーツ EX 4WD,1万km,山梨県,manen
subaru-levorg,レヴォーグ,root,root,"11,000km",11000,11000,9,113.5,302.0,236.5,249.5,190.0,297.0,302.0,"2022年式 / 2.4 STI スポーツR EX 4WD / 11,000km / 兵庫県",2022年式,2.4 STI スポーツR EX 4WD,"11,000km",兵庫県,manen
subaru-levorg,レヴォーグ,root,root,"12,000km",12000,12000,9,27.5,352.5,271.7,288.8,270.3,319.0,352.5,"2024年式 / 1.8 STI スポーツ EX ブラックインテリアセレクション 4WD / 12,000km / 奈良県",2024年式,1.8 STI スポーツ EX ブラックインテリアセレクション 4WD,"12,000km",奈良県,manen
subaru-levorg,レヴォーグ,root,root,"13,000km",13000,13000,6,169.7,316.9,266.3,286.5,239.5,298.8,316.9,"2022年式 / 1.8 STI スポーツ EX 4WD / 13,000km / 神奈川県",2022年式,1.8 STI スポーツ EX 4WD,"13,000km",神奈川県,manen
subaru-levorg,レヴォーグ,root,root,"14,000km",14000,14000,5,250.0,348.5,280.9,265.7,260.0,280.3,348.5,"2022年式 / 2.4 STI スポーツR EX 4WD / 14,000km / 沖縄県",2022年式,2.4 STI スポーツR EX 4WD,"14,000km",沖縄県,manen
subaru-levorg,レヴォーグ,root,root,"15,000km",15000,15000,6,166.2,285.5,233.2,242.1,200.5,263.0,285.5,"2024年式 / 2.4 STI スポーツR 4WD / 15,000km / 愛媛県",2024年式,2.4 STI スポーツR 4WD,"15,000km",愛媛県,manen
subaru-levorg,レヴォーグ,root,root,"16,000km",16000,16000,5,100.2,352.0,231.1,234.5,159.4,309.5,352.0,"2022年式 / 2.4 STI スポーツR EX 4WD / 16,000km / 鹿児島県",2022年式,2.4 STI スポーツR EX 4WD,"16,000km",鹿児島県,manen
subaru-levorg,レヴォーグ,root,root,"17,000km",17000,17000,10,110.0,294.5,181.8,167.9,114.6,260.0,294.5,"2021年式 / 1.8 STI スポーツ EX 4WD / 17,000km / 岩手県",2021年式,1.8 STI スポーツ EX 4WD,"17,000km",岩手県,manen
subaru-levorg,レヴォーグ,root,root,"18,000km",18000,18000,10,88.5,320.0,235.3,263.2,161.0,294.5,320.0,"2020年式 / 1.8 STI スポーツ EX 4WD / 18,000km / 神奈川県",2020年式,1.8 STI スポーツ EX 4WD,"18,000km",神奈川県,manen
subaru-levorg,レヴォーグ,root,root,"19,000km",19000,19000,7,182.0,325.0,243.5,238.0,189.1,267.7,325.0,"2020年式 / 1.8 STI スポーツ EX 4WD / 19,000km / 三重県",2020年式,1.8 STI スポーツ EX 4WD,"19,000km",三重県,manen
subaru-levorg,レヴォーグ,root,root,2万km,20000,20000,6,90.0,346.2,191.7,174.4,146.6,218.5,346.2,2020年式 / 1.8 STI スポーツ EX 4WD / 2万km / 福井県,2020年式,1.8 STI スポーツ EX 4WD,2万km,福井県,manen
subaru-levorg,レヴォーグ,root,root,"21,000km",21000,21000,9,129.9,307.4,232.5,246.6,221.0,264.3,307.4,"2022年式 / 2.4 STI スポーツR EX 4WD / 21,000km / 秋田県",2022年式,2.4 STI スポーツR EX 4WD,"21,000km",秋田県,manen
subaru-levorg,レヴォーグ,root,root,"22,000km",22000,22000,7,146.8,291.5,238.9,240.1,225.0,260.0,291.5,"2021年式 / 1.8 STI スポーツ EX 4WD / 22,000km / 京都府",2021年式,1.8 STI スポーツ EX 4WD,"22,000km",京都府,manen
subaru-levorg,レヴォーグ,root,root,"23,000km",23000,23000,9,158.0,257.4,227.7,239.5,221.0,250.5,257.4,"2022年式 / 2.4 STI スポーツR EX 4WD / 23,000km / 秋田県",2022年式,2.4 STI スポーツR EX 4WD,"23,000km",秋田県,manen
subaru-levorg,レヴォーグ,root,root,"24,000km",24000,24000,6,122.5,289.0,204.0,191.8,165.0,263.9,289.0,"2021年式 / 1.8 STI スポーツ EX 4WD / 24,000km / 香川県",2021年式,1.8 STI スポーツ EX 4WD,"24,000km",香川県,manen
subaru-levorg,レヴォーグ,root,root,"25,000km",25000,25000,10,205.4,286.5,258.4,265.4,235.5,282.4,286.5,"2020年式 / 1.8 STI スポーツ EX 4WD / 25,000km / 茨城県",2020年式,1.8 STI スポーツ EX 4WD,"25,000km",茨城県,manen
subaru-levorg,レヴォーグ,root,root,"26,000km",26000,26000,1,163.5,163.5,163.5,163.5,163.5,163.5,163.5,"2020年式 / 1.6 GT-S アイサイト 4WD / 26,000km / 静岡県",2020年式,1.6 GT-S アイサイト 4WD,"26,000km",静岡県,manen
subaru-levorg,レヴォーグ,root,root,"27,000km",27000,27000,12,133.3,283.5,214.4,213.6,194.1,242.2,283.5,"2023年式 / 1.8 STI スポーツ EX 4WD / 27,000km / 奈良県",2023年式,1.8 STI スポーツ EX 4WD,"27,000km",奈良県,manen
subaru-levorg,レヴォーグ,root,root,"28,000km",28000,28000,7,183.0,312.2,253.0,257.0,239.3,272.7,312.2,"2021年式 / 1.8 STI スポーツ EX 4WD / 28,000km / 神奈川県",2021年式,1.8 STI スポーツ EX 4WD,"28,000km",神奈川県,manen
subaru-levorg,レヴォーグ,root,root,"29,000km",29000,29000,11,93.1,320.0,233.1,253.0,170.4,293.0,320.0,"2021年式 / 1.8 STI スポーツ EX 4WD / 29,000km / 京都府",2021年式,1.8 STI スポーツ EX 4WD,"29,000km",京都府,manen
subaru-levorg,レヴォーグ,root,root,3万km,30000,30000,8,152.0,269.7,217.1,223.2,180.0,263.1,269.7,2021年式 / 1.8 GT-H EX 4WD / 3万km / 秋田県,2021年式,1.8 GT-H EX 4WD,3万km,秋田県,manen
subaru-levorg,レヴォーグ,root,root,"31,000km",31000,31000,8,121.5,287.5,233.9,252.0,212.2,256.5,287.5,"2023年式 / 1.8 STI スポーツ EX 4WD / 31,000km / 千葉県",2023年式,1.8 STI スポーツ EX 4WD,"31,000km",千葉県,manen
subaru-levorg,レヴォーグ,root,root,"32,000km",32000,32000,6,61.8,249.0,143.8,130.8,90.0,200.4,249.0,"2021年式 / 1.8 GT-H EX 4WD / 32,000km / 埼玉県",2021年式,1.8 GT-H EX 4WD,"32,000km",埼玉県,manen
subaru-levorg,レヴォーグ,root,root,"33,000km",33000,33000,11,70.2,274.1,170.5,179.6,105.0,215.0,274.1,"2021年式 / 1.8 GT-H EX 4WD / 33,000km / 千葉県",2021年式,1.8 GT-H EX 4WD,"33,000km",千葉県,manen
subaru-levorg,レヴォーグ,root,root,"34,000km",34000,34000,10,96.4,269.5,202.3,228.4,161.5,248.7,269.5,"2022年式 / 1.8 STI スポーツ EX 4WD / 34,000km / 埼玉県",2022年式,1.8 STI スポーツ EX 4WD,"34,000km",埼玉県,manen
subaru-levorg,レヴォーグ,root,root,"35,000km",35000,35000,3,168.0,265.5,218.3,221.5,168.0,265.5,265.5,"2022年式 / 1.8 STI スポーツ EX 4WD / 35,000km / 長崎県",2022年式,1.8 STI スポーツ EX 4WD,"35,000km",長崎県,manen
subaru-levorg,レヴォーグ,root,root,"36,000km",36000,36000,9,48.8,311.0,222.5,236.0,187.6,269.0,311.0,"2023年式 / 1.8 STI スポーツ EX 4WD / 36,000km / 福岡県",2023年式,1.8 STI スポーツ EX 4WD,"36,000km",福岡県,manen
subaru-levorg,レヴォーグ,root,root,"37,000km",37000,37000,7,90.5,246.0,173.9,166.8,152.8,185.5,246.0,"2021年式 / 1.8 GT-H EX 4WD / 37,000km / 兵庫県",2021年式,1.8 GT-H EX 4WD,"37,000km",兵庫県,manen
subaru-levorg,レヴォーグ,root,root,"38,000km",38000,38000,8,93.5,315.6,199.7,193.5,152.5,249.2,315.6,"2022年式 / 2.4 STI スポーツR EX 4WD / 38,000km / 静岡県",2022年式,2.4 STI スポーツR EX 4WD,"38,000km",静岡県,manen
subaru-levorg,レヴォーグ,root,root,"39,000km",39000,39000,6,157.5,275.0,200.4,191.0,171.5,216.5,275.0,"2023年式 / 1.8 STI スポーツ EX 4WD / 39,000km / 宮城県",2023年式,1.8 STI スポーツ EX 4WD,"39,000km",宮城県,manen
subaru-levorg,レヴォーグ,root,root,4万km,40000,40000,16,100.0,311.0,195.4,186.8,169.4,223.0,311.0,2024年式 / 1.8 STI スポーツ EX ブラックインテリアセレクション 4WD / 4万km / 福井県,2024年式,1.8 STI スポーツ EX ブラックインテリアセレクション 4WD,4万km,福井県,manen
subaru-levorg,レヴォーグ,root,root,"41,000km",41000,41000,5,102.5,276.5,178.3,196.0,115.5,200.9,276.5,"2023年式 / 2.4 STI スポーツR EX 4WD / 41,000km / 山形県",2023年式,2.4 STI スポーツR EX 4WD,"41,000km",山形県,manen
subaru-levorg,レヴォーグ,root,root,"42,000km",42000,42000,11,87.6,319.0,204.1,206.0,137.5,272.4,319.0,"2022年式 / 1.8 STI スポーツ EX 4WD / 42,000km / 千葉県",2022年式,1.8 STI スポーツ EX 4WD,"42,000km",千葉県,manen
subaru-levorg,レヴォーグ,root,root,"43,000km",43000,43000,11,27.7,293.3,172.0,172.5,113.0,238.8,293.3,"2021年式 / 1.8 STI スポーツ EX 4WD / 43,000km / 福岡県",2021年式,1.8 STI スポーツ EX 4WD,"43,000km",福岡県,manen
subaru-levorg,レヴォーグ,root,root,"44,000km",44000,44000,9,138.0,269.0,207.1,212.5,182.7,243.1,269.0,"2022年式 / 1.8 GT-H EX 4WD / 44,000km / 山形県",2022年式,1.8 GT-H EX 4WD,"44,000km",山形県,manen
subaru-levorg,レヴォーグ,root,root,"45,000km",45000,45000,11,64.0,277.1,168.4,147.0,91.1,228.3,277.1,"2020年式 / 1.8 STI スポーツ EX 4WD / 45,000km / 山口県",2020年式,1.8 STI スポーツ EX 4WD,"45,000km",山口県,manen
subaru-levorg,レヴォーグ,root,root,"46,000km",46000,46000,8,65.0,250.5,204.7,223.3,201.0,245.8,250.5,"2023年式 / 1.8 STI スポーツ EX 4WD / 46,000km / 栃木県",2023年式,1.8 STI スポーツ EX 4WD,"46,000km",栃木県,manen
subaru-levorg,レヴォーグ,root,root,"47,000km",47000,47000,8,68.0,168.5,121.2,125.5,104.7,135.0,168.5,"2017年式 / 1.6 STI スポーツ アイサイト 4WD / 47,000km / 山形県",2017年式,1.6 STI スポーツ アイサイト 4WD,"47,000km",山形県,manen
subaru-levorg,レヴォーグ,root,root,"48,000km",48000,48000,6,148.6,272.5,236.4,251.5,233.7,260.4,272.5,"2021年式 / 1.8 GT EX 4WD / 48,000km / 富山県",2021年式,1.8 GT EX 4WD,"48,000km",富山県,manen
subaru-levorg,レヴォーグ,root,root,"49,000km",49000,49000,12,96.4,278.5,185.3,167.1,140.4,238.7,278.5,"2023年式 / 1.8 STI スポーツ EX 4WD / 49,000km / 岩手県",2023年式,1.8 STI スポーツ EX 4WD,"49,000km",岩手県,manen
subaru-levorg,レヴォーグ,root,root,5万km,50000,50000,8,98.7,218.9,153.1,155.9,119.0,183.8,218.9,2024年式 / 1.8 GT-H EX 4WD / 5万km / 長崎県,2024年式,1.8 GT-H EX 4WD,5万km,長崎県,manen
subaru-levorg,レヴォーグ,root,root,"51,000km",51000,51000,10,71.0,190.5,121.5,117.2,97.7,138.7,190.5,"2019年式 / 2.0 STI スポーツ アイサイト ブラック セレクション 4WD / 51,000km / 茨城県",2019年式,2.0 STI スポーツ アイサイト ブラック セレクション 4WD,"51,000km",茨城県,manen
subaru-levorg,レヴォーグ,root,root,"52,000km",52000,52000,3,106.0,128.7,116.9,116.0,106.0,128.7,128.7,"2015年式 / 1.6 GT アイサイト プラウドエディション 4WD / 52,000km / 福島県",2015年式,1.6 GT アイサイト プラウドエディション 4WD,"52,000km",福島県,manen
subaru-levorg,レヴォーグ,root,root,"53,000km",53000,53000,9,43.5,256.5,155.3,159.0,124.5,186.5,256.5,"2023年式 / 2.4 STI スポーツR EX 4WD / 53,000km / 大阪府",2023年式,2.4 STI スポーツR EX 4WD,"53,000km",大阪府,manen
subaru-levorg,レヴォーグ,root,root,"54,000km",54000,54000,13,12.3,310.6,151.9,129.9,91.9,219.1,310.6,"2020年式 / 1.8 STI スポーツ EX 4WD / 54,000km / 滋賀県",2020年式,1.8 STI スポーツ EX 4WD,"54,000km",滋賀県,manen
