model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-pleo-nesta,プレオネスタ,root,root,"2,000km",2000,2000,1,23.9,23.9,23.9,23.9,23.9,23.9,23.9,"2000年式 / G / 2,000km / 宮城県",2000年式,G,"2,000km",宮城県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"17,000km",17000,17000,2,3.7,8.4,6.0,6.0,3.7,8.4,8.4,"2002年式 / GS スペシャル / 17,000km / 長野県",2002年式,GS スペシャル,"17,000km",長野県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"18,000km",18000,18000,1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,"2001年式 / G / 18,000km / 佐賀県",2001年式,G,"18,000km",佐賀県,manen
subaru-pleo-nesta,プレオネスタ,root,root,2万km,20000,20000,1,19.9,19.9,19.9,19.9,19.9,19.9,19.9,1999年式 / G スペシャル / 2万km / 埼玉県,1999年式,G スペシャル,2万km,埼玉県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"23,000km",23000,23000,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,"2002年式 / GS スペシャル / 23,000km / 京都府",2002年式,GS スペシャル,"23,000km",京都府,manen
subaru-pleo-nesta,プレオネスタ,root,root,"24,000km",24000,24000,2,5.0,21.3,13.2,13.2,5.0,21.3,21.3,"2001年式 / G-S / 24,000km / 山口県",2001年式,G-S,"24,000km",山口県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"28,000km",28000,28000,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,"1999年式 / G / 28,000km / 群馬県",1999年式,G,"28,000km",群馬県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"29,000km",29000,29000,2,10.5,16.8,13.7,13.7,10.5,16.8,16.8,"2000年式 / G / 29,000km / 岩手県",2000年式,G,"29,000km",岩手県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"31,000km",31000,31000,1,4.8,4.8,4.8,4.8,4.8,4.8,4.8,"2002年式 / G-S / 31,000km / 奈良県",2002年式,G-S,"31,000km",奈良県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"34,000km",34000,34000,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,"2002年式 / G-S / 34,000km / 大阪府",2002年式,G-S,"34,000km",大阪府,manen
subaru-pleo-nesta,プレオネスタ,root,root,"43,000km",43000,43000,1,9.3,9.3,9.3,9.3,9.3,9.3,9.3,"2001年式 / G スペシャル / 43,000km / 徳島県",2001年式,G スペシャル,"43,000km",徳島県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"45,000km",45000,45000,2,5.2,8.7,7.0,7.0,5.2,8.7,8.7,"2002年式 / G スペシャル / 45,000km / 宮崎県",2002年式,G スペシャル,"45,000km",宮崎県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"47,000km",47000,47000,1,4.9,4.9,4.9,4.9,4.9,4.9,4.9,"1999年式 / G / 47,000km / 長崎県",1999年式,G,"47,000km",長崎県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"48,000km",48000,48000,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"1999年式 / G スペシャル / 48,000km / 和歌山県",1999年式,G スペシャル,"48,000km",和歌山県,manen
subaru-pleo-nesta,プレオネスタ,root,root,5万km,50000,50000,2,5.0,5.7,5.3,5.3,5.0,5.7,5.7,2000年式 / G / 5万km / 香川県,2000年式,G,5万km,香川県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"52,000km",52000,52000,1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"2002年式 / GS スペシャル / 52,000km / 大分県",2002年式,GS スペシャル,"52,000km",大分県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"54,000km",54000,54000,2,6.0,7.8,6.9,6.9,6.0,7.8,7.8,"2000年式 / G / 54,000km / 宮崎県",2000年式,G,"54,000km",宮崎県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"59,000km",59000,59000,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2003年式 / GS スペシャル / 59,000km / 千葉県",2003年式,GS スペシャル,"59,000km",千葉県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"61,000km",61000,61000,2,6.2,7.5,6.8,6.8,6.2,7.5,7.5,"2001年式 / G-S / 61,000km / 福岡県",2001年式,G-S,"61,000km",福岡県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"63,000km",63000,63000,1,12.3,12.3,12.3,12.3,12.3,12.3,12.3,"2002年式 / G スペシャル / 63,000km / 岐阜県",2002年式,G スペシャル,"63,000km",岐阜県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"65,000km",65000,65000,2,5.5,13.6,9.6,9.6,5.5,13.6,13.6,"2002年式 / GS スペシャル / 65,000km / 奈良県",2002年式,GS スペシャル,"65,000km",奈良県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"66,000km",66000,66000,1,6.7,6.7,6.7,6.7,6.7,6.7,6.7,"2002年式 / GS スペシャル / 66,000km / 島根県",2002年式,GS スペシャル,"66,000km",島根県,manen
subaru-pleo-nesta,プレオネスタ,root,root,"67,000km",67000,67000,1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,"2002年式 / G-S / 67,000km / 兵庫県",2002年式,G-S,"67,000km",兵庫県,manen
