model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-pleo,プレオ,,2018,2018年式,root,root,4,16.7,37.6,25.5,23.9,17.3,30.5,37.6,"2018年式 / F スペシャル / 39,000km / 茨城県",2018年式,F スペシャル,"39,000km",茨城県,manen
subaru-pleo,プレオ,,2017,2017年式,root,root,26,7.0,44.8,22.5,17.6,12.4,31.5,44.8,"2017年式 / F スペシャル / 8,000km / 富山県",2017年式,F スペシャル,"8,000km",富山県,manen
subaru-pleo,プレオ,,2016,2016年式,root,root,34,5.0,45.3,22.3,18.1,15.6,30.3,45.3,"2016年式 / F スペシャル / 1,000km / 高知県",2016年式,F スペシャル,"1,000km",高知県,manen
subaru-pleo,プレオ,,2015,2015年式,root,root,36,6.3,46.2,24.8,22.9,15.6,36.5,46.2,"2015年式 / F スペシャル / 9,000km / 三重県",2015年式,F スペシャル,"9,000km",三重県,manen
subaru-pleo,プレオ,,2014,2014年式,root,root,42,5.7,39.5,17.7,16.4,11.4,23.1,39.5,"2014年式 / F スペシャル 4WD / 44,000km / 山形県",2014年式,F スペシャル 4WD,"44,000km",山形県,manen
subaru-pleo,プレオ,,2013,2013年式,root,root,82,5.0,42.5,17.6,17.0,11.2,20.8,42.5,2013年式 / F スペシャル 4WD / 1万km / 山口県,2013年式,F スペシャル 4WD,1万km,山口県,manen
subaru-pleo,プレオ,,2012,2012年式,root,root,133,4.9,40.2,17.0,15.9,10.2,21.7,40.2,"2012年式 / F スペシャル 4WD / 12,000km / 栃木県",2012年式,F スペシャル 4WD,"12,000km",栃木県,manen
subaru-pleo,プレオ,,2011,2011年式,root,root,180,5.0,46.1,19.6,19.0,12.6,25.0,46.1,"2011年式 / カスタム R 4WD / 51,000km / 佐賀県",2011年式,カスタム R 4WD,"51,000km",佐賀県,manen
subaru-pleo,プレオ,,2010,2010年式,root,root,99,5.0,43.0,19.0,17.7,12.0,26.0,43.0,"2010年式 / カスタム RS / 22,000km / 群馬県",2010年式,カスタム RS,"22,000km",群馬県,manen
subaru-pleo,プレオ,,2009,2009年式,root,root,57,5.2,41.4,17.0,16.6,10.8,20.7,41.4,"2009年式 / カスタム R / 24,000km / 徳島県",2009年式,カスタム R,"24,000km",徳島県,manen
subaru-pleo,プレオ,,2008,2008年式,root,root,10,5.0,20.7,10.9,9.4,6.9,15.6,20.7,"2008年式 / A / 11,000km / 宮崎県",2008年式,A,"11,000km",宮崎県,manen
subaru-pleo,プレオ,,2007,2007年式,root,root,12,5.0,20.2,8.9,7.3,5.0,11.1,20.2,"2007年式 / A 4WD / 38,000km / 島根県",2007年式,A 4WD,"38,000km",島根県,manen
subaru-pleo,プレオ,,2006,2006年式,root,root,14,4.6,17.5,7.9,6.2,6.0,7.6,17.5,"2006年式 / L タイプS / 5,000km / 群馬県",2006年式,L タイプS,"5,000km",群馬県,manen
subaru-pleo,プレオ,,2005,2005年式,root,root,12,5.0,27.7,12.6,8.0,5.0,21.0,27.7,"2005年式 / F タイプS 4WD / 42,000km / 栃木県",2005年式,F タイプS 4WD,"42,000km",栃木県,manen
subaru-pleo,プレオ,,2004,2004年式,root,root,26,5.0,25.8,8.6,6.8,5.4,8.7,25.8,"2004年式 / L タイプS / 7,000km / 和歌山県",2004年式,L タイプS,"7,000km",和歌山県,manen
subaru-pleo,プレオ,,2003,2003年式,root,root,35,5.0,45.2,18.2,15.9,8.5,24.9,45.2,"2003年式 / RS 4WD / 128,000km / 鹿児島県",2003年式,RS 4WD,"128,000km",鹿児島県,manen
subaru-pleo,プレオ,,2002,2002年式,root,root,94,4.1,44.0,17.4,16.3,9.6,25.4,44.0,2002年式 / RS 4WD / 6万km / 東京都,2002年式,RS 4WD,6万km,東京都,manen
subaru-pleo,プレオ,,2001,2001年式,root,root,82,3.6,32.2,16.6,17.9,7.2,23.1,32.2,"2001年式 / RS リミテッド / 81,000km / 青森県",2001年式,RS リミテッド,"81,000km",青森県,manen
subaru-pleo,プレオ,,2000,2000年式,root,root,19,5.0,20.0,10.4,9.2,6.0,14.2,20.0,"2000年式 / RS / 37,000km / 山口県",2000年式,RS,"37,000km",山口県,manen
subaru-pleo,プレオ,,1999,1999年式,root,root,1,18.6,18.6,18.6,18.6,18.6,18.6,18.6,"1999年式 / RS / 33,000km / 愛知県",1999年式,RS,"33,000km",愛知県,manen
subaru-pleo,プレオ,,1998,1998年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1998年式 / RM / 44,000km / 滋賀県",1998年式,RM,"44,000km",滋賀県,manen
subaru-pleo,プレオ,,1997,1997年式,root,root,1,22.5,22.5,22.5,22.5,22.5,22.5,22.5,"1997年式 / L プラスパッケージ 4WD / 169,000km / 兵庫県",1997年式,L プラスパッケージ 4WD,"169,000km",兵庫県,manen
