model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-r1,R1,root,root,0万km,0,0,2,8.2,26.0,17.1,17.1,8.2,26.0,26.0,2007年式 / R / 0万km / 徳島県,2007年式,R,0万km,徳島県,manen
subaru-r1,R1,root,root,"3,000km",3000,3000,1,35.4,35.4,35.4,35.4,35.4,35.4,35.4,"2004年式 / R 4WD / 3,000km / 愛媛県",2004年式,R 4WD,"3,000km",愛媛県,manen
subaru-r1,R1,root,root,"4,000km",4000,4000,3,17.5,41.6,25.5,17.5,17.5,41.6,41.6,"2004年式 / R / 4,000km / 鳥取県",2004年式,R,"4,000km",鳥取県,manen
subaru-r1,R1,root,root,"9,000km",9000,9000,2,34.7,41.0,37.9,37.9,34.7,41.0,41.0,"2005年式 / R / 9,000km / 山形県",2005年式,R,"9,000km",山形県,manen
subaru-r1,R1,root,root,"11,000km",11000,11000,1,61.0,61.0,61.0,61.0,61.0,61.0,61.0,"2004年式 / S / 11,000km / 岩手県",2004年式,S,"11,000km",岩手県,manen
subaru-r1,R1,root,root,"13,000km",13000,13000,1,43.2,43.2,43.2,43.2,43.2,43.2,43.2,"2006年式 / R レザー＆アルカンターラセレクション / 13,000km / 神奈川県",2006年式,R レザー＆アルカンターラセレクション,"13,000km",神奈川県,manen
subaru-r1,R1,root,root,"14,000km",14000,14000,1,42.0,42.0,42.0,42.0,42.0,42.0,42.0,"2004年式 / R 4WD / 14,000km / 宮城県",2004年式,R 4WD,"14,000km",宮城県,manen
subaru-r1,R1,root,root,"15,000km",15000,15000,1,31.5,31.5,31.5,31.5,31.5,31.5,31.5,"2004年式 / R / 15,000km / 千葉県",2004年式,R,"15,000km",千葉県,manen
subaru-r1,R1,root,root,"16,000km",16000,16000,3,25.2,72.5,45.7,39.3,25.2,72.5,72.5,"2007年式 / S / 16,000km / 大分県",2007年式,S,"16,000km",大分県,manen
subaru-r1,R1,root,root,"17,000km",17000,17000,4,26.3,70.3,42.5,36.7,27.9,45.5,70.3,"2008年式 / S 4WD / 17,000km / 大阪府",2008年式,S 4WD,"17,000km",大阪府,manen
subaru-r1,R1,root,root,"18,000km",18000,18000,3,19.4,42.2,32.4,35.5,19.4,42.2,42.2,"2004年式 / R / 18,000km / 熊本県",2004年式,R,"18,000km",熊本県,manen
subaru-r1,R1,root,root,"19,000km",19000,19000,1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"2005年式 / R / 19,000km / 三重県",2005年式,R,"19,000km",三重県,manen
subaru-r1,R1,root,root,2万km,20000,20000,5,5.0,51.0,31.6,28.0,27.9,46.2,51.0,2005年式 / S / 2万km / 千葉県,2005年式,S,2万km,千葉県,manen
subaru-r1,R1,root,root,"21,000km",21000,21000,5,18.4,38.5,23.8,20.5,20.5,21.3,38.5,"2005年式 / R / 21,000km / 福島県",2005年式,R,"21,000km",福島県,manen
subaru-r1,R1,root,root,"22,000km",22000,22000,1,23.4,23.4,23.4,23.4,23.4,23.4,23.4,"2005年式 / R / 22,000km / 東京都",2005年式,R,"22,000km",東京都,manen
subaru-r1,R1,root,root,"23,000km",23000,23000,1,37.9,37.9,37.9,37.9,37.9,37.9,37.9,"2007年式 / R / 23,000km / 山梨県",2007年式,R,"23,000km",山梨県,manen
subaru-r1,R1,root,root,"24,000km",24000,24000,2,23.9,43.0,33.5,33.5,23.9,43.0,43.0,"2007年式 / R / 24,000km / 鹿児島県",2007年式,R,"24,000km",鹿児島県,manen
subaru-r1,R1,root,root,"25,000km",25000,25000,4,24.6,48.0,34.2,32.1,24.6,39.7,48.0,"2008年式 / R / 25,000km / 鹿児島県",2008年式,R,"25,000km",鹿児島県,manen
subaru-r1,R1,root,root,"26,000km",26000,26000,6,20.2,71.0,43.6,38.6,31.5,61.8,71.0,"2006年式 / S / 26,000km / 長崎県",2006年式,S,"26,000km",長崎県,manen
subaru-r1,R1,root,root,"27,000km",27000,27000,3,23.7,48.0,35.7,35.5,23.7,48.0,48.0,"2008年式 / R プレミアム ブラック リミテッド / 27,000km / 佐賀県",2008年式,R プレミアム ブラック リミテッド,"27,000km",佐賀県,manen
subaru-r1,R1,root,root,"28,000km",28000,28000,6,18.6,60.6,29.7,24.5,20.5,29.5,60.6,"2009年式 / R プレミアム ブラック リミテッド / 28,000km / 長崎県",2009年式,R プレミアム ブラック リミテッド,"28,000km",長崎県,manen
subaru-r1,R1,root,root,"29,000km",29000,29000,3,15.9,42.0,32.5,39.5,15.9,42.0,42.0,"2009年式 / R レザー＆アルカンターラセレクション / 29,000km / 愛知県",2009年式,R レザー＆アルカンターラセレクション,"29,000km",愛知県,manen
subaru-r1,R1,root,root,3万km,30000,30000,3,34.8,71.7,51.3,47.3,34.8,71.7,71.7,2007年式 / S / 3万km / 島根県,2007年式,S,3万km,島根県,manen
subaru-r1,R1,root,root,"31,000km",31000,31000,9,10.5,55.0,30.3,30.9,18.7,43.5,55.0,"2007年式 / S / 31,000km / 岩手県",2007年式,S,"31,000km",岩手県,manen
subaru-r1,R1,root,root,"32,000km",32000,32000,6,12.6,53.3,33.0,28.9,21.0,53.3,53.3,"2009年式 / R プレミアム ブラック リミテッド 4WD / 32,000km / 島根県",2009年式,R プレミアム ブラック リミテッド 4WD,"32,000km",島根県,manen
subaru-r1,R1,root,root,"33,000km",33000,33000,10,18.9,56.4,28.2,24.8,23.0,27.2,56.4,"2005年式 / S / 33,000km / 埼玉県",2005年式,S,"33,000km",埼玉県,manen
subaru-r1,R1,root,root,"34,000km",34000,34000,9,18.9,56.0,35.6,38.8,20.1,47.6,56.0,"2007年式 / S / 34,000km / 栃木県",2007年式,S,"34,000km",栃木県,manen
subaru-r1,R1,root,root,"35,000km",35000,35000,9,10.5,58.5,38.9,37.5,32.0,51.0,58.5,"2009年式 / S プレミアム ブラック リミテッド / 35,000km / 宮城県",2009年式,S プレミアム ブラック リミテッド,"35,000km",宮城県,manen
subaru-r1,R1,root,root,"36,000km",36000,36000,10,17.4,59.0,31.8,32.5,19.2,35.7,59.0,"2006年式 / S / 36,000km / 山口県",2006年式,S,"36,000km",山口県,manen
subaru-r1,R1,root,root,"37,000km",37000,37000,6,13.5,30.0,20.4,18.4,17.5,24.4,30.0,"2003年式 / R 4WD / 37,000km / 富山県",2003年式,R 4WD,"37,000km",富山県,manen
subaru-r1,R1,root,root,"38,000km",38000,38000,10,5.0,61.0,34.6,36.5,24.9,44.7,61.0,"2008年式 / S / 38,000km / 高知県",2008年式,S,"38,000km",高知県,manen
subaru-r1,R1,root,root,"39,000km",39000,39000,7,17.1,68.5,31.6,26.2,21.5,29.8,68.5,"2010年式 / S プレミアム ブラック リミテッド / 39,000km / 徳島県",2010年式,S プレミアム ブラック リミテッド,"39,000km",徳島県,manen
subaru-r1,R1,root,root,4万km,40000,40000,11,16.5,56.0,31.5,25.2,21.0,40.5,56.0,2010年式 / S 4WD / 4万km / 鹿児島県,2010年式,S 4WD,4万km,鹿児島県,manen
subaru-r1,R1,root,root,"41,000km",41000,41000,7,26.5,45.5,31.4,28.2,27.3,30.1,45.5,"2007年式 / R レザー＆アルカンターラセレクション / 41,000km / 栃木県",2007年式,R レザー＆アルカンターラセレクション,"41,000km",栃木県,manen
