model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-r2,R2,,2016,2016年式,root,root,1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,"2016年式 / i / 36,000km / 沖縄県",2016年式,i,"36,000km",沖縄県,manen
subaru-r2,R2,,2011,2011年式,root,root,2,7.2,9.6,8.4,8.4,7.2,9.6,9.6,"2011年式 / フェイバリットエディション / 57,000km / 徳島県",2011年式,フェイバリットエディション,"57,000km",徳島県,manen
subaru-r2,R2,,2010,2010年式,root,root,27,5.0,28.0,14.4,16.1,6.0,20.0,28.0,"2010年式 / タイプS / 97,000km / 沖縄県",2010年式,タイプS,"97,000km",沖縄県,manen
subaru-r2,R2,,2009,2009年式,root,root,68,4.3,41.1,13.9,12.6,6.9,19.0,41.1,"2009年式 / タイプS 4WD / 84,000km / 鹿児島県",2009年式,タイプS 4WD,"84,000km",鹿児島県,manen
subaru-r2,R2,,2008,2008年式,root,root,124,3.8,34.5,14.5,13.0,8.1,18.7,34.5,"2008年式 / タイプS 4WD / 85,000km / 長崎県",2008年式,タイプS 4WD,"85,000km",長崎県,manen
subaru-r2,R2,,2007,2007年式,root,root,127,4.2,41.2,14.7,13.5,7.5,20.1,41.2,"2007年式 / タイプS 4WD / 53,000km / 千葉県",2007年式,タイプS 4WD,"53,000km",千葉県,manen
subaru-r2,R2,,2006,2006年式,root,root,124,4.2,40.6,15.9,14.1,7.9,20.7,40.6,"2006年式 / タイプS 4WD / 49,000km / 沖縄県",2006年式,タイプS 4WD,"49,000km",沖縄県,manen
subaru-r2,R2,,2005,2005年式,root,root,163,5.0,40.5,14.5,12.6,6.9,19.9,40.5,"2005年式 / タイプS S 4WD / 54,000km / 石川県",2005年式,タイプS S 4WD,"54,000km",石川県,manen
subaru-r2,R2,,2004,2004年式,root,root,191,4.1,40.7,13.1,10.5,6.0,18.1,40.7,"2004年式 / S 4WD / 17,000km / 鳥取県",2004年式,S 4WD,"17,000km",鳥取県,manen
subaru-r2,R2,,2003,2003年式,root,root,147,4.2,34.5,10.7,8.5,6.1,13.8,34.5,"2003年式 / S 4WD / 33,000km / 福島県",2003年式,S 4WD,"33,000km",福島県,manen
subaru-r2,R2,,2002,2002年式,root,root,11,4.7,21.9,9.2,8.7,6.7,9.9,21.9,"2002年式 / S / 99,000km / 福井県",2002年式,S,"99,000km",福井県,manen
subaru-r2,R2,,1987,1987年式,root,root,15,3.6,41.0,17.9,17.3,9.9,23.8,41.0,"1987年式 / タイプS / 59,000km / 福井県",1987年式,タイプS,"59,000km",福井県,manen
