model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2009,2009年式,root,root,3,9.6,22.6,14.7,11.9,9.6,22.6,22.6,"2009年式 / ベースグレード / 63,000km / 大阪府",2009年式,ベースグレード,"63,000km",大阪府,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2008,2008年式,root,root,4,5.0,32.0,19.1,19.6,9.8,29.5,32.0,"2008年式 / ベースグレード / 29,000km / 千葉県",2008年式,ベースグレード,"29,000km",千葉県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2007,2007年式,root,root,5,5.0,27.8,12.1,10.7,5.0,11.8,27.8,"2007年式 / スーパーチャージャー タフパッケージリミテッド 4WD / 68,000km / 愛知県",2007年式,スーパーチャージャー タフパッケージリミテッド 4WD,"68,000km",愛知県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2006,2006年式,root,root,8,5.0,27.8,10.7,6.5,5.0,13.8,27.8,"2006年式 / スーパーチャージャー 4WD / 123,000km / 滋賀県",2006年式,スーパーチャージャー 4WD,"123,000km",滋賀県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2005,2005年式,root,root,4,5.0,14.4,7.5,5.2,5.0,5.4,14.4,2005年式 / ベースグレード 4WD / 11万km / 千葉県,2005年式,ベースグレード 4WD,11万km,千葉県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2004,2004年式,root,root,5,5.0,28.6,9.7,5.0,5.0,5.0,28.6,"2004年式 / スーパーチャージャー / 24,000km / 岐阜県",2004年式,スーパーチャージャー,"24,000km",岐阜県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2003,2003年式,root,root,1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,"2003年式 / スーパーチャージャー 4WD / 122,000km / 岐阜県",2003年式,スーパーチャージャー 4WD,"122,000km",岐阜県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2002,2002年式,root,root,1,8.3,8.3,8.3,8.3,8.3,8.3,8.3,"2002年式 / クラシック / 125,000km / 愛知県",2002年式,クラシック,"125,000km",愛知県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2001,2001年式,root,root,2,5.0,9.2,7.1,7.1,5.0,9.2,9.2,2001年式 / クラシック スーパーチャージャー / 10万km / 岐阜県,2001年式,クラシック スーパーチャージャー,10万km,岐阜県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,2000,2000年式,root,root,4,5.0,33.9,15.9,12.3,11.5,13.1,33.9,"2000年式 / クラシック スーパーチャージャー 4WD / 89,000km / 神奈川県",2000年式,クラシック スーパーチャージャー 4WD,"89,000km",神奈川県,manen
subaru-sambar-dias-wagon,サンバーディアスワゴン,,1999,1999年式,root,root,1,8.3,8.3,8.3,8.3,8.3,8.3,8.3,"1999年式 / クラシック 4WD / 129,000km / 宮城県",1999年式,クラシック 4WD,"129,000km",宮城県,manen
