model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-sambar-dias,サンバーディアス,,2015,2015年式,root,root,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,"2015年式 / IIサンサンルーフスーパーチャージャー / 95,000km / 京都府",2015年式,IIサンサンルーフスーパーチャージャー,"95,000km",京都府,manen
subaru-sambar-dias,サンバーディアス,,2011,2011年式,root,root,2,21.7,41.7,31.7,31.7,21.7,41.7,41.7,"2011年式 / スーパーチャージャー 4WD / 59,000km / 埼玉県",2011年式,スーパーチャージャー 4WD,"59,000km",埼玉県,manen
subaru-sambar-dias,サンバーディアス,,2009,2009年式,root,root,4,9.0,30.0,19.7,19.9,12.6,27.1,30.0,"2009年式 / スーパーチャージャー 4WD / 135,000km / 新潟県",2009年式,スーパーチャージャー 4WD,"135,000km",新潟県,manen
subaru-sambar-dias,サンバーディアス,,2008,2008年式,root,root,6,5.0,14.4,7.2,5.0,5.0,8.7,14.4,2008年式 / ベースグレード 4WD / 11万km / 愛知県,2008年式,ベースグレード 4WD,11万km,愛知県,manen
subaru-sambar-dias,サンバーディアス,,2007,2007年式,root,root,5,5.0,33.3,10.7,5.0,5.0,5.1,33.3,"2007年式 / スーパーチャージャー 4WD / 33,000km / 兵庫県",2007年式,スーパーチャージャー 4WD,"33,000km",兵庫県,manen
subaru-sambar-dias,サンバーディアス,,2006,2006年式,root,root,6,5.0,11.8,7.9,7.8,5.0,10.0,11.8,"2006年式 / スーパーチャージャー 4WD / 161,000km / 大阪府",2006年式,スーパーチャージャー 4WD,"161,000km",大阪府,manen
subaru-sambar-dias,サンバーディアス,,2005,2005年式,root,root,10,5.0,17.1,7.3,5.0,5.0,8.7,17.1,"2005年式 / スーパーチャージャー 4WD / 76,000km / 愛知県",2005年式,スーパーチャージャー 4WD,"76,000km",愛知県,manen
subaru-sambar-dias,サンバーディアス,,2004,2004年式,root,root,10,5.0,23.9,10.8,5.7,5.0,19.0,23.9,"2004年式 / スーパーチャージャー / 69,000km / 兵庫県",2004年式,スーパーチャージャー,"69,000km",兵庫県,manen
subaru-sambar-dias,サンバーディアス,,2003,2003年式,root,root,10,5.0,26.6,8.7,6.5,5.0,9.8,26.6,2003年式 / スーパーチャージャー 4WD / 12万km / 愛知県,2003年式,スーパーチャージャー 4WD,12万km,愛知県,manen
subaru-sambar-dias,サンバーディアス,,2002,2002年式,root,root,12,5.0,32.0,12.7,9.1,5.0,18.4,32.0,"2002年式 / スーパーチャージャー 4WD / 43,000km / 岐阜県",2002年式,スーパーチャージャー 4WD,"43,000km",岐阜県,manen
