model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-sambar-truck,サンバートラック,root,root,0万km,0,0,5,15.6,20.1,18.1,18.2,16.5,20.0,20.1,2004年式 / TB 4WD / 0万km / 秋田県,2004年式,TB 4WD,0万km,秋田県,manen
subaru-sambar-truck,サンバートラック,root,root,"2,000km",2000,2000,1,59.0,59.0,59.0,59.0,59.0,59.0,59.0,"2011年式 / TB 4WD / 2,000km / 長野県",2011年式,TB 4WD,"2,000km",長野県,manen
subaru-sambar-truck,サンバートラック,root,root,"3,000km",3000,3000,1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,"2004年式 / TB / 3,000km / 東京都",2004年式,TB,"3,000km",東京都,manen
subaru-sambar-truck,サンバートラック,root,root,"4,000km",4000,4000,2,30.9,55.7,43.3,43.3,30.9,55.7,55.7,"2010年式 / TB 4WD / 4,000km / 福岡県",2010年式,TB 4WD,"4,000km",福岡県,manen
subaru-sambar-truck,サンバートラック,root,root,"6,000km",6000,6000,6,17.4,75.0,44.8,40.5,37.7,57.5,75.0,"2015年式 / ダンプ 4WD / 6,000km / 岡山県",2015年式,ダンプ 4WD,"6,000km",岡山県,manen
subaru-sambar-truck,サンバートラック,root,root,"7,000km",7000,7000,5,20.2,64.5,46.3,45.0,45.0,57.0,64.5,"2021年式 / グランドキャブ スマートアシスト ハイルーフ 4WD / 7,000km / 滋賀県",2021年式,グランドキャブ スマートアシスト ハイルーフ 4WD,"7,000km",滋賀県,manen
subaru-sambar-truck,サンバートラック,root,root,"8,000km",8000,8000,3,38.4,65.7,49.3,43.8,38.4,65.7,65.7,"2017年式 / TC 4WD / 8,000km / 茨城県",2017年式,TC 4WD,"8,000km",茨城県,manen
subaru-sambar-truck,サンバートラック,root,root,"9,000km",9000,9000,4,37.9,70.0,52.1,50.2,39.5,61.0,70.0,"2021年式 / TC スマートアシスト / 9,000km / 京都府",2021年式,TC スマートアシスト,"9,000km",京都府,manen
subaru-sambar-truck,サンバートラック,root,root,1万km,10000,10000,8,26.7,72.5,42.5,40.7,37.0,41.5,72.5,2018年式 / TC スマートアシスト 4WD / 1万km / 熊本県,2018年式,TC スマートアシスト 4WD,1万km,熊本県,manen
subaru-sambar-truck,サンバートラック,root,root,"11,000km",11000,11000,1,69.5,69.5,69.5,69.5,69.5,69.5,69.5,"2019年式 / TB スマートアシスト 4WD / 11,000km / 長野県",2019年式,TB スマートアシスト 4WD,"11,000km",長野県,manen
subaru-sambar-truck,サンバートラック,root,root,"12,000km",12000,12000,1,56.5,56.5,56.5,56.5,56.5,56.5,56.5,"2015年式 / TB 4WD / 12,000km / 香川県",2015年式,TB 4WD,"12,000km",香川県,manen
subaru-sambar-truck,サンバートラック,root,root,"13,000km",13000,13000,4,18.3,41.5,30.0,30.1,19.9,40.3,41.5,"2009年式 / TB 4WD / 13,000km / 石川県",2009年式,TB 4WD,"13,000km",石川県,manen
subaru-sambar-truck,サンバートラック,root,root,"14,000km",14000,14000,2,51.8,70.5,61.1,61.1,51.8,70.5,70.5,"2023年式 / TA 4WD / 14,000km / 東京都",2023年式,TA 4WD,"14,000km",東京都,manen
subaru-sambar-truck,サンバートラック,root,root,"15,000km",15000,15000,3,19.2,53.1,36.6,37.5,19.2,53.1,53.1,"2014年式 / TB タフパッケージ 4WD / 15,000km / 茨城県",2014年式,TB タフパッケージ 4WD,"15,000km",茨城県,manen
subaru-sambar-truck,サンバートラック,root,root,"16,000km",16000,16000,7,10.8,63.8,36.7,32.8,25.8,46.1,63.8,"2021年式 / TB スマートアシスト 4WD / 16,000km / 佐賀県",2021年式,TB スマートアシスト 4WD,"16,000km",佐賀県,manen
subaru-sambar-truck,サンバートラック,root,root,"17,000km",17000,17000,3,5.0,7.8,5.9,5.0,5.0,7.8,7.8,"2014年式 / TB 4WD / 17,000km / 茨城県",2014年式,TB 4WD,"17,000km",茨城県,manen
subaru-sambar-truck,サンバートラック,root,root,"18,000km",18000,18000,9,14.6,60.5,35.4,30.8,26.8,47.4,60.5,"2010年式 / TB 4WD / 18,000km / 富山県",2010年式,TB 4WD,"18,000km",富山県,manen
subaru-sambar-truck,サンバートラック,root,root,"19,000km",19000,19000,10,24.3,46.7,33.2,32.5,30.1,35.8,46.7,"2016年式 / TB 4WD / 19,000km / 沖縄県",2016年式,TB 4WD,"19,000km",沖縄県,manen
subaru-sambar-truck,サンバートラック,root,root,2万km,20000,20000,4,19.5,47.5,32.7,31.9,28.2,35.5,47.5,2016年式 / TB / 2万km / 栃木県,2016年式,TB,2万km,栃木県,manen
subaru-sambar-truck,サンバートラック,root,root,"21,000km",21000,21000,7,15.6,53.3,33.2,27.7,23.7,47.3,53.3,"2015年式 / TC / 21,000km / 和歌山県",2015年式,TC,"21,000km",和歌山県,manen
subaru-sambar-truck,サンバートラック,root,root,"22,000km",22000,22000,11,13.9,52.0,30.2,28.2,20.0,39.5,52.0,"2017年式 / TB 4WD / 22,000km / 広島県",2017年式,TB 4WD,"22,000km",広島県,manen
subaru-sambar-truck,サンバートラック,root,root,"23,000km",23000,23000,9,17.1,55.8,32.4,29.6,24.4,37.3,55.8,"2018年式 / TB 4WD / 23,000km / 秋田県",2018年式,TB 4WD,"23,000km",秋田県,manen
subaru-sambar-truck,サンバートラック,root,root,"24,000km",24000,24000,7,22.5,75.1,41.5,39.4,34.7,40.1,75.1,"2018年式 / グランドキャブ スマートアシスト ハイルーフ / 24,000km / 奈良県",2018年式,グランドキャブ スマートアシスト ハイルーフ,"24,000km",奈良県,manen
subaru-sambar-truck,サンバートラック,root,root,"25,000km",25000,25000,5,5.0,36.0,24.0,27.5,18.8,32.5,36.0,"1998年式 / TB 4WD / 25,000km / 山形県",1998年式,TB 4WD,"25,000km",山形県,manen
