model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-sambar-truck,サンバートラック,,2023,2023年式,root,root,1,70.5,70.5,70.5,70.5,70.5,70.5,70.5,"2023年式 / TA 4WD / 14,000km / 東京都",2023年式,TA 4WD,"14,000km",東京都,manen
subaru-sambar-truck,サンバートラック,,2022,2022年式,root,root,2,48.7,48.7,48.7,48.7,48.7,48.7,48.7,"2022年式 / TB 4WD / 26,000km / 石川県",2022年式,TB 4WD,"26,000km",石川県,manen
subaru-sambar-truck,サンバートラック,,2021,2021年式,root,root,14,32.0,75.5,57.9,63.1,48.0,69.0,75.5,2021年式 / TC スマートアシスト 4WD / 4万km / 福井県,2021年式,TC スマートアシスト 4WD,4万km,福井県,manen
subaru-sambar-truck,サンバートラック,,2020,2020年式,root,root,12,17.4,65.0,43.6,44.3,35.2,54.5,65.0,"2020年式 / TC スマートアシスト / 37,000km / 茨城県",2020年式,TC スマートアシスト,"37,000km",茨城県,manen
subaru-sambar-truck,サンバートラック,,2019,2019年式,root,root,14,16.0,72.5,51.0,53.9,39.5,64.5,72.5,"2019年式 / TC スマートアシスト 4WD / 58,000km / 茨城県",2019年式,TC スマートアシスト 4WD,"58,000km",茨城県,manen
subaru-sambar-truck,サンバートラック,,2018,2018年式,root,root,22,21.5,75.1,45.8,47.2,31.6,55.8,75.1,"2018年式 / グランドキャブ スマートアシスト ハイルーフ / 24,000km / 奈良県",2018年式,グランドキャブ スマートアシスト ハイルーフ,"24,000km",奈良県,manen
subaru-sambar-truck,サンバートラック,,2017,2017年式,root,root,26,14.1,72.0,37.2,36.5,30.1,45.0,72.0,"2017年式 / グランドキャブ ハイルーフ 4WD / 86,000km / 兵庫県",2017年式,グランドキャブ ハイルーフ 4WD,"86,000km",兵庫県,manen
subaru-sambar-truck,サンバートラック,,2016,2016年式,root,root,28,18.0,70.5,37.2,33.9,28.5,46.7,70.5,2016年式 / グランドキャブ 4WD / 5万km / 鹿児島県,2016年式,グランドキャブ 4WD,5万km,鹿児島県,manen
subaru-sambar-truck,サンバートラック,,2015,2015年式,root,root,36,13.7,75.0,36.4,34.4,25.4,46.5,75.0,"2015年式 / ダンプ 4WD / 6,000km / 岡山県",2015年式,ダンプ 4WD,"6,000km",岡山県,manen
subaru-sambar-truck,サンバートラック,,2014,2014年式,root,root,31,7.8,63.0,36.1,36.3,23.5,46.4,63.0,"2014年式 / グランドキャブ 4WD / 32,000km / 富山県",2014年式,グランドキャブ 4WD,"32,000km",富山県,manen
