model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-stella,ステラ,root,root,0万km,0,0,1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,2015年式 / カスタムR スマートアシスト / 0万km / 青森県,2015年式,カスタムR スマートアシスト,0万km,青森県,manen
subaru-stella,ステラ,root,root,"5,000km",5000,5000,3,14.3,26.8,21.2,22.5,14.3,26.8,26.8,"2011年式 / L / 5,000km / 滋賀県",2011年式,L,"5,000km",滋賀県,manen
subaru-stella,ステラ,root,root,"6,000km",6000,6000,1,86.0,86.0,86.0,86.0,86.0,86.0,86.0,"2022年式 / G スマートアシスト / 6,000km / 栃木県",2022年式,G スマートアシスト,"6,000km",栃木県,manen
subaru-stella,ステラ,root,root,"7,000km",7000,7000,1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,"2014年式 / カスタムRS スマートアシスト / 7,000km / 滋賀県",2014年式,カスタムRS スマートアシスト,"7,000km",滋賀県,manen
subaru-stella,ステラ,root,root,"8,000km",8000,8000,3,46.0,63.0,55.5,57.6,46.0,63.0,63.0,"2022年式 / L 4WD / 8,000km / 新潟県",2022年式,L 4WD,"8,000km",新潟県,manen
subaru-stella,ステラ,root,root,"9,000km",9000,9000,4,25.0,60.1,41.6,40.6,27.7,53.5,60.1,"2020年式 / G スマートアシスト / 9,000km / 鳥取県",2020年式,G スマートアシスト,"9,000km",鳥取県,manen
subaru-stella,ステラ,root,root,1万km,10000,10000,2,20.5,55.8,38.1,38.1,20.5,55.8,55.8,2019年式 / G スマートアシスト / 1万km / 岡山県,2019年式,G スマートアシスト,1万km,岡山県,manen
subaru-stella,ステラ,root,root,"11,000km",11000,11000,3,48.0,73.9,62.5,65.5,48.0,73.9,73.9,"2019年式 / L スマートアシスト 4WD / 11,000km / 宮城県",2019年式,L スマートアシスト 4WD,"11,000km",宮城県,manen
subaru-stella,ステラ,root,root,"12,000km",12000,12000,4,17.0,81.0,55.0,61.0,53.5,68.5,81.0,"2019年式 / L スマートアシスト / 12,000km / 茨城県",2019年式,L スマートアシスト,"12,000km",茨城県,manen
subaru-stella,ステラ,root,root,"13,000km",13000,13000,2,50.0,72.5,61.2,61.2,50.0,72.5,72.5,"2016年式 / カスタムR スマートアシスト / 13,000km / 群馬県",2016年式,カスタムR スマートアシスト,"13,000km",群馬県,manen
subaru-stella,ステラ,root,root,"14,000km",14000,14000,4,26.5,79.0,45.0,37.2,35.5,39.0,79.0,"2018年式 / G スマートアシスト 4WD / 14,000km / 宮城県",2018年式,G スマートアシスト 4WD,"14,000km",宮城県,manen
