model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-trezia,トレジア,root,root,0万km,0,0,13,9.6,38.5,19.4,13.8,9.6,25.5,38.5,2014年式 / 1.5 i-L / 0万km / 徳島県,2014年式,1.5 i-L,0万km,徳島県,manen
subaru-trezia,トレジア,root,root,"3,000km",3000,3000,1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,"2014年式 / 1.3 i / 3,000km / 石川県",2014年式,1.3 i,"3,000km",石川県,manen
subaru-trezia,トレジア,root,root,"4,000km",4000,4000,1,43.5,43.5,43.5,43.5,43.5,43.5,43.5,"2010年式 / 1.5 i-S / 4,000km / 大阪府",2010年式,1.5 i-S,"4,000km",大阪府,manen
subaru-trezia,トレジア,root,root,"5,000km",5000,5000,1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,"2011年式 / 1.3 i-L / 5,000km / 和歌山県",2011年式,1.3 i-L,"5,000km",和歌山県,manen
subaru-trezia,トレジア,root,root,"6,000km",6000,6000,1,35.7,35.7,35.7,35.7,35.7,35.7,35.7,"2011年式 / 1.5 i-S / 6,000km / 奈良県",2011年式,1.5 i-S,"6,000km",奈良県,manen
subaru-trezia,トレジア,root,root,1万km,10000,10000,3,43.9,55.0,50.0,51.0,43.9,55.0,55.0,2014年式 / 1.3 i-L / 1万km / 東京都,2014年式,1.3 i-L,1万km,東京都,manen
subaru-trezia,トレジア,root,root,"11,000km",11000,11000,1,32.4,32.4,32.4,32.4,32.4,32.4,32.4,"2012年式 / 1.5 i タイプユーロ / 11,000km / 栃木県",2012年式,1.5 i タイプユーロ,"11,000km",栃木県,manen
subaru-trezia,トレジア,root,root,"12,000km",12000,12000,4,23.4,39.4,30.9,30.3,30.3,30.3,39.4,"2012年式 / 1.5 i-L / 12,000km / 香川県",2012年式,1.5 i-L,"12,000km",香川県,manen
subaru-trezia,トレジア,root,root,"13,000km",13000,13000,4,35.5,45.1,41.1,41.9,38.7,45.1,45.1,"2010年式 / 1.5 i-L 4WD / 13,000km / 千葉県",2010年式,1.5 i-L 4WD,"13,000km",千葉県,manen
subaru-trezia,トレジア,root,root,"14,000km",14000,14000,1,49.5,49.5,49.5,49.5,49.5,49.5,49.5,"2014年式 / 1.5 i-S / 14,000km / 千葉県",2014年式,1.5 i-S,"14,000km",千葉県,manen
subaru-trezia,トレジア,root,root,"15,000km",15000,15000,3,14.0,23.8,19.9,22.0,14.0,23.8,23.8,"2010年式 / 1.3 i-S / 15,000km / 和歌山県",2010年式,1.3 i-S,"15,000km",和歌山県,manen
subaru-trezia,トレジア,root,root,"16,000km",16000,16000,3,23.5,35.7,31.4,34.9,23.5,35.7,35.7,"2014年式 / 1.5 i-L 4WD / 16,000km / 徳島県",2014年式,1.5 i-L 4WD,"16,000km",徳島県,manen
subaru-trezia,トレジア,root,root,"17,000km",17000,17000,5,44.0,51.2,48.7,48.5,48.5,51.2,51.2,"2014年式 / 1.3 i / 17,000km / 東京都",2014年式,1.3 i,"17,000km",東京都,manen
subaru-trezia,トレジア,root,root,"18,000km",18000,18000,8,19.6,51.6,32.4,30.1,29.8,36.6,51.6,"2016年式 / 1.3 i / 18,000km / 兵庫県",2016年式,1.3 i,"18,000km",兵庫県,manen
subaru-trezia,トレジア,root,root,"19,000km",19000,19000,4,15.6,37.5,30.1,33.8,31.2,36.3,37.5,"2011年式 / 1.5 i-S / 19,000km / 兵庫県",2011年式,1.5 i-S,"19,000km",兵庫県,manen
subaru-trezia,トレジア,root,root,2万km,20000,20000,3,16.2,40.2,30.7,35.7,16.2,40.2,40.2,2014年式 / 1.5 i 4WD / 2万km / 熊本県,2014年式,1.5 i 4WD,2万km,熊本県,manen
subaru-trezia,トレジア,root,root,"21,000km",21000,21000,3,27.6,49.0,39.5,42.0,27.6,49.0,49.0,"2014年式 / 1.3 i-L / 21,000km / 徳島県",2014年式,1.3 i-L,"21,000km",徳島県,manen
subaru-trezia,トレジア,root,root,"22,000km",22000,22000,8,15.8,49.5,27.2,25.1,18.5,30.6,49.5,"2010年式 / 1.3 i-S / 22,000km / 高知県",2010年式,1.3 i-S,"22,000km",高知県,manen
