model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-xv,XV,root,root,"2,000km",2000,2000,1,214.5,214.5,214.5,214.5,214.5,214.5,214.5,"2022年式 / 2.0 アドバンス スタイルエディション 4WD / 2,000km / 福井県",2022年式,2.0 アドバンス スタイルエディション 4WD,"2,000km",福井県,manen
subaru-xv,XV,root,root,"4,000km",4000,4000,2,136.1,198.0,167.1,167.1,136.1,198.0,198.0,"2022年式 / 2.0e-L アイサイト スマートエディション 4WD / 4,000km / 群馬県",2022年式,2.0e-L アイサイト スマートエディション 4WD,"4,000km",群馬県,manen
subaru-xv,XV,root,root,"5,000km",5000,5000,2,160.7,204.0,182.3,182.3,160.7,204.0,204.0,"2022年式 / 2.0 アドバンス スタイルエディション 4WD / 5,000km / 秋田県",2022年式,2.0 アドバンス スタイルエディション 4WD,"5,000km",秋田県,manen
subaru-xv,XV,root,root,"6,000km",6000,6000,2,111.9,161.3,136.6,136.6,111.9,161.3,161.3,"2020年式 / 1.6i-L アイサイト 4WD / 6,000km / 香川県",2020年式,1.6i-L アイサイト 4WD,"6,000km",香川県,manen
subaru-xv,XV,root,root,"8,000km",8000,8000,3,138.0,200.5,178.8,198.0,138.0,200.5,200.5,"2022年式 / 1.6i アイサイト 4WD / 8,000km / 愛媛県",2022年式,1.6i アイサイト 4WD,"8,000km",愛媛県,manen
subaru-xv,XV,root,root,"9,000km",9000,9000,3,153.5,239.4,194.0,189.0,153.5,239.4,239.4,"2022年式 / 2.0 アドバンス 4WD / 9,000km / 宮崎県",2022年式,2.0 アドバンス 4WD,"9,000km",宮崎県,manen
subaru-xv,XV,root,root,1万km,10000,10000,5,150.7,220.5,190.6,209.0,159.4,213.5,220.5,2022年式 / 2.0 アドバンス スタイルエディション 4WD / 1万km / 福島県,2022年式,2.0 アドバンス スタイルエディション 4WD,1万km,福島県,manen
subaru-xv,XV,root,root,"11,000km",11000,11000,5,130.1,190.5,161.5,171.0,143.5,172.5,190.5,"2018年式 / 2.0 アドバンス 4WD / 11,000km / 広島県",2018年式,2.0 アドバンス 4WD,"11,000km",広島県,manen
subaru-xv,XV,root,root,"12,000km",12000,12000,3,163.5,220.5,194.5,199.5,163.5,220.5,220.5,"2021年式 / 1.6i-L アイサイト 4WD / 12,000km / 神奈川県",2021年式,1.6i-L アイサイト 4WD,"12,000km",神奈川県,manen
subaru-xv,XV,root,root,"13,000km",13000,13000,3,186.0,221.0,202.3,200.0,186.0,221.0,221.0,"2022年式 / 2.0 アドバンス スタイルエディション 4WD / 13,000km / 大分県",2022年式,2.0 アドバンス スタイルエディション 4WD,"13,000km",大分県,manen
