model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"1,000km",1000,1000,1,92.5,92.5,92.5,92.5,92.5,92.5,92.5,"2014年式 / X / 1,000km / 神奈川県",2014年式,X,"1,000km",神奈川県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"3,000km",3000,3000,1,67.5,67.5,67.5,67.5,67.5,67.5,67.5,"2015年式 / X / 3,000km / 岐阜県",2015年式,X,"3,000km",岐阜県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"6,000km",6000,6000,4,53.5,77.2,63.8,62.1,58.8,65.5,77.2,"2015年式 / X / 6,000km / 青森県",2015年式,X,"6,000km",青森県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"7,000km",7000,7000,1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,"2013年式 / X / 7,000km / 千葉県",2013年式,X,"7,000km",千葉県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"9,000km",9000,9000,1,71.0,71.0,71.0,71.0,71.0,71.0,71.0,"2013年式 / X / 9,000km / 東京都",2013年式,X,"9,000km",東京都,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,1万km,10000,10000,3,19.2,64.8,49.6,64.8,19.2,64.8,64.8,2014年式 / G / 1万km / 高知県,2014年式,G,1万km,高知県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"11,000km",11000,11000,3,46.0,80.5,66.2,72.1,46.0,80.5,80.5,"2014年式 / G / 11,000km / 青森県",2014年式,G,"11,000km",青森県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"12,000km",12000,12000,2,63.0,73.5,68.2,68.2,63.0,73.5,73.5,"2013年式 / G / 12,000km / 長野県",2013年式,G,"12,000km",長野県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"13,000km",13000,13000,1,43.0,43.0,43.0,43.0,43.0,43.0,43.0,"2015年式 / G / 13,000km / 東京都",2015年式,G,"13,000km",東京都,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"14,000km",14000,14000,2,31.8,69.9,50.9,50.9,31.8,69.9,69.9,"2014年式 / X / 14,000km / 栃木県",2014年式,X,"14,000km",栃木県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"15,000km",15000,15000,4,37.2,71.9,45.9,37.2,37.2,37.2,71.9,"2014年式 / G / 15,000km / 愛知県",2014年式,G,"15,000km",愛知県,manen
suzuki-alto-lapin-chocolat,アルトラパンショコラ,root,root,"16,000km",16000,16000,3,58.0,80.5,71.5,76.1,58.0,80.5,80.5,"2015年式 / G / 16,000km / 神奈川県",2015年式,G,"16,000km",神奈川県,manen
