model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-alto-works,アルトワークス,root,root,0万km,0,0,18,4.2,36.0,17.9,16.1,10.4,24.5,36.0,1997年式 / RS/Z / 0万km / 広島県,1997年式,RS/Z,0万km,広島県,manen
suzuki-alto-works,アルトワークス,root,root,"12,000km",12000,12000,1,22.5,22.5,22.5,22.5,22.5,22.5,22.5,"1997年式 / スズキスポーツリミテッド / 12,000km / 宮崎県",1997年式,スズキスポーツリミテッド,"12,000km",宮崎県,manen
suzuki-alto-works,アルトワークス,root,root,"15,000km",15000,15000,1,31.5,31.5,31.5,31.5,31.5,31.5,31.5,"1999年式 / RS/Z / 15,000km / 高知県",1999年式,RS/Z,"15,000km",高知県,manen
suzuki-alto-works,アルトワークス,root,root,"23,000km",23000,23000,2,24.5,55.5,40.0,40.0,24.5,55.5,55.5,"1990年式 / RS/X / 23,000km / 秋田県",1990年式,RS/X,"23,000km",秋田県,manen
suzuki-alto-works,アルトワークス,root,root,"25,000km",25000,25000,1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,"1994年式 / ターボ ie/s / 25,000km / 島根県",1994年式,ターボ ie/s,"25,000km",島根県,manen
suzuki-alto-works,アルトワークス,root,root,"26,000km",26000,26000,4,25.2,39.9,34.5,36.5,35.8,37.2,39.9,"1999年式 / RS/Z / 26,000km / 熊本県",1999年式,RS/Z,"26,000km",熊本県,manen
suzuki-alto-works,アルトワークス,root,root,"27,000km",27000,27000,2,24.0,25.2,24.6,24.6,24.0,25.2,25.2,"1999年式 / ie / 27,000km / 福井県",1999年式,ie,"27,000km",福井県,manen
suzuki-alto-works,アルトワークス,root,root,"29,000km",29000,29000,3,12.3,83.3,41.3,28.3,12.3,83.3,83.3,"2018年式 / ベースグレード 4WD / 29,000km / 千葉県",2018年式,ベースグレード 4WD,"29,000km",千葉県,manen
suzuki-alto-works,アルトワークス,root,root,"32,000km",32000,32000,1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,"1997年式 / スズキスポーツリミテッド / 32,000km / 島根県",1997年式,スズキスポーツリミテッド,"32,000km",島根県,manen
suzuki-alto-works,アルトワークス,root,root,"35,000km",35000,35000,1,16.4,16.4,16.4,16.4,16.4,16.4,16.4,"1996年式 / ターボ ie/s / 35,000km / 秋田県",1996年式,ターボ ie/s,"35,000km",秋田県,manen
