model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-erio-sedan,エリオセダン,root,root,"15,000km",15000,15000,1,21.8,21.8,21.8,21.8,21.8,21.8,21.8,"2005年式 / 1.8 / 15,000km / 東京都",2005年式,1.8,"15,000km",東京都,manen
suzuki-erio-sedan,エリオセダン,root,root,"19,000km",19000,19000,1,13.3,13.3,13.3,13.3,13.3,13.3,13.3,"2004年式 / 1.8 4WD / 19,000km / 岐阜県",2004年式,1.8 4WD,"19,000km",岐阜県,manen
suzuki-erio-sedan,エリオセダン,root,root,4万km,40000,40000,1,12.2,12.2,12.2,12.2,12.2,12.2,12.2,2002年式 / 1.5 X / 4万km / 宮城県,2002年式,1.5 X,4万km,宮城県,manen
suzuki-erio-sedan,エリオセダン,root,root,6万km,60000,60000,1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,2002年式 / 1.8 / 6万km / 福岡県,2002年式,1.8,6万km,福岡県,manen
suzuki-erio-sedan,エリオセダン,root,root,"66,000km",66000,66000,1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,"2004年式 / 1.8 4WD / 66,000km / 鳥取県",2004年式,1.8 4WD,"66,000km",鳥取県,manen
suzuki-erio-sedan,エリオセダン,root,root,"67,000km",67000,67000,2,3.9,4.3,4.1,4.1,3.9,4.3,4.3,"2002年式 / 1.8 / 67,000km / 宮城県",2002年式,1.8,"67,000km",宮城県,manen
suzuki-erio-sedan,エリオセダン,root,root,"86,000km",86000,86000,1,7.6,7.6,7.6,7.6,7.6,7.6,7.6,"2004年式 / 1.8 / 86,000km / 群馬県",2004年式,1.8,"86,000km",群馬県,manen
suzuki-erio-sedan,エリオセダン,root,root,"99,000km",99000,99000,1,7.5,7.5,7.5,7.5,7.5,7.5,7.5,"2004年式 / 1.8 / 99,000km / 千葉県",2004年式,1.8,"99,000km",千葉県,manen
suzuki-erio-sedan,エリオセダン,root,root,"107,000km",107000,107000,1,6.6,6.6,6.6,6.6,6.6,6.6,6.6,"2005年式 / 1.8 / 107,000km / 岡山県",2005年式,1.8,"107,000km",岡山県,manen
suzuki-erio-sedan,エリオセダン,root,root,"113,000km",113000,113000,1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,"2006年式 / 1.8 / 113,000km / 埼玉県",2006年式,1.8,"113,000km",埼玉県,manen
suzuki-erio-sedan,エリオセダン,root,root,13万km,130000,130000,1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2006年式 / 1.8 / 13万km / 福島県,2006年式,1.8,13万km,福島県,manen
suzuki-erio-sedan,エリオセダン,root,root,"133,000km",133000,133000,1,6.9,6.9,6.9,6.9,6.9,6.9,6.9,"2002年式 / 1.8 / 133,000km / 島根県",2002年式,1.8,"133,000km",島根県,manen
suzuki-erio-sedan,エリオセダン,root,root,"136,000km",136000,136000,1,4.8,4.8,4.8,4.8,4.8,4.8,4.8,"2006年式 / 1.8 4WD / 136,000km / 山形県",2006年式,1.8 4WD,"136,000km",山形県,manen
