model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-erio,エリオ,root,root,3万km,30000,30000,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2002年式 / 1.5 XV / 3万km / 静岡県,2002年式,1.5 XV,3万km,静岡県,manen
suzuki-erio,エリオ,root,root,"31,000km",31000,31000,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,"2004年式 / 1.8 / 31,000km / 広島県",2004年式,1.8,"31,000km",広島県,manen
suzuki-erio,エリオ,root,root,"41,000km",41000,41000,2,10.5,10.5,10.5,10.5,10.5,10.5,10.5,"2005年式 / 1.5 / 41,000km / 岡山県",2005年式,1.5,"41,000km",岡山県,manen
suzuki-erio,エリオ,root,root,"45,000km",45000,45000,4,3.9,6.7,5.3,5.3,3.9,6.7,6.7,"2002年式 / 1.5 XR / 45,000km / 高知県",2002年式,1.5 XR,"45,000km",高知県,manen
suzuki-erio,エリオ,root,root,"46,000km",46000,46000,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,"2005年式 / 1.8 4WD / 46,000km / 岡山県",2005年式,1.8 4WD,"46,000km",岡山県,manen
suzuki-erio,エリオ,root,root,"49,000km",49000,49000,4,7.2,18.0,12.6,12.6,7.2,18.0,18.0,"2004年式 / 1.5 / 49,000km / 島根県",2004年式,1.5,"49,000km",島根県,manen
suzuki-erio,エリオ,root,root,"52,000km",52000,52000,2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,"2004年式 / 1.8 / 52,000km / 栃木県",2004年式,1.8,"52,000km",栃木県,manen
suzuki-erio,エリオ,root,root,"54,000km",54000,54000,2,7.9,7.9,7.9,7.9,7.9,7.9,7.9,"2003年式 / 1.8 / 54,000km / 滋賀県",2003年式,1.8,"54,000km",滋賀県,manen
suzuki-erio,エリオ,root,root,"58,000km",58000,58000,4,7.2,15.6,11.4,11.4,7.2,15.6,15.6,"2005年式 / 1.8 / 58,000km / 大分県",2005年式,1.8,"58,000km",大分県,manen
suzuki-erio,エリオ,root,root,6万km,60000,60000,4,5.8,13.0,9.4,9.4,5.8,13.0,13.0,2003年式 / 1.8 4WD / 6万km / 沖縄県,2003年式,1.8 4WD,6万km,沖縄県,manen
suzuki-erio,エリオ,root,root,"61,000km",61000,61000,2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"2000年式 / 1.5 X / 61,000km / 鹿児島県",2000年式,1.5 X,"61,000km",鹿児島県,manen
suzuki-erio,エリオ,root,root,"62,000km",62000,62000,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,"2001年式 / 1.5 XR / 62,000km / 東京都",2001年式,1.5 XR,"62,000km",東京都,manen
suzuki-erio,エリオ,root,root,"66,000km",66000,66000,6,5.0,18.0,12.3,13.9,5.0,18.0,18.0,"2004年式 / 1.8 / 66,000km / 石川県",2004年式,1.8,"66,000km",石川県,manen
suzuki-erio,エリオ,root,root,"67,000km",67000,67000,4,3.7,3.7,3.7,3.7,3.7,3.7,3.7,"2002年式 / 1.8 / 67,000km / 東京都",2002年式,1.8,"67,000km",東京都,manen
suzuki-erio,エリオ,root,root,"71,000km",71000,71000,2,8.7,8.7,8.7,8.7,8.7,8.7,8.7,"2004年式 / 1.8 / 71,000km / 青森県",2004年式,1.8,"71,000km",青森県,manen
suzuki-erio,エリオ,root,root,"72,000km",72000,72000,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"2000年式 / 1.5 X / 72,000km / 大分県",2000年式,1.5 X,"72,000km",大分県,manen
